seed, mutant, status
2878653806, 4262, SURVIVED
2878653806, 4376, SURVIVED
2878653829, 79, SURVIVED
2878653806, 4297, SURVIVED
2878653829, 397, SURVIVED
2878653829, 21, SURVIVED
2878653829, 31, SURVIVED
2878653829, 63, SURVIVED
2878653829, 208, SURVIVED
2878653806, 4368, SURVIVED
2878653806, 4370, SURVIVED
2878653806, 4369, SURVIVED
2878653829, 395, SURVIVED
2878653829, 239, SURVIVED
2878653829, 396, SURVIVED
2878653829, 240, SURVIVED
2878653829, 321, SURVIVED
2878653829, 399, SURVIVED
2878653829, 391, SURVIVED
2878653829, 453, SURVIVED
2878653829, 259, SURVIVED
2878653829, 30, SURVIVED
2878653829, 457, SURVIVED
2878653806, 4365, SURVIVED
2878653829, 207, SURVIVED
2878653829, 439, SURVIVED
2878653829, 224, SURVIVED
2878653829, 318, SURVIVED
2878653829, 485, SURVIVED
2878653829, 53, SURVIVED
2878653829, 459, SURVIVED
2878653829, 489, SURVIVED
2878653829, 491, SURVIVED
2878653829, 529, SURVIVED
2878653829, 568, SURVIVED
2878653829, 826, SURVIVED
2878653829, 629, SURVIVED
2878653829, 766, SURVIVED
2878653829, 593, SURVIVED
2878653829, 561, SURVIVED
2878653829, 606, SURVIVED
2878653829, 679, SURVIVED
2878653829, 536, SURVIVED
2878653829, 543, SURVIVED
2878653829, 573, SURVIVED
2878653829, 530, SURVIVED
2878653829, 562, SURVIVED
2878653829, 583, SURVIVED
2878653829, 647, SURVIVED
2878653829, 615, SURVIVED
2878653829, 825, SURVIVED
2878653829, 575, SURVIVED
2878653829, 572, SURVIVED
2878653829, 821, SURVIVED
2878653829, 625, SURVIVED
2878653829, 638, SURVIVED
2878653829, 854, SURVIVED
2878653829, 597, SURVIVED
2878653829, 541, SURVIVED
2878653829, 765, SURVIVED
2878653829, 860, SURVIVED
2878653829, 869, SURVIVED
2878653829, 871, SURVIVED
2878653829, 865, SURVIVED
2878653829, 872, SURVIVED
2878653829, 874, SURVIVED
2878653829, 875, SURVIVED
2878653829, 892, SURVIVED
2878653829, 886, SURVIVED
2878653829, 880, SURVIVED
2878653829, 898, SURVIVED
2878653829, 877, SURVIVED
2878653829, 930, SURVIVED
2878653829, 936, SURVIVED
2878653829, 935, SURVIVED
2878653829, 931, SURVIVED
2878653829, 934, SURVIVED
2878653829, 876, SURVIVED
2878653829, 899, SURVIVED
2878653829, 921, SURVIVED
2878653829, 881, SURVIVED
2878653829, 1042, SURVIVED
2878653829, 1043, SURVIVED
2878653829, 1294, SURVIVED
2878653829, 1045, SURVIVED
2878653829, 1044, SURVIVED
2878653829, 1256, SURVIVED
2878653829, 1050, SURVIVED
2878653829, 953, SURVIVED
2878653829, 1121, SURVIVED
2878653829, 1047, SURVIVED
2878653829, 1048, SURVIVED
2878653829, 1049, SURVIVED
2878653829, 1051, SURVIVED
2878653829, 1041, SURVIVED
2878653829, 1046, SURVIVED
2878653829, 1325, SURVIVED
2878653829, 1326, SURVIVED
2878653829, 1317, SURVIVED
2878653829, 1355, SURVIVED
2878653829, 1848, SURVIVED
2878653829, 1925, SURVIVED
2878653829, 1816, SURVIVED
2878653829, 1965, SURVIVED
2878653829, 1960, SURVIVED
2878653829, 1957, SURVIVED
2878653829, 1928, SURVIVED
2878653829, 1989, SURVIVED
2878653829, 1964, SURVIVED
2878653829, 1993, SURVIVED
2878653829, 1932, SURVIVED
2878653829, 2001, SURVIVED
2878653829, 1992, SURVIVED
2878653829, 2002, SURVIVED
2878653829, 1997, SURVIVED
2878653829, 1933, SURVIVED
2878653829, 2005, SURVIVED
2878653829, 2007, SURVIVED
2878653829, 2009, SURVIVED
2878653829, 2010, SURVIVED
2878653829, 2008, SURVIVED
2878653829, 2006, SURVIVED
2878653829, 2011, SURVIVED
2878653829, 2015, SURVIVED
2878653829, 2021, SURVIVED
2878653829, 2012, SURVIVED
2878653829, 2014, SURVIVED
2878653829, 2013, SURVIVED
2878653829, 2024, SURVIVED
2878653829, 2025, SURVIVED
2878653829, 2029, SURVIVED
2878653829, 2033, SURVIVED
2878653829, 2073, SURVIVED
2878653829, 2072, SURVIVED
2878653829, 2034, SURVIVED
2878653829, 2075, SURVIVED
2878653829, 2106, SURVIVED
2878653829, 2105, SURVIVED
2878653829, 2076, SURVIVED
2878653829, 2108, SURVIVED
2878653829, 2109, SURVIVED
2878653829, 2077, SURVIVED
2878653829, 2104, SURVIVED
2878653829, 2107, SURVIVED
2878653829, 2307, SURVIVED
2878653829, 2308, SURVIVED
2878653829, 2309, SURVIVED
2878653829, 2074, SURVIVED
2878653829, 2310, SURVIVED
2878653829, 2339, SURVIVED
2878653829, 2342, SURVIVED
2878653829, 2341, SURVIVED
2878653829, 2312, SURVIVED
2878653829, 2437, SURVIVED
2878653829, 2344, SURVIVED
2878653829, 2311, SURVIVED
2878653829, 2340, SURVIVED
2878653829, 2441, SURVIVED
2878653829, 2343, SURVIVED
2878653829, 2440, SURVIVED
2878653829, 2451, SURVIVED
2878653829, 2450, SURVIVED
2878653829, 2448, SURVIVED
2878653829, 2457, SURVIVED
2878653829, 2458, SURVIVED
2878653829, 2460, SURVIVED
2878653829, 2459, SURVIVED
2878653829, 2995, SURVIVED
2878653829, 3056, SURVIVED
2878653829, 2992, SURVIVED
2878653829, 2739, SURVIVED
2878653829, 3028, SURVIVED
2878653829, 2707, SURVIVED
2878653829, 3019, SURVIVED
2878653829, 2963, SURVIVED
2878653829, 3033, SURVIVED
2878653829, 2960, SURVIVED
2878653829, 3030, SURVIVED
2878653829, 2989, SURVIVED
2878653829, 3051, SURVIVED
2878653829, 3036, SURVIVED
2878653829, 3079, SURVIVED
2878653829, 3280, SURVIVED
2878653829, 3062, SURVIVED
2878653829, 3278, SURVIVED
2878653829, 3065, SURVIVED
2878653829, 3282, SURVIVED
2878653829, 3256, SURVIVED
2878653829, 3100, SURVIVED
2878653829, 3060, SURVIVED
2878653829, 3058, SURVIVED
2878653829, 3064, SURVIVED
2878653829, 3314, SURVIVED
2878653829, 3312, SURVIVED
2878653829, 3311, SURVIVED
2878653829, 3310, SURVIVED
2878653829, 3471, SURVIVED
2878653829, 3315, SURVIVED
2878653829, 3480, SURVIVED
2878653829, 3514, SURVIVED
2878653829, 3517, SURVIVED
2878653829, 3485, SURVIVED
2878653829, 3512, SURVIVED
2878653829, 3503, SURVIVED
2878653829, 3515, SURVIVED
2878653829, 4049, SURVIVED
2878653829, 3968, SURVIVED
2878653829, 4029, SURVIVED
2878653829, 3965, SURVIVED
2878653829, 3979, SURVIVED
2878653829, 4230, SURVIVED
2878653829, 4262, SURVIVED
2878653829, 4376, SURVIVED
2878653829, 4368, SURVIVED
2878653829, 4340, SURVIVED
2878653829, 4236, SURVIVED
2878653829, 4289, SURVIVED
2878653829, 4066, SURVIVED
2878653829, 4369, SURVIVED
2878653829, 4297, SURVIVED
2878653829, 4370, SURVIVED
2878653829, 4329, SURVIVED
2878653829, 4308, SURVIVED
2878653829, 4365, SURVIVED
2878653800, 21, SURVIVED
2878653800, 31, SURVIVED
2878653800, 30, SURVIVED
2878653800, 63, SURVIVED
2878653800, 79, SURVIVED
2878653800, 207, SURVIVED
2878653800, 239, SURVIVED
2878653800, 208, SURVIVED
2878653800, 240, SURVIVED
2878653800, 53, SURVIVED
2878653800, 224, SURVIVED
2878653800, 1325, SURVIVED
2878653800, 259, SURVIVED
2878653800, 1326, SURVIVED
2878653800, 1317, SURVIVED
2878653800, 1256, SURVIVED
2878653800, 321, SURVIVED
2878653800, 1294, SURVIVED
2878653800, 2960, SURVIVED
2878653800, 2963, SURVIVED
2878653800, 1355, SURVIVED
2878653800, 3028, SURVIVED
2878653800, 3033, SURVIVED
2878653800, 3019, SURVIVED
2878653800, 2992, SURVIVED
2878653800, 2989, SURVIVED
2878653800, 2995, SURVIVED
2878653800, 318, SURVIVED
2878653800, 3056, SURVIVED
2878653800, 3036, SURVIVED
2878653800, 3051, SURVIVED
2878653800, 3030, SURVIVED
2878653800, 3058, SURVIVED
2878653800, 3111, SURVIVED
2878653800, 3062, SURVIVED
2878653800, 3106, SURVIVED
2878653800, 3065, SURVIVED
2878653800, 3131, SURVIVED
2878653800, 3079, SURVIVED
2878653800, 3132, SURVIVED
2878653800, 3100, SURVIVED
2878653800, 3060, SURVIVED
2878653800, 3160, SURVIVED
2878653800, 3064, SURVIVED
2878653800, 3165, SURVIVED
2878653800, 3156, SURVIVED
2878653800, 3211, SURVIVED
2878653800, 3197, SURVIVED
2878653800, 3143, SURVIVED
2878653800, 3189, SURVIVED
2878653800, 3212, SURVIVED
2878653800, 3220, SURVIVED
2878653800, 3243, SURVIVED
2878653800, 3244, SURVIVED
2878653800, 3280, SURVIVED
2878653800, 3312, SURVIVED
2878653800, 3221, SURVIVED
2878653800, 3256, SURVIVED
2878653800, 3311, SURVIVED
2878653800, 3310, SURVIVED
2878653800, 3278, SURVIVED
2878653800, 3282, SURVIVED
2878653800, 3315, SURVIVED
2878653800, 3314, SURVIVED
2878653800, 3353, SURVIVED
2878653800, 3355, SURVIVED
2878653800, 3503, SURVIVED
2878653800, 3471, SURVIVED
2878653800, 3485, SURVIVED
2878653800, 3480, SURVIVED
2878653800, 3398, SURVIVED
2878653800, 3387, SURVIVED
2878653800, 3385, SURVIVED
2878653800, 4262, SURVIVED
2878653800, 4236, SURVIVED
2878653800, 4029, SURVIVED
2878653800, 4066, SURVIVED
2878653800, 3512, SURVIVED
2878653800, 3968, SURVIVED
2878653800, 4049, SURVIVED
2878653800, 3979, SURVIVED
2878653800, 3517, SURVIVED
2878653800, 3514, SURVIVED
2878653800, 3965, SURVIVED
2878653800, 3515, SURVIVED
2878653800, 4230, SURVIVED
2878653800, 4308, SURVIVED
2878653800, 4297, SURVIVED
2878653800, 4329, SURVIVED
2878653800, 4365, SURVIVED
2878653800, 4340, SURVIVED
2878653800, 4368, SURVIVED
2878653800, 4369, SURVIVED
2878653800, 4376, SURVIVED
2878653800, 4370, SURVIVED
2878653810, 31, SURVIVED
2878653810, 21, SURVIVED
2878653810, 30, SURVIVED
2878653810, 53, SURVIVED
2878653810, 63, SURVIVED
2878653810, 259, SURVIVED
2878653810, 318, SURVIVED
2878653810, 321, SURVIVED
2878653810, 79, SURVIVED
2878653810, 457, SURVIVED
2878653810, 391, SURVIVED
2878653810, 397, SURVIVED
2878653810, 543, SURVIVED
2878653810, 453, SURVIVED
2878653810, 439, SURVIVED
2878653810, 530, SURVIVED
2878653810, 491, SURVIVED
2878653810, 395, SURVIVED
2878653810, 536, SURVIVED
2878653810, 485, SURVIVED
2878653810, 396, SURVIVED
2878653810, 529, SURVIVED
2878653810, 489, SURVIVED
2878653810, 541, SURVIVED
2878653810, 399, SURVIVED
2878653810, 459, SURVIVED
2878653810, 562, SURVIVED
2878653810, 561, SURVIVED
2878653810, 568, SURVIVED
2878653810, 572, SURVIVED
2878653810, 575, SURVIVED
2878653810, 573, SURVIVED
2878653810, 583, SURVIVED
2878653810, 593, SURVIVED
2878653810, 638, SURVIVED
2878653810, 606, SURVIVED
2878653810, 629, SURVIVED
2878653810, 597, SURVIVED
2878653810, 625, SURVIVED
2878653810, 647, SURVIVED
2878653810, 615, SURVIVED
2878653810, 679, SURVIVED
2878653810, 765, SURVIVED
2878653810, 766, SURVIVED
2878653810, 865, SURVIVED
2878653810, 821, SURVIVED
2878653810, 854, SURVIVED
2878653810, 825, SURVIVED
2878653810, 826, SURVIVED
2878653810, 860, SURVIVED
2878653810, 869, SURVIVED
2878653810, 871, SURVIVED
2878653810, 875, SURVIVED
2878653810, 872, SURVIVED
2878653810, 874, SURVIVED
2878653810, 876, SURVIVED
2878653810, 880, SURVIVED
2878653810, 877, SURVIVED
2878653810, 881, SURVIVED
2878653810, 892, SURVIVED
2878653810, 886, SURVIVED
2878653810, 898, SURVIVED
2878653810, 899, SURVIVED
2878653810, 921, SURVIVED
2878653810, 930, SURVIVED
2878653810, 931, SURVIVED
2878653810, 934, SURVIVED
2878653810, 1041, SURVIVED
2878653810, 1043, SURVIVED
2878653810, 953, SURVIVED
2878653810, 936, SURVIVED
2878653810, 1044, SURVIVED
2878653810, 935, SURVIVED
2878653810, 1042, SURVIVED
2878653810, 1045, SURVIVED
2878653810, 1046, SURVIVED
2878653810, 1121, SURVIVED
2878653810, 1256, SURVIVED
2878653810, 1051, SURVIVED
