seed, mutant, status
211511404, 72, SURVIVED
211511404, 85, SURVIVED
211511401, 1725, SURVIVED
211511401, 1736, SURVIVED
211511401, 1734, SURVIVED
211511401, 1768, SURVIVED
211511401, 1738, SURVIVED
211511401, 1771, SURVIVED
211511401, 1767, SURVIVED
211511401, 2057, SURVIVED
211511401, 1843, SURVIVED
211511401, 1769, SURVIVED
211511401, 1857, SURVIVED
211511401, 1721, SURVIVED
211511401, 85, SURVIVED
211511419, 1738, SURVIVED
211511419, 1725, SURVIVED
211511401, 2067, SURVIVED
211511401, 1770, SURVIVED
211511419, 2067, SURVIVED
211511419, 85, SURVIVED
211511419, 2057, SURVIVED
211511401, 1739, SURVIVED
211511401, 72, SURVIVED
211511419, 72, SURVIVED
211511419, 1739, SURVIVED
211511419, 1721, SURVIVED
211511419, 1768, SURVIVED
211511419, 1736, SURVIVED
211511419, 1734, SURVIVED
211511419, 1767, SURVIVED
211511419, 1769, SURVIVED
211511419, 1771, SURVIVED
211511419, 1770, SURVIVED
211511419, 1843, SURVIVED
211511419, 1857, SURVIVED
211511420, 85, SURVIVED
211511420, 598, SURVIVED
211511420, 72, SURVIVED
211511420, 604, SURVIVED
211511420, 605, SURVIVED
211511420, 606, SURVIVED
211511420, 602, SURVIVED
211511420, 514, SURVIVED
211511420, 546, SURVIVED
211511420, 559, SURVIVED
211511420, 607, SURVIVED
211511420, 856, SURVIVED
211511420, 879, SURVIVED
211511420, 646, SURVIVED
211511420, 869, SURVIVED
211511420, 877, SURVIVED
211511420, 837, SURVIVED
211511420, 1334, SURVIVED
211511420, 885, SURVIVED
211511420, 876, SURVIVED
211511420, 882, SURVIVED
211511420, 1302, SURVIVED
211511420, 888, SURVIVED
211511420, 880, SURVIVED
211511420, 1345, SURVIVED
211511420, 884, SURVIVED
211511420, 883, SURVIVED
211511420, 886, SURVIVED
211511420, 1439, SURVIVED
211511420, 1624, SURVIVED
211511420, 1725, SURVIVED
211511420, 1721, SURVIVED
211511420, 1421, SURVIVED
211511420, 1453, SURVIVED
211511420, 1471, SURVIVED
211511420, 1377, SURVIVED
211511420, 1734, SURVIVED
211511420, 1739, SURVIVED
211511420, 1736, SURVIVED
211511420, 1738, SURVIVED
211511420, 1843, SURVIVED
211511420, 1857, SURVIVED
211511420, 1768, SURVIVED
211511420, 1770, SURVIVED
211511431, 1721, SURVIVED
211511420, 1769, SURVIVED
211511431, 2067, SURVIVED
