seed, mutant, status
1587034305, 61614, SURVIVED
1587034305, 61596, SURVIVED
1587034323, 21662, SURVIVED
1587034323, 21661, SURVIVED
1587034323, 21688, SURVIVED
1587034306, 61596, SURVIVED
1587034323, 21692, SURVIVED
1587034306, 61614, SURVIVED
1587034323, 21648, SURVIVED
1587034323, 21680, SURVIVED
1587034323, 21693, SURVIVED
1587034302, 52159, SURVIVED
1587034302, 52163, SURVIVED
1587034323, 21690, SURVIVED
1587034323, 21691, SURVIVED
1587034302, 61596, SURVIVED
1587034302, 52156, SURVIVED
1587034302, 52136, SURVIVED
1587034302, 52164, SURVIVED
1587034302, 52127, SURVIVED
1587034302, 52128, SURVIVED
1587034302, 52174, SURVIVED
1587034302, 52161, SURVIVED
1587034302, 61614, SURVIVED
1587034302, 52160, SURVIVED
1587034302, 52123, SURVIVED
1587034302, 52162, SURVIVED
1587034302, 52125, SURVIVED
1587034302, 52157, SURVIVED
1587034302, 52124, SURVIVED
1587034302, 52155, SURVIVED
1587034302, 52165, SURVIVED
1587034323, 21694, SURVIVED
1587034323, 21695, SURVIVED
1587034323, 21697, SURVIVED
1587034323, 21698, SURVIVED
1587034323, 21699, SURVIVED
1587034323, 21700, SURVIVED
1587034323, 21703, SURVIVED
1587034323, 21702, SURVIVED
1587034323, 21701, SURVIVED
1587034323, 21713, SURVIVED
1587034323, 21706, SURVIVED
1587034323, 21705, SURVIVED
1587034323, 21704, SURVIVED
1587034323, 21712, SURVIVED
1587034323, 21707, SURVIVED
1587034323, 50575, SURVIVED
1587034323, 50578, SURVIVED
1587034323, 50576, SURVIVED
1587034323, 50577, SURVIVED
1587034323, 50899, SURVIVED
1587034323, 50591, SURVIVED
1587034323, 50579, SURVIVED
1587034323, 50586, SURVIVED
1587034323, 50898, SURVIVED
1587034323, 50584, SURVIVED
1587034323, 50895, SURVIVED
1587034323, 50593, SURVIVED
1587034323, 50585, SURVIVED
1587034323, 50889, SURVIVED
1587034323, 50592, SURVIVED
1587034323, 50897, SURVIVED
1587034323, 50896, SURVIVED
1587034323, 50900, SURVIVED
1587034323, 50902, SURVIVED
1587034323, 50903, SURVIVED
1587034323, 61614, SURVIVED
1587034323, 61596, SURVIVED
1587034327, 60867, SURVIVED
1587034327, 61614, SURVIVED
1587034327, 61596, SURVIVED
1587034324, 52123, SURVIVED
1587034324, 52124, SURVIVED
1587034324, 52127, SURVIVED
1587034324, 52125, SURVIVED
1587034324, 52156, SURVIVED
1587034324, 52128, SURVIVED
1587034324, 52136, SURVIVED
1587034324, 52157, SURVIVED
1587034324, 52155, SURVIVED
1587034324, 52160, SURVIVED
1587034324, 52159, SURVIVED
1587034324, 52162, SURVIVED
1587034324, 52163, SURVIVED
1587034324, 52161, SURVIVED
1587034324, 52164, SURVIVED
1587034324, 52165, SURVIVED
1587034324, 52174, SURVIVED
1587034328, 52123, SURVIVED
1587034328, 52125, SURVIVED
1587034328, 52124, SURVIVED
1587034328, 52127, SURVIVED
1587034328, 52128, SURVIVED
1587034328, 52155, SURVIVED
1587034328, 52156, SURVIVED
1587034328, 52136, SURVIVED
1587034328, 52157, SURVIVED
1587034328, 52160, SURVIVED
1587034328, 52159, SURVIVED
