seed, mutant, status
2062722802, 458, SURVIVED
2062722802, 457, SURVIVED
2062722802, 367, SURVIVED
2062722802, 424, SURVIVED
2062722802, 417, SURVIVED
2062722802, 440, SURVIVED
2062722802, 277, SURVIVED
2062722802, 240, SURVIVED
2062722802, 221, SURVIVED
2062722802, 456, SURVIVED
2062722802, 475, SURVIVED
2062722802, 410, SURVIVED
2062722802, 408, SURVIVED
2062722802, 459, SURVIVED
2062722802, 477, SURVIVED
2062722802, 369, SURVIVED
2062722802, 473, SURVIVED
2062722802, 274, SURVIVED
2062722802, 427, SURVIVED
2062722802, 395, SURVIVED
2062722802, 366, SURVIVED
2062722802, 392, SURVIVED
2062722802, 273, SURVIVED
2062722802, 243, SURVIVED
2062722802, 268, SURVIVED
2062722802, 233, SURVIVED
2062722802, 370, SURVIVED
2062722802, 253, SURVIVED
2062722802, 450, SURVIVED
2062722802, 276, SURVIVED
2062722802, 385, SURVIVED
2062722802, 476, SURVIVED
2062722802, 489, SURVIVED
2062722802, 488, SURVIVED
2062722802, 505, SURVIVED
2062722802, 507, SURVIVED
2062722802, 490, SURVIVED
2062722802, 482, SURVIVED
2062722802, 491, SURVIVED
2062722802, 530, SURVIVED
2062722802, 531, SURVIVED
2062722802, 532, SURVIVED
2062722802, 508, SURVIVED
2062722802, 509, SURVIVED
2062722802, 538, SURVIVED
2062722802, 537, SURVIVED
2062722802, 585, SURVIVED
2062722802, 534, SURVIVED
2062722802, 533, SURVIVED
2062722802, 646, SURVIVED
2062722802, 643, SURVIVED
2062722802, 607, SURVIVED
2062722802, 641, SURVIVED
2062722802, 647, SURVIVED
2062722802, 639, SURVIVED
2062722802, 617, SURVIVED
2062722802, 673, SURVIVED
2062722802, 644, SURVIVED
2062722802, 676, SURVIVED
2062722802, 669, SURVIVED
2062722802, 675, SURVIVED
2062722802, 666, SURVIVED
2062722802, 670, SURVIVED
2062722802, 668, SURVIVED
2062722802, 678, SURVIVED
2062722802, 687, SURVIVED
2062722802, 684, SURVIVED
2062722802, 693, SURVIVED
2062722802, 682, SURVIVED
2062722802, 683, SURVIVED
2062722802, 679, SURVIVED
2062722802, 688, SURVIVED
2062722802, 700, SURVIVED
2062722802, 698, SURVIVED
2062722802, 701, SURVIVED
2062722802, 702, SURVIVED
2062722802, 723, SURVIVED
2062722802, 724, SURVIVED
2062722802, 727, SURVIVED
2062722802, 730, SURVIVED
2062722822, 367, SURVIVED
2062722822, 273, SURVIVED
2062722822, 277, SURVIVED
2062722822, 268, SURVIVED
2062722822, 274, SURVIVED
2062722822, 369, SURVIVED
2062722822, 233, SURVIVED
2062722822, 366, SURVIVED
2062722822, 243, SURVIVED
2062722822, 211, SURVIVED
2062722822, 276, SURVIVED
2062722822, 201, SURVIVED
2062722822, 221, KILLED_FAILED
2062722822, 385, SURVIVED
2062722822, 370, SURVIVED
2062722822, 410, KILLED_FAILED
