seed, mutant, status
387221812, 216, SURVIVED
387221812, 220, SURVIVED
387221812, 206, SURVIVED
387221812, 212, SURVIVED
387221812, 214, SURVIVED
387221812, 217, SURVIVED
387221812, 213, SURVIVED
387221812, 199, SURVIVED
387221812, 222, SURVIVED
387221812, 221, SURVIVED
387221807, 222, SURVIVED
387221807, 216, SURVIVED
387221807, 212, SURVIVED
387221807, 220, SURVIVED
387221807, 213, SURVIVED
387221807, 221, SURVIVED
387221807, 206, SURVIVED
387221807, 214, SURVIVED
387221807, 199, SURVIVED
387221844, 206, SURVIVED
387221844, 199, SURVIVED
387221807, 217, SURVIVED
387221806, 222, SURVIVED
387221806, 199, SURVIVED
387221806, 206, SURVIVED
387221806, 216, SURVIVED
387221806, 212, SURVIVED
387221806, 213, SURVIVED
387221806, 220, SURVIVED
387221806, 217, SURVIVED
387221806, 221, SURVIVED
387221806, 214, SURVIVED
387221844, 216, SURVIVED
387221844, 217, SURVIVED
387221844, 212, SURVIVED
387221844, 214, SURVIVED
387221844, 222, SURVIVED
387221844, 220, SURVIVED
387221844, 213, SURVIVED
387221844, 221, SURVIVED
387221836, 199, SURVIVED
387221800, 199, SURVIVED
387221800, 206, SURVIVED
387221836, 206, SURVIVED
387221836, 212, SURVIVED
387221800, 213, SURVIVED
387221800, 212, SURVIVED
387221836, 220, SURVIVED
387221836, 221, SURVIVED
387221800, 216, SURVIVED
387221836, 217, SURVIVED
387221800, 220, SURVIVED
387221836, 222, SURVIVED
387221800, 214, SURVIVED
387221836, 213, SURVIVED
387221800, 217, SURVIVED
387221800, 221, SURVIVED
387221836, 214, SURVIVED
387221803, 199, SURVIVED
387221836, 216, SURVIVED
387221800, 222, SURVIVED
387221803, 212, SURVIVED
387221803, 206, SURVIVED
387221803, 213, SURVIVED
387221803, 214, SURVIVED
387221803, 216, SURVIVED
387221803, 220, SURVIVED
387221849, 199, SURVIVED
387221803, 217, SURVIVED
387221803, 222, SURVIVED
387221849, 206, SURVIVED
387221803, 221, SURVIVED
387221849, 213, SURVIVED
387221849, 212, SURVIVED
387221849, 214, SURVIVED
387221849, 216, SURVIVED
387221849, 222, SURVIVED
387221849, 220, SURVIVED
387221849, 217, SURVIVED
387221849, 221, SURVIVED
387221859, 199, SURVIVED
387221859, 206, SURVIVED
387221859, 212, SURVIVED
387221859, 213, SURVIVED
387221859, 214, SURVIVED
387221859, 217, SURVIVED
387221859, 220, SURVIVED
387221859, 216, SURVIVED
387221859, 221, SURVIVED
387221859, 222, SURVIVED
387221805, 206, SURVIVED
387221805, 216, SURVIVED
387221805, 199, SURVIVED
387221805, 222, SURVIVED
387221805, 217, SURVIVED
387221805, 220, SURVIVED
387221805, 213, SURVIVED
387221805, 221, SURVIVED
387221805, 212, SURVIVED
387221805, 214, SURVIVED
387221825, 199, SURVIVED
387221825, 206, SURVIVED
387221825, 212, SURVIVED
387221825, 213, SURVIVED
387221855, 199, SURVIVED
387221855, 206, SURVIVED
387221825, 214, SURVIVED
387221855, 212, SURVIVED
387221825, 216, SURVIVED
387221825, 217, SURVIVED
387221855, 213, SURVIVED
387221855, 214, SURVIVED
387221825, 220, SURVIVED
387221825, 221, SURVIVED
387221826, 199, SURVIVED
387221855, 216, SURVIVED
387221825, 222, SURVIVED
387221826, 212, SURVIVED
387221826, 206, SURVIVED
387221826, 216, SURVIVED
387221826, 217, SURVIVED
387221826, 214, SURVIVED
387221826, 213, SURVIVED
387221855, 220, SURVIVED
387221855, 221, SURVIVED
387221855, 217, SURVIVED
387221855, 222, SURVIVED
387221826, 222, SURVIVED
387221826, 220, SURVIVED
387221826, 221, SURVIVED
387221824, 213, SURVIVED
387221824, 199, SURVIVED
387221824, 212, SURVIVED
387221824, 220, SURVIVED
387221824, 206, SURVIVED
387221824, 217, SURVIVED
387221824, 214, SURVIVED
387221824, 216, SURVIVED
387221824, 221, SURVIVED
387221824, 222, SURVIVED
387221838, 212, SURVIVED
387221838, 199, SURVIVED
387221838, 206, SURVIVED
387221847, 206, SURVIVED
387221838, 216, SURVIVED
387221847, 199, SURVIVED
387221838, 213, SURVIVED
387221839, 214, SURVIVED
387221838, 220, SURVIVED
387221838, 217, SURVIVED
387221847, 212, SURVIVED
387221838, 214, SURVIVED
387221839, 220, SURVIVED
387221839, 199, SURVIVED
387221839, 213, SURVIVED
387221839, 212, SURVIVED
387221847, 213, SURVIVED
387221838, 221, SURVIVED
387221839, 206, SURVIVED
387221838, 222, SURVIVED
387221847, 216, SURVIVED
387221847, 214, SURVIVED
387221847, 220, SURVIVED
387221839, 216, SURVIVED
387221847, 217, SURVIVED
387221839, 221, SURVIVED
387221839, 217, SURVIVED
387221847, 222, SURVIVED
387221839, 222, SURVIVED
387221847, 221, SURVIVED
387221860, 206, SURVIVED
387221860, 199, SURVIVED
387221860, 212, SURVIVED
387221860, 213, SURVIVED
387221890, 206, SURVIVED
387221890, 213, SURVIVED
387221890, 212, SURVIVED
387221890, 199, SURVIVED
387221860, 214, SURVIVED
387221860, 217, SURVIVED
387221860, 216, SURVIVED
387221860, 220, SURVIVED
387221837, 214, SURVIVED
387221860, 222, SURVIVED
387221860, 221, SURVIVED
387221837, 206, SURVIVED
387221837, 213, SURVIVED
387221837, 217, SURVIVED
387221837, 216, SURVIVED
387221837, 199, SURVIVED
387221837, 222, SURVIVED
387221837, 212, SURVIVED
387221837, 220, SURVIVED
387221837, 221, SURVIVED
387221890, 217, SURVIVED
387221890, 214, SURVIVED
387221890, 220, SURVIVED
387221890, 221, SURVIVED
387221890, 216, SURVIVED
387221890, 222, SURVIVED
387221854, 199, SURVIVED
387221854, 216, SURVIVED
387221854, 222, SURVIVED
387221854, 214, SURVIVED
387221854, 206, SURVIVED
387221854, 217, SURVIVED
387221854, 212, SURVIVED
387221854, 220, SURVIVED
387221854, 213, SURVIVED
387221854, 221, SURVIVED
387221887, 206, SURVIVED
387221887, 199, SURVIVED
387221887, 213, SURVIVED
387221887, 212, SURVIVED
387221887, 217, SURVIVED
387221887, 216, SURVIVED
387221887, 214, SURVIVED
387221887, 222, SURVIVED
387221887, 221, SURVIVED
387221887, 220, SURVIVED
387221833, 206, SURVIVED
387221833, 199, SURVIVED
387221833, 213, SURVIVED
387221833, 212, SURVIVED
387221833, 222, SURVIVED
387221833, 216, SURVIVED
387221833, 217, SURVIVED
387221833, 214, SURVIVED
387221833, 221, SURVIVED
387221879, 206, SURVIVED
387221833, 220, SURVIVED
387221879, 199, SURVIVED
387221871, 206, SURVIVED
387221879, 213, SURVIVED
387221879, 212, SURVIVED
387221871, 199, SURVIVED
387221871, 212, SURVIVED
387221879, 216, SURVIVED
387221871, 214, SURVIVED
387221871, 213, SURVIVED
387221871, 220, SURVIVED
387221879, 217, SURVIVED
387221879, 214, SURVIVED
387221871, 216, SURVIVED
387221879, 220, SURVIVED
387221871, 221, SURVIVED
387221879, 221, SURVIVED
387221871, 217, SURVIVED
387221879, 222, SURVIVED
387221871, 222, SURVIVED
387221882, 206, SURVIVED
