seed, mutant, status
3925749801, 931, SURVIVED
3925749800, 931, SURVIVED
3925749801, 353, SURVIVED
3925749801, 360, SURVIVED
3925749801, 369, SURVIVED
3925749801, 484, SURVIVED
3925749801, 932, SURVIVED
3925749801, 354, SURVIVED
3925749801, 902, SURVIVED
3925749800, 353, SURVIVED
3925749801, 495, KILLED_FAILED
3925749801, 486, SURVIVED
3925749801, 394, SURVIVED
3925749800, 902, SURVIVED
3925749801, 352, SURVIVED
3925749800, 901, SURVIVED
3925749801, 901, SURVIVED
3925749800, 360, SURVIVED
3925749800, 354, SURVIVED
3925749800, 369, SURVIVED
3925749800, 394, SURVIVED
3925749800, 352, SURVIVED
3925749800, 932, SURVIVED
3925749808, 352, SURVIVED
3925749801, 494, KILLED_TIMEOUT
3925749808, 360, SURVIVED
3925749808, 353, SURVIVED
3925749808, 485, KILLED_FAILED
3925749808, 483, KILLED_FAILED
3925749808, 354, SURVIVED
3925749808, 487, KILLED_FAILED
3925749808, 490, KILLED_FAILED
3925749808, 484, SURVIVED
3925749808, 369, SURVIVED
3925749808, 488, KILLED_FAILED
3925749808, 486, SURVIVED
3925749808, 394, SURVIVED
3925749808, 491, KILLED_FAILED
3925749808, 489, KILLED_FAILED
3925749808, 494, KILLED_FAILED
3925749808, 492, KILLED_FAILED
3925749808, 493, KILLED_FAILED
3925749808, 901, SURVIVED
3925749808, 931, SURVIVED
3925749808, 902, SURVIVED
3925749806, 489, KILLED_FAILED
3925749806, 491, KILLED_FAILED
3925749806, 488, KILLED_FAILED
3925749801, 490, KILLED_TIMEOUT
3925749801, 487, KILLED_TIMEOUT
3925749806, 360, SURVIVED
3925749806, 369, SURVIVED
3925749806, 394, SURVIVED
3925749806, 353, SURVIVED
3925749806, 354, SURVIVED
3925749806, 352, SURVIVED
3925749808, 932, SURVIVED
3925749801, 488, KILLED_TIMEOUT
3925749806, 484, SURVIVED
3925749806, 486, SURVIVED
3925749806, 492, KILLED_FAILED
3925749806, 493, KILLED_FAILED
3925749801, 485, KILLED_TIMEOUT
3925749806, 494, KILLED_FAILED
3925749801, 489, KILLED_TIMEOUT
3925749801, 492, KILLED_TIMEOUT
3925749801, 493, KILLED_TIMEOUT
3925749806, 902, SURVIVED
3925749801, 483, KILLED_TIMEOUT
3925749801, 491, KILLED_TIMEOUT
3925749806, 932, SURVIVED
3925749806, 931, SURVIVED
3925749806, 901, SURVIVED
3925749829, 360, SURVIVED
3925749829, 354, SURVIVED
3925749829, 353, SURVIVED
3925749829, 352, SURVIVED
3925749829, 486, SURVIVED
3925749829, 369, SURVIVED
3925749833, 352, SURVIVED
3925749829, 394, SURVIVED
3925749833, 353, SURVIVED
3925749829, 484, SURVIVED
3925749829, 901, SURVIVED
3925749833, 354, SURVIVED
3925749829, 932, SURVIVED
3925749833, 360, SURVIVED
3925749829, 902, SURVIVED
3925749829, 931, SURVIVED
3925749833, 369, SURVIVED
3925749833, 394, SURVIVED
3925749827, 352, SURVIVED
3925749833, 901, SURVIVED
3925749827, 901, SURVIVED
3925749827, 354, SURVIVED
3925749827, 394, SURVIVED
3925749833, 931, SURVIVED
3925749833, 902, SURVIVED
3925749833, 932, SURVIVED
3925749827, 360, SURVIVED
3925749827, 353, SURVIVED
3925749827, 932, SURVIVED
3925749827, 369, SURVIVED
3925749827, 902, SURVIVED
3925749827, 931, SURVIVED
3925749834, 354, SURVIVED
3925749834, 353, SURVIVED
3925749834, 352, SURVIVED
3925749834, 360, SURVIVED
3925749834, 369, SURVIVED
3925749834, 394, SURVIVED
3925749834, 901, SURVIVED
3925749834, 931, SURVIVED
3925749834, 902, SURVIVED
3925749842, 352, SURVIVED
3925749834, 932, SURVIVED
3925749842, 353, SURVIVED
3925749842, 360, SURVIVED
3925749842, 369, SURVIVED
3925749842, 354, SURVIVED
3925749842, 394, SURVIVED
3925749853, 352, SURVIVED
3925749853, 353, SURVIVED
3925749853, 360, SURVIVED
3925749853, 354, SURVIVED
3925749853, 369, SURVIVED
3925749853, 394, SURVIVED
3925749814, 353, SURVIVED
3925749814, 352, SURVIVED
3925749814, 486, SURVIVED
3925749814, 394, SURVIVED
3925749814, 369, SURVIVED
3925749814, 484, SURVIVED
3925749814, 354, SURVIVED
3925749814, 902, SURVIVED
