seed, mutant, status
641210138, 2190, SURVIVED
641210138, 82, SURVIVED
641210138, 2222, SURVIVED
641210185, 82, SURVIVED
641210185, 2222, SURVIVED
641210185, 2190, SURVIVED
641210161, 82, SURVIVED
372468776, 82, SURVIVED
3686727681, 82, SURVIVED
3686727681, 2222, SURVIVED
3686727681, 2190, SURVIVED
1469555624, 82, SURVIVED
1469555624, 2222, SURVIVED
1469555624, 2190, SURVIVED
1469555674, 82, SURVIVED
4277399896, 922, SURVIVED
4277399896, 1192, SURVIVED
4277399896, 1163, SURVIVED
4277399896, 1268, SURVIVED
4277399896, 1077, SURVIVED
4277399896, 952, SURVIVED
4277399896, 958, SURVIVED
4277399896, 1144, SURVIVED
4277399896, 1047, SURVIVED
4277399896, 1266, SURVIVED
4277399896, 1079, SURVIVED
4277399896, 1309, SURVIVED
4277399896, 1264, SURVIVED
4277399896, 954, SURVIVED
4277399896, 1160, SURVIVED
4277399896, 1089, SURVIVED
4277399896, 1121, SURVIVED
4277399896, 1232, SURVIVED
4277399896, 114, SURVIVED
4277399896, 82, SURVIVED
4277399896, 926, SURVIVED
4277399896, 1045, SURVIVED
4277399896, 202, SURVIVED
4277399896, 1306, SURVIVED
4277399896, 1195, SURVIVED
4277399896, 1338, SURVIVED
4277399896, 1112, SURVIVED
4277399896, 1236, SURVIVED
4277399896, 920, SURVIVED
4277399896, 1341, SURVIVED
4277399896, 1234, SURVIVED
4277399896, 234, SURVIVED
4277399896, 1356, SURVIVED
4277399896, 1362, SURVIVED
4277399896, 1386, SURVIVED
4277399896, 1388, SURVIVED
4277399896, 1354, SURVIVED
4277399896, 1421, SURVIVED
4277399896, 1418, SURVIVED
4277399896, 1413, SURVIVED
4277399896, 1394, SURVIVED
4277399896, 1423, SURVIVED
4277399896, 1450, SURVIVED
4277399896, 2690, SURVIVED
4277399896, 2243, SURVIVED
4277399896, 2273, SURVIVED
4277399896, 1548, SURVIVED
4277399896, 1455, SURVIVED
4277399896, 2276, SURVIVED
4277399896, 2222, SURVIVED
4277399896, 1580, SURVIVED
4277399896, 2337, SURVIVED
4277399896, 1445, SURVIVED
4277399896, 2241, SURVIVED
4277399896, 1453, SURVIVED
4277399896, 2244, SURVIVED
4277399896, 2190, SURVIVED
4277399896, 2305, SURVIVED
4277399896, 2275, SURVIVED
