seed, mutant, status
2729637577, 1277, SURVIVED
2729637577, 1352, SURVIVED
2729637577, 1311, SURVIVED
2729637577, 822, SURVIVED
2729637577, 1439, SURVIVED
2729637577, 1384, SURVIVED
2729637577, 1329, SURVIVED
2729637577, 1435, SURVIVED
2729637577, 1433, SURVIVED
2729637577, 1297, SURVIVED
2729637577, 1465, SURVIVED
2729637577, 1469, SURVIVED
2729637577, 1473, SURVIVED
2729637577, 1320, SURVIVED
2729637577, 1403, SURVIVED
2729637577, 1475, SURVIVED
2729637577, 1343, SURVIVED
2729637577, 1467, SURVIVED
2729637577, 1474, SURVIVED
2729637577, 5, SURVIVED
2729637577, 1479, SURVIVED
2729637577, 1478, SURVIVED
2729637577, 1288, SURVIVED
2729637577, 1491, SURVIVED
2729637577, 1472, SURVIVED
2729637577, 1471, SURVIVED
2729637577, 790, SURVIVED
2729637577, 1437, SURVIVED
2729637539, 5, SURVIVED
2729637539, 1277, SURVIVED
2729637539, 822, SURVIVED
2729637539, 790, SURVIVED
2729637577, 1495, SURVIVED
2729637577, 1498, SURVIVED
2729637577, 1511, SURVIVED
2729637577, 1523, SURVIVED
2729637577, 1510, SURVIVED
2729637577, 1527, SURVIVED
2729637577, 1507, SURVIVED
2729637577, 1531, SURVIVED
2729637577, 1499, SURVIVED
2729637577, 1530, SURVIVED
4094604567, 1297, SURVIVED
4094604567, 5, SURVIVED
4094604567, 1329, SURVIVED
4094604567, 1384, SURVIVED
4094604567, 1479, SURVIVED
4094604567, 1343, SURVIVED
4094604567, 1439, SURVIVED
4094604567, 1473, SURVIVED
4094604567, 1472, SURVIVED
4094604567, 1478, SURVIVED
4094604567, 822, SURVIVED
4094604567, 1435, SURVIVED
4094604567, 1277, SURVIVED
4094604567, 1475, SURVIVED
4094604567, 790, SURVIVED
4094604567, 1352, SURVIVED
4094604567, 1467, SURVIVED
4094604567, 1433, SURVIVED
4094604567, 1437, SURVIVED
4094604567, 1471, SURVIVED
4094604567, 1498, SURVIVED
4094604567, 1465, SURVIVED
4094604567, 1469, SURVIVED
4094604567, 1474, SURVIVED
4094604567, 1495, SURVIVED
4094604567, 1288, SURVIVED
4094604541, 1277, SURVIVED
4094604541, 5, SURVIVED
4094604541, 822, SURVIVED
4094604541, 790, SURVIVED
4094604567, 1491, SURVIVED
4094604567, 1403, SURVIVED
4094604567, 1499, SURVIVED
4094604567, 1510, SURVIVED
4094604567, 1507, SURVIVED
4094604567, 1527, SURVIVED
4094604567, 1511, SURVIVED
4094604567, 1523, SURVIVED
4094604567, 1531, SURVIVED
4094604567, 1530, SURVIVED
3444690927, 1329, SURVIVED
3444690927, 1277, SURVIVED
3444690927, 1288, SURVIVED
3444690927, 1384, SURVIVED
3444690927, 1439, SURVIVED
3444690927, 1437, SURVIVED
3444690927, 1475, SURVIVED
3444690927, 1474, SURVIVED
3444690927, 1479, SURVIVED
3444690927, 1433, SURVIVED
3444690927, 1472, SURVIVED
3444690927, 1511, SURVIVED
3444690927, 1495, SURVIVED
3444690927, 1465, SURVIVED
3444690927, 1473, SURVIVED
3444690927, 5, SURVIVED
3444690927, 1297, SURVIVED
3444690927, 822, SURVIVED
3444690927, 1471, SURVIVED
3444690927, 1478, SURVIVED
3444690927, 1469, SURVIVED
3444690927, 1435, SURVIVED
3444690927, 1343, SURVIVED
3444690927, 1352, SURVIVED
3444690927, 1499, SURVIVED
3444690927, 1507, SURVIVED
3444690927, 1403, SURVIVED
3444690927, 790, SURVIVED
3444690927, 1510, SURVIVED
3444690927, 1498, SURVIVED
3444690927, 1491, SURVIVED
3444690927, 1467, SURVIVED
3444690927, 1523, SURVIVED
3444690927, 1530, SURVIVED
3444690927, 1531, SURVIVED
3444690927, 1527, SURVIVED
1746071415, 1288, SURVIVED
1746071415, 1343, SURVIVED
1746071415, 1435, SURVIVED
1746071415, 1352, SURVIVED
1746071415, 790, SURVIVED
1746071415, 1473, SURVIVED
1746071415, 1384, SURVIVED
1746071415, 1329, SURVIVED
1746071415, 1474, SURVIVED
1746071415, 1403, SURVIVED
1746071415, 1499, SURVIVED
1746071415, 1472, SURVIVED
1746071415, 1277, SURVIVED
1746071415, 1510, SURVIVED
1746071415, 1479, SURVIVED
1746071415, 822, SURVIVED
1746071415, 5, SURVIVED
1746071415, 1469, SURVIVED
1746071415, 1465, SURVIVED
1746071415, 1498, SURVIVED
1746071415, 1475, SURVIVED
1746071415, 1439, SURVIVED
1746071415, 1507, SURVIVED
1746071415, 1437, SURVIVED
1746071415, 1467, SURVIVED
1746071415, 1433, SURVIVED
1746071415, 1491, SURVIVED
1746071415, 1297, SURVIVED
1746071415, 1471, SURVIVED
1746071415, 1511, SURVIVED
1746071415, 1495, SURVIVED
1746071415, 1478, SURVIVED
1746071489, 5, SURVIVED
1746071489, 790, SURVIVED
1746071489, 822, SURVIVED
1746071489, 1277, SURVIVED
1746071415, 1527, SURVIVED
1746071415, 1523, SURVIVED
1746071415, 1530, SURVIVED
1746071415, 1531, SURVIVED
2645143566, 1403, SURVIVED
2645143566, 1474, SURVIVED
2645143566, 5, SURVIVED
2645143566, 1465, SURVIVED
2645143566, 1435, SURVIVED
2645143566, 1469, SURVIVED
2645143566, 1437, SURVIVED
2645143566, 1479, SURVIVED
2645143566, 1478, SURVIVED
2645143566, 1467, SURVIVED
2645143566, 1329, SURVIVED
2645143566, 1352, SURVIVED
2645143566, 1297, SURVIVED
2645143566, 1491, SURVIVED
2645143566, 1471, SURVIVED
2645143566, 1433, SURVIVED
2645143566, 822, SURVIVED
2645143566, 1277, SURVIVED
2645143566, 1439, SURVIVED
2645143566, 790, SURVIVED
2645143566, 1511, SURVIVED
2645143566, 1475, SURVIVED
2645143566, 1288, SURVIVED
2645143566, 1495, SURVIVED
2645143566, 1473, SURVIVED
2645143566, 1510, SURVIVED
2645143566, 1498, SURVIVED
2645143566, 1384, SURVIVED
2645143566, 1507, SURVIVED
2645143566, 1343, SURVIVED
2645143566, 1499, SURVIVED
2645143566, 1472, SURVIVED
2645143566, 1523, SURVIVED
2645143566, 1527, SURVIVED
2645143566, 1530, SURVIVED
2645143566, 1531, SURVIVED
2577757432, 1288, SURVIVED
2577757432, 1329, SURVIVED
2577757432, 1311, SURVIVED
2577757432, 1403, SURVIVED
2577757432, 1384, SURVIVED
2577757432, 1277, SURVIVED
2577757432, 1352, SURVIVED
2577757432, 1297, SURVIVED
2577757432, 1343, SURVIVED
2577757432, 822, SURVIVED
2577757432, 5, SURVIVED
2577757432, 790, SURVIVED
2577757432, 1320, SURVIVED
