seed, mutant, status
27988316, 112566, SURVIVED
27988353, 101528, SURVIVED
27988353, 101529, SURVIVED
27988353, 101539, SURVIVED
27988353, 101560, SURVIVED
27988353, 101537, SURVIVED
27988353, 101533, SURVIVED
27988353, 101577, SURVIVED
27988353, 101542, SURVIVED
27988353, 101543, SURVIVED
27988306, 14617, SURVIVED
27988353, 101547, SURVIVED
27988353, 95421, SURVIVED
27988353, 101544, SURVIVED
27988353, 101585, SURVIVED
27988353, 101548, SURVIVED
27988353, 101578, SURVIVED
27988353, 101561, SURVIVED
27988353, 14618, SURVIVED
27988353, 95450, KILLED_FAILED
27988353, 101565, SURVIVED
27988353, 95425, SURVIVED
27988353, 14621, SURVIVED
27988353, 101540, SURVIVED
27988306, 14621, SURVIVED
27988353, 101536, SURVIVED
27988353, 95422, SURVIVED
27988353, 14617, SURVIVED
27988353, 101545, SURVIVED
27988330, 14617, SURVIVED
27988306, 14618, SURVIVED
27988330, 14621, SURVIVED
27988330, 14618, SURVIVED
27988353, 95424, KILLED_FAILED
27988353, 95426, SURVIVED
27988353, 95428, SURVIVED
27988353, 95429, SURVIVED
27988353, 95431, SURVIVED
27988353, 95433, KILLED_FAILED
27988353, 95440, KILLED_FAILED
27988353, 95434, KILLED_FAILED
27988353, 95438, KILLED_FAILED
27988353, 95435, KILLED_FAILED
27988353, 95442, KILLED_FAILED
27988353, 95443, KILLED_FAILED
27988353, 95444, KILLED_FAILED
27988353, 95441, KILLED_FAILED
27988353, 95439, KILLED_FAILED
27988340, 14618, SURVIVED
27988353, 101546, SURVIVED
27988353, 95445, KILLED_FAILED
27988340, 14617, SURVIVED
27988340, 94710, SURVIVED
27988353, 95448, KILLED_FAILED
27988353, 95446, KILLED_FAILED
27988340, 14621, SURVIVED
27988307, 14618, SURVIVED
27988307, 14617, SURVIVED
27988340, 94822, KILLED_FAILED
27988340, 94708, SURVIVED
27988353, 95447, KILLED_FAILED
27988307, 14621, SURVIVED
27988353, 95449, KILLED_FAILED
27988307, 48285, SURVIVED
27988307, 48286, SURVIVED
27988307, 48317, SURVIVED
27988329, 14617, SURVIVED
27988329, 14618, SURVIVED
27988357, 14621, SURVIVED
27988329, 14621, SURVIVED
27988347, 14618, SURVIVED
27988347, 14617, SURVIVED
27988357, 14617, SURVIVED
27988347, 14621, SURVIVED
27988307, 48318, SURVIVED
27988357, 14618, SURVIVED
27988346, 14617, SURVIVED
27988350, 14618, SURVIVED
27988346, 14618, SURVIVED
27988350, 14621, SURVIVED
27988350, 14617, SURVIVED
27988369, 14617, SURVIVED
27988346, 14621, SURVIVED
27988385, 14617, SURVIVED
27988385, 14618, SURVIVED
27988385, 14621, SURVIVED
27988358, 14621, SURVIVED
27988364, 14618, SURVIVED
27988369, 94708, SURVIVED
27988364, 14617, SURVIVED
27988358, 14617, SURVIVED
27988364, 14621, SURVIVED
27988358, 14618, SURVIVED
27988369, 14621, SURVIVED
27988369, 14618, SURVIVED
27988335, 14617, SURVIVED
27988369, 94710, SURVIVED
27988304, 14618, KILLED_FAILED
27988335, 14618, SURVIVED
27988354, 14617, SURVIVED
27988335, 14621, SURVIVED
27988304, 124877, SURVIVED
27988304, 124896, SURVIVED
27988304, 124909, SURVIVED
27988304, 124882, SURVIVED
27988354, 14618, SURVIVED
27988304, 124910, SURVIVED
27988304, 14621, KILLED_FAILED
27988304, 124878, SURVIVED
27988304, 124864, SURVIVED
27988304, 124729, SURVIVED
27988304, 14617, KILLED_FAILED
27988374, 14617, SURVIVED
27988354, 14621, SURVIVED
27988374, 14618, SURVIVED
27988374, 14621, SURVIVED
27988375, 14617, SURVIVED
27988375, 14618, SURVIVED
27988375, 14621, SURVIVED
27988398, 14315, SURVIVED
27988398, 14303, SURVIVED
27988398, 14302, SURVIVED
27988398, 14304, SURVIVED
27988398, 14306, SURVIVED
27988336, 94708, SURVIVED
27988398, 14320, SURVIVED
27988398, 14319, SURVIVED
27988398, 14307, SURVIVED
27988398, 14311, SURVIVED
27988336, 94710, SURVIVED
27988398, 14318, SURVIVED
27988398, 14322, SURVIVED
27988398, 14316, SURVIVED
27988398, 14617, SURVIVED
27988398, 14321, SURVIVED
27988398, 14621, SURVIVED
27988379, 14617, SURVIVED
27988313, 14617, SURVIVED
27988313, 14621, SURVIVED
27988313, 14618, SURVIVED
27988386, 14617, SURVIVED
2402011617, 101544, SURVIVED
2402011617, 101561, SURVIVED
2402011617, 101577, SURVIVED
2402011617, 101542, SURVIVED
2402011617, 101546, SURVIVED
2402011617, 101533, SURVIVED
2402011617, 101536, SURVIVED
2402011617, 101578, SURVIVED
2402011617, 101560, SURVIVED
2402011617, 101565, SURVIVED
2402011617, 101540, SURVIVED
2402011617, 101543, SURVIVED
2402011617, 101529, SURVIVED
2402011617, 101537, SURVIVED
2402011617, 101545, SURVIVED
2402011617, 101539, SURVIVED
2402011617, 101528, SURVIVED
2402011617, 101585, SURVIVED
2402011617, 101547, SURVIVED
2402011617, 101548, SURVIVED
2402011676, 101542, SURVIVED
2402011676, 101539, SURVIVED
2402011676, 101543, SURVIVED
2402011676, 101536, SURVIVED
2402011676, 101545, SURVIVED
2402011676, 101537, SURVIVED
2402011676, 101540, SURVIVED
2402011676, 101528, SURVIVED
2402011676, 101533, SURVIVED
2402011643, 112566, SURVIVED
2402011676, 101529, SURVIVED
2402011676, 101544, SURVIVED
2402011676, 101546, SURVIVED
2402011676, 101547, SURVIVED
2402011676, 101560, SURVIVED
2402011676, 101585, SURVIVED
2402011676, 95421, SURVIVED
2402011676, 101578, SURVIVED
2402011676, 101577, SURVIVED
2402011676, 101561, SURVIVED
2402011676, 95428, SURVIVED
2402011676, 101548, SURVIVED
2402011676, 95422, SURVIVED
2402011676, 95425, SURVIVED
