seed, mutant, status
4294869521, 11401, SURVIVED
4294869521, 11402, SURVIVED
4294869521, 11400, SURVIVED
4294869521, 11433, SURVIVED
4294869521, 3032, SURVIVED
4294869521, 11312, SURVIVED
4294869521, 11434, SURVIVED
4294869521, 11475, SURVIVED
4294869521, 11306, SURVIVED
4294869521, 3643, SURVIVED
4294869521, 4370, SURVIVED
4294869521, 11317, SURVIVED
4294869521, 11432, SURVIVED
4294869523, 6893, SURVIVED
4294869523, 6945, SURVIVED
4294869523, 6926, SURVIVED
4294869523, 5386, SURVIVED
4294869523, 6896, SURVIVED
4294869523, 5412, SURVIVED
4294869523, 11312, SURVIVED
4294869523, 5380, SURVIVED
4294869523, 11317, SURVIVED
4294869523, 6948, SURVIVED
4294869523, 6927, SURVIVED
4294869523, 6946, SURVIVED
4294869523, 6925, SURVIVED
4294869523, 6944, SURVIVED
4294869523, 6959, SURVIVED
4294869523, 6949, SURVIVED
4294869523, 6947, SURVIVED
4294869523, 3032, SURVIVED
4294869523, 5379, SURVIVED
4294869523, 3643, SURVIVED
4294869523, 4370, SURVIVED
4294869523, 11306, SURVIVED
4294869506, 4702, SURVIVED
4294869506, 3032, SURVIVED
4294869506, 4370, SURVIVED
4294869506, 11317, SURVIVED
4294869504, 6948, SURVIVED
4294869504, 6947, SURVIVED
4294869506, 3643, SURVIVED
4294869506, 11312, SURVIVED
4294869504, 6946, SURVIVED
4294869504, 6893, SURVIVED
4294869506, 11306, SURVIVED
4294869504, 6927, SURVIVED
4294869504, 11434, SURVIVED
4294869504, 11433, SURVIVED
4294869504, 4370, SURVIVED
4294869504, 11400, SURVIVED
4294869504, 11402, SURVIVED
4294869504, 6945, SURVIVED
4294869504, 6949, SURVIVED
4294869504, 6925, SURVIVED
4294869504, 6896, SURVIVED
4294869504, 11432, SURVIVED
4294869504, 6926, SURVIVED
4294869504, 6944, SURVIVED
4294869504, 11312, SURVIVED
4294869504, 3032, SURVIVED
4294869504, 11401, SURVIVED
4294869504, 6959, SURVIVED
4294869504, 11317, SURVIVED
4294869504, 11475, SURVIVED
4294869504, 3643, SURVIVED
4294869504, 11306, SURVIVED
4294869530, 4225, SURVIVED
4294869530, 4402, SURVIVED
4294869530, 4405, SURVIVED
4294869530, 4407, SURVIVED
4294869530, 4418, SURVIVED
4294869530, 4417, SURVIVED
4294869530, 4450, SURVIVED
4294869530, 4477, SURVIVED
4294869530, 6945, SURVIVED
4294869530, 4549, SURVIVED
4294869530, 4548, SURVIVED
4294869530, 6944, SURVIVED
4294869530, 4664, SURVIVED
4294869530, 6893, SURVIVED
4294869530, 4478, SURVIVED
4294869530, 6926, SURVIVED
4294869530, 4551, SURVIVED
4294869530, 4558, SURVIVED
4294869530, 6927, SURVIVED
4294869530, 6896, SURVIVED
4294869530, 4553, SURVIVED
