seed, mutant, status
3887114828, 696, SURVIVED
3887114828, 35, SURVIVED
3887114800, 35, SURVIVED
3887114800, 493, SURVIVED
3887114828, 372, SURVIVED
3887114828, 493, SURVIVED
3887114811, 493, SURVIVED
3887114800, 696, SURVIVED
3887114800, 372, SURVIVED
3887114830, 372, SURVIVED
3887114811, 372, SURVIVED
3887114805, 372, SURVIVED
3887114805, 493, SURVIVED
3887114825, 372, SURVIVED
3887114825, 35, SURVIVED
3887114825, 696, SURVIVED
3887114811, 696, SURVIVED
3887114811, 35, SURVIVED
3887114825, 493, SURVIVED
3887114830, 493, SURVIVED
3887114805, 35, SURVIVED
3887114805, 696, SURVIVED
3887114801, 493, SURVIVED
3887114830, 35, SURVIVED
3887114801, 696, SURVIVED
3887114830, 696, SURVIVED
3887114801, 372, SURVIVED
3887114801, 35, SURVIVED
3887114823, 372, SURVIVED
3887114823, 35, SURVIVED
3887114823, 696, SURVIVED
3887114823, 493, SURVIVED
3887114833, 372, SURVIVED
3887114833, 35, SURVIVED
3887114833, 493, SURVIVED
3887114803, 493, SURVIVED
3887114803, 372, SURVIVED
3887114816, 35, SURVIVED
3887114803, 35, SURVIVED
3887114833, 696, SURVIVED
3887114816, 493, SURVIVED
3887114816, 696, SURVIVED
3887114803, 696, SURVIVED
3887114816, 372, SURVIVED
3887114820, 35, SURVIVED
3887114814, 372, SURVIVED
3887114820, 372, SURVIVED
3887114814, 35, SURVIVED
3887114814, 493, SURVIVED
3887114814, 696, SURVIVED
3887114820, 493, SURVIVED
3887114820, 696, SURVIVED
3887114827, 372, SURVIVED
3887114827, 35, SURVIVED
3887114827, 696, SURVIVED
3887114827, 493, SURVIVED
3887114810, 35, SURVIVED
3887114837, 35, SURVIVED
3887114812, 372, SURVIVED
3887114812, 35, SURVIVED
3887114810, 696, SURVIVED
3887114837, 493, SURVIVED
3887114810, 493, SURVIVED
3887114810, 372, SURVIVED
3887114837, 696, SURVIVED
3887114837, 372, SURVIVED
3887114812, 493, SURVIVED
3887114812, 696, SURVIVED
3887114826, 493, SURVIVED
3887114826, 372, SURVIVED
3887114826, 35, SURVIVED
3887114826, 696, SURVIVED
3887114835, 35, SURVIVED
3887114835, 493, SURVIVED
3887114835, 696, SURVIVED
3887114835, 372, SURVIVED
3887114807, 35, SURVIVED
3887114802, 372, SURVIVED
3887114802, 493, SURVIVED
3887114807, 372, SURVIVED
3887114802, 35, SURVIVED
3887114802, 696, SURVIVED
3887114807, 696, SURVIVED
3887114831, 35, SURVIVED
3887114807, 493, SURVIVED
3887114831, 696, SURVIVED
3887114831, 493, SURVIVED
3887114829, 493, SURVIVED
3887114831, 372, SURVIVED
3887114829, 35, SURVIVED
3887114829, 696, SURVIVED
3887114829, 372, SURVIVED
3887114813, 493, SURVIVED
3887114821, 35, SURVIVED
3887114813, 35, SURVIVED
3887114821, 493, SURVIVED
3887114821, 696, SURVIVED
3887114821, 372, SURVIVED
3887114813, 372, SURVIVED
3887114813, 696, SURVIVED
3887114862, 35, SURVIVED
3887114862, 372, SURVIVED
3887114819, 493, SURVIVED
3887114862, 493, SURVIVED
3887114822, 35, SURVIVED
3887114819, 696, SURVIVED
3887114819, 35, SURVIVED
3887114819, 372, SURVIVED
3887114862, 696, SURVIVED
3887114822, 372, SURVIVED
3887114808, 35, SURVIVED
3887114822, 493, SURVIVED
3887114822, 696, SURVIVED
3887114808, 493, SURVIVED
3887114808, 372, SURVIVED
3887114808, 696, SURVIVED
3887114855, 35, SURVIVED
3887114818, 372, SURVIVED
3887114818, 35, SURVIVED
3887114855, 372, SURVIVED
3887114818, 696, SURVIVED
3887114818, 493, SURVIVED
3887114855, 493, SURVIVED
3887114855, 696, SURVIVED
3887114806, 35, SURVIVED
3887114806, 372, SURVIVED
3887114806, 696, SURVIVED
3887114806, 493, SURVIVED
3887114815, 35, SURVIVED
3887114815, 372, SURVIVED
3887114815, 493, SURVIVED
3887114815, 696, SURVIVED
3887114844, 35, SURVIVED
3887114832, 35, SURVIVED
3887114844, 372, SURVIVED
3887114844, 493, SURVIVED
3887114844, 696, SURVIVED
3887114824, 372, SURVIVED
3887114832, 372, SURVIVED
3887114832, 696, SURVIVED
3887114832, 493, SURVIVED
3887114824, 493, SURVIVED
3887114809, 493, SURVIVED
3887114824, 35, SURVIVED
3887114809, 372, SURVIVED
3887114809, 35, SURVIVED
3887114824, 696, SURVIVED
3887114848, 35, SURVIVED
3887114848, 372, SURVIVED
3887114848, 696, SURVIVED
3887114809, 696, SURVIVED
3887114848, 493, SURVIVED
3887114860, 35, SURVIVED
3887114860, 372, SURVIVED
3887114856, 35, SURVIVED
3887114843, 35, SURVIVED
3887114856, 696, SURVIVED
3887114856, 372, SURVIVED
3887114856, 493, SURVIVED
3887114860, 493, SURVIVED
3887114843, 372, SURVIVED
3887114860, 696, SURVIVED
3887114843, 493, SURVIVED
3887114843, 696, SURVIVED
3887114841, 372, SURVIVED
3887114841, 35, SURVIVED
3887114863, 35, SURVIVED
3887114841, 493, SURVIVED
3887114841, 696, SURVIVED
3887114859, 35, SURVIVED
3887114859, 493, SURVIVED
3887114863, 372, SURVIVED
3887114863, 493, SURVIVED
3887114859, 696, SURVIVED
3887114859, 372, SURVIVED
3887114863, 696, SURVIVED
3887114852, 35, SURVIVED
3887114852, 372, SURVIVED
3887114852, 696, SURVIVED
3887114852, 493, SURVIVED
3887114894, 372, SURVIVED
3887114894, 35, SURVIVED
3887114894, 493, SURVIVED
3887114861, 35, SURVIVED
3887114861, 372, SURVIVED
3887114894, 696, SURVIVED
3887114861, 493, SURVIVED
3887114861, 696, SURVIVED
3887114854, 35, SURVIVED
3887114854, 372, SURVIVED
3887114854, 493, SURVIVED
3887114851, 35, SURVIVED
3887114854, 696, SURVIVED
3887114851, 372, SURVIVED
3887114834, 372, SURVIVED
3887114851, 493, SURVIVED
3887114851, 696, SURVIVED
