seed, mutant, status
452003507, 1425, SURVIVED
452003507, 1554, SURVIVED
452003507, 1553, SURVIVED
452003507, 1561, SURVIVED
452003507, 1629, SURVIVED
452003507, 1898, SURVIVED
452003507, 1936, SURVIVED
452003507, 1574, SURVIVED
452003507, 1576, SURVIVED
452003505, 1574, SURVIVED
452003505, 1576, SURVIVED
452003505, 1898, SURVIVED
452003505, 1425, SURVIVED
452003505, 1936, SURVIVED
452003505, 1553, SURVIVED
452003505, 1561, SURVIVED
452003505, 1629, SURVIVED
452003505, 1554, SURVIVED
452003501, 1425, SURVIVED
452003501, 1574, SURVIVED
452003501, 1561, SURVIVED
452003501, 1553, SURVIVED
452003501, 1554, SURVIVED
452003500, 1936, SURVIVED
452003500, 1576, SURVIVED
452003500, 1629, SURVIVED
452003500, 1553, SURVIVED
452003500, 1554, SURVIVED
452003500, 1898, SURVIVED
452003500, 1561, SURVIVED
452003500, 1574, SURVIVED
452003500, 1425, SURVIVED
452003501, 1898, SURVIVED
452003501, 1629, SURVIVED
452003501, 1936, SURVIVED
452003501, 1576, SURVIVED
452003501, 1957, SURVIVED
452003508, 1553, SURVIVED
452003508, 1425, SURVIVED
452003508, 1554, SURVIVED
452003508, 1574, SURVIVED
452003508, 1898, SURVIVED
452003508, 1936, SURVIVED
452003508, 1576, SURVIVED
452003508, 1561, SURVIVED
452003508, 1966, SURVIVED
452003508, 1629, SURVIVED
452003508, 1957, SURVIVED
452003501, 1966, SURVIVED
452003527, 1425, SURVIVED
452003527, 1553, SURVIVED
452003527, 1554, SURVIVED
452003527, 1936, SURVIVED
452003527, 1898, SURVIVED
452003527, 1576, SURVIVED
452003527, 1561, SURVIVED
452003527, 1574, SURVIVED
452003527, 1629, SURVIVED
452003527, 1957, SURVIVED
452003521, 1425, SURVIVED
452003527, 1966, SURVIVED
452003521, 1553, SURVIVED
452003521, 1554, SURVIVED
452003521, 1936, SURVIVED
452003521, 1898, SURVIVED
452003529, 1561, SURVIVED
452003521, 1574, SURVIVED
452003521, 1561, SURVIVED
452003521, 1576, SURVIVED
452003529, 1936, SURVIVED
452003521, 1629, SURVIVED
452003529, 1576, SURVIVED
452003529, 1425, SURVIVED
452003529, 1898, SURVIVED
452003529, 1629, SURVIVED
452003529, 1574, SURVIVED
452003529, 1553, SURVIVED
452003529, 1554, SURVIVED
452003529, 1957, SURVIVED
452003521, 1957, SURVIVED
452003521, 1966, SURVIVED
452003529, 1966, SURVIVED
452003514, 1425, SURVIVED
452003514, 1576, SURVIVED
452003514, 1554, SURVIVED
452003514, 1898, SURVIVED
452003514, 1553, SURVIVED
452003514, 1561, SURVIVED
452003518, 1553, SURVIVED
452003518, 1425, SURVIVED
452003514, 1629, SURVIVED
452003514, 1957, SURVIVED
452003514, 1574, SURVIVED
452003518, 1629, SURVIVED
452003518, 1574, SURVIVED
452003518, 1898, SURVIVED
452003518, 1554, SURVIVED
452003518, 1561, SURVIVED
452003518, 1957, SURVIVED
452003518, 1576, SURVIVED
452003514, 1966, SURVIVED
452003514, 1936, SURVIVED
452003518, 1966, SURVIVED
452003510, 209, SURVIVED
452003518, 1936, SURVIVED
452003510, 189, SURVIVED
452003510, 1553, SURVIVED
452003510, 1425, SURVIVED
452003510, 1629, SURVIVED
452003510, 1561, SURVIVED
452003510, 1554, SURVIVED
452003510, 1576, SURVIVED
452003510, 1898, SURVIVED
452003510, 1574, SURVIVED
452003520, 1553, SURVIVED
452003510, 1936, SURVIVED
452003520, 1554, SURVIVED
452003520, 1576, SURVIVED
452003520, 1574, SURVIVED
452003520, 1425, SURVIVED
452003520, 1629, SURVIVED
452003520, 1561, SURVIVED
452003510, 1966, SURVIVED
452003510, 1957, SURVIVED
452003520, 1898, SURVIVED
452003520, 1936, SURVIVED
452003525, 1425, SURVIVED
452003509, 1936, SURVIVED
452003509, 1576, SURVIVED
452003509, 1553, SURVIVED
452003509, 1629, SURVIVED
452003509, 1898, SURVIVED
452003509, 1425, SURVIVED
452003509, 1554, SURVIVED
452003509, 1966, SURVIVED
452003509, 1957, SURVIVED
452003509, 1561, SURVIVED
452003525, 1554, SURVIVED
452003509, 1574, SURVIVED
452003525, 1553, SURVIVED
452003525, 1574, SURVIVED
452003525, 1629, SURVIVED
452003525, 1561, SURVIVED
452003525, 1898, SURVIVED
452003525, 1576, SURVIVED
452003525, 1936, SURVIVED
452003525, 1957, SURVIVED
452003525, 1966, SURVIVED
452003513, 1425, SURVIVED
452003513, 1898, SURVIVED
452003513, 1561, SURVIVED
452003513, 1957, SURVIVED
452003513, 1553, SURVIVED
452003513, 1574, SURVIVED
452003513, 1629, SURVIVED
452003513, 1936, SURVIVED
452003513, 1576, SURVIVED
452003513, 1554, SURVIVED
452003513, 1966, SURVIVED
452003506, 1425, SURVIVED
452003506, 1898, SURVIVED
452003506, 1936, SURVIVED
452003506, 1553, SURVIVED
452003506, 1554, SURVIVED
452003506, 1561, SURVIVED
452003506, 1574, SURVIVED
452003506, 1576, SURVIVED
452003502, 1553, SURVIVED
452003506, 1966, SURVIVED
452003506, 1629, SURVIVED
452003506, 1957, SURVIVED
452003502, 1425, SURVIVED
452003502, 1629, SURVIVED
452003502, 1561, SURVIVED
452003502, 1554, SURVIVED
452003502, 1576, SURVIVED
452003502, 1898, SURVIVED
452003502, 1936, SURVIVED
452003502, 1574, SURVIVED
452003502, 1957, SURVIVED
452003515, 209, SURVIVED
452003515, 1425, SURVIVED
452003515, 189, SURVIVED
452003502, 1966, SURVIVED
452003515, 1561, SURVIVED
452003515, 1553, SURVIVED
