seed, mutant, status
895988305, 1219, SURVIVED
895988305, 1192, SURVIVED
895988305, 1306, SURVIVED
895988305, 1286, SURVIVED
895988305, 1310, SURVIVED
895988305, 1333, SURVIVED
895988305, 1338, SURVIVED
895988305, 893, SURVIVED
895988305, 1224, SURVIVED
895988305, 1342, SURVIVED
895988305, 1301, SURVIVED
895988305, 1336, SURVIVED
895988305, 1334, SURVIVED
895988305, 1343, SURVIVED
895988305, 1318, SURVIVED
895988305, 1274, SURVIVED
895988305, 1222, SURVIVED
895988305, 1253, SURVIVED
895988305, 1304, SURVIVED
895988305, 1302, SURVIVED
895988305, 1256, SURVIVED
895988305, 1311, SURVIVED
895988314, 14, SURVIVED
895988314, 13, SURVIVED
895988314, 50, SURVIVED
895988314, 265, SURVIVED
895988314, 296, SURVIVED
895988314, 286, SURVIVED
895988314, 18, SURVIVED
895988314, 45, SURVIVED
895988314, 318, SURVIVED
895988314, 297, SURVIVED
895988314, 1192, SURVIVED
895988314, 1301, SURVIVED
895988314, 1160, SURVIVED
895988314, 1253, SURVIVED
895988314, 1333, SURVIVED
895988314, 1310, SURVIVED
895988311, 45, SURVIVED
895988314, 1224, SURVIVED
895988314, 893, SURVIVED
895988314, 1256, SURVIVED
895988314, 1219, SURVIVED
895988311, 13, SURVIVED
895988311, 14, SURVIVED
895988311, 50, SURVIVED
895988314, 1286, SURVIVED
895988314, 1302, SURVIVED
895988314, 1311, SURVIVED
895988314, 1222, SURVIVED
895988314, 1306, SURVIVED
895988314, 1274, SURVIVED
895988311, 296, SURVIVED
895988311, 18, SURVIVED
895988311, 286, SURVIVED
895988311, 265, SURVIVED
895988311, 297, SURVIVED
895988314, 1336, SURVIVED
895988314, 1304, SURVIVED
895988314, 1318, SURVIVED
895988314, 1342, SURVIVED
895988314, 1338, SURVIVED
895988314, 1334, SURVIVED
895988314, 1343, SURVIVED
895988311, 893, SURVIVED
895988311, 318, SURVIVED
895988311, 1160, SURVIVED
895988311, 1192, SURVIVED
895988311, 1219, SURVIVED
895988311, 1274, SURVIVED
895988311, 1222, SURVIVED
895988311, 1224, SURVIVED
895988311, 1301, SURVIVED
895988311, 1256, SURVIVED
895988311, 1253, SURVIVED
895988311, 1310, SURVIVED
895988311, 1302, SURVIVED
895988311, 1286, SURVIVED
895988311, 1306, SURVIVED
895988311, 1304, SURVIVED
895988311, 1333, SURVIVED
895988310, 13, SURVIVED
895988311, 1343, SURVIVED
895988311, 1334, SURVIVED
895988311, 1336, SURVIVED
895988311, 1311, SURVIVED
895988311, 1342, SURVIVED
895988310, 18, SURVIVED
895988311, 1338, SURVIVED
895988310, 45, SURVIVED
895988310, 286, SURVIVED
895988310, 50, SURVIVED
895988310, 265, SURVIVED
895988310, 14, SURVIVED
895988310, 296, SURVIVED
895988311, 1318, SURVIVED
895988310, 297, SURVIVED
895988310, 1160, SURVIVED
895988310, 318, SURVIVED
895988310, 893, SURVIVED
895988310, 1192, SURVIVED
895988310, 1256, SURVIVED
895988310, 1219, SURVIVED
895988310, 1222, SURVIVED
895988310, 1274, SURVIVED
895988310, 1253, SURVIVED
895988310, 1224, SURVIVED
895988310, 1286, SURVIVED
895988310, 1304, SURVIVED
895988310, 1338, SURVIVED
895988310, 1311, SURVIVED
895988310, 1301, SURVIVED
895988310, 1310, SURVIVED
895988310, 1318, SURVIVED
895988310, 1302, SURVIVED
895988310, 1306, SURVIVED
895988310, 1336, SURVIVED
895988310, 1333, SURVIVED
895988310, 1334, SURVIVED
895988310, 1342, SURVIVED
895988310, 1343, SURVIVED
895988319, 893, SURVIVED
895988319, 1256, SURVIVED
895988319, 1222, SURVIVED
895988319, 1224, SURVIVED
895988319, 1219, SURVIVED
895988319, 1253, SURVIVED
895988319, 1192, SURVIVED
895988346, 14, SURVIVED
895988346, 13, SURVIVED
895988346, 45, SURVIVED
895988346, 50, SURVIVED
895988346, 18, SURVIVED
895988319, 1301, SURVIVED
895988319, 1286, SURVIVED
895988346, 286, SURVIVED
895988346, 265, SURVIVED
895988346, 296, SURVIVED
895988346, 318, SURVIVED
895988346, 297, SURVIVED
895988319, 1304, SURVIVED
895988319, 1274, SURVIVED
895988319, 1306, SURVIVED
895988319, 1311, SURVIVED
895988319, 1302, SURVIVED
895988319, 1334, SURVIVED
895988319, 1310, SURVIVED
895988319, 1336, SURVIVED
895988319, 1333, SURVIVED
895988319, 1338, SURVIVED
895988319, 1343, SURVIVED
895988319, 1318, SURVIVED
895988346, 1160, SURVIVED
895988346, 893, SURVIVED
895988319, 1342, SURVIVED
895988346, 1192, SURVIVED
895988346, 1224, SURVIVED
895988346, 1219, SURVIVED
895988346, 1253, SURVIVED
895988346, 1222, SURVIVED
895988346, 1256, SURVIVED
895988346, 1286, SURVIVED
895988346, 1302, SURVIVED
895988346, 1274, SURVIVED
895988346, 1301, SURVIVED
895988346, 1304, SURVIVED
895988346, 1306, SURVIVED
895988346, 1334, SURVIVED
895988346, 1318, SURVIVED
895988346, 1311, SURVIVED
895988346, 1333, SURVIVED
895988346, 1310, SURVIVED
895988346, 1336, SURVIVED
895988346, 1338, SURVIVED
895988346, 1342, SURVIVED
895988346, 1343, SURVIVED
895988304, 13, SURVIVED
895988304, 45, SURVIVED
895988304, 50, SURVIVED
895988304, 14, SURVIVED
895988304, 18, SURVIVED
895988304, 297, SURVIVED
895988304, 265, SURVIVED
895988304, 286, SURVIVED
895988304, 1224, SURVIVED
895988304, 1219, SURVIVED
895988304, 296, SURVIVED
895988304, 318, SURVIVED
895988304, 1192, SURVIVED
895988304, 1160, SURVIVED
895988304, 1222, SURVIVED
895988304, 893, SURVIVED
895988304, 1253, SURVIVED
895988304, 1256, SURVIVED
895988304, 1301, SURVIVED
895988304, 1274, SURVIVED
895988304, 1286, SURVIVED
895988304, 1310, SURVIVED
895988304, 1311, SURVIVED
895988304, 1306, SURVIVED
895988304, 1302, SURVIVED
895988304, 1304, SURVIVED
895988304, 1318, SURVIVED
895988304, 1336, SURVIVED
895988304, 1333, SURVIVED
895988304, 1334, SURVIVED
895988304, 1338, SURVIVED
895988304, 1342, SURVIVED
895988304, 1343, SURVIVED
895988342, 13, SURVIVED
895988342, 18, SURVIVED
895988342, 14, SURVIVED
895988342, 45, SURVIVED
895988342, 50, SURVIVED
895988342, 265, SURVIVED
895988342, 296, SURVIVED
895988342, 286, SURVIVED
895988342, 297, SURVIVED
895988327, 1304, SURVIVED
895988327, 1219, SURVIVED
895988342, 318, SURVIVED
895988327, 1192, SURVIVED
895988327, 1256, SURVIVED
895988327, 1301, SURVIVED
895988327, 1253, SURVIVED
895988342, 893, SURVIVED
895988342, 1160, SURVIVED
895988342, 1192, SURVIVED
895988342, 1219, SURVIVED
895988327, 1311, SURVIVED
895988327, 1224, SURVIVED
895988342, 1222, SURVIVED
895988327, 1222, SURVIVED
895988327, 1302, SURVIVED
895988327, 893, SURVIVED
895988327, 1310, SURVIVED
895988327, 1306, SURVIVED
895988327, 1286, SURVIVED
895988342, 1224, SURVIVED
895988327, 1274, SURVIVED
895988342, 1256, SURVIVED
