seed, mutant, status
1729759206, 0, SURVIVED
1729759224, 36, SURVIVED
1729759224, 0, SURVIVED
1729759206, 36, SURVIVED
1729759223, 0, SURVIVED
1729759223, 36, SURVIVED
1729759210, 0, SURVIVED
1729759216, 0, SURVIVED
1729759210, 36, SURVIVED
1729759216, 36, SURVIVED
1729759215, 36, SURVIVED
1729759256, 36, SURVIVED
1729759205, 36, SURVIVED
1729759207, 0, SURVIVED
1729759207, 36, SURVIVED
1729759242, 0, SURVIVED
1729759205, 0, SURVIVED
1729759215, 0, SURVIVED
1729759217, 0, SURVIVED
1729759256, 0, SURVIVED
1729759230, 36, SURVIVED
1729759230, 0, SURVIVED
1729759225, 36, SURVIVED
1729759226, 36, SURVIVED
1729759229, 36, SURVIVED
1729759229, 0, SURVIVED
1729759242, 36, SURVIVED
1729759225, 0, SURVIVED
1729759217, 36, SURVIVED
1729759238, 0, SURVIVED
1729759226, 0, SURVIVED
1729759238, 36, SURVIVED
1729759219, 36, SURVIVED
1729759219, 0, SURVIVED
1729759231, 36, SURVIVED
1729759231, 0, SURVIVED
1729759211, 0, SURVIVED
1729759212, 0, SURVIVED
1729759211, 36, SURVIVED
1729759248, 36, SURVIVED
1729759248, 0, SURVIVED
1729759212, 36, SURVIVED
1729759222, 36, SURVIVED
1729759255, 36, SURVIVED
1729759254, 0, SURVIVED
1729759255, 0, SURVIVED
1729759222, 0, SURVIVED
1729759221, 0, SURVIVED
1729759254, 36, SURVIVED
1729759221, 36, SURVIVED
1729759228, 0, SURVIVED
1729759208, 36, SURVIVED
1729759228, 36, SURVIVED
1729759204, 0, SURVIVED
1729759204, 36, SURVIVED
1729759209, 36, SURVIVED
1729759208, 0, SURVIVED
1729759209, 0, SURVIVED
1729759202, 0, SURVIVED
1729759202, 36, SURVIVED
1729759227, 36, SURVIVED
1729759227, 0, SURVIVED
1729759218, 0, SURVIVED
1729759218, 36, SURVIVED
1729759247, 0, SURVIVED
1729759247, 36, SURVIVED
1729759253, 0, SURVIVED
1729759253, 36, SURVIVED
1729759213, 36, SURVIVED
1729759239, 0, SURVIVED
1729759239, 36, SURVIVED
1729759259, 0, SURVIVED
1729759288, 0, SURVIVED
1729759259, 36, SURVIVED
1729759251, 0, SURVIVED
1729759288, 36, SURVIVED
1729759251, 36, SURVIVED
1729759200, 0, SURVIVED
1729759213, 0, SURVIVED
1729759200, 36, SURVIVED
1729759261, 0, SURVIVED
1729759203, 0, SURVIVED
1729759261, 36, SURVIVED
1729759203, 36, SURVIVED
1729759232, 0, SURVIVED
1729759237, 0, SURVIVED
1729759237, 36, SURVIVED
1729759232, 36, SURVIVED
1729759262, 36, SURVIVED
1729759270, 0, SURVIVED
1729759270, 36, SURVIVED
1729759262, 0, SURVIVED
1729759263, 0, SURVIVED
1729759249, 36, SURVIVED
1729759249, 0, SURVIVED
1729759263, 36, SURVIVED
1729759214, 36, SURVIVED
1729759260, 36, SURVIVED
1729759260, 0, SURVIVED
1729759287, 0, SURVIVED
1729759281, 36, SURVIVED
1729759281, 0, SURVIVED
1729759258, 0, SURVIVED
1729759214, 0, SURVIVED
1729759244, 0, SURVIVED
1729759244, 36, SURVIVED
1729759258, 36, SURVIVED
1729759287, 36, SURVIVED
1729759236, 0, SURVIVED
1729759240, 36, SURVIVED
1729759220, 36, SURVIVED
1729759269, 0, SURVIVED
1729759268, 36, SURVIVED
1729759268, 0, SURVIVED
1729759240, 0, SURVIVED
1729759236, 36, SURVIVED
1729759220, 0, SURVIVED
1729759289, 0, SURVIVED
1729759269, 36, SURVIVED
1729759289, 36, SURVIVED
1729759245, 0, SURVIVED
1729759243, 36, SURVIVED
1729759243, 0, SURVIVED
1729759245, 36, SURVIVED
1729759234, 36, SURVIVED
1729759234, 0, SURVIVED
1729759286, 0, SURVIVED
1729759246, 0, SURVIVED
1729759286, 36, SURVIVED
1729759257, 0, SURVIVED
1729759276, 36, SURVIVED
1729759276, 0, SURVIVED
1729759241, 0, SURVIVED
1729759257, 36, SURVIVED
1729759241, 36, SURVIVED
1729759246, 36, SURVIVED
1729759271, 36, SURVIVED
1729759292, 0, SURVIVED
1729759271, 0, SURVIVED
1729759291, 0, SURVIVED
1729759292, 36, SURVIVED
1729759291, 36, SURVIVED
1729759266, 0, SURVIVED
1729759266, 36, SURVIVED
1729759279, 0, SURVIVED
1729759235, 0, SURVIVED
1729759252, 36, SURVIVED
1729759252, 0, SURVIVED
1729759279, 36, SURVIVED
1729759235, 36, SURVIVED
1729759275, 0, SURVIVED
1729759283, 0, SURVIVED
1729759283, 36, SURVIVED
1729759294, 36, SURVIVED
1729759275, 36, SURVIVED
1729759272, 36, SURVIVED
1729759284, 0, SURVIVED
1729759294, 0, SURVIVED
1729759272, 0, SURVIVED
1729759250, 0, SURVIVED
1729759250, 36, SURVIVED
1729759298, 0, SURVIVED
1729759298, 36, SURVIVED
1729759284, 36, SURVIVED
1729759282, 0, SURVIVED
1729759295, 36, SURVIVED
1729759295, 0, SURVIVED
1729759285, 36, SURVIVED
1729759285, 0, SURVIVED
1729759277, 0, SURVIVED
1729759282, 36, SURVIVED
1729759277, 36, SURVIVED
1729759265, 0, SURVIVED
1729759265, 36, SURVIVED
1729759290, 0, SURVIVED
1729759267, 36, SURVIVED
1729759233, 0, SURVIVED
1729759267, 0, SURVIVED
1729759290, 36, SURVIVED
1729759233, 36, SURVIVED
1729759299, 0, SURVIVED
1729759299, 36, SURVIVED
1729759297, 0, SURVIVED
1729759274, 0, SURVIVED
1729759273, 0, SURVIVED
1729759297, 36, SURVIVED
1729759274, 36, SURVIVED
1729759296, 0, SURVIVED
1729759273, 36, SURVIVED
1729759296, 36, SURVIVED
1729759278, 36, SURVIVED
1729759278, 0, SURVIVED
1729759293, 0, SURVIVED
1729759293, 36, SURVIVED
1729759264, 0, SURVIVED
1729759280, 36, SURVIVED
1729759280, 0, SURVIVED
1729759264, 36, SURVIVED
1729759201, 0, SURVIVED
1729759201, 36, SURVIVED
4269841118, 36, SURVIVED
4269841117, 36, SURVIVED
4269841117, 0, SURVIVED
4269841121, 36, SURVIVED
4269841118, 0, SURVIVED
4269841121, 0, SURVIVED
4269841104, 0, SURVIVED
4269841126, 0, SURVIVED
4269841104, 36, SURVIVED
4269841126, 36, SURVIVED
4269841125, 36, SURVIVED
4269841116, 36, SURVIVED
4269841124, 0, SURVIVED
4269841119, 36, SURVIVED
4269841119, 0, SURVIVED
4269841115, 0, SURVIVED
4269841125, 0, SURVIVED
4269841106, 36, SURVIVED
4269841107, 36, SURVIVED
4269841116, 0, SURVIVED
4269841114, 0, SURVIVED
4269841107, 0, SURVIVED
4269841106, 0, SURVIVED
4269841100, 36, SURVIVED
4269841124, 36, SURVIVED
4269841114, 36, SURVIVED
4269841100, 0, SURVIVED
4269841115, 36, SURVIVED
4269841112, 0, SURVIVED
4269841113, 36, SURVIVED
4269841113, 0, SURVIVED
4269841112, 36, SURVIVED
4269841127, 36, SURVIVED
4269841127, 0, SURVIVED
4269841131, 0, SURVIVED
4269841120, 0, SURVIVED
4269841132, 0, SURVIVED
4269841158, 36, SURVIVED
4269841120, 36, SURVIVED
4269841131, 36, SURVIVED
4269841132, 36, SURVIVED
4269841130, 36, SURVIVED
4269841158, 0, SURVIVED
4269841130, 0, SURVIVED
4269841101, 36, SURVIVED
4269841101, 0, SURVIVED
4269841149, 36, SURVIVED
4269841110, 36, SURVIVED
4269841110, 0, SURVIVED
4269841109, 36, SURVIVED
4269841109, 0, SURVIVED
4269841149, 0, SURVIVED
4269841150, 0, SURVIVED
4269841150, 36, SURVIVED
4269841103, 0, SURVIVED
4269841111, 36, SURVIVED
4269841111, 0, SURVIVED
4269841103, 36, SURVIVED
4269841144, 0, SURVIVED
4269841153, 36, SURVIVED
4269841105, 0, SURVIVED
4269841153, 0, SURVIVED
4269841138, 0, SURVIVED
4269841163, 36, SURVIVED
4269841144, 36, SURVIVED
4269841163, 0, SURVIVED
4269841138, 36, SURVIVED
4269841108, 0, SURVIVED
4269841105, 36, SURVIVED
4269841108, 36, SURVIVED
4269841133, 0, SURVIVED
4269841133, 36, SURVIVED
4269841152, 36, SURVIVED
4269841148, 0, SURVIVED
4269841148, 36, SURVIVED
4269841143, 36, SURVIVED
4269841143, 0, SURVIVED
4269841152, 0, SURVIVED
4269841162, 0, SURVIVED
4269841162, 36, SURVIVED
4269841156, 0, SURVIVED
4269841156, 36, SURVIVED
4269841164, 0, SURVIVED
4269841164, 36, SURVIVED
4269841129, 0, SURVIVED
4269841159, 0, SURVIVED
4269841159, 36, SURVIVED
4269841129, 36, SURVIVED
4269841176, 36, SURVIVED
4269841176, 0, SURVIVED
4269841128, 36, SURVIVED
4269841146, 36, SURVIVED
4269841136, 0, SURVIVED
4269841157, 0, SURVIVED
4269841128, 0, SURVIVED
4269841182, 36, SURVIVED
4269841182, 0, SURVIVED
4269841157, 36, SURVIVED
4269841136, 36, SURVIVED
4269841160, 0, SURVIVED
4269841160, 36, SURVIVED
4269841184, 0, SURVIVED
4269841168, 0, SURVIVED
4269841184, 36, SURVIVED
4269841146, 0, SURVIVED
4269841168, 36, SURVIVED
4269841145, 36, SURVIVED
4269841145, 0, SURVIVED
4269841147, 0, SURVIVED
4269841147, 36, SURVIVED
4269841190, 0, SURVIVED
4269841137, 0, SURVIVED
4269841165, 36, SURVIVED
4269841165, 0, SURVIVED
4269841190, 36, SURVIVED
4269841137, 36, SURVIVED
4269841183, 36, SURVIVED
4269841142, 36, SURVIVED
4269841177, 0, SURVIVED
4269841177, 36, SURVIVED
4269841172, 36, SURVIVED
4269841172, 0, SURVIVED
4269841183, 0, SURVIVED
4269841142, 0, SURVIVED
4269841189, 36, SURVIVED
4269841189, 0, SURVIVED
4269841169, 0, SURVIVED
4269841170, 36, SURVIVED
4269841169, 36, SURVIVED
4269841170, 0, SURVIVED
4269841154, 0, SURVIVED
4269841154, 36, SURVIVED
4269841141, 36, SURVIVED
4269841194, 0, SURVIVED
4269841141, 0, SURVIVED
4269841139, 36, SURVIVED
4269841139, 0, SURVIVED
4269841140, 36, SURVIVED
4269841179, 36, SURVIVED
4269841194, 36, SURVIVED
4269841140, 0, SURVIVED
4269841179, 0, SURVIVED
4269841171, 0, SURVIVED
4269841171, 36, SURVIVED
4269841175, 36, SURVIVED
4269841174, 0, SURVIVED
4269841151, 0, SURVIVED
4269841151, 36, SURVIVED
4269841175, 0, SURVIVED
4269841180, 36, SURVIVED
4269841180, 0, SURVIVED
4269841174, 36, SURVIVED
4269841195, 36, SURVIVED
4269841197, 36, SURVIVED
4269841195, 0, SURVIVED
4269841197, 0, SURVIVED
4269841173, 36, SURVIVED
4269841196, 0, SURVIVED
4269841196, 36, SURVIVED
4269841173, 0, SURVIVED
4269841191, 36, SURVIVED
4269841191, 0, SURVIVED
4269841199, 0, SURVIVED
4269841199, 36, SURVIVED
4269841134, 0, SURVIVED
4269841134, 36, SURVIVED
4269841187, 0, SURVIVED
4269841186, 0, SURVIVED
4269841188, 0, SURVIVED
4269841186, 36, SURVIVED
4269841187, 36, SURVIVED
4269841155, 36, SURVIVED
4269841155, 0, SURVIVED
4269841192, 36, SURVIVED
4269841188, 36, SURVIVED
4269841192, 0, SURVIVED
4269841167, 36, SURVIVED
4269841167, 0, SURVIVED
4269841178, 36, SURVIVED
4269841193, 36, SURVIVED
4269841178, 0, SURVIVED
4269841193, 0, SURVIVED
4269841122, 36, SURVIVED
4269841122, 0, SURVIVED
4269841198, 0, SURVIVED
