seed, mutant, status
499713906, 2401, SURVIVED
499713988, 2401, SURVIVED
499713906, 2400, SURVIVED
499713988, 2400, SURVIVED
499713957, 2401, SURVIVED
499713957, 2400, SURVIVED
499713909, 2401, SURVIVED
499713900, 2401, SURVIVED
499713900, 2400, SURVIVED
499713909, 2400, SURVIVED
499713973, 2401, SURVIVED
499713915, 2400, SURVIVED
499713915, 2401, SURVIVED
499713973, 2400, SURVIVED
499713927, 2400, SURVIVED
499713927, 2401, SURVIVED
499713966, 2400, SURVIVED
499713968, 2400, SURVIVED
499713968, 2401, SURVIVED
499713966, 2401, SURVIVED
499713994, 2401, SURVIVED
499713980, 2400, SURVIVED
499713980, 2401, SURVIVED
499713941, 2401, SURVIVED
499713974, 2401, SURVIVED
499713994, 2400, SURVIVED
499713986, 2400, SURVIVED
499713986, 2401, SURVIVED
499713941, 2400, SURVIVED
499713974, 2400, SURVIVED
499713960, 2400, SURVIVED
499713983, 2400, SURVIVED
499713960, 2401, SURVIVED
499713983, 2401, SURVIVED
499713967, 2401, SURVIVED
499713967, 2400, SURVIVED
499713939, 2400, SURVIVED
499713939, 2401, SURVIVED
499713936, 2400, SURVIVED
499713936, 2401, SURVIVED
3603252717, 2401, SURVIVED
3603252717, 2400, SURVIVED
3603252709, 2401, SURVIVED
3603252709, 2400, SURVIVED
3603252752, 2401, SURVIVED
3603252752, 2400, SURVIVED
3603252708, 2401, SURVIVED
3603252708, 2400, SURVIVED
3603252737, 2400, SURVIVED
3603252737, 2401, SURVIVED
3603252750, 2401, SURVIVED
3603252701, 2401, SURVIVED
3603252704, 2400, SURVIVED
3603252701, 2400, SURVIVED
3603252750, 2400, SURVIVED
3603252726, 2400, SURVIVED
3603252704, 2401, SURVIVED
3603252710, 2400, SURVIVED
3603252726, 2401, SURVIVED
3603252710, 2401, SURVIVED
3603252733, 2400, SURVIVED
3603252733, 2401, SURVIVED
3603252763, 2401, SURVIVED
3603252763, 2400, SURVIVED
3603252782, 2401, SURVIVED
3603252767, 2400, SURVIVED
3603252767, 2401, SURVIVED
3603252782, 2400, SURVIVED
3603252714, 2400, SURVIVED
3603252776, 2400, SURVIVED
3603252776, 2401, SURVIVED
3603252714, 2401, SURVIVED
3603252724, 2401, SURVIVED
3603252796, 2400, SURVIVED
3603252751, 2400, SURVIVED
3603252795, 2401, SURVIVED
3603252795, 2400, SURVIVED
3603252724, 2400, SURVIVED
3603252770, 2400, SURVIVED
3603252760, 2401, SURVIVED
3603252775, 2400, SURVIVED
3603252775, 2401, SURVIVED
3603252760, 2400, SURVIVED
3603252796, 2401, SURVIVED
3603252770, 2401, SURVIVED
3603252744, 2401, SURVIVED
3603252751, 2401, SURVIVED
3603252744, 2400, SURVIVED
3603252753, 2400, SURVIVED
3603252753, 2401, SURVIVED
1413008025, 2401, SURVIVED
1413008025, 2400, SURVIVED
1413008042, 2400, SURVIVED
1413008018, 2400, SURVIVED
1413008056, 2401, SURVIVED
1413008042, 2401, SURVIVED
1413008056, 2400, SURVIVED
1413008018, 2401, SURVIVED
1413008068, 2401, SURVIVED
1413008039, 2400, SURVIVED
1413008058, 2400, SURVIVED
1413008058, 2401, SURVIVED
1413008068, 2400, SURVIVED
1413008039, 2401, SURVIVED
1413008008, 2401, SURVIVED
1413008008, 2400, SURVIVED
1413008003, 2401, SURVIVED
1413008022, 2400, SURVIVED
1413008000, 2400, SURVIVED
1413008003, 2400, SURVIVED
1413008073, 2400, SURVIVED
1413008073, 2401, SURVIVED
1413008000, 2401, SURVIVED
1413008022, 2401, SURVIVED
1413008012, 2400, SURVIVED
1413008012, 2401, SURVIVED
1413008035, 2400, SURVIVED
1413008035, 2401, SURVIVED
1413008043, 2401, SURVIVED
1413008047, 2400, SURVIVED
1413008043, 2400, SURVIVED
1413008014, 2401, SURVIVED
1413008047, 2401, SURVIVED
1413008014, 2400, SURVIVED
1413008070, 2400, SURVIVED
1413008070, 2401, SURVIVED
1413008021, 2401, SURVIVED
1413008021, 2400, SURVIVED
1413008077, 2401, SURVIVED
1413008077, 2400, SURVIVED
1413008093, 2401, SURVIVED
1413008093, 2400, SURVIVED
1413008090, 2400, SURVIVED
1413008090, 2401, SURVIVED
1413008087, 2400, SURVIVED
1413008087, 2401, SURVIVED
1413008016, 2400, SURVIVED
1413008016, 2401, SURVIVED
1413008067, 2401, SURVIVED
1413008067, 2400, SURVIVED
4092327001, 2400, SURVIVED
4092327022, 2400, SURVIVED
4092327022, 2401, SURVIVED
4092327001, 2401, SURVIVED
4092327027, 2400, SURVIVED
4092327006, 2400, SURVIVED
4092327031, 2400, SURVIVED
4092327040, 2401, SURVIVED
4092327038, 2400, SURVIVED
4092327027, 2401, SURVIVED
4092327038, 2401, SURVIVED
4092327006, 2401, SURVIVED
4092327033, 2400, SURVIVED
4092327040, 2400, SURVIVED
4092327033, 2401, SURVIVED
4092327031, 2401, SURVIVED
4092327029, 2401, SURVIVED
4092327043, 2400, SURVIVED
4092327029, 2400, SURVIVED
4092327009, 2401, SURVIVED
4092327055, 2401, SURVIVED
4092327024, 2401, SURVIVED
4092327041, 2401, SURVIVED
4092327043, 2401, SURVIVED
4092327009, 2400, SURVIVED
4092327024, 2400, SURVIVED
4092327055, 2400, SURVIVED
4092327057, 2401, SURVIVED
4092327057, 2400, SURVIVED
4092327041, 2400, SURVIVED
4092327059, 2401, SURVIVED
4092327066, 2400, SURVIVED
4092327025, 2401, SURVIVED
4092327077, 2400, SURVIVED
4092327090, 2400, SURVIVED
4092327077, 2401, SURVIVED
4092327066, 2401, SURVIVED
4092327059, 2400, SURVIVED
4092327063, 2401, SURVIVED
4092327090, 2401, SURVIVED
4092327063, 2400, SURVIVED
4092327025, 2400, SURVIVED
4092327089, 2400, SURVIVED
4092327089, 2401, SURVIVED
4092327052, 2400, SURVIVED
4092327052, 2401, SURVIVED
533457957, 2400, SURVIVED
533457957, 2401, SURVIVED
533457977, 2400, SURVIVED
533457901, 2400, SURVIVED
533457901, 2401, SURVIVED
533457977, 2401, SURVIVED
533457933, 2401, SURVIVED
533457958, 2401, SURVIVED
533457930, 2401, SURVIVED
533457958, 2400, SURVIVED
533457933, 2400, SURVIVED
533457952, 2401, SURVIVED
533457956, 2401, SURVIVED
533457991, 2400, SURVIVED
533457991, 2401, SURVIVED
533457930, 2400, SURVIVED
533457959, 2401, SURVIVED
533457952, 2400, SURVIVED
533457973, 2401, SURVIVED
533457961, 2401, SURVIVED
533457956, 2400, SURVIVED
533457993, 2401, SURVIVED
533457993, 2400, SURVIVED
533457973, 2400, SURVIVED
