seed, mutant, status
2604117707, 201, SURVIVED
2604117707, 197, SURVIVED
2604117707, 200, SURVIVED
2604117723, 200, SURVIVED
2604117723, 315, SURVIVED
2604117723, 356, SURVIVED
2604117723, 197, SURVIVED
2604117723, 233, SURVIVED
2604117723, 341, SURVIVED
2604117723, 324, SURVIVED
2604117723, 338, SURVIVED
2604117723, 201, SURVIVED
2604117723, 232, SURVIVED
2604117712, 197, SURVIVED
2604117723, 370, SURVIVED
2604117723, 281, SURVIVED
2604117723, 374, SURVIVED
2604117723, 636, SURVIVED
2604117723, 342, SURVIVED
2604117723, 229, SURVIVED
2604117723, 371, SURVIVED
2604117723, 313, SURVIVED
2604117723, 373, SURVIVED
2604117723, 283, SURVIVED
2604117712, 200, SURVIVED
2604117723, 339, SURVIVED
2604117712, 201, SURVIVED
2604117700, 232, SURVIVED
2604117700, 201, SURVIVED
2604117700, 200, SURVIVED
2604117700, 229, SURVIVED
2604117700, 197, SURVIVED
2604117700, 281, SURVIVED
2604117700, 283, SURVIVED
2604117700, 233, SURVIVED
2604117700, 338, SURVIVED
2604117700, 313, SURVIVED
2604117700, 324, SURVIVED
2604117700, 339, SURVIVED
2604117700, 315, SURVIVED
2604117700, 341, SURVIVED
2604117700, 370, SURVIVED
2604117724, 232, SURVIVED
2604117700, 356, SURVIVED
2604117700, 342, SURVIVED
2604117724, 197, SURVIVED
2604117700, 371, SURVIVED
2604117724, 324, SURVIVED
2604117724, 281, SURVIVED
2604117724, 201, SURVIVED
2604117724, 341, SURVIVED
2604117724, 283, SURVIVED
2604117724, 229, SURVIVED
2604117724, 233, SURVIVED
2604117724, 200, SURVIVED
2604117724, 342, SURVIVED
2604117724, 313, SURVIVED
2604117700, 374, SURVIVED
2604117724, 339, SURVIVED
2604117724, 315, SURVIVED
2604117700, 373, SURVIVED
2604117724, 338, SURVIVED
2604117700, 636, SURVIVED
2604117724, 356, SURVIVED
2604117724, 370, SURVIVED
2604117724, 371, SURVIVED
2604117744, 197, SURVIVED
2604117759, 201, SURVIVED
2604117744, 200, SURVIVED
2604117759, 200, SURVIVED
2604117744, 229, SURVIVED
2604117744, 201, SURVIVED
2604117744, 232, SURVIVED
2604117759, 197, SURVIVED
2604117744, 281, SURVIVED
2604117750, 201, SURVIVED
2604117750, 200, SURVIVED
2604117724, 373, SURVIVED
2604117744, 233, SURVIVED
2604117744, 283, SURVIVED
2604117750, 197, SURVIVED
2604117744, 313, SURVIVED
2604117724, 636, SURVIVED
2604117724, 374, SURVIVED
2604117744, 315, SURVIVED
2604117744, 341, SURVIVED
2604117744, 324, SURVIVED
2604117744, 370, SURVIVED
2604117744, 339, SURVIVED
2604117744, 374, SURVIVED
2604117744, 338, SURVIVED
2604117744, 342, SURVIVED
2604117744, 371, SURVIVED
2604117744, 373, SURVIVED
2604117744, 356, SURVIVED
2604117744, 636, SURVIVED
2604117757, 197, SURVIVED
2604117757, 200, SURVIVED
2604117768, 197, SURVIVED
2604117768, 201, SURVIVED
2604117768, 200, SURVIVED
2604117757, 201, SURVIVED
2604117745, 200, SURVIVED
2604117745, 283, SURVIVED
2604117745, 232, SURVIVED
2604117745, 197, SURVIVED
2604117745, 281, SURVIVED
2604117745, 229, SURVIVED
2604117745, 233, SURVIVED
2604117745, 201, SURVIVED
2604117745, 338, SURVIVED
2604117745, 341, SURVIVED
2604117745, 313, SURVIVED
2604117745, 324, SURVIVED
2604117745, 315, SURVIVED
2604117745, 339, SURVIVED
2604117745, 342, SURVIVED
2604117745, 374, SURVIVED
2604117745, 370, SURVIVED
2604117745, 356, SURVIVED
2604117745, 636, SURVIVED
2604117745, 373, SURVIVED
2604117745, 371, SURVIVED
2604117764, 197, SURVIVED
2604117764, 229, SURVIVED
2604117764, 200, SURVIVED
2604117764, 232, SURVIVED
2604117764, 201, SURVIVED
2604117771, 197, SURVIVED
2604117764, 281, SURVIVED
2604117764, 283, SURVIVED
2604117771, 200, SURVIVED
2604117764, 313, SURVIVED
2604117764, 233, SURVIVED
2604117761, 197, SURVIVED
2604117761, 200, SURVIVED
2604117761, 201, SURVIVED
2604117764, 315, SURVIVED
2604117764, 339, SURVIVED
2604117764, 356, SURVIVED
2604117764, 338, SURVIVED
2604117764, 324, SURVIVED
2604117771, 201, SURVIVED
2604117764, 341, SURVIVED
2604117764, 370, SURVIVED
2604117764, 342, SURVIVED
2604117764, 371, SURVIVED
2604117764, 373, SURVIVED
2604117764, 374, SURVIVED
2604117764, 636, SURVIVED
2604117797, 197, SURVIVED
2604117797, 232, SURVIVED
2604117797, 200, SURVIVED
2604117797, 201, SURVIVED
2604117797, 233, SURVIVED
2604117797, 229, SURVIVED
2604117797, 281, SURVIVED
2604117797, 313, SURVIVED
2604117797, 283, SURVIVED
2604117797, 324, SURVIVED
2604117797, 315, SURVIVED
2604117797, 338, SURVIVED
2604117797, 339, SURVIVED
2604117797, 371, SURVIVED
2604117797, 342, SURVIVED
2604117797, 636, SURVIVED
2604117797, 370, SURVIVED
2604117797, 374, SURVIVED
2604117797, 341, SURVIVED
