seed, mutant, status
3508479409, 18232, SURVIVED
3508479409, 18004, SURVIVED
3508479409, 18944, SURVIVED
3508479409, 18926, SURVIVED
3508479409, 3073, SURVIVED
3508479409, 17977, SURVIVED
3508479409, 18200, SURVIVED
3508479409, 18259, SURVIVED
3508479409, 1405, SURVIVED
3508479409, 18251, SURVIVED
3508479409, 17971, SURVIVED
3508479409, 1402, SURVIVED
3508479409, 19248, SURVIVED
3508479409, 3094, SURVIVED
3508479409, 3079, SURVIVED
3508479409, 17945, SURVIVED
3508479409, 3076, SURVIVED
3508479409, 1406, SURVIVED
3508479409, 18971, SURVIVED
3508479409, 18238, SURVIVED
3508479409, 19245, SURVIVED
3508479409, 3080, SURVIVED
3508479409, 18241, SURVIVED
3508479409, 19003, SURVIVED
3508479409, 18273, SURVIVED
3508479409, 18237, SURVIVED
3508479409, 19484, SURVIVED
3508479409, 3075, SURVIVED
3508479409, 3077, SURVIVED
3508479409, 18860, SURVIVED
3508479409, 18175, SURVIVED
3508479409, 18484, SURVIVED
3508479409, 19545, SURVIVED
3508479409, 19516, SURVIVED
3508479409, 19954, SURVIVED
3508479409, 19938, SURVIVED
3508479420, 19545, SURVIVED
3508479409, 19471, SURVIVED
3508479420, 18241, SURVIVED
3508479420, 17977, SURVIVED
3508479420, 8668, SURVIVED
3508479420, 8712, SURVIVED
3508479409, 19991, SURVIVED
3508479409, 19399, SURVIVED
3508479409, 19922, SURVIVED
3508479420, 8641, SURVIVED
3508479420, 8673, SURVIVED
3508479420, 1415, SURVIVED
3508479420, 8715, SURVIVED
3508479420, 8716, SURVIVED
3508479420, 18273, SURVIVED
3508479420, 18259, SURVIVED
3508479420, 1402, SURVIVED
3508479420, 9556, SURVIVED
3508479420, 1406, SURVIVED
3508479420, 1300, SURVIVED
3508479420, 9558, SURVIVED
3508479420, 8827, SURVIVED
3508479420, 8714, SURVIVED
3508479420, 8700, SURVIVED
3508479420, 1280, SURVIVED
3508479420, 8639, SURVIVED
3508479420, 1405, SURVIVED
3508479420, 8808, SURVIVED
3508479420, 9668, SURVIVED
3508479420, 17945, SURVIVED
3508479420, 1541, SURVIVED
3508479420, 1549, SURVIVED
3508479420, 17971, SURVIVED
3508479420, 1610, SURVIVED
3508479420, 18238, SURVIVED
3508479420, 18237, SURVIVED
3508479420, 1911, SURVIVED
3508479420, 1753, SURVIVED
3508479420, 18484, SURVIVED
3508479420, 1785, SURVIVED
3508479420, 1879, SURVIVED
3508479420, 18200, SURVIVED
3508479420, 18251, SURVIVED
3508479420, 18860, SURVIVED
3508479420, 2651, SURVIVED
3508479420, 2652, SURVIVED
3508479420, 2687, SURVIVED
3508479420, 2686, SURVIVED
3508479420, 2684, SURVIVED
3508479420, 2629, SURVIVED
3508479420, 2630, SURVIVED
3508479420, 19245, SURVIVED
3508479420, 2677, SURVIVED
3508479420, 18004, SURVIVED
3508479420, 18926, SURVIVED
3508479420, 2625, SURVIVED
3508479420, 2683, SURVIVED
3508479420, 2645, SURVIVED
3508479420, 18944, SURVIVED
3508479420, 2626, SURVIVED
3508479420, 19248, SURVIVED
3508479420, 19003, SURVIVED
3508479420, 3075, SURVIVED
3508479420, 3073, SURVIVED
3508479420, 3076, SURVIVED
3508479420, 3077, SURVIVED
3508479420, 3080, SURVIVED
3508479420, 3079, SURVIVED
3508479420, 3289, SURVIVED
3508479420, 3290, SURVIVED
3508479420, 19484, SURVIVED
3508479420, 3320, SURVIVED
3508479420, 19516, SURVIVED
3508479420, 3094, SURVIVED
3508479420, 3365, SURVIVED
3508479420, 21942, SURVIVED
3508479420, 20831, SURVIVED
3508479420, 20850, SURVIVED
3508479420, 19991, SURVIVED
3508479420, 19954, SURVIVED
3508479420, 20857, SURVIVED
3508479420, 20853, SURVIVED
3508479420, 20841, SURVIVED
3508479420, 20846, SURVIVED
3508479420, 19938, SURVIVED
3508479420, 20833, SURVIVED
3508479420, 20825, SURVIVED
3508479420, 20829, SURVIVED
3508479420, 20824, SURVIVED
3508479420, 3322, SURVIVED
3508479420, 19922, SURVIVED
3508479420, 3321, SURVIVED
3508479420, 20861, SURVIVED
3508479420, 20862, SURVIVED
3508479420, 20863, SURVIVED
3508479420, 21032, SURVIVED
3508479420, 21033, SURVIVED
3508479420, 20866, SURVIVED
3508479420, 20928, SURVIVED
3508479420, 20864, SURVIVED
3508479420, 21036, SURVIVED
3508479420, 19399, SURVIVED
3508479420, 5336, SURVIVED
3508479420, 22017, SURVIVED
3508479420, 18971, SURVIVED
3508479420, 22018, SURVIVED
3508479420, 22029, SURVIVED
3508479420, 22035, SURVIVED
3508479420, 22022, SURVIVED
3508479420, 22024, SURVIVED
3508479420, 22030, SURVIVED
3508479420, 22023, SURVIVED
3508479420, 22019, SURVIVED
3508479420, 22020, SURVIVED
3508479420, 22037, SURVIVED
3508479420, 22038, SURVIVED
3508479420, 22052, SURVIVED
3508479420, 22047, SURVIVED
3508479420, 22042, SURVIVED
3508479420, 22049, SURVIVED
3508479420, 22041, SURVIVED
3508479420, 22040, SURVIVED
3508479420, 22051, SURVIVED
3508479420, 22050, SURVIVED
3508479420, 22054, SURVIVED
3508479420, 22056, SURVIVED
3508479420, 22069, SURVIVED
3508479420, 22070, SURVIVED
3508479420, 22062, SURVIVED
3508479420, 22067, SURVIVED
3508479420, 22055, SURVIVED
3508479420, 22061, SURVIVED
3508479420, 22074, SURVIVED
3508479420, 22079, SURVIVED
3508479420, 22134, SURVIVED
3508479420, 22102, SURVIVED
3508479420, 22072, SURVIVED
3508479420, 22073, SURVIVED
3508479420, 22145, SURVIVED
3508479420, 22148, SURVIVED
3508479420, 23023, SURVIVED
3508479420, 18175, SURVIVED
3508479420, 22991, SURVIVED
3508479420, 22147, SURVIVED
3508479420, 22144, SURVIVED
3508479420, 22146, SURVIVED
3508479420, 7498, SURVIVED
3508479420, 21878, SURVIVED
3508479420, 19471, SURVIVED
3508479420, 18232, SURVIVED
3508479420, 7499, SURVIVED
3508479420, 7827, SURVIVED
3508479420, 6797, SURVIVED
3508479412, 462, SURVIVED
3508479412, 400, SURVIVED
3508479412, 497, SURVIVED
3508479412, 1042, SURVIVED
3508479412, 1406, SURVIVED
3508479412, 1405, SURVIVED
3508479412, 1074, SURVIVED
3508479412, 1402, SURVIVED
3508479412, 1280, SURVIVED
3508479412, 1088, SURVIVED
3508479412, 1300, SURVIVED
3508479412, 1486, SURVIVED
3508479412, 1480, SURVIVED
3508479412, 1483, SURVIVED
3508479412, 1415, SURVIVED
3508479412, 1485, SURVIVED
3508479412, 1476, SURVIVED
3508479412, 1447, SURVIVED
3508479412, 2504, SURVIVED
3508479412, 1549, SURVIVED
3508479412, 1753, SURVIVED
3508479412, 1541, SURVIVED
3508479412, 2073, SURVIVED
3508479412, 2519, SURVIVED
3508479412, 1785, SURVIVED
3508479412, 2497, SURVIVED
3508479412, 2084, SURVIVED
3508479412, 1879, SURVIVED
3508479412, 1610, SURVIVED
3508479412, 1911, SURVIVED
3508479412, 2056, SURVIVED
3508479412, 2522, SURVIVED
3508479412, 2524, SURVIVED
3508479412, 2529, SURVIVED
3508479412, 2536, SURVIVED
3508479412, 2556, SURVIVED
3508479412, 2626, SURVIVED
3508479412, 2630, SURVIVED
3508479412, 2625, SURVIVED
3508479412, 2651, SURVIVED
3508479412, 2629, SURVIVED
3508479412, 2652, SURVIVED
3508479412, 2683, SURVIVED
3508479412, 2645, SURVIVED
3508479412, 2677, SURVIVED
3508479412, 2686, SURVIVED
3508479412, 2687, SURVIVED
3508479412, 2684, SURVIVED
3508479412, 3075, SURVIVED
3508479412, 3076, SURVIVED
3508479412, 3073, SURVIVED
3508479412, 3365, SURVIVED
3508479412, 3080, SURVIVED
3508479412, 3322, SURVIVED
3508479412, 3094, SURVIVED
3508479412, 3079, SURVIVED
3508479412, 3077, SURVIVED
3508479412, 3289, SURVIVED
3508479412, 5106, SURVIVED
3508479412, 5327, SURVIVED
3508479412, 5336, SURVIVED
3508479412, 3320, SURVIVED
3508479412, 3321, SURVIVED
3508479412, 3290, SURVIVED
3508479412, 5374, SURVIVED
3508479412, 5359, SURVIVED
3508479412, 6671, SURVIVED
3508479412, 8700, SURVIVED
3508479412, 8641, SURVIVED
3508479412, 7498, SURVIVED
3508479412, 6804, SURVIVED
3508479412, 6797, SURVIVED
3508479412, 6709, SURVIVED
3508479412, 8668, SURVIVED
3508479412, 8715, SURVIVED
3508479412, 7499, SURVIVED
3508479412, 8673, SURVIVED
3508479412, 7827, SURVIVED
3508479412, 8639, SURVIVED
3508479412, 8712, SURVIVED
3508479412, 8714, SURVIVED
3508479412, 8716, SURVIVED
3508479412, 8808, SURVIVED
3508479412, 9668, SURVIVED
3508479412, 8827, SURVIVED
3508479412, 9556, SURVIVED
3508479412, 15211, SURVIVED
3508479412, 15212, SURVIVED
3508479412, 10942, SURVIVED
3508479412, 15218, SURVIVED
3508479412, 9558, SURVIVED
3508479412, 15217, SURVIVED
3508479412, 15225, SURVIVED
3508479412, 15275, SURVIVED
3508479412, 15323, SURVIVED
3508479412, 15327, SURVIVED
3508479412, 15606, SURVIVED
3508479412, 15610, SURVIVED
3508479412, 15607, SURVIVED
3508479412, 15616, SURVIVED
3508479412, 15635, SURVIVED
3508479412, 15617, SURVIVED
3508479412, 15614, SURVIVED
3508479412, 15619, SURVIVED
3508479412, 15651, SURVIVED
3508479412, 15648, SURVIVED
3508479412, 16578, SURVIVED
3508479412, 16402, SURVIVED
3508479412, 16405, SURVIVED
3508479412, 16434, SURVIVED
3508479412, 15649, SURVIVED
3508479412, 16437, SURVIVED
3508479412, 16550, SURVIVED
3508479412, 16580, SURVIVED
3508479412, 16581, SURVIVED
3508479412, 16606, SURVIVED
3508479412, 16605, SURVIVED
3508479412, 16604, SURVIVED
3508479412, 16598, SURVIVED
3508479412, 16600, SURVIVED
3508479412, 16603, SURVIVED
3508479412, 16609, SURVIVED
3508479412, 16612, SURVIVED
3508479412, 16608, SURVIVED
