seed, mutant, status
1614075911, 1746, SURVIVED
1614075911, 1742, SURVIVED
1614075911, 1749, SURVIVED
1614075911, 1730, SURVIVED
1614075911, 1752, SURVIVED
1614075911, 1525, SURVIVED
1614075911, 1494, SURVIVED
1614075911, 1733, SURVIVED
1614075911, 1728, SURVIVED
1614075911, 1324, SURVIVED
1614075911, 1327, SURVIVED
1614075911, 1751, SURVIVED
1614075911, 1528, SURVIVED
1614075911, 1496, SURVIVED
1614075911, 1741, SURVIVED
1614075911, 1497, SURVIVED
1614075911, 1737, SURVIVED
1614075911, 1671, SURVIVED
1614075911, 1692, SURVIVED
1614075911, 1326, SURVIVED
1614075911, 1738, SURVIVED
1614075911, 1529, SURVIVED
1614075911, 1732, SURVIVED
1614075911, 1508, SURVIVED
1614075911, 1526, SURVIVED
1614075911, 1731, SURVIVED
1614075911, 1724, SURVIVED
1614075911, 1729, SURVIVED
1614075911, 1493, SURVIVED
1614075911, 1518, SURVIVED
1614075911, 1725, SURVIVED
1614075911, 1693, SURVIVED
1614075911, 1753, SURVIVED
1614075911, 1762, SURVIVED
1614075911, 1760, SURVIVED
1614075911, 1761, SURVIVED
1614075911, 1764, SURVIVED
1614075911, 1770, SURVIVED
1614075911, 1763, SURVIVED
1614075911, 1773, SURVIVED
1614075911, 1778, SURVIVED
1614075911, 1781, SURVIVED
1614075911, 1769, SURVIVED
1614075911, 1783, SURVIVED
1614075911, 1784, SURVIVED
1614075911, 1785, SURVIVED
1614075911, 1774, SURVIVED
1614075911, 1765, SURVIVED
1614075917, 279, KILLED_FAILED
1614075917, 283, KILLED_FAILED
1614075915, 283, SURVIVED
1614075907, 279, SURVIVED
1614075907, 283, SURVIVED
1614075915, 279, SURVIVED
1614075918, 1326, SURVIVED
1614075918, 1327, SURVIVED
1614075918, 1324, SURVIVED
1614075918, 1496, SURVIVED
1614075918, 1497, SURVIVED
1614075918, 1508, SURVIVED
1614075918, 1493, SURVIVED
1614075918, 1494, SURVIVED
1614075918, 1518, SURVIVED
1614075918, 1526, SURVIVED
1614075918, 1525, SURVIVED
1614075918, 1671, SURVIVED
1614075918, 1693, SURVIVED
1614075918, 1528, SURVIVED
1614075918, 1692, SURVIVED
1614075918, 1529, SURVIVED
1614075918, 1725, SURVIVED
1614075918, 1724, SURVIVED
1614075918, 1731, SURVIVED
1614075918, 1733, SURVIVED
1614075918, 1729, SURVIVED
1614075918, 1730, SURVIVED
1614075918, 1728, SURVIVED
1614075918, 1732, SURVIVED
1614075918, 1738, SURVIVED
1614075918, 1737, SURVIVED
1614075918, 1741, SURVIVED
1614075918, 1746, SURVIVED
1614075918, 1742, SURVIVED
1614075918, 1749, SURVIVED
1614075918, 1761, SURVIVED
1614075918, 1764, SURVIVED
1614075918, 1751, SURVIVED
1614075918, 1760, SURVIVED
1614075918, 1752, SURVIVED
1614075918, 1765, SURVIVED
1614075918, 1762, SURVIVED
1614075918, 1753, SURVIVED
1614075918, 1763, SURVIVED
1614075918, 1770, SURVIVED
1614075921, 1324, SURVIVED
1614075918, 1769, SURVIVED
1614075918, 1773, SURVIVED
1614075918, 1778, SURVIVED
1614075918, 1774, SURVIVED
1614075918, 1781, SURVIVED
1614075918, 1784, SURVIVED
1614075918, 1783, SURVIVED
1614075921, 1326, SURVIVED
1614075921, 1493, SURVIVED
1614075921, 1327, SURVIVED
1614075921, 1494, SURVIVED
1614075918, 1785, SURVIVED
1614075921, 1496, SURVIVED
1614075921, 1497, SURVIVED
1614075921, 1508, SURVIVED
1614075921, 1525, SURVIVED
1614075921, 1528, SURVIVED
1614075921, 1526, SURVIVED
1614075921, 1518, SURVIVED
1614075921, 1529, SURVIVED
1614075921, 1692, SURVIVED
1614075921, 1730, SURVIVED
1614075921, 1671, SURVIVED
1614075921, 1724, SURVIVED
1614075921, 1725, SURVIVED
1614075921, 1728, SURVIVED
1614075921, 1693, SURVIVED
1614075921, 1729, SURVIVED
1614075921, 1731, SURVIVED
1614075921, 1742, SURVIVED
1614075921, 1733, SURVIVED
1614075921, 1732, SURVIVED
1614075921, 1737, SURVIVED
1614075921, 1738, SURVIVED
1614075921, 1751, SURVIVED
1614075921, 1741, SURVIVED
1614075921, 1746, SURVIVED
1614075921, 1749, SURVIVED
1614075921, 1760, SURVIVED
1614075921, 1753, SURVIVED
1614075921, 1761, SURVIVED
1614075921, 1752, SURVIVED
1614075921, 1762, SURVIVED
1614075921, 1763, SURVIVED
1614075921, 1773, SURVIVED
1614075921, 1764, SURVIVED
1614075921, 1765, SURVIVED
1614075921, 1769, SURVIVED
1614075921, 1770, SURVIVED
1614075921, 1774, SURVIVED
1614075921, 1784, SURVIVED
1614075921, 1778, SURVIVED
1614075921, 1783, SURVIVED
1614075921, 1781, SURVIVED
1614075921, 1785, SURVIVED
1614075913, 1324, KILLED_FAILED
1614075913, 1326, SURVIVED
1614075913, 1327, SURVIVED
1614075913, 1493, SURVIVED
1614075913, 1496, SURVIVED
1614075913, 1494, SURVIVED
1614075913, 1526, SURVIVED
1614075913, 1497, SURVIVED
1614075913, 1693, SURVIVED
1614075913, 1529, SURVIVED
1614075913, 1671, SURVIVED
1614075913, 1525, SURVIVED
1614075913, 1508, SURVIVED
1614075913, 1518, SURVIVED
1614075913, 1724, SURVIVED
1614075913, 1728, SURVIVED
1614075913, 1692, SURVIVED
1614075913, 1729, SURVIVED
1614075913, 1528, SURVIVED
1614075913, 1725, SURVIVED
1614075913, 1733, SURVIVED
1614075913, 1732, SURVIVED
1614075913, 1731, SURVIVED
1614075913, 1730, SURVIVED
1614075913, 1737, SURVIVED
1614075913, 1738, SURVIVED
1614075913, 1741, SURVIVED
1614075913, 1746, SURVIVED
1614075913, 1742, SURVIVED
1614075913, 1752, SURVIVED
1614075913, 1749, SURVIVED
1614075913, 1753, SURVIVED
1614075913, 1751, SURVIVED
1614075913, 1764, SURVIVED
1614075913, 1762, SURVIVED
1614075913, 1760, SURVIVED
1614075913, 1761, SURVIVED
1614075913, 1770, SURVIVED
1614075913, 1763, SURVIVED
1614075913, 1765, SURVIVED
1614075929, 1327, SURVIVED
1614075929, 1494, SURVIVED
1614075929, 1493, SURVIVED
1614075913, 1774, SURVIVED
1614075913, 1769, SURVIVED
1614075913, 1773, SURVIVED
1614075929, 1508, SURVIVED
1614075929, 1496, SURVIVED
1614075929, 1497, SURVIVED
1614075929, 1326, SURVIVED
1614075913, 1778, SURVIVED
1614075913, 1781, SURVIVED
1614075913, 1784, SURVIVED
1614075913, 1785, SURVIVED
1614075913, 1783, SURVIVED
1614075929, 1518, SURVIVED
1614075929, 1525, SURVIVED
1614075929, 1526, SURVIVED
1614075929, 1671, SURVIVED
1614075929, 1528, SURVIVED
1614075929, 1529, SURVIVED
1614075929, 1693, SURVIVED
1614075929, 1729, SURVIVED
1614075929, 1730, SURVIVED
1614075929, 1724, SURVIVED
1614075929, 1692, SURVIVED
1614075929, 1728, SURVIVED
1614075929, 1733, SURVIVED
1614075929, 1725, SURVIVED
1614075929, 1731, SURVIVED
1614075929, 1732, SURVIVED
1614075929, 1741, SURVIVED
1614075929, 1737, SURVIVED
1614075929, 1738, SURVIVED
1614075929, 1742, SURVIVED
1614075929, 1751, SURVIVED
1614075929, 1752, SURVIVED
1614075929, 1749, SURVIVED
1614075929, 1746, SURVIVED
1614075929, 1761, SURVIVED
1614075929, 1760, SURVIVED
1614075929, 1762, SURVIVED
1614075929, 1753, SURVIVED
1614075929, 1763, SURVIVED
1614075929, 1765, SURVIVED
1614075929, 1764, SURVIVED
1614075929, 1770, SURVIVED
1614075929, 1769, SURVIVED
1614075920, 1327, SURVIVED
1614075920, 1493, SURVIVED
1614075920, 1494, SURVIVED
1614075929, 1773, SURVIVED
1614075920, 1496, SURVIVED
1614075920, 1326, SURVIVED
1614075920, 1497, SURVIVED
1614075929, 1774, SURVIVED
1614075920, 1508, SURVIVED
1614075920, 1526, SURVIVED
1614075920, 1528, SURVIVED
1614075920, 1518, SURVIVED
1614075920, 1525, SURVIVED
1614075920, 1529, SURVIVED
1614075929, 1784, SURVIVED
1614075929, 1783, SURVIVED
1614075929, 1781, SURVIVED
1614075929, 1778, SURVIVED
1614075929, 1785, SURVIVED
1614075920, 1671, SURVIVED
1614075920, 1692, SURVIVED
1614075920, 1724, SURVIVED
1614075920, 1693, SURVIVED
1614075920, 1725, SURVIVED
1614075920, 1731, SURVIVED
1614075920, 1729, SURVIVED
1614075920, 1732, SURVIVED
1614075920, 1728, SURVIVED
1614075920, 1730, SURVIVED
1614075920, 1733, SURVIVED
1614075920, 1738, SURVIVED
1614075920, 1741, SURVIVED
1614075920, 1737, SURVIVED
1614075920, 1742, SURVIVED
1614075920, 1751, SURVIVED
1614075920, 1749, SURVIVED
1614075920, 1746, SURVIVED
1614075920, 1752, SURVIVED
1614075920, 1753, SURVIVED
1614075920, 1760, SURVIVED
1614075920, 1763, SURVIVED
1614075920, 1761, SURVIVED
1614075920, 1765, SURVIVED
1614075920, 1773, SURVIVED
1614075920, 1764, SURVIVED
1614075920, 1770, SURVIVED
1614075920, 1762, SURVIVED
1614075920, 1769, SURVIVED
1614075920, 1778, SURVIVED
1614075920, 1774, SURVIVED
1614075920, 1781, SURVIVED
1614075920, 1784, SURVIVED
1614075920, 1783, SURVIVED
1614075920, 1785, SURVIVED
1614075925, 1326, SURVIVED
1614075925, 1526, SURVIVED
1614075925, 1494, SURVIVED
1614075925, 1327, SURVIVED
1614075925, 1493, SURVIVED
1614075925, 1496, SURVIVED
1614075925, 1497, SURVIVED
1614075925, 1692, SURVIVED
1614075925, 1508, SURVIVED
1614075925, 1518, SURVIVED
1614075925, 1671, SURVIVED
1614075925, 1529, SURVIVED
1614075925, 1725, SURVIVED
1614075925, 1525, SURVIVED
1614075925, 1693, SURVIVED
1614075925, 1528, SURVIVED
1614075925, 1728, SURVIVED
1614075925, 1724, SURVIVED
1614075925, 1729, SURVIVED
1614075925, 1731, SURVIVED
1614075925, 1730, SURVIVED
1614075925, 1742, SURVIVED
1614075925, 1738, SURVIVED
1614075925, 1737, SURVIVED
1614075925, 1733, SURVIVED
1614075925, 1746, SURVIVED
1614075925, 1732, SURVIVED
1614075925, 1741, SURVIVED
1614075925, 1749, SURVIVED
1614075925, 1751, SURVIVED
1614075925, 1753, SURVIVED
1614075925, 1752, SURVIVED
1614075925, 1763, SURVIVED
1614075925, 1760, SURVIVED
1614075925, 1761, SURVIVED
1614075925, 1770, SURVIVED
1614075925, 1762, SURVIVED
1614075925, 1765, SURVIVED
1614075925, 1764, SURVIVED
1614075925, 1769, SURVIVED
1614075925, 1773, SURVIVED
1614075925, 1778, SURVIVED
1614075925, 1781, SURVIVED
1614075925, 1785, SURVIVED
1614075925, 1783, SURVIVED
1614075925, 1784, SURVIVED
1614075925, 1774, SURVIVED
