seed, mutant, status
2530917208, 3522, SURVIVED
2530917208, 3627, SURVIVED
2530917208, 3531, SURVIVED
2530917208, 3619, SURVIVED
2530917208, 3622, SURVIVED
2530917208, 3705, SURVIVED
2530917208, 3623, SURVIVED
2530917208, 3620, SURVIVED
2530917228, 5687, SURVIVED
2530917208, 3644, SURVIVED
2530917208, 3673, SURVIVED
2530917208, 3628, SURVIVED
2530917208, 3631, SURVIVED
2530917228, 5652, SURVIVED
2530917228, 5685, SURVIVED
2530917228, 5650, SURVIVED
2530917228, 5646, SURVIVED
2530917228, 5653, SURVIVED
2530917228, 5658, SURVIVED
2530917228, 5649, SURVIVED
2530917228, 5678, SURVIVED
2530917228, 5655, SURVIVED
2530917228, 5681, SURVIVED
2530917228, 5682, SURVIVED
2530917228, 5684, SURVIVED
2530917226, 881, SURVIVED
2530917226, 917, SURVIVED
2530917226, 874, SURVIVED
2530917226, 871, SURVIVED
2530917226, 896, SURVIVED
2530917226, 906, SURVIVED
2530917226, 884, SURVIVED
2530917226, 922, SURVIVED
2530917226, 923, SURVIVED
2530917226, 928, SURVIVED
2530917226, 926, SURVIVED
2530917226, 938, SURVIVED
2530917226, 949, SURVIVED
2530917226, 1027, SURVIVED
2530917226, 954, SURVIVED
2530917226, 955, SURVIVED
2530917226, 1318, SURVIVED
2530917226, 1308, SURVIVED
2530917226, 1044, SURVIVED
2530917226, 1316, SURVIVED
2530917226, 1042, SURVIVED
2530917226, 1034, SURVIVED
2530917226, 1030, SURVIVED
2530917226, 1028, SURVIVED
2530917226, 1029, SURVIVED
2530917226, 1300, SURVIVED
2530917226, 1038, SURVIVED
2530917226, 1041, SURVIVED
2530917226, 1311, SURVIVED
2530917226, 1314, SURVIVED
2530917226, 1299, SURVIVED
2530917226, 1310, SURVIVED
2530917226, 1319, SURVIVED
2530917226, 1323, SURVIVED
2530917226, 1320, SURVIVED
2530917226, 1322, SURVIVED
2530917226, 1328, SURVIVED
2530917226, 1331, SURVIVED
2530917226, 1332, SURVIVED
2530917226, 3522, SURVIVED
2530917226, 3619, SURVIVED
2530917217, 5655, SURVIVED
2530917217, 5650, SURVIVED
2530917217, 5649, SURVIVED
2530917217, 5678, SURVIVED
2530917217, 5685, SURVIVED
2530917217, 5646, SURVIVED
2530917217, 5653, SURVIVED
2530917217, 5684, SURVIVED
2530917217, 5682, SURVIVED
2530917217, 5652, SURVIVED
2530917217, 5658, SURVIVED
