seed, mutant, status
4202170600, 527, SURVIVED
4202170600, 408, SURVIVED
4202170600, 962, SURVIVED
4202170600, 529, SURVIVED
4202170609, 408, SURVIVED
4202170600, 532, SURVIVED
4202170609, 529, SURVIVED
4202170609, 962, SURVIVED
4202170609, 527, SURVIVED
4202170616, 408, SURVIVED
4202170616, 532, SURVIVED
4202170616, 962, SURVIVED
4202170609, 532, SURVIVED
4202170616, 529, SURVIVED
4202170616, 527, SURVIVED
4202170625, 527, SURVIVED
4202170625, 408, SURVIVED
4202170617, 529, SURVIVED
4202170630, 532, SURVIVED
4202170617, 532, SURVIVED
4202170630, 408, SURVIVED
4202170617, 527, SURVIVED
4202170617, 962, SURVIVED
4202170630, 962, SURVIVED
4202170630, 529, SURVIVED
4202170630, 527, SURVIVED
4202170617, 408, SURVIVED
4202170613, 529, SURVIVED
4202170613, 527, SURVIVED
4202170613, 962, SURVIVED
4202170613, 532, SURVIVED
4202170613, 408, SURVIVED
4202170625, 529, SURVIVED
4202170625, 962, SURVIVED
4202170625, 532, SURVIVED
4202170604, 408, SURVIVED
4202170604, 527, SURVIVED
4202170604, 529, SURVIVED
4202170604, 532, SURVIVED
4202170604, 962, SURVIVED
4202170601, 527, SURVIVED
4202170601, 408, SURVIVED
4202170601, 532, SURVIVED
4202170601, 529, SURVIVED
4202170601, 962, SURVIVED
4202170621, 527, SURVIVED
4202170621, 408, SURVIVED
4202170621, 962, SURVIVED
4202170621, 532, SURVIVED
4202170641, 408, SURVIVED
4202170621, 529, SURVIVED
4202170641, 527, SURVIVED
4202170629, 408, SURVIVED
4202170629, 962, SURVIVED
4202170629, 529, SURVIVED
4202170629, 532, SURVIVED
4202170629, 527, SURVIVED
4202170623, 408, SURVIVED
4202170623, 527, SURVIVED
4202170605, 527, SURVIVED
4202170623, 529, SURVIVED
4202170623, 532, SURVIVED
4202170623, 962, SURVIVED
4202170605, 532, SURVIVED
4202170605, 529, SURVIVED
4202170605, 962, SURVIVED
4202170605, 408, SURVIVED
4202170641, 529, SURVIVED
4202170641, 962, SURVIVED
4202170641, 532, SURVIVED
4202170624, 408, SURVIVED
4202170624, 532, SURVIVED
4202170624, 962, SURVIVED
4202170624, 527, SURVIVED
4202170624, 529, SURVIVED
4202170612, 408, SURVIVED
4202170612, 527, SURVIVED
4202170612, 532, SURVIVED
4202170612, 529, SURVIVED
4202170612, 962, SURVIVED
4202170643, 408, SURVIVED
4202170631, 408, SURVIVED
4202170643, 529, SURVIVED
4202170643, 532, SURVIVED
4202170643, 962, SURVIVED
4202170643, 527, SURVIVED
4202170631, 962, SURVIVED
4202170631, 532, SURVIVED
4202170631, 527, SURVIVED
4202170631, 529, SURVIVED
4202170607, 408, SURVIVED
4202170607, 529, SURVIVED
4202170607, 527, SURVIVED
4202170607, 532, SURVIVED
4202170607, 962, SURVIVED
4202170614, 408, SURVIVED
4202170614, 529, SURVIVED
4202170614, 532, SURVIVED
4202170614, 527, SURVIVED
4202170614, 962, SURVIVED
4202170619, 527, SURVIVED
4202170619, 408, SURVIVED
4202170648, 408, SURVIVED
4202170619, 529, SURVIVED
4202170619, 532, SURVIVED
4202170648, 527, SURVIVED
4202170648, 529, SURVIVED
4202170648, 532, SURVIVED
4202170648, 962, SURVIVED
4202170619, 962, SURVIVED
4202170622, 529, SURVIVED
4202170622, 962, SURVIVED
4202170622, 408, SURVIVED
4202170622, 527, SURVIVED
4202170622, 532, SURVIVED
4202170627, 527, SURVIVED
4202170627, 408, SURVIVED
4202170627, 529, SURVIVED
4202170627, 532, SURVIVED
4202170627, 962, SURVIVED
4202170628, 529, SURVIVED
4202170628, 527, SURVIVED
4202170628, 408, SURVIVED
4202170628, 532, SURVIVED
4202170628, 962, SURVIVED
4202170649, 408, SURVIVED
4202170633, 408, SURVIVED
4202170633, 527, SURVIVED
4202170602, 408, SURVIVED
4202170633, 529, SURVIVED
4202170633, 532, SURVIVED
4202170649, 527, SURVIVED
4202170633, 962, SURVIVED
4202170649, 529, SURVIVED
4202170602, 527, SURVIVED
4202170618, 408, SURVIVED
4202170649, 532, SURVIVED
4202170602, 529, SURVIVED
4202170618, 527, SURVIVED
4202170649, 962, SURVIVED
4202170618, 529, SURVIVED
4202170618, 962, SURVIVED
