seed, mutant, status
74045208, 1204, SURVIVED
74045208, 1209, SURVIVED
74045240, 1204, SURVIVED
74045203, 1209, SURVIVED
74045203, 1204, SURVIVED
74045223, 1209, SURVIVED
74045223, 1204, SURVIVED
74045240, 1209, SURVIVED
74045229, 1209, SURVIVED
74045229, 1204, SURVIVED
74045206, 1209, SURVIVED
74045214, 1209, SURVIVED
74045231, 1209, SURVIVED
74045214, 1204, SURVIVED
74045231, 1204, SURVIVED
74045206, 1204, SURVIVED
74045222, 1204, SURVIVED
74045222, 1209, SURVIVED
74045205, 1209, SURVIVED
74045200, 1209, SURVIVED
74045220, 1209, SURVIVED
74045254, 1209, SURVIVED
74045254, 1204, SURVIVED
74045205, 1204, SURVIVED
74045220, 1204, SURVIVED
74045209, 1209, SURVIVED
74045209, 1204, SURVIVED
74045210, 1204, SURVIVED
74045200, 1204, SURVIVED
74045210, 1209, SURVIVED
74045230, 1209, SURVIVED
74045230, 1204, SURVIVED
74045202, 1204, SURVIVED
74045202, 1209, SURVIVED
74045225, 1204, SURVIVED
74045225, 1209, SURVIVED
74045207, 1209, SURVIVED
74045207, 1204, SURVIVED
74045221, 1204, SURVIVED
74045228, 1204, SURVIVED
74045221, 1209, SURVIVED
74045219, 1204, SURVIVED
74045228, 1209, SURVIVED
74045219, 1209, SURVIVED
74045246, 1204, SURVIVED
74045263, 1209, SURVIVED
74045263, 1204, SURVIVED
74045201, 1209, SURVIVED
74045246, 1209, SURVIVED
74045242, 1204, SURVIVED
74045201, 1204, SURVIVED
74045242, 1209, SURVIVED
74045213, 1204, SURVIVED
74045213, 1209, SURVIVED
74045261, 1209, SURVIVED
74045235, 1204, SURVIVED
74045215, 1209, SURVIVED
74045215, 1204, SURVIVED
74045261, 1204, SURVIVED
74045235, 1209, SURVIVED
74045217, 1204, SURVIVED
74045237, 1204, SURVIVED
74045237, 1209, SURVIVED
74045226, 1209, SURVIVED
74045255, 1204, SURVIVED
74045267, 1204, SURVIVED
74045250, 1204, SURVIVED
74045267, 1209, SURVIVED
74045226, 1204, SURVIVED
74045217, 1209, SURVIVED
74045250, 1209, SURVIVED
74045255, 1209, SURVIVED
74045274, 1204, SURVIVED
74045274, 1209, SURVIVED
74045258, 1209, SURVIVED
74045218, 1204, SURVIVED
74045258, 1204, SURVIVED
74045232, 1209, SURVIVED
74045218, 1209, SURVIVED
74045232, 1204, SURVIVED
74045269, 1209, SURVIVED
74045269, 1204, SURVIVED
74045272, 1204, SURVIVED
74045247, 1204, SURVIVED
74045272, 1209, SURVIVED
74045247, 1209, SURVIVED
74045253, 1204, SURVIVED
74045253, 1209, SURVIVED
74045262, 1209, SURVIVED
74045293, 1209, SURVIVED
74045293, 1204, SURVIVED
74045279, 1204, SURVIVED
74045279, 1209, SURVIVED
74045260, 1204, SURVIVED
74045262, 1204, SURVIVED
74045245, 1209, SURVIVED
74045260, 1209, SURVIVED
74045245, 1204, SURVIVED
74045287, 1204, SURVIVED
74045227, 1209, SURVIVED
74045251, 1209, SURVIVED
74045251, 1204, SURVIVED
74045287, 1209, SURVIVED
74045227, 1204, SURVIVED
74045216, 1204, SURVIVED
74045216, 1209, SURVIVED
74045265, 1204, SURVIVED
74045265, 1209, SURVIVED
74045280, 1209, SURVIVED
74045280, 1204, SURVIVED
74045264, 1204, SURVIVED
74045248, 1204, SURVIVED
74045233, 1204, SURVIVED
74045264, 1209, SURVIVED
74045252, 1204, SURVIVED
74045248, 1209, SURVIVED
74045257, 1204, SURVIVED
74045259, 1209, SURVIVED
74045233, 1209, SURVIVED
74045259, 1204, SURVIVED
74045239, 1204, SURVIVED
74045239, 1209, SURVIVED
74045257, 1209, SURVIVED
74045224, 1204, SURVIVED
74045224, 1209, SURVIVED
74045252, 1209, SURVIVED
74045290, 1204, SURVIVED
74045297, 1204, SURVIVED
74045297, 1209, SURVIVED
74045286, 1204, SURVIVED
74045286, 1209, SURVIVED
74045295, 1204, SURVIVED
74045290, 1209, SURVIVED
74045294, 1204, SURVIVED
74045294, 1209, SURVIVED
74045234, 1204, SURVIVED
74045234, 1209, SURVIVED
