seed, mutant, status
2964680915, 3164, SURVIVED
2964680915, 3344, SURVIVED
2964680915, 3423, SURVIVED
2964680915, 3166, SURVIVED
2964680915, 3378, SURVIVED
2964680915, 3169, SURVIVED
2964680915, 3347, SURVIVED
2964680915, 3346, SURVIVED
2964680915, 3168, SURVIVED
2964680915, 3367, SURVIVED
2964680915, 3318, SURVIVED
2964680915, 3167, SURVIVED
2964680915, 3379, SURVIVED
2964680906, 1983, SURVIVED
2964680915, 3420, SURVIVED
2964680915, 3324, SURVIVED
2964680915, 3595, SURVIVED
2964680915, 3600, SURVIVED
2964680915, 3377, SURVIVED
2964680915, 3455, SURVIVED
2964680915, 3452, SURVIVED
2964680915, 3376, SURVIVED
2964680906, 2021, SURVIVED
2964680906, 1989, SURVIVED
2964680915, 3335, SURVIVED
2964680915, 3345, SURVIVED
2964680915, 3443, SURVIVED
2964680924, 1989, SURVIVED
2964680915, 3615, SURVIVED
2964680915, 3411, SURVIVED
2964680924, 1983, SURVIVED
2964680924, 2021, SURVIVED
2964680924, 3318, SURVIVED
2964680924, 3166, SURVIVED
2964680924, 3164, SURVIVED
2964680924, 3168, SURVIVED
2964680924, 3324, SURVIVED
2964680924, 3169, SURVIVED
2964680924, 3167, SURVIVED
2964680924, 3344, SURVIVED
2964680924, 3345, SURVIVED
2964680924, 3335, SURVIVED
2964680924, 3367, SURVIVED
2964680924, 3377, SURVIVED
2964680924, 3347, SURVIVED
2964680924, 3378, SURVIVED
2964680924, 3376, SURVIVED
2964680924, 3420, SURVIVED
2964680924, 3411, SURVIVED
2964680924, 3423, SURVIVED
2964680924, 3455, SURVIVED
2964680924, 3595, SURVIVED
2964680924, 3346, SURVIVED
2964680924, 3443, SURVIVED
2964680924, 3379, SURVIVED
2964680924, 3452, SURVIVED
2964680924, 3600, SURVIVED
2964680924, 3615, SURVIVED
2964680930, 3166, SURVIVED
2964680930, 3164, SURVIVED
2964680930, 1983, SURVIVED
2964680930, 3167, SURVIVED
2964680930, 1989, SURVIVED
2964680930, 2021, SURVIVED
2964680930, 3169, SURVIVED
2964680930, 3168, SURVIVED
2964680930, 3318, SURVIVED
2964680930, 3324, SURVIVED
2964680930, 3344, SURVIVED
2964680930, 3335, SURVIVED
2964680930, 3346, SURVIVED
2964680930, 3345, SURVIVED
2964680930, 3367, SURVIVED
2964680930, 3347, SURVIVED
2964680930, 3378, SURVIVED
2964680930, 3376, SURVIVED
2964680930, 3377, SURVIVED
2964680930, 3411, SURVIVED
2964680930, 3595, SURVIVED
2964680930, 3420, SURVIVED
2964680930, 3379, SURVIVED
2964680930, 3455, SURVIVED
2964680930, 3443, SURVIVED
2964680930, 3423, SURVIVED
2964680930, 3600, SURVIVED
2964680930, 3452, SURVIVED
2964680930, 3615, SURVIVED
2964680919, 3164, SURVIVED
2964680919, 3166, SURVIVED
2964680919, 3167, SURVIVED
2964680919, 3168, SURVIVED
2964680919, 3169, SURVIVED
2964680919, 3367, SURVIVED
2964680919, 3378, SURVIVED
2964680919, 3377, SURVIVED
2964680919, 3376, SURVIVED
2964680919, 3379, SURVIVED
2964680919, 3443, SURVIVED
2964680919, 3420, SURVIVED
2964680919, 3600, SURVIVED
2964680908, 1983, SURVIVED
2964680928, 2742, SURVIVED
2964680919, 3411, SURVIVED
2964680919, 3455, SURVIVED
2964680919, 3595, SURVIVED
2964680908, 1989, SURVIVED
2964680919, 3452, SURVIVED
2964680908, 2742, SURVIVED
2964680908, 2021, SURVIVED
2964680919, 3706, SURVIVED
2964680919, 3423, SURVIVED
2964680919, 3615, SURVIVED
2964680908, 2763, SURVIVED
2964680919, 3674, SURVIVED
2964680928, 2763, SURVIVED
2964680908, 2795, SURVIVED
2964680928, 2766, SURVIVED
2964680908, 2766, SURVIVED
2964680928, 2795, SURVIVED
2964680908, 2833, SURVIVED
2964680908, 2826, SURVIVED
2964680908, 2798, SURVIVED
2964680908, 3674, SURVIVED
2964680928, 2798, SURVIVED
2964680908, 3706, SURVIVED
2964680928, 2826, SURVIVED
2964680928, 2833, SURVIVED
2964680928, 3164, SURVIVED
2964680928, 3166, SURVIVED
2964680928, 3167, SURVIVED
2964680928, 3168, SURVIVED
2964680928, 3318, SURVIVED
2964680928, 3169, SURVIVED
2964680928, 3345, SURVIVED
2964680928, 3335, SURVIVED
2964680928, 3324, SURVIVED
2964680928, 3376, SURVIVED
2964680928, 3367, SURVIVED
2964680928, 3346, SURVIVED
2964680928, 3344, SURVIVED
2964680928, 3347, SURVIVED
2964680928, 3420, SURVIVED
2964680928, 3378, SURVIVED
2964680928, 3379, SURVIVED
2964680928, 3443, KILLED_FAILED
2964680928, 3411, KILLED_FAILED
2964680928, 3423, SURVIVED
2964680928, 3455, SURVIVED
2964680928, 3706, SURVIVED
2964680928, 3615, SURVIVED
2964680928, 3452, SURVIVED
2964680928, 3595, SURVIVED
2964680928, 3377, SURVIVED
2964680928, 3674, SURVIVED
2964680928, 3600, SURVIVED
2964680905, 3164, SURVIVED
2964680905, 3166, SURVIVED
2964680905, 3167, SURVIVED
2964680905, 3335, SURVIVED
2964680905, 3345, SURVIVED
2964680905, 3344, SURVIVED
2964680905, 3324, SURVIVED
2964680905, 3318, SURVIVED
2964680905, 3169, SURVIVED
2964680905, 3168, SURVIVED
2964680905, 3347, SURVIVED
2964680904, 1989, SURVIVED
2964680905, 3346, SURVIVED
2964680905, 3367, SURVIVED
2964680904, 3335, SURVIVED
2964680905, 3377, SURVIVED
2964680905, 3423, SURVIVED
2964680904, 3324, SURVIVED
2964680905, 3443, SURVIVED
2964680905, 3455, SURVIVED
2964680905, 3595, SURVIVED
2964680904, 3318, SURVIVED
2964680905, 3452, SURVIVED
2964680905, 3378, SURVIVED
2964680904, 1983, SURVIVED
2964680905, 3420, SURVIVED
2964680905, 3379, SURVIVED
2964680905, 3376, SURVIVED
2964680905, 3600, SURVIVED
2964680904, 2021, SURVIVED
2964680905, 3411, SURVIVED
2964680905, 3615, SURVIVED
2964680904, 3344, SURVIVED
2964680904, 3345, SURVIVED
2964680904, 3377, SURVIVED
2964680904, 3346, SURVIVED
2964680904, 3376, SURVIVED
2964680904, 3420, SURVIVED
2964680904, 3378, SURVIVED
2964680904, 3347, SURVIVED
2964680904, 3367, SURVIVED
2964680904, 3379, SURVIVED
2964680904, 3423, SURVIVED
2964680904, 3600, SURVIVED
2964680904, 3595, SURVIVED
2964680904, 3455, SURVIVED
2964680904, 3452, SURVIVED
2964680912, 2742, SURVIVED
2964680904, 3615, SURVIVED
2964680904, 3706, SURVIVED
2964680912, 2798, SURVIVED
2964680912, 2766, SURVIVED
2964680912, 2795, SURVIVED
2964680912, 2763, SURVIVED
2964680904, 3674, SURVIVED
2964680912, 2833, SURVIVED
2964680912, 2826, SURVIVED
2964680912, 3377, SURVIVED
2964680912, 3379, SURVIVED
2964680912, 3376, SURVIVED
2964680912, 3367, SURVIVED
2964680912, 3378, SURVIVED
2964680912, 3420, SURVIVED
2964680912, 3423, SURVIVED
2964680912, 3452, SURVIVED
2964680912, 3674, SURVIVED
2964680912, 3455, SURVIVED
2964680912, 3706, SURVIVED
2964680938, 1983, SURVIVED
2964680938, 2021, SURVIVED
2964680938, 3164, SURVIVED
2964680938, 1989, SURVIVED
2964680900, 2021, SURVIVED
2964680900, 1983, SURVIVED
2964680938, 3166, SURVIVED
2964680900, 3324, SURVIVED
2964680900, 1989, SURVIVED
2964680900, 3378, SURVIVED
2964680938, 3167, SURVIVED
2964680900, 3318, SURVIVED
2964680900, 3344, SURVIVED
2964680900, 3335, SURVIVED
2964680900, 3346, SURVIVED
2964680900, 3367, SURVIVED
2964680900, 3347, SURVIVED
2964680900, 3345, SURVIVED
2964680900, 3379, SURVIVED
2964680900, 3377, SURVIVED
2964680900, 3376, SURVIVED
2964680900, 3420, SURVIVED
2964680900, 3423, SURVIVED
2964680900, 3452, SURVIVED
2964680900, 3600, SURVIVED
2964680900, 3455, SURVIVED
2964680900, 3615, SURVIVED
2964680900, 3595, SURVIVED
2964680938, 3168, SURVIVED
2964680938, 3318, SURVIVED
2964680938, 3169, SURVIVED
2964680938, 3324, SURVIVED
2964680938, 3335, SURVIVED
2964680938, 3347, SURVIVED
2964680938, 3345, SURVIVED
2964680938, 3376, SURVIVED
2964680938, 3367, SURVIVED
2964680938, 3420, SURVIVED
2964680938, 3346, SURVIVED
2964680938, 3452, SURVIVED
2964680938, 3423, SURVIVED
2964680938, 3455, SURVIVED
2964680938, 3344, SURVIVED
2964680938, 3377, SURVIVED
2964680938, 3378, SURVIVED
2964680938, 3595, SURVIVED
2964680938, 3379, SURVIVED
2964680938, 3600, SURVIVED
2964680938, 3615, SURVIVED
2964680918, 1983, SURVIVED
2964680918, 2021, SURVIVED
2964680918, 3166, SURVIVED
2964680918, 3164, SURVIVED
2964680918, 3367, SURVIVED
2964680918, 3168, SURVIVED
2964680918, 3167, SURVIVED
2964680918, 1989, SURVIVED
2964680918, 3169, SURVIVED
2964680918, 3378, SURVIVED
2964680918, 3376, SURVIVED
2964680918, 3377, SURVIVED
2964680931, 1989, SURVIVED
2964680931, 1983, SURVIVED
2964680918, 3423, SURVIVED
2964680918, 3706, SURVIVED
2964680918, 3615, SURVIVED
2964680918, 3420, SURVIVED
2964680918, 3379, SURVIVED
2964680918, 3455, SURVIVED
2964680931, 2021, SURVIVED
2964680918, 3595, SURVIVED
2964680918, 3600, SURVIVED
2964680931, 2833, SURVIVED
2964680918, 3452, SURVIVED
2964680931, 2742, SURVIVED
2964680918, 3674, SURVIVED
2964680931, 2798, SURVIVED
2964680931, 2763, SURVIVED
2964680931, 2766, SURVIVED
2964680931, 2826, SURVIVED
2964680931, 2795, SURVIVED
2964680931, 3367, SURVIVED
2964680931, 3379, SURVIVED
2964680931, 3378, SURVIVED
2964680931, 3377, SURVIVED
2964680931, 3376, SURVIVED
2964680931, 3595, SURVIVED
2964680931, 3423, SURVIVED
2964680931, 3600, SURVIVED
2964680931, 3420, SURVIVED
2964680931, 3455, SURVIVED
2964680931, 3452, SURVIVED
2964680931, 3615, SURVIVED
2964680931, 3674, SURVIVED
2964680931, 3706, SURVIVED
2964680929, 3335, SURVIVED
2964680929, 3318, SURVIVED
2964680929, 1983, SURVIVED
2964680929, 3377, SURVIVED
2964680929, 3347, SURVIVED
2964680929, 3367, SURVIVED
2964680929, 1989, SURVIVED
2964680929, 3345, SURVIVED
2964680929, 3423, SURVIVED
2964680929, 3324, SURVIVED
2964680929, 2021, SURVIVED
2964680929, 3344, SURVIVED
2964680929, 3379, SURVIVED
2964680929, 3346, SURVIVED
2964680929, 3420, SURVIVED
2964680929, 3452, SURVIVED
2964680929, 3376, SURVIVED
2964680929, 3378, SURVIVED
2964680929, 3455, SURVIVED
2964680929, 3595, SURVIVED
2964680929, 3615, SURVIVED
2964680929, 3600, SURVIVED
2964680929, 3706, SURVIVED
2964680929, 3674, SURVIVED
2964680916, 3324, SURVIVED
2964680916, 3335, SURVIVED
2964680916, 3318, SURVIVED
2964680916, 3347, SURVIVED
2964680916, 3376, SURVIVED
2964680916, 3344, SURVIVED
2964680916, 3345, SURVIVED
2964680916, 3367, SURVIVED
2964680916, 3346, SURVIVED
2964680916, 3378, SURVIVED
2964680916, 3379, SURVIVED
2964680916, 3377, SURVIVED
2964680923, 1989, SURVIVED
2964680923, 1983, SURVIVED
2964680923, 2766, SURVIVED
2964680923, 2742, SURVIVED
2964680923, 2826, SURVIVED
2964680923, 2798, SURVIVED
2964680923, 2795, SURVIVED
2964680923, 2763, SURVIVED
2964680923, 2021, SURVIVED
2964680923, 2833, SURVIVED
2964680916, 3595, SURVIVED
