seed, mutant, status
1281928405, 2, SURVIVED
1281928403, 267, SURVIVED
1281928403, 441, SURVIVED
1281928403, 418, SURVIVED
1281928405, 64, SURVIVED
1281928405, 131, SURVIVED
1281928403, 405, SURVIVED
1281928405, 53, SURVIVED
1281928420, 267, SURVIVED
1281928405, 61, SURVIVED
1281928405, 68, SURVIVED
1281928405, 74, SURVIVED
1281928420, 405, SURVIVED
1281928405, 9, SURVIVED
1281928420, 441, SURVIVED
1281928405, 21, SURVIVED
1281928405, 83, SURVIVED
1281928405, 76, SURVIVED
1281928405, 107, SURVIVED
1281928405, 71, SURVIVED
1281928405, 75, SURVIVED
1281928405, 96, SURVIVED
1281928405, 106, SURVIVED
1281928405, 95, SURVIVED
1281928405, 108, SURVIVED
1281928405, 123, SURVIVED
1281928405, 115, SURVIVED
1281928420, 418, SURVIVED
1281928405, 127, SURVIVED
1281928405, 34, SURVIVED
1281928405, 103, SURVIVED
1281928405, 136, SURVIVED
1281928405, 267, SURVIVED
1281928405, 163, SURVIVED
1281928405, 275, SURVIVED
1281928405, 138, SURVIVED
1281928405, 441, SURVIVED
1281928407, 9, SURVIVED
1281928405, 405, SURVIVED
1281928407, 2, SURVIVED
1281928407, 53, SURVIVED
1281928405, 418, SURVIVED
1281928405, 276, SURVIVED
1281928407, 95, SURVIVED
1281928407, 74, SURVIVED
1281928407, 83, SURVIVED
1281928407, 96, SURVIVED
1281928407, 71, SURVIVED
1281928407, 107, SURVIVED
1281928407, 21, SURVIVED
1281928407, 75, SURVIVED
1281928407, 127, SURVIVED
1281928407, 103, SURVIVED
1281928407, 68, SURVIVED
1281928407, 131, SURVIVED
1281928407, 61, SURVIVED
1281928407, 136, SURVIVED
1281928407, 106, SURVIVED
1281928407, 34, SURVIVED
1281928407, 123, SURVIVED
1281928407, 76, SURVIVED
1281928407, 64, SURVIVED
1281928407, 115, SURVIVED
1281928407, 108, SURVIVED
1281928407, 275, SURVIVED
1281928407, 276, SURVIVED
1281928428, 405, SURVIVED
1281928428, 267, SURVIVED
1281928407, 418, SURVIVED
1281928407, 163, SURVIVED
1281928407, 138, SURVIVED
1281928407, 441, SURVIVED
1281928428, 418, SURVIVED
1281928407, 405, SURVIVED
1281928407, 267, SURVIVED
1281928428, 441, SURVIVED
