seed, mutant, status
2517501663, 70, SURVIVED
2517501663, 903, SURVIVED
2517501663, 143, SURVIVED
2517501663, 86, SURVIVED
2517501663, 118, SURVIVED
2517501663, 142, SURVIVED
2517501663, 902, SURVIVED
2517501663, 910, SURVIVED
2517501663, 175, SURVIVED
2517501663, 899, SURVIVED
2517501663, 174, SURVIVED
2517501663, 724, SURVIVED
2517501663, 1011, SURVIVED
2517501663, 620, SURVIVED
2517501663, 212, SURVIVED
2517501663, 588, SURVIVED
2517501663, 1104, SURVIVED
2517501663, 978, SURVIVED
2517501663, 931, SURVIVED
2517501663, 935, SURVIVED
2517501663, 1014, SURVIVED
2517501663, 1136, SURVIVED
2517501663, 934, SURVIVED
2517501663, 968, SURVIVED
2517501663, 1041, SURVIVED
2517501663, 1044, SURVIVED
2517501663, 942, SURVIVED
2517501663, 982, SURVIVED
2517501663, 1000, SURVIVED
2517501663, 979, SURVIVED
2517501663, 1010, SURVIVED
2517501663, 1040, SURVIVED
2517501663, 1159, SURVIVED
2517501663, 1280, SURVIVED
2517501663, 1234, SURVIVED
2517501663, 1221, SURVIVED
2517501663, 1253, SURVIVED
2517501663, 1266, SURVIVED
2517501663, 1330, SURVIVED
2517501663, 1312, SURVIVED
2517501663, 1294, SURVIVED
2517501663, 1302, SURVIVED
2517501663, 1303, SURVIVED
2517501663, 1298, SURVIVED
2517501663, 1326, SURVIVED
2517501663, 1335, SURVIVED
2517501663, 1336, SURVIVED
2517501663, 1304, SURVIVED
2517501663, 1414, SURVIVED
2517501663, 1417, SURVIVED
2517501663, 1334, SURVIVED
2517501663, 1413, SURVIVED
2517501663, 1418, SURVIVED
2517501663, 1447, SURVIVED
2517501663, 1372, SURVIVED
2517501663, 1446, SURVIVED
2517501663, 1415, SURVIVED
2517501663, 1404, SURVIVED
2517501663, 1416, SURVIVED
2517501663, 1445, SURVIVED
2517501663, 1449, SURVIVED
2517501663, 1448, SURVIVED
2517501663, 1297, SURVIVED
2517501663, 1329, SURVIVED
2517501663, 1478, SURVIVED
2517501663, 1450, SURVIVED
2517501663, 1631, SURVIVED
2517501663, 1845, SURVIVED
2517501663, 1663, SURVIVED
2517501663, 1578, SURVIVED
2517501663, 1759, SURVIVED
2517501663, 1813, SURVIVED
2517501663, 1662, SURVIVED
2517501663, 1848, SURVIVED
2517501663, 1818, SURVIVED
2517501663, 2343, SURVIVED
2517501663, 1783, SURVIVED
2517501663, 1791, SURVIVED
2517501663, 1816, SURVIVED
2517501663, 2616, SURVIVED
2517501663, 2608, SURVIVED
2517501663, 1751, SURVIVED
2517501663, 1630, SURVIVED
2517501663, 2322, SURVIVED
2517501663, 2576, SURVIVED
2517501663, 1850, SURVIVED
2517501663, 2574, SURVIVED
2517501663, 2345, SURVIVED
2517501663, 2347, SURVIVED
2517501663, 2354, SURVIVED
2517501663, 2606, SURVIVED
2517501663, 2851, SURVIVED
2517501663, 1874, SURVIVED
2517501663, 2336, SURVIVED
2517501663, 2833, SURVIVED
2517501663, 2584, SURVIVED
2517501663, 2873, SURVIVED
2517501663, 2868, SURVIVED
2517501663, 2890, SURVIVED
2517501663, 2894, SURVIVED
2517501663, 2901, SURVIVED
2517501663, 2951, SURVIVED
2517501663, 2926, SURVIVED
2517501663, 2933, SURVIVED
2517501663, 2985, SURVIVED
2517501663, 2986, SURVIVED
2517501663, 2974, SURVIVED
2517501663, 2983, SURVIVED
2517501663, 2922, SURVIVED
2517501663, 2988, SURVIVED
2517501663, 2987, SURVIVED
2517501663, 4706, SURVIVED
2517501663, 2996, SURVIVED
2517501663, 2995, SURVIVED
2517501663, 4677, SURVIVED
2517501663, 2989, SURVIVED
2517501663, 2992, SURVIVED
2517501663, 3022, SURVIVED
2517501663, 4630, SURVIVED
2517501663, 3054, SURVIVED
2517501663, 4674, SURVIVED
2517501663, 4678, SURVIVED
2517501663, 4662, SURVIVED
2517501663, 4680, SURVIVED
2517501663, 4709, SURVIVED
2517501663, 4710, SURVIVED
2517501663, 4712, SURVIVED
2517501663, 4849, SURVIVED
2517501663, 4850, SURVIVED
2517501663, 4883, SURVIVED
2517501663, 4884, SURVIVED
2517501663, 4915, SURVIVED
2517501663, 4942, SURVIVED
2517501663, 4932, SURVIVED
2517501663, 4928, SURVIVED
2517501663, 4930, SURVIVED
2517501663, 4916, SURVIVED
2517501663, 4943, SURVIVED
2517501663, 5196, SURVIVED
2517501663, 5186, SURVIVED
2517501663, 4944, SURVIVED
2517501663, 5204, SURVIVED
2517501663, 5202, SURVIVED
2517501663, 6120, SURVIVED
2517501663, 6126, SURVIVED
2517501663, 6276, SURVIVED
2517501663, 6277, SURVIVED
2517501663, 6269, SURVIVED
2517501663, 6152, SURVIVED
2517501663, 6275, SURVIVED
2517501663, 5212, SURVIVED
2517501663, 6263, SURVIVED
2517501663, 6266, SURVIVED
2517501663, 6279, SURVIVED
2517501663, 6146, SURVIVED
2517501663, 5218, SURVIVED
2517501663, 5205, SURVIVED
2517501663, 5211, SURVIVED
2517501663, 6121, SURVIVED
2517501663, 6278, SURVIVED
2517501663, 6297, SURVIVED
2517501663, 6280, SURVIVED
2517501663, 6307, SURVIVED
2517501663, 6308, SURVIVED
2517501663, 6309, SURVIVED
2517501663, 6311, SURVIVED
