seed, mutant, status
3576991704, 85, SURVIVED
3576991704, 1771, SURVIVED
3576991704, 1769, SURVIVED
3576991704, 1734, SURVIVED
3576991704, 1739, SURVIVED
3576991704, 1767, SURVIVED
3576991704, 1770, SURVIVED
3576991704, 1857, SURVIVED
3576991704, 1721, SURVIVED
3576991700, 2067, SURVIVED
3576991700, 1771, SURVIVED
3576991700, 1768, SURVIVED
3576991704, 1738, SURVIVED
3576991700, 1739, SURVIVED
3576991700, 85, SURVIVED
3576991700, 1769, SURVIVED
3576991700, 2057, SURVIVED
3576991704, 1736, SURVIVED
3576991704, 72, SURVIVED
3576991704, 1725, SURVIVED
3576991700, 1843, SURVIVED
3576991700, 1738, SURVIVED
3576991700, 1736, SURVIVED
3576991704, 1768, SURVIVED
3576991700, 1857, SURVIVED
3576991704, 1843, SURVIVED
3576991700, 1770, SURVIVED
3576991700, 72, SURVIVED
3576991700, 1725, SURVIVED
3576991700, 1767, SURVIVED
3576991700, 1734, SURVIVED
3576991700, 1721, SURVIVED
3576991720, 72, SURVIVED
3576991720, 85, SURVIVED
3576991720, 1734, SURVIVED
3576991720, 1738, SURVIVED
3576991720, 1721, SURVIVED
3576991720, 1725, SURVIVED
3576991720, 1736, SURVIVED
3576991720, 1767, SURVIVED
3576991720, 1771, SURVIVED
3576991720, 1770, SURVIVED
3576991720, 1769, SURVIVED
3576991720, 1739, SURVIVED
3576991720, 1843, SURVIVED
3576991723, 2057, SURVIVED
3576991720, 1768, SURVIVED
3576991720, 1857, SURVIVED
3576991723, 85, SURVIVED
3576991723, 2067, SURVIVED
3576991723, 1725, SURVIVED
3576991723, 72, SURVIVED
3576991723, 1734, SURVIVED
3576991723, 1721, SURVIVED
3576991723, 1736, SURVIVED
3576991723, 1738, SURVIVED
3576991723, 1769, SURVIVED
3576991723, 1767, SURVIVED
3576991723, 1768, SURVIVED
3576991723, 1739, SURVIVED
3576991723, 1771, SURVIVED
3576991723, 1770, SURVIVED
3576991723, 1857, SURVIVED
3576991723, 1843, SURVIVED
3576991730, 2057, SURVIVED
3576991730, 2067, SURVIVED
3576991730, 2089, SURVIVED
3576991730, 2100, SURVIVED
3576991730, 2099, SURVIVED
3576991730, 72, SURVIVED
3576991730, 2133, SURVIVED
3576991730, 85, SURVIVED
3576991730, 2124, SURVIVED
3576991730, 2118, SURVIVED
3576991730, 2198, SURVIVED
3576991730, 2134, SURVIVED
3576991730, 2119, SURVIVED
3576991730, 1721, SURVIVED
3576991730, 1734, SURVIVED
3576991730, 1725, SURVIVED
3576991730, 1738, SURVIVED
3576991730, 1736, SURVIVED
3576991730, 1739, SURVIVED
3576991730, 1768, SURVIVED
3576991730, 1769, SURVIVED
3576991730, 1770, SURVIVED
3576991727, 72, SURVIVED
3576991727, 514, SURVIVED
3576991727, 85, SURVIVED
3576991730, 1767, SURVIVED
3576991727, 546, SURVIVED
3576991727, 598, SURVIVED
3576991730, 1771, SURVIVED
3576991730, 1843, SURVIVED
3576991727, 559, SURVIVED
3576991730, 1857, SURVIVED
3576991727, 604, SURVIVED
3576991727, 602, SURVIVED
