seed, mutant, status
42637301, 201, SURVIVED
42637301, 240, KILLED_FAILED
42637301, 274, SURVIVED
42637301, 392, SURVIVED
42637301, 366, SURVIVED
42637301, 395, SURVIVED
42637301, 457, SURVIVED
42637301, 440, SURVIVED
42637301, 276, SURVIVED
42637301, 268, SURVIVED
42637301, 211, SURVIVED
42637301, 369, SURVIVED
42637301, 273, SURVIVED
42637301, 410, KILLED_FAILED
42637301, 277, SURVIVED
42637301, 417, SURVIVED
42637301, 458, SURVIVED
42637301, 370, SURVIVED
42637301, 408, SURVIVED
42637301, 253, KILLED_FAILED
42637301, 221, KILLED_FAILED
42637301, 208, KILLED_FAILED
42637301, 367, SURVIVED
42637301, 243, SURVIVED
42637301, 424, SURVIVED
42637301, 459, SURVIVED
42637301, 450, SURVIVED
42637301, 385, SURVIVED
42637301, 427, SURVIVED
42637301, 473, SURVIVED
42637301, 456, SURVIVED
42637301, 233, SURVIVED
42637301, 475, SURVIVED
42637301, 490, SURVIVED
42637301, 508, SURVIVED
42637301, 491, SURVIVED
42637301, 477, SURVIVED
42637301, 507, SURVIVED
42637301, 509, SURVIVED
42637301, 505, SURVIVED
42637301, 476, SURVIVED
42637301, 482, SURVIVED
42637301, 488, SURVIVED
42637301, 531, SURVIVED
42637301, 489, SURVIVED
42637301, 530, SURVIVED
42637301, 643, SURVIVED
42637301, 644, SURVIVED
42637301, 617, SURVIVED
42637301, 651, KILLED_FAILED
42637301, 652, SURVIVED
42637301, 534, SURVIVED
42637301, 532, SURVIVED
42637301, 533, SURVIVED
42637301, 655, SURVIVED
42637301, 650, SURVIVED
42637301, 641, SURVIVED
42637301, 537, SURVIVED
42637301, 585, SURVIVED
42637301, 607, SURVIVED
42637301, 646, SURVIVED
42637301, 538, SURVIVED
42637301, 639, SURVIVED
42637301, 647, SURVIVED
42637301, 656, SURVIVED
42637301, 661, SURVIVED
42637301, 673, SURVIVED
42637301, 675, SURVIVED
42637301, 666, SURVIVED
42637301, 700, SURVIVED
42637301, 676, SURVIVED
42637301, 701, SURVIVED
42637301, 678, SURVIVED
42637301, 698, SURVIVED
42637301, 668, SURVIVED
42637301, 679, SURVIVED
42637301, 702, SURVIVED
42637301, 723, SURVIVED
42637301, 724, SURVIVED
42637301, 670, SURVIVED
42637301, 669, SURVIVED
42637301, 755, SURVIVED
42637301, 756, SURVIVED
42637301, 730, SURVIVED
42637301, 727, SURVIVED
42637301, 810, SURVIVED
42637301, 762, SURVIVED
42637301, 785, SURVIVED
42637301, 789, SURVIVED
42637301, 835, SURVIVED
42637301, 832, SURVIVED
42637301, 778, SURVIVED
42637301, 759, SURVIVED
42637301, 833, SURVIVED
42637301, 864, SURVIVED
42637301, 836, SURVIVED
42637301, 865, SURVIVED
42637301, 867, SURVIVED
42637308, 268, SURVIVED
42637308, 274, SURVIVED
42637308, 233, SURVIVED
42637308, 243, SURVIVED
42637308, 273, SURVIVED
42637308, 395, SURVIVED
42637308, 276, SURVIVED
42637308, 367, SURVIVED
42637308, 366, SURVIVED
42637308, 385, SURVIVED
42637308, 277, SURVIVED
42637308, 369, SURVIVED
42637308, 370, SURVIVED
42637308, 392, SURVIVED
42637308, 459, SURVIVED
42637308, 456, SURVIVED
42637308, 476, SURVIVED
42637301, 868, SURVIVED
42637308, 457, SURVIVED
42637308, 458, SURVIVED
42637308, 440, SURVIVED
42637308, 473, SURVIVED
42637308, 450, SURVIVED
42637308, 427, SURVIVED
42637308, 477, SURVIVED
42637308, 424, SURVIVED
42637308, 417, SURVIVED
42637308, 408, SURVIVED
42637308, 482, SURVIVED
42637308, 475, SURVIVED
42637308, 488, SURVIVED
42637308, 489, SURVIVED
42637308, 505, SURVIVED
42637308, 508, SURVIVED
42637308, 507, SURVIVED
42637308, 530, SURVIVED
42637308, 491, SURVIVED
42637308, 509, SURVIVED
42637308, 490, SURVIVED
42637308, 639, SURVIVED
42637308, 532, SURVIVED
42637308, 656, SURVIVED
42637308, 531, SURVIVED
42637308, 585, SURVIVED
42637308, 617, SURVIVED
42637308, 533, SURVIVED
42637308, 643, SURVIVED
42637308, 538, SURVIVED
42637308, 537, SURVIVED
42637308, 607, SURVIVED
42637308, 644, SURVIVED
42637308, 666, SURVIVED
42637308, 534, SURVIVED
42637308, 646, SURVIVED
42637308, 641, SURVIVED
42637308, 668, SURVIVED
42637308, 661, SURVIVED
42637308, 655, SURVIVED
42637308, 647, SURVIVED
42637308, 652, SURVIVED
42637308, 669, SURVIVED
42637308, 650, SURVIVED
42637308, 670, SURVIVED
42637308, 673, SURVIVED
42637308, 675, SURVIVED
42637308, 679, SURVIVED
42637308, 700, SURVIVED
42637308, 676, SURVIVED
42637308, 678, SURVIVED
42637308, 698, SURVIVED
42637308, 701, SURVIVED
42637308, 727, SURVIVED
42637308, 810, SURVIVED
42637308, 832, SURVIVED
42637308, 865, SURVIVED
42637308, 778, SURVIVED
42637308, 730, SURVIVED
42637308, 867, SURVIVED
42637308, 836, SURVIVED
42637308, 833, SURVIVED
42637308, 835, SURVIVED
42637308, 868, SURVIVED
42637308, 864, SURVIVED
42637308, 724, SURVIVED
42637308, 723, SURVIVED
