seed, mutant, status
3763933503, 8049, SURVIVED
3763933503, 703, SURVIVED
3763933503, 697, SURVIVED
3763933503, 7835, SURVIVED
3763933503, 2208, SURVIVED
3763933503, 2442, SURVIVED
3763933503, 4542, SURVIVED
3763933503, 2438, SURVIVED
3763933503, 7069, SURVIVED
3763933503, 2452, SURVIVED
3763933503, 11812, SURVIVED
3763933503, 2395, SURVIVED
3763933503, 8034, SURVIVED
3763933503, 7138, SURVIVED
3763933503, 7109, SURVIVED
3763933503, 2436, SURVIVED
3763933503, 8002, SURVIVED
3763933503, 11819, SURVIVED
3763933503, 7141, SURVIVED
3763933503, 2441, SURVIVED
3763933503, 2346, SURVIVED
3763933503, 7106, SURVIVED
3763933503, 2484, SURVIVED
3763933503, 7101, SURVIVED
3763933503, 7836, SURVIVED
3763933503, 2427, SURVIVED
3763933503, 2433, SURVIVED
3763933503, 7099, SURVIVED
3763933503, 2314, SURVIVED
3763933503, 2437, SURVIVED
3763933503, 8043, SURVIVED
3763933503, 2482, SURVIVED
3763933503, 7837, SURVIVED
3763933503, 7838, SURVIVED
3763933503, 7840, SURVIVED
3763933503, 7839, SURVIVED
3763933503, 7859, SURVIVED
3763933503, 7867, SURVIVED
3763933503, 7854, SURVIVED
3763933503, 7852, SURVIVED
3763933503, 7869, SURVIVED
3763933503, 7858, SURVIVED
3763933503, 7848, SURVIVED
3763933503, 7868, SURVIVED
3763933503, 7941, SURVIVED
3763933550, 2208, SURVIVED
3763933550, 2314, SURVIVED
3763933503, 7943, SURVIVED
3763933503, 7871, SURVIVED
3763933503, 7942, SURVIVED
3763933503, 7944, SURVIVED
3763933550, 2346, SURVIVED
3763933503, 7945, SURVIVED
3763933503, 7870, SURVIVED
3763933503, 8011, SURVIVED
3763933550, 2427, SURVIVED
3763933503, 8017, SURVIVED
3763933503, 7946, SURVIVED
3763933503, 8183, SURVIVED
3763933503, 1923, SURVIVED
3763933503, 6023, SURVIVED
3763933550, 2395, SURVIVED
3763933503, 6046, SURVIVED
3763933550, 2433, SURVIVED
3763933550, 2436, SURVIVED
3763933550, 2437, SURVIVED
3763933550, 2438, SURVIVED
3763933550, 2441, SURVIVED
3763933550, 2442, SURVIVED
3763933550, 2452, SURVIVED
3763933550, 4542, SURVIVED
3763933550, 2484, SURVIVED
3763933550, 697, SURVIVED
3763933550, 11085, SURVIVED
3763933550, 7069, SURVIVED
3763933550, 2482, SURVIVED
3763933550, 7099, SURVIVED
3763933550, 703, SURVIVED
3763933550, 7106, SURVIVED
3763933550, 7141, SURVIVED
3763933550, 8034, SURVIVED
3763933550, 7138, SURVIVED
3763933550, 7101, SURVIVED
3763933550, 8043, SURVIVED
3763933550, 8002, SURVIVED
3763933550, 7835, SURVIVED
3763933550, 11812, SURVIVED
3763933550, 7109, SURVIVED
3763933550, 7837, SURVIVED
3763933550, 11819, SURVIVED
3763933550, 7838, SURVIVED
3763933550, 7836, SURVIVED
3763933550, 7840, SURVIVED
3763933550, 8049, SURVIVED
3763933550, 7839, SURVIVED
3763933550, 7848, SURVIVED
3763933550, 7854, SURVIVED
3763933550, 7852, SURVIVED
3763933550, 7869, SURVIVED
3763933550, 7858, SURVIVED
3763933550, 7859, SURVIVED
3763933550, 7870, SURVIVED
3763933550, 7867, SURVIVED
3763933550, 7871, SURVIVED
3763933550, 7868, SURVIVED
3763933550, 7943, SURVIVED
3763933550, 7944, SURVIVED
3763933550, 7942, SURVIVED
3763933550, 7945, SURVIVED
3763933550, 7941, SURVIVED
3763933550, 7946, SURVIVED
3763933550, 6023, SURVIVED
3763933550, 1923, SURVIVED
3763933550, 8011, SURVIVED
3763933550, 8183, SURVIVED
3763933550, 8017, SURVIVED
3763933550, 6046, SURVIVED
3763933550, 6055, SURVIVED
3763933550, 6078, SURVIVED
3763933515, 7836, SURVIVED
3763933515, 7835, SURVIVED
3763933515, 7854, SURVIVED
3763933515, 7837, SURVIVED
3763933515, 7838, SURVIVED
3763933515, 7839, SURVIVED
3763933515, 7840, SURVIVED
3763933515, 7848, SURVIVED
3763933515, 7852, SURVIVED
3763933515, 7859, SURVIVED
3763933515, 7858, SURVIVED
3763933515, 7869, SURVIVED
3763933515, 7870, SURVIVED
3763933515, 7867, SURVIVED
3763933515, 7868, SURVIVED
3763933521, 7069, SURVIVED
3763933515, 11085, SURVIVED
3763933515, 7871, SURVIVED
3763933521, 7109, SURVIVED
3763933521, 7099, SURVIVED
3763933521, 11085, SURVIVED
3763933521, 2208, SURVIVED
3763933521, 4542, SURVIVED
3763933521, 7101, SURVIVED
3763933521, 7838, SURVIVED
3763933521, 7141, SURVIVED
3763933521, 7106, SURVIVED
3763933521, 7836, SURVIVED
3763933521, 7835, SURVIVED
3763933521, 7138, SURVIVED
3763933521, 7837, SURVIVED
3763933521, 7839, SURVIVED
3763933521, 7867, SURVIVED
3763933521, 7848, SURVIVED
3763933521, 7852, SURVIVED
3763933521, 7840, SURVIVED
3763933521, 7854, SURVIVED
3763933521, 7869, SURVIVED
3763933521, 7858, SURVIVED
3763933521, 7868, SURVIVED
3763933521, 7859, SURVIVED
3763933521, 7870, SURVIVED
3763933521, 7871, SURVIVED
3763933521, 7941, SURVIVED
3763933521, 7944, SURVIVED
3763933521, 7945, SURVIVED
3763933521, 7943, SURVIVED
3763933521, 7942, SURVIVED
3763933521, 7946, SURVIVED
3763933521, 8017, SURVIVED
3763933521, 8043, SURVIVED
3763933521, 8002, SURVIVED
3763933521, 8011, SURVIVED
3763933521, 8034, SURVIVED
3763933521, 6023, SURVIVED
3763933521, 8049, SURVIVED
3763933521, 6055, SURVIVED
3763933521, 6046, SURVIVED
3763933519, 2346, SURVIVED
3763933521, 6078, SURVIVED
3763933521, 8183, SURVIVED
3763933519, 2314, SURVIVED
3763933519, 2208, SURVIVED
3763933519, 2395, SURVIVED
3763933519, 2441, SURVIVED
3763933519, 2433, SURVIVED
3763933519, 2436, SURVIVED
3763933519, 2438, SURVIVED
3763933519, 2427, SURVIVED
3763933519, 2452, SURVIVED
3763933519, 2437, SURVIVED
3763933519, 2442, SURVIVED
3763933519, 2482, SURVIVED
3763933519, 697, SURVIVED
3763933519, 2484, SURVIVED
3763933519, 4542, SURVIVED
3763933519, 11085, SURVIVED
3763933519, 703, SURVIVED
3763933519, 7069, SURVIVED
3763933519, 7101, SURVIVED
3763933519, 7099, SURVIVED
3763933519, 7109, SURVIVED
3763933519, 11812, SURVIVED
3763933519, 7106, SURVIVED
3763933519, 8034, SURVIVED
3763933519, 8002, SURVIVED
3763933519, 7138, SURVIVED
3763933519, 7141, SURVIVED
3763933519, 8043, SURVIVED
3763933519, 11819, SURVIVED
3763933519, 8049, SURVIVED
3763933519, 7835, SURVIVED
3763933519, 7836, SURVIVED
3763933519, 7837, SURVIVED
3763933519, 7838, SURVIVED
3763933519, 7840, SURVIVED
3763933519, 7839, SURVIVED
3763933519, 7848, SURVIVED
3763933519, 7852, SURVIVED
3763933519, 7854, SURVIVED
3763933519, 7858, SURVIVED
3763933519, 7859, SURVIVED
3763933519, 7867, SURVIVED
3763933519, 7868, SURVIVED
3763933519, 7869, SURVIVED
3763933519, 7870, SURVIVED
3763933519, 7941, SURVIVED
3763933519, 7942, SURVIVED
3763933519, 7944, SURVIVED
3763933519, 7871, SURVIVED
3763933519, 7943, SURVIVED
3763933519, 7945, SURVIVED
3763933529, 2208, SURVIVED
3763933529, 2346, SURVIVED
3763933529, 2314, SURVIVED
3763933519, 8011, SURVIVED
3763933519, 1923, SURVIVED
3763933519, 7946, SURVIVED
3763933529, 2395, SURVIVED
3763933519, 6023, SURVIVED
3763933519, 8017, SURVIVED
3763933519, 8183, SURVIVED
3763933529, 2427, SURVIVED
3763933519, 6046, SURVIVED
3763933529, 2433, SURVIVED
3763933529, 2441, SURVIVED
3763933529, 2436, SURVIVED
3763933529, 2438, SURVIVED
3763933529, 2442, SURVIVED
