seed, mutant, status
1273446111, 1655, SURVIVED
1273446115, 1655, SURVIVED
1273446159, 1655, SURVIVED
1273446108, 1655, SURVIVED
1273446116, 1655, SURVIVED
1273446113, 1655, SURVIVED
1273446129, 1655, SURVIVED
1273446132, 1655, SURVIVED
1273446151, 1655, SURVIVED
1273446103, 1655, SURVIVED
1273446143, 1655, SURVIVED
1273446107, 1655, SURVIVED
1273446167, 1655, SURVIVED
1273446147, 1655, SURVIVED
1273446141, 1655, SURVIVED
1273446157, 1655, SURVIVED
1273446189, 1655, SURVIVED
1273446124, 1655, SURVIVED
1273446161, 1655, SURVIVED
1273446106, 1655, SURVIVED
1273446121, 1655, SURVIVED
1273446148, 1655, SURVIVED
1273446101, 1655, SURVIVED
1273446122, 1655, SURVIVED
1273446119, 1655, SURVIVED
1273446110, 1655, SURVIVED
1273446104, 1655, SURVIVED
1273446100, 1655, SURVIVED
1273446179, 1655, SURVIVED
1273446118, 1655, SURVIVED
1273446140, 1655, SURVIVED
1273446102, 1655, SURVIVED
1273446127, 1655, SURVIVED
1273446123, 1655, SURVIVED
1273446120, 1655, SURVIVED
1273446112, 1655, SURVIVED
1273446133, 1655, SURVIVED
1273446135, 1655, SURVIVED
1273446183, 1655, SURVIVED
1273446105, 1655, SURVIVED
1273446153, 1655, SURVIVED
1273446156, 1655, SURVIVED
1273446125, 1655, SURVIVED
1273446139, 1655, SURVIVED
1273446164, 1655, SURVIVED
1273446145, 1655, SURVIVED
1273446155, 1655, SURVIVED
1273446191, 1655, SURVIVED
1273446199, 1655, SURVIVED
1273446171, 1655, SURVIVED
1273446187, 1655, SURVIVED
1273446142, 1655, SURVIVED
1273446109, 1655, SURVIVED
1273446134, 1655, SURVIVED
1273446114, 1655, SURVIVED
1273446194, 1655, SURVIVED
1273446137, 1655, SURVIVED
1273446154, 1655, SURVIVED
1273446131, 1655, SURVIVED
1273446146, 1655, SURVIVED
1273446186, 1655, SURVIVED
1273446166, 1655, SURVIVED
1273446196, 1655, SURVIVED
1273446180, 1655, SURVIVED
1273446165, 1655, SURVIVED
1273446138, 1655, SURVIVED
1273446192, 1655, SURVIVED
1273446174, 1655, SURVIVED
1273446182, 1655, SURVIVED
1273446149, 1655, SURVIVED
1273446176, 1655, SURVIVED
1273446150, 1655, SURVIVED
1273446195, 1655, SURVIVED
1273446144, 1655, SURVIVED
1273446197, 1655, SURVIVED
1273446175, 1655, SURVIVED
1273446188, 1655, SURVIVED
1273446162, 1655, SURVIVED
1273446168, 1655, SURVIVED
1273446158, 1655, SURVIVED
1273446136, 1655, SURVIVED
1273446170, 1655, SURVIVED
1273446185, 1655, SURVIVED
1273446169, 1655, SURVIVED
1273446177, 1655, SURVIVED
1273446128, 1655, SURVIVED
1273446190, 1655, SURVIVED
1273446178, 1655, SURVIVED
1273446130, 1655, SURVIVED
1273446172, 1655, SURVIVED
1273446184, 1655, SURVIVED
1273446193, 1655, SURVIVED
1273446181, 1655, SURVIVED
1273446163, 1655, SURVIVED
1273446198, 1655, SURVIVED
