seed, mutant, status
888993257, 1226, SURVIVED
888993222, 1226, SURVIVED
888993256, 1226, SURVIVED
888993253, 1486, SURVIVED
888993239, 1226, SURVIVED
888993253, 1548, SURVIVED
888993253, 1258, SURVIVED
888993253, 1226, SURVIVED
888993202, 1258, SURVIVED
888993202, 1226, SURVIVED
888993236, 1226, SURVIVED
888993224, 1226, SURVIVED
888993212, 1258, SURVIVED
888993219, 1258, SURVIVED
888993212, 1226, SURVIVED
888993212, 1486, SURVIVED
888993212, 1548, SURVIVED
888993219, 1226, SURVIVED
888993227, 1226, SURVIVED
888993210, 1226, SURVIVED
888993210, 1258, SURVIVED
888993216, 1226, SURVIVED
888993226, 1226, SURVIVED
888993226, 1258, SURVIVED
888993227, 1258, SURVIVED
888993282, 1258, SURVIVED
888993217, 1226, SURVIVED
888993282, 1226, SURVIVED
888993282, 1486, SURVIVED
888993254, 4309, SURVIVED
888993282, 1548, SURVIVED
888993282, 4308, SURVIVED
888993254, 4343, SURVIVED
888993289, 4309, SURVIVED
888993254, 4308, SURVIVED
888993259, 1226, SURVIVED
888993289, 4308, SURVIVED
888993282, 4309, SURVIVED
888993254, 4311, SURVIVED
888993285, 1226, SURVIVED
888993282, 4311, SURVIVED
888993254, 4341, SURVIVED
888993254, 4340, SURVIVED
888993282, 4340, SURVIVED
888993282, 4341, SURVIVED
888993282, 4343, SURVIVED
888993213, 1226, SURVIVED
888993213, 1548, SURVIVED
888993213, 1486, SURVIVED
888993289, 4311, SURVIVED
888993204, 1226, SURVIVED
888993214, 1226, SURVIVED
888993289, 4340, SURVIVED
888993289, 4343, SURVIVED
888993289, 4341, SURVIVED
888993238, 84, SURVIVED
888993238, 89, SURVIVED
888993238, 93, SURVIVED
888993238, 96, SURVIVED
888993250, 1226, SURVIVED
888993238, 99, SURVIVED
888993238, 101, SURVIVED
888993238, 102, SURVIVED
888993238, 100, SURVIVED
888993247, 1258, SURVIVED
888993238, 116, SURVIVED
888993238, 107, SURVIVED
888993238, 4308, SURVIVED
888993238, 106, SURVIVED
888993247, 1226, SURVIVED
888993238, 111, SURVIVED
888993238, 112, SURVIVED
888993238, 1226, SURVIVED
888993238, 108, SURVIVED
888993238, 4309, SURVIVED
