seed, mutant, status
1519570925, 7463, SURVIVED
1519570925, 5145, SURVIVED
1519570925, 5938, SURVIVED
1519570925, 5210, SURVIVED
1519570925, 4335, SURVIVED
1519570925, 5303, SURVIVED
1519570925, 5166, SURVIVED
1519570925, 5247, SURVIVED
1519570925, 5101, SURVIVED
1519570925, 7434, SURVIVED
1519570925, 7466, SURVIVED
1519570925, 5229, SURVIVED
1519570925, 5106, SURVIVED
1519570925, 5215, SURVIVED
1519570925, 7476, SURVIVED
1519570925, 7431, SURVIVED
1519570925, 5197, SURVIVED
1519570925, 5209, SURVIVED
1519570925, 5242, SURVIVED
1519570925, 7432, SURVIVED
1519570925, 5271, SURVIVED
1519570925, 5177, SURVIVED
1519570925, 5109, SURVIVED
1519570925, 5097, SURVIVED
1519570925, 7444, SURVIVED
1519570925, 5246, SURVIVED
1519570925, 7464, SURVIVED
1519570925, 5100, SURVIVED
1519570925, 4337, SURVIVED
1519570925, 5214, SURVIVED
1519570925, 5241, SURVIVED
1519570925, 4334, SURVIVED
1519570925, 7512, SURVIVED
1519570925, 7513, SURVIVED
1519570925, 7510, SURVIVED
1519570925, 7511, SURVIVED
1519570925, 7542, SURVIVED
1519570925, 7514, SURVIVED
1519570925, 7543, SURVIVED
1519570925, 7546, SURVIVED
1519570925, 7619, SURVIVED
1519570925, 7515, SURVIVED
1519570925, 7547, SURVIVED
1519570925, 7544, SURVIVED
1519570925, 9493, SURVIVED
1519570925, 7651, SURVIVED
1519570925, 9492, SURVIVED
1519570925, 8334, SURVIVED
1519570925, 9496, SURVIVED
1519570925, 9507, SURVIVED
1519570925, 7545, SURVIVED
1519570925, 9491, SURVIVED
1519570925, 9497, SURVIVED
1519570925, 9513, SURVIVED
1519570925, 9504, SURVIVED
1519570925, 7646, SURVIVED
1519570925, 9516, SURVIVED
1519570925, 8058, SURVIVED
1519570925, 9512, SURVIVED
1519570925, 9508, SURVIVED
1519570925, 9511, SURVIVED
1519570925, 9510, SURVIVED
1519570925, 9509, SURVIVED
1519570925, 9515, SURVIVED
1519570925, 9520, SURVIVED
1519570925, 9524, SURVIVED
1519570925, 9525, SURVIVED
1519570925, 9528, SURVIVED
1519570925, 9523, SURVIVED
1519570925, 9569, SURVIVED
1519570925, 9572, SURVIVED
1519570925, 9573, SURVIVED
1519570925, 9570, SURVIVED
1519570925, 9571, SURVIVED
1519570925, 9529, SURVIVED
1519570925, 9575, SURVIVED
1519570925, 9577, SURVIVED
1519570925, 13039, SURVIVED
1519570928, 4337, SURVIVED
1519570928, 4800, SURVIVED
1519570928, 4335, SURVIVED
1519570925, 13295, SURVIVED
1519570925, 13304, SURVIVED
1519570928, 4807, SURVIVED
1519570928, 4812, SURVIVED
1519570928, 4334, SURVIVED
1519570928, 4803, SURVIVED
1519570928, 5101, SURVIVED
1519570928, 5109, SURVIVED
1519570925, 13299, SURVIVED
1519570928, 5106, SURVIVED
1519570928, 5097, SURVIVED
1519570928, 5100, SURVIVED
1519570925, 24059, SURVIVED
1519570925, 23944, SURVIVED
1519570925, 24070, SURVIVED
1519570928, 5209, SURVIVED
1519570928, 5166, SURVIVED
1519570928, 5214, SURVIVED
1519570928, 5145, SURVIVED
1519570928, 5197, SURVIVED
1519570928, 5177, SURVIVED
1519570928, 5210, SURVIVED
1519570928, 5246, SURVIVED
1519570928, 5241, SURVIVED
1519570928, 5271, SURVIVED
1519570928, 5242, SURVIVED
1519570928, 5247, SURVIVED
1519570928, 5229, SURVIVED
1519570928, 5215, SURVIVED
1519570928, 7432, SURVIVED
1519570928, 5303, SURVIVED
1519570928, 5938, SURVIVED
1519570928, 7431, SURVIVED
1519570928, 7444, SURVIVED
1519570928, 7464, SURVIVED
1519570928, 7434, SURVIVED
1519570928, 7463, SURVIVED
1519570928, 7542, SURVIVED
1519570928, 7466, SURVIVED
1519570928, 7510, SURVIVED
1519570928, 7543, SURVIVED
1519570928, 7476, SURVIVED
1519570928, 7514, SURVIVED
1519570928, 7511, SURVIVED
1519570928, 7513, SURVIVED
1519570928, 7512, SURVIVED
1519570928, 7515, SURVIVED
1519570928, 7651, SURVIVED
1519570928, 7544, SURVIVED
1519570928, 7545, SURVIVED
1519570928, 7547, SURVIVED
1519570928, 7546, SURVIVED
1519570928, 7619, SURVIVED
1519570928, 7646, SURVIVED
1519570928, 9492, SURVIVED
1519570928, 9493, SURVIVED
1519570928, 9496, SURVIVED
1519570928, 9504, SURVIVED
1519570928, 9497, SURVIVED
1519570928, 9491, SURVIVED
1519570928, 9507, SURVIVED
1519570928, 9511, SURVIVED
1519570928, 9509, SURVIVED
1519570928, 9512, SURVIVED
1519570928, 9515, SURVIVED
1519570928, 9513, SURVIVED
1519570928, 9510, SURVIVED
1519570928, 9516, SURVIVED
1519570928, 9508, SURVIVED
1519570928, 9570, SURVIVED
1519570928, 9523, SURVIVED
1519570928, 9569, SURVIVED
1519570928, 9524, SURVIVED
1519570928, 9528, SURVIVED
1519570928, 9525, SURVIVED
1519570928, 9571, SURVIVED
1519570928, 9572, SURVIVED
1519570928, 9520, SURVIVED
1519570928, 9529, SURVIVED
1519570928, 9577, SURVIVED
1519570928, 9810, SURVIVED
1519570928, 9573, SURVIVED
1519570928, 9575, SURVIVED
1519570928, 20322, SURVIVED
1519570930, 611, SURVIVED
1519570930, 2171, SURVIVED
1519570930, 2025, SURVIVED
1519570930, 624, SURVIVED
1519570930, 2170, SURVIVED
1519570930, 2138, SURVIVED
1519570930, 613, SURVIVED
1519570930, 614, SURVIVED
1519570930, 2139, SURVIVED
1519570930, 2336, SURVIVED
1519570930, 2579, SURVIVED
1519570930, 2304, SURVIVED
1519570930, 4334, SURVIVED
1519570930, 3146, SURVIVED
1519570930, 2611, SURVIVED
1519570930, 2353, SURVIVED
1519570930, 4335, SURVIVED
1519570930, 5177, SURVIVED
