seed, mutant, status
397225316, 5671, SURVIVED
397225316, 5672, SURVIVED
397225362, 4144, SURVIVED
397225362, 4156, SURVIVED
397225362, 4412, SURVIVED
397225362, 4157, SURVIVED
397225362, 4158, SURVIVED
397225362, 4120, SURVIVED
397225362, 4121, SURVIVED
397225362, 4124, SURVIVED
397225362, 4112, SURVIVED
397225362, 4125, SURVIVED
397225362, 4103, SURVIVED
397225362, 4443, SURVIVED
397225362, 4135, SURVIVED
397225362, 4408, SURVIVED
397225362, 4411, SURVIVED
397225362, 4413, SURVIVED
397225362, 4126, SURVIVED
397225362, 4152, SURVIVED
397225362, 556, SURVIVED
397225362, 2665, SURVIVED
397225362, 4444, SURVIVED
397225362, 4567, SURVIVED
397225362, 4153, SURVIVED
397225362, 4578, SURVIVED
397225362, 4574, SURVIVED
397225362, 4445, SURVIVED
397225362, 4401, SURVIVED
397225362, 2662, SURVIVED
397225301, 5671, SURVIVED
397225301, 5672, SURVIVED
397225362, 2681, SURVIVED
397225362, 2677, SURVIVED
397225362, 2682, SURVIVED
397225362, 2701, SURVIVED
397225362, 2702, SURVIVED
397225362, 2704, SURVIVED
397225362, 2703, SURVIVED
397225362, 2684, SURVIVED
397225362, 2698, SURVIVED
397225362, 2709, SURVIVED
397225362, 2733, SURVIVED
397225362, 2710, SURVIVED
397225362, 2706, SURVIVED
397225362, 2730, SURVIVED
397225362, 2713, SURVIVED
397225362, 2708, SURVIVED
397225362, 2736, SURVIVED
397225362, 2727, SURVIVED
397225362, 2735, SURVIVED
397225362, 2763, SURVIVED
397225362, 2734, SURVIVED
397225362, 2742, SURVIVED
397225362, 2745, SURVIVED
397225362, 2738, SURVIVED
397225362, 2740, SURVIVED
397225362, 2758, SURVIVED
397225362, 2741, SURVIVED
397225362, 2582, SURVIVED
397225362, 2737, SURVIVED
397225362, 4843, SURVIVED
397225362, 4845, SURVIVED
397225362, 4842, SURVIVED
397225362, 4869, SURVIVED
397225362, 4894, SURVIVED
397225362, 3396, SURVIVED
397225362, 4901, SURVIVED
397225362, 4846, SURVIVED
397225362, 4571, SURVIVED
397225362, 3428, SURVIVED
397225362, 2747, SURVIVED
397225362, 5671, SURVIVED
397225362, 5625, SURVIVED
397225362, 5626, SURVIVED
