seed, mutant, status
1509786630, 206, SURVIVED
1509786630, 217, SURVIVED
1509786630, 212, SURVIVED
1509786630, 213, SURVIVED
1509786630, 216, SURVIVED
1509786630, 199, SURVIVED
1509786630, 214, SURVIVED
1509786630, 220, SURVIVED
1509786630, 222, SURVIVED
1509786630, 221, SURVIVED
1509786627, 216, SURVIVED
1509786627, 206, SURVIVED
1509786610, 213, SURVIVED
1509786627, 212, SURVIVED
1509786610, 206, SURVIVED
1509786627, 213, SURVIVED
1509786627, 214, SURVIVED
1509786610, 212, SURVIVED
1509786610, 199, SURVIVED
1509786627, 217, SURVIVED
1509786627, 222, SURVIVED
1509786627, 220, SURVIVED
1509786610, 220, SURVIVED
1509786610, 216, SURVIVED
1509786610, 221, SURVIVED
1509786627, 221, SURVIVED
1509786627, 199, SURVIVED
1509786610, 222, SURVIVED
1509786610, 214, SURVIVED
1509786610, 217, SURVIVED
1509786614, 206, SURVIVED
1509786614, 199, SURVIVED
1509786657, 206, SURVIVED
1509786657, 199, SURVIVED
1509786614, 216, SURVIVED
1509786614, 214, SURVIVED
1509786614, 220, SURVIVED
1509786614, 212, SURVIVED
1509786614, 221, SURVIVED
1509786614, 217, SURVIVED
1509786614, 213, SURVIVED
1509786614, 222, SURVIVED
1509786657, 212, SURVIVED
1509786657, 213, SURVIVED
1509786645, 199, SURVIVED
1509786645, 206, SURVIVED
1509786657, 220, SURVIVED
1509786657, 214, SURVIVED
1509786657, 216, SURVIVED
1509786657, 222, SURVIVED
1509786657, 217, SURVIVED
1509786645, 213, SURVIVED
1509786657, 221, SURVIVED
1509786645, 212, SURVIVED
1509786645, 214, SURVIVED
1509786645, 216, SURVIVED
1509786645, 217, SURVIVED
1509786645, 220, SURVIVED
1509786645, 221, SURVIVED
1509786624, 212, SURVIVED
1509786645, 222, SURVIVED
1509786624, 213, SURVIVED
1509786624, 206, SURVIVED
1509786624, 217, SURVIVED
1509786624, 199, SURVIVED
1509786624, 214, SURVIVED
1509786624, 216, SURVIVED
