seed, mutant, status
4023930812, 17134, SURVIVED
4023930831, 16966, SURVIVED
4023930826, 16966, SURVIVED
4023930826, 17134, SURVIVED
4023930831, 17134, SURVIVED
4023930811, 1145, SURVIVED
4023930828, 16966, SURVIVED
4023930863, 16966, SURVIVED
4023930811, 1781, SURVIVED
4023930811, 3650, SURVIVED
4023930811, 2345, SURVIVED
4023930811, 2326, SURVIVED
4023930812, 16966, SURVIVED
4023930811, 1434, SURVIVED
4023930828, 17134, SURVIVED
4023930811, 2181, SURVIVED
4023930863, 17134, SURVIVED
4023930811, 3633, SURVIVED
4023930811, 2357, SURVIVED
4023930801, 16966, SURVIVED
4023930811, 2313, SURVIVED
4023930811, 1365, SURVIVED
4023930811, 3541, SURVIVED
4023930829, 17134, SURVIVED
4023930811, 2358, SURVIVED
4023930811, 2328, SURVIVED
4023930801, 17134, SURVIVED
4023930829, 16966, SURVIVED
4023930818, 16966, SURVIVED
4023930818, 17134, SURVIVED
4023930808, 16966, SURVIVED
4023930808, 17134, SURVIVED
4023930811, 4600, SURVIVED
4023930811, 3682, SURVIVED
4023930811, 4751, SURVIVED
4023930811, 4696, SURVIVED
4023930811, 4693, SURVIVED
4023930811, 5213, SURVIVED
4023930811, 5731, SURVIVED
4023930811, 5415, SURVIVED
4023930811, 5724, SURVIVED
4023930811, 5380, SURVIVED
4023930811, 5383, SURVIVED
4023930811, 5381, SURVIVED
4023930811, 5414, SURVIVED
4023930811, 6802, SURVIVED
4023930811, 5854, SURVIVED
4023930811, 7155, SURVIVED
4023930811, 12334, SURVIVED
4023930811, 6982, SURVIVED
4023930811, 12293, SURVIVED
4023930811, 14833, SURVIVED
4023930811, 14832, SURVIVED
4023930811, 14830, SURVIVED
4023930811, 14112, SURVIVED
4023930811, 14872, SURVIVED
4023930811, 14870, SURVIVED
4023930811, 14871, SURVIVED
4023930811, 14294, SURVIVED
4023930811, 14829, SURVIVED
4023930811, 14817, SURVIVED
4023930811, 14831, SURVIVED
4023930811, 14903, SURVIVED
4023930811, 14902, SURVIVED
4023930811, 14904, SURVIVED
4023930811, 15126, SURVIVED
4023930811, 15313, SURVIVED
4023930811, 15311, SURVIVED
4023930811, 15308, SURVIVED
4023930811, 15312, SURVIVED
4023930811, 15342, SURVIVED
4023930811, 15349, SURVIVED
4023930811, 16685, SURVIVED
4023930811, 16717, SURVIVED
4023930811, 15338, SURVIVED
4023930811, 16966, SURVIVED
4023930811, 17134, SURVIVED
4023930811, 15318, SURVIVED
4023930811, 15341, SURVIVED
4023930811, 15319, SURVIVED
4023930811, 15343, SURVIVED
4023930823, 1348, SURVIVED
4023930823, 1145, SURVIVED
4023930823, 2328, SURVIVED
4023930823, 1781, SURVIVED
4023930823, 2313, SURVIVED
4023930823, 1434, SURVIVED
4023930823, 2181, SURVIVED
4023930823, 1349, SURVIVED
4023930823, 1365, SURVIVED
4023930823, 2345, SURVIVED
4023930823, 2357, SURVIVED
4023930823, 2326, SURVIVED
4023930823, 2358, SURVIVED
4023930823, 3633, SURVIVED
4023930823, 3541, SURVIVED
4023930823, 3650, SURVIVED
4023930823, 3682, SURVIVED
4023930823, 4600, SURVIVED
4023930823, 4751, SURVIVED
4023930823, 4693, SURVIVED
4023930823, 4696, SURVIVED
4023930823, 5415, SURVIVED
4023930823, 5414, SURVIVED
4023930823, 5731, SURVIVED
4023930823, 5383, SURVIVED
4023930823, 5724, SURVIVED
4023930823, 5213, SURVIVED
4023930823, 5381, SURVIVED
4023930823, 5953, SURVIVED
4023930823, 6544, SURVIVED
4023930823, 5380, SURVIVED
4023930823, 5854, SURVIVED
4023930823, 12293, SURVIVED
4023930823, 14294, SURVIVED
4023930823, 6802, SURVIVED
4023930823, 12334, SURVIVED
4023930823, 14112, SURVIVED
4023930823, 14829, SURVIVED
4023930823, 6552, SURVIVED
4023930823, 14817, SURVIVED
4023930823, 14830, SURVIVED
4023930823, 6982, SURVIVED
4023930823, 7155, SURVIVED
4023930823, 14832, SURVIVED
4023930823, 14831, SURVIVED
4023930823, 14833, SURVIVED
4023930823, 14870, SURVIVED
4023930823, 14872, SURVIVED
4023930823, 14902, SURVIVED
4023930823, 14903, SURVIVED
4023930823, 14904, SURVIVED
4023930823, 15308, SURVIVED
4023930823, 15126, SURVIVED
4023930823, 15200, SURVIVED
4023930823, 14871, SURVIVED
4023930823, 15313, SURVIVED
4023930823, 15311, SURVIVED
4023930823, 15312, SURVIVED
4023930823, 15319, SURVIVED
4023930823, 15338, SURVIVED
4023930823, 15343, SURVIVED
4023930823, 15342, SURVIVED
4023930823, 15318, SURVIVED
4023930823, 15341, SURVIVED
4023930823, 15349, SURVIVED
4023930823, 16586, SURVIVED
4023930823, 16486, SURVIVED
4023930823, 16598, SURVIVED
4023930823, 16585, SURVIVED
4023930823, 16485, SURVIVED
4023930823, 16479, SURVIVED
4023930823, 16604, SURVIVED
4023930823, 16570, SURVIVED
4023930823, 16488, SURVIVED
4023930823, 15691, SURVIVED
4023930823, 16489, SURVIVED
4023930823, 16617, SURVIVED
4023930823, 16618, SURVIVED
4023930823, 16630, SURVIVED
4023930823, 16636, SURVIVED
4023930895, 16966, SURVIVED
4023930895, 17134, SURVIVED
4023930823, 16640, SURVIVED
4023930823, 16685, SURVIVED
4023930823, 16966, SURVIVED
4023930823, 17134, SURVIVED
4023930823, 16717, SURVIVED
4023930809, 16717, SURVIVED
4023930809, 16685, SURVIVED
4023930809, 1365, SURVIVED
4023930809, 1862, SURVIVED
4023930809, 16966, SURVIVED
4023930809, 1434, SURVIVED
4023930809, 1863, SURVIVED
4023930809, 1781, SURVIVED
4023930809, 1145, SURVIVED
4023930809, 17134, SURVIVED
4023930809, 2181, SURVIVED
4023930809, 2232, SURVIVED
4023930809, 2313, SURVIVED
4023930809, 2326, SURVIVED
4023930809, 2328, SURVIVED
4023930809, 2358, SURVIVED
4023930809, 3541, SURVIVED
4023930809, 2357, SURVIVED
4023930809, 3879, SURVIVED
4023930809, 2345, SURVIVED
4023930809, 3633, SURVIVED
4023930809, 3682, SURVIVED
4023930809, 3650, SURVIVED
4023930809, 3858, SURVIVED
4023930809, 3880, SURVIVED
4023930809, 3890, SURVIVED
4023930809, 3919, SURVIVED
4023930809, 3948, SURVIVED
4023930809, 3946, SURVIVED
4023930809, 3914, SURVIVED
4023930809, 3916, SURVIVED
4023930809, 3951, SURVIVED
4023930809, 12334, SURVIVED
4023930809, 4189, SURVIVED
4023930809, 4600, SURVIVED
4023930809, 4693, SURVIVED
4023930809, 12293, SURVIVED
4023930809, 4191, SURVIVED
4023930809, 4751, SURVIVED
4023930809, 5381, SURVIVED
4023930809, 5380, SURVIVED
4023930809, 4192, SURVIVED
4023930809, 4696, SURVIVED
4023930809, 5213, SURVIVED
4023930809, 5383, SURVIVED
4023930809, 5414, SURVIVED
4023930809, 5415, SURVIVED
4023930809, 5724, SURVIVED
4023930809, 5731, SURVIVED
4023930809, 15318, SURVIVED
4023930809, 15308, SURVIVED
4023930809, 15319, SURVIVED
4023930809, 5854, SURVIVED
4023930809, 15311, SURVIVED
4023930809, 15313, SURVIVED
4023930809, 15312, SURVIVED
4023930806, 1145, SURVIVED
4023930809, 15338, SURVIVED
4023930809, 15349, SURVIVED
4023930809, 15343, SURVIVED
4023930806, 1365, SURVIVED
4023930806, 1434, SURVIVED
4023930809, 15342, SURVIVED
4023930809, 15341, SURVIVED
4023930806, 1862, SURVIVED
4023930806, 1781, SURVIVED
4023930806, 1919, SURVIVED
4023930806, 1863, SURVIVED
4023930806, 1951, SURVIVED
4023930806, 1920, SURVIVED
4023930806, 1953, SURVIVED
4023930806, 1928, SURVIVED
4023930806, 1924, SURVIVED
4023930806, 1921, SURVIVED
4023930806, 1960, SURVIVED
4023930806, 1925, SURVIVED
4023930806, 1937, SURVIVED
4023930806, 1956, SURVIVED
4023930806, 1932, SURVIVED
4023930806, 1987, SURVIVED
4023930806, 1957, SURVIVED
4023930806, 1969, SURVIVED
4023930806, 1952, SURVIVED
4023930806, 2042, SURVIVED
4023930806, 1983, SURVIVED
4023930806, 2019, SURVIVED
4023930806, 1964, SURVIVED
4023930806, 2010, SURVIVED
4023930806, 1976, SURVIVED
4023930806, 2181, SURVIVED
4023930806, 2345, SURVIVED
4023930806, 2141, SURVIVED
4023930806, 2313, SURVIVED
4023930806, 2328, SURVIVED
4023930806, 2357, SURVIVED
4023930806, 2326, SURVIVED
4023930806, 3650, SURVIVED
4023930806, 3682, SURVIVED
4023930806, 3541, SURVIVED
4023930806, 3890, SURVIVED
4023930806, 3880, SURVIVED
4023930806, 2358, SURVIVED
4023930806, 3919, SURVIVED
4023930806, 3879, SURVIVED
4023930806, 3858, SURVIVED
4023930806, 3916, SURVIVED
4023930806, 3948, SURVIVED
4023930806, 3914, SURVIVED
4023930806, 3946, SURVIVED
4023930806, 3633, SURVIVED
4023930806, 5854, SURVIVED
4023930806, 3951, SURVIVED
4023930806, 5380, SURVIVED
4023930806, 4033, SURVIVED
4023930806, 5383, SURVIVED
4023930806, 4693, SURVIVED
4023930806, 4696, SURVIVED
4023930806, 5213, SURVIVED
4023930806, 4600, SURVIVED
4023930806, 5415, SURVIVED
4023930806, 5724, SURVIVED
4023930806, 5953, SURVIVED
4023930806, 4751, SURVIVED
4023930806, 5381, SURVIVED
4023930806, 12293, SURVIVED
4023930806, 7155, SURVIVED
4023930806, 6802, SURVIVED
4023930806, 5414, SURVIVED
4023930806, 5731, SURVIVED
4023930806, 14294, SURVIVED
4023930806, 12334, SURVIVED
4023930806, 6982, SURVIVED
4023930806, 14112, SURVIVED
4023930806, 14829, SURVIVED
4023930806, 14871, SURVIVED
4023930806, 14817, SURVIVED
4023930806, 14830, SURVIVED
4023930806, 14831, SURVIVED
4023930806, 14832, SURVIVED
4023930806, 14903, SURVIVED
4023930806, 15200, SURVIVED
4023930806, 15311, SURVIVED
4023930806, 15126, SURVIVED
4023930806, 14833, SURVIVED
4023930806, 14872, SURVIVED
4023930806, 14904, SURVIVED
4023930806, 14902, SURVIVED
4023930806, 14870, SURVIVED
4023930806, 15318, SURVIVED
4023930806, 15308, SURVIVED
4023930806, 15338, SURVIVED
4023930806, 15313, SURVIVED
4023930806, 15312, SURVIVED
4023930806, 15341, SURVIVED
4023930806, 15342, SURVIVED
4023930806, 15691, SURVIVED
4023930806, 15349, SURVIVED
4023930806, 15343, SURVIVED
4023930806, 16479, SURVIVED
4023930806, 15319, SURVIVED
4023930806, 16488, SURVIVED
4023930806, 16489, SURVIVED
4023930806, 16485, SURVIVED
4023930806, 16511, SURVIVED
4023930806, 16486, SURVIVED
4023930806, 16512, SURVIVED
4023930806, 16518, SURVIVED
4023930806, 16522, SURVIVED
4023930806, 16515, SURVIVED
4023930806, 16523, SURVIVED
4023930806, 16525, SURVIVED
4023930806, 16528, SURVIVED
4023930806, 16526, SURVIVED
4023930806, 16530, SURVIVED
4023930806, 16519, SURVIVED
4023930806, 16538, SURVIVED
4023930806, 16529, SURVIVED
4023930806, 16544, SURVIVED
4023930806, 16585, SURVIVED
4023930806, 16570, SURVIVED
4023930806, 16617, SURVIVED
4023930806, 16618, SURVIVED
4023930806, 16604, SURVIVED
4023930806, 16598, SURVIVED
4023930806, 16586, SURVIVED
4023930806, 16630, SURVIVED
4023930806, 16685, SURVIVED
4023930806, 16636, SURVIVED
4023930806, 16640, SURVIVED
4023930806, 16717, SURVIVED
4023930825, 1365, SURVIVED
4023930825, 1145, SURVIVED
4023930825, 1434, SURVIVED
4023930806, 16763, SURVIVED
4023930806, 16966, SURVIVED
4023930825, 1781, SURVIVED
4023930825, 2326, SURVIVED
4023930825, 2313, SURVIVED
4023930825, 2181, SURVIVED
4023930825, 2328, SURVIVED
4023930806, 17134, SURVIVED
4023930825, 2345, SURVIVED
4023930825, 2357, SURVIVED
4023930825, 2358, SURVIVED
4023930825, 3633, SURVIVED
4023930825, 3541, SURVIVED
4023930825, 3650, SURVIVED
4023930825, 4600, SURVIVED
4023930825, 3682, SURVIVED
4023930825, 4693, SURVIVED
4023930825, 4751, SURVIVED
4023930825, 4696, SURVIVED
4023930825, 5380, SURVIVED
4023930825, 5383, SURVIVED
4023930825, 5414, SURVIVED
4023930825, 5381, SURVIVED
4023930825, 5213, SURVIVED
4023930825, 5415, SURVIVED
4023930825, 5854, SURVIVED
4023930825, 5731, SURVIVED
4023930825, 5724, SURVIVED
4023930825, 14112, SURVIVED
4023930825, 14294, SURVIVED
4023930825, 7155, SURVIVED
4023930825, 12334, SURVIVED
4023930825, 6802, SURVIVED
