seed, mutant, status
3743576723, 58, KILLED_FAILED
3743576723, 60, KILLED_FAILED
3743576723, 48, KILLED_FAILED
3743576723, 950, SURVIVED
3743576723, 952, SURVIVED
3743576723, 35, SURVIVED
3743576723, 6, SURVIVED
3743576723, 68, SURVIVED
3743576723, 18, SURVIVED
3743576723, 951, SURVIVED
3743576723, 74, SURVIVED
3743576723, 75, SURVIVED
3743576723, 949, SURVIVED
3743576723, 3, SURVIVED
3743576723, 938, SURVIVED
3743576723, 71, SURVIVED
3743576723, 51, SURVIVED
3743576723, 50, SURVIVED
3743576723, 19, SURVIVED
3743576723, 59, SURVIVED
3743576723, 948, SURVIVED
3743576723, 947, SURVIVED
3743576723, 981, SURVIVED
3743576723, 1109, SURVIVED
3743576723, 1013, SURVIVED
3743576723, 1111, SURVIVED
3743576723, 1114, SURVIVED
3743576723, 1146, SURVIVED
3743576723, 1143, SURVIVED
3743576723, 1362, SURVIVED
3743576723, 1344, SURVIVED
3743576723, 1141, SURVIVED
3743576723, 1617, SURVIVED
3743576723, 1345, SURVIVED
3743576723, 1614, SURVIVED
3743576723, 1377, SURVIVED
3743576723, 1615, SURVIVED
3743576723, 1394, SURVIVED
3743576723, 1618, SURVIVED
3743576723, 1580, SURVIVED
3743576723, 1376, SURVIVED
3743576723, 1548, SURVIVED
3743576723, 1619, SURVIVED
3743576723, 1616, SURVIVED
3743576723, 1646, SURVIVED
3743576723, 1649, SURVIVED
3743576723, 52, KILLED_FAILED
3743576723, 1647, SURVIVED
3743576723, 1648, SURVIVED
3743576723, 1650, SURVIVED
3743576723, 1861, SURVIVED
3743576723, 3970, SURVIVED
3743576723, 1697, SURVIVED
3743576723, 1665, SURVIVED
3743576723, 1651, SURVIVED
3743576723, 53, KILLED_TIMEOUT
3743576723, 56, KILLED_TIMEOUT
3743576723, 20, KILLED_TIMEOUT
3743576723, 57, KILLED_TIMEOUT
3743576723, 55, KILLED_TIMEOUT
3743576723, 54, KILLED_TIMEOUT
3743576723, 16, KILLED_TIMEOUT
3743576723, 49, KILLED_TIMEOUT
3743576723, 28, KILLED_TIMEOUT
294688056, 28, SURVIVED
294688056, 3, SURVIVED
294688056, 19, SURVIVED
294688056, 20, SURVIVED
294688056, 18, SURVIVED
294688056, 16, SURVIVED
294688056, 6, SURVIVED
2559943907, 3, SURVIVED
2559943907, 6, SURVIVED
2559943907, 28, SURVIVED
2559943907, 16, SURVIVED
2559943907, 18, SURVIVED
2559943907, 19, SURVIVED
2559943907, 20, SURVIVED
1980386912, 951, SURVIVED
1980386912, 948, SURVIVED
1980386912, 3, SURVIVED
1980386912, 1377, SURVIVED
1980386912, 1114, SURVIVED
1980386912, 1362, SURVIVED
1980386912, 1109, SURVIVED
1980386912, 1143, SURVIVED
1980386912, 949, SURVIVED
1980386912, 1013, SURVIVED
1980386912, 1376, SURVIVED
1980386912, 68, SURVIVED
1980386912, 28, SURVIVED
1980386912, 35, SURVIVED
1980386912, 952, SURVIVED
1980386912, 75, SURVIVED
1980386912, 1111, SURVIVED
1980386912, 950, SURVIVED
1980386912, 71, SURVIVED
1980386912, 6, SURVIVED
1980386912, 18, SURVIVED
1980386912, 1345, SURVIVED
1980386912, 938, SURVIVED
1980386912, 19, SURVIVED
1980386912, 1146, SURVIVED
1980386912, 1141, SURVIVED
1980386912, 20, SURVIVED
1980386912, 947, SURVIVED
1980386912, 981, SURVIVED
1980386912, 74, SURVIVED
1980386912, 1344, SURVIVED
1980386912, 16, SURVIVED
1980386912, 1614, SURVIVED
1980386912, 1394, SURVIVED
1980386912, 1616, SURVIVED
1980386912, 1619, SURVIVED
1980386912, 1580, SURVIVED
1980386912, 3970, SURVIVED
1980386912, 1548, SURVIVED
1980386912, 1617, SURVIVED
1980386912, 1697, SURVIVED
1980386912, 1618, SURVIVED
1980386912, 1615, SURVIVED
1980386912, 1861, SURVIVED
1980386958, 16, KILLED_FAILED
1980386958, 28, KILLED_FAILED
1980386958, 59, KILLED_FAILED
1980386958, 55, KILLED_FAILED
1980386958, 50, KILLED_FAILED
1980386958, 20, KILLED_FAILED
1980386958, 57, KILLED_FAILED
1980386958, 53, KILLED_FAILED
1980386958, 56, KILLED_FAILED
