seed, mutant, status
3456794624, 394, SURVIVED
3456794624, 369, SURVIVED
3456794624, 931, SURVIVED
3456794624, 353, SURVIVED
3456794624, 901, SURVIVED
3456794624, 932, SURVIVED
3456794624, 360, SURVIVED
3456794624, 354, SURVIVED
3456794624, 352, SURVIVED
3456794624, 902, SURVIVED
3456794654, 902, SURVIVED
3456794654, 901, SURVIVED
3456794654, 931, SURVIVED
3456794654, 360, SURVIVED
3456794654, 352, SURVIVED
3456794654, 354, SURVIVED
3456794654, 353, SURVIVED
3456794654, 494, KILLED_FAILED
3456794654, 394, SURVIVED
3456794654, 369, SURVIVED
3456794654, 484, SURVIVED
3456794654, 486, SURVIVED
3456794654, 932, SURVIVED
3456794612, 394, SURVIVED
3456794612, 932, SURVIVED
3456794654, 487, KILLED_TIMEOUT
3456794654, 492, KILLED_TIMEOUT
3456794612, 931, SURVIVED
3456794654, 493, KILLED_TIMEOUT
3456794611, 352, SURVIVED
3456794612, 352, SURVIVED
3456794612, 902, SURVIVED
3456794612, 353, SURVIVED
3456794612, 369, SURVIVED
3456794654, 488, KILLED_TIMEOUT
3456794601, 902, SURVIVED
3456794601, 394, SURVIVED
3456794612, 354, SURVIVED
3456794612, 901, SURVIVED
3456794601, 369, SURVIVED
3456794601, 901, SURVIVED
3456794612, 360, SURVIVED
3456794601, 931, SURVIVED
3456794601, 353, SURVIVED
3456794601, 352, SURVIVED
3456794601, 360, SURVIVED
3456794601, 354, SURVIVED
3456794601, 932, SURVIVED
3456794654, 483, KILLED_TIMEOUT
3456794654, 495, KILLED_TIMEOUT
3456794654, 489, KILLED_TIMEOUT
3456794654, 490, KILLED_TIMEOUT
3456794654, 491, KILLED_TIMEOUT
3456794611, 353, SURVIVED
3456794654, 485, KILLED_TIMEOUT
3456794611, 490, KILLED_FAILED
3456794611, 488, KILLED_FAILED
3456794611, 483, KILLED_FAILED
3456794611, 487, KILLED_FAILED
3456794611, 489, KILLED_FAILED
3456794611, 491, KILLED_FAILED
3456794611, 354, SURVIVED
3456794611, 369, SURVIVED
3456794611, 484, SURVIVED
3456794611, 360, SURVIVED
3456794611, 394, SURVIVED
3456794611, 485, SURVIVED
3456794611, 931, SURVIVED
3456794611, 486, SURVIVED
3456794611, 492, SURVIVED
3456794607, 352, SURVIVED
3456794611, 495, SURVIVED
3456794607, 353, SURVIVED
3456794611, 902, SURVIVED
3456794607, 354, SURVIVED
3456794620, 485, KILLED_FAILED
3456794620, 352, SURVIVED
3456794611, 901, SURVIVED
3456794611, 493, SURVIVED
3456794611, 932, SURVIVED
3456794607, 369, SURVIVED
3456794607, 360, SURVIVED
3456794620, 354, SURVIVED
3456794607, 394, SURVIVED
3456794620, 369, SURVIVED
3456794620, 353, SURVIVED
3456794620, 360, SURVIVED
3456794620, 492, KILLED_FAILED
3456794620, 491, KILLED_FAILED
3456794620, 394, SURVIVED
3456794620, 493, KILLED_FAILED
3456794620, 495, KILLED_FAILED
3456794620, 484, SURVIVED
3456794620, 486, SURVIVED
3456794620, 932, SURVIVED
3456794620, 902, SURVIVED
3456794620, 931, SURVIVED
3456794620, 901, SURVIVED
3456794663, 492, KILLED_FAILED
3456794663, 485, KILLED_FAILED
3456794663, 493, KILLED_FAILED
3456794663, 495, KILLED_FAILED
3456794663, 353, SURVIVED
3456794663, 360, SURVIVED
3456794663, 394, SURVIVED
3456794663, 369, SURVIVED
3456794663, 484, SURVIVED
3456794663, 354, SURVIVED
3456794663, 352, SURVIVED
3456794663, 486, SURVIVED
3456794663, 901, SURVIVED
3456794663, 931, SURVIVED
3456794661, 354, SURVIVED
3456794661, 484, SURVIVED
3456794661, 352, SURVIVED
3456794663, 932, SURVIVED
3456794663, 902, SURVIVED
3456794661, 353, SURVIVED
3456794661, 486, SURVIVED
3456794661, 369, SURVIVED
3456794661, 394, SURVIVED
3456794661, 901, SURVIVED
3456794661, 360, SURVIVED
3456794661, 902, SURVIVED
3456794661, 931, SURVIVED
3456794660, 353, SURVIVED
3456794660, 354, SURVIVED
3456794660, 352, SURVIVED
3456794661, 932, SURVIVED
3456794660, 360, SURVIVED
3456794660, 369, SURVIVED
3456794686, 369, SURVIVED
3456794686, 352, SURVIVED
3456794686, 360, SURVIVED
3456794686, 354, SURVIVED
3456794660, 394, SURVIVED
3456794686, 353, SURVIVED
3456794686, 394, SURVIVED
3456794660, 902, SURVIVED
3456794660, 901, SURVIVED
3456794660, 931, SURVIVED
3456794660, 932, SURVIVED
3456794632, 360, SURVIVED
3456794686, 901, SURVIVED
3456794632, 352, SURVIVED
3456794632, 354, SURVIVED
3456794686, 931, SURVIVED
3456794686, 902, SURVIVED
3456794686, 932, SURVIVED
3456794632, 353, SURVIVED
3456794632, 394, SURVIVED
3456794632, 369, SURVIVED
3456794639, 352, SURVIVED
3456794639, 353, SURVIVED
3456794639, 354, SURVIVED
3456794639, 360, SURVIVED
3456794639, 369, SURVIVED
3456794639, 394, SURVIVED
3456794639, 901, SURVIVED
3456794639, 902, SURVIVED
3456794639, 931, SURVIVED
3456794639, 932, SURVIVED
3456794643, 353, SURVIVED
3456794643, 394, SURVIVED
3456794643, 352, SURVIVED
3456794643, 369, SURVIVED
3456794643, 360, SURVIVED
3456794643, 354, SURVIVED
3456794643, 486, SURVIVED
3456794643, 902, SURVIVED
3456794643, 484, SURVIVED
3456794643, 901, SURVIVED
3456794643, 931, SURVIVED
3456794643, 932, SURVIVED
3456794644, 352, SURVIVED
3456794644, 353, SURVIVED
3456794644, 360, SURVIVED
3456794644, 369, SURVIVED
3456794693, 352, SURVIVED
3456794693, 354, SURVIVED
3456794693, 353, SURVIVED
3456794644, 394, SURVIVED
3456794644, 354, SURVIVED
3456794644, 901, SURVIVED
3456794693, 360, SURVIVED
3456794644, 931, SURVIVED
3456794693, 369, SURVIVED
3456794644, 902, SURVIVED
3456794693, 901, SURVIVED
3456794693, 394, SURVIVED
3456794644, 932, SURVIVED
3456794693, 902, SURVIVED
3456794693, 931, SURVIVED
3456794693, 932, SURVIVED
3456794637, 353, SURVIVED
3456794637, 352, SURVIVED
3456794637, 360, SURVIVED
3456794637, 901, SURVIVED
3456794637, 354, SURVIVED
3456794637, 369, SURVIVED
3456794637, 902, SURVIVED
3456794637, 932, SURVIVED
3456794637, 394, SURVIVED
3456794637, 931, SURVIVED
3456794648, 360, SURVIVED
3456794648, 394, SURVIVED
3456794648, 354, SURVIVED
3456794648, 353, SURVIVED
3456794648, 484, SURVIVED
3456794648, 369, SURVIVED
3456794648, 902, SURVIVED
3456794648, 352, SURVIVED
3456794648, 931, SURVIVED
3456794633, 352, SURVIVED
3456794633, 353, SURVIVED
3456794633, 360, SURVIVED
3456794633, 369, SURVIVED
3456794648, 932, SURVIVED
3456794648, 486, SURVIVED
3456794633, 354, SURVIVED
3456794648, 901, SURVIVED
3456794633, 394, SURVIVED
3456794633, 484, SURVIVED
3456794633, 486, SURVIVED
3456794647, 353, SURVIVED
3456794647, 394, SURVIVED
3456794647, 352, SURVIVED
3456794633, 901, SURVIVED
3456794647, 354, SURVIVED
3456794647, 360, SURVIVED
3456794647, 369, SURVIVED
3456794647, 484, SURVIVED
3456794633, 902, SURVIVED
3456794633, 931, SURVIVED
3456794633, 932, SURVIVED
3456794647, 486, SURVIVED
3456794647, 901, SURVIVED
3456794647, 931, SURVIVED
3456794647, 902, SURVIVED
3456794647, 932, SURVIVED
3456794640, 369, SURVIVED
3456794640, 354, SURVIVED
3456794640, 352, SURVIVED
3456794640, 932, SURVIVED
3456794640, 901, SURVIVED
3456794640, 484, SURVIVED
3456794640, 486, SURVIVED
3456794640, 394, SURVIVED
3456794640, 931, SURVIVED
3456794640, 353, SURVIVED
3456794640, 902, SURVIVED
3456794640, 360, SURVIVED
3456794603, 352, SURVIVED
3456794603, 354, SURVIVED
3456794676, 352, SURVIVED
3456794603, 353, SURVIVED
3456794676, 484, SURVIVED
3456794676, 369, SURVIVED
3456794676, 360, SURVIVED
3456794676, 354, SURVIVED
3456794676, 353, SURVIVED
3456794676, 394, SURVIVED
3456794603, 360, SURVIVED
3456794603, 901, SURVIVED
3456794603, 369, SURVIVED
3456794603, 484, SURVIVED
3456794603, 931, SURVIVED
3456794603, 394, SURVIVED
3456794603, 486, SURVIVED
3456794603, 932, SURVIVED
3456794603, 902, SURVIVED
3456794676, 486, SURVIVED
3456794676, 901, SURVIVED
3456794676, 902, SURVIVED
3456794676, 931, SURVIVED
3456794676, 932, SURVIVED
3456794626, 352, SURVIVED
3456794626, 353, SURVIVED
3456794696, 360, SURVIVED
3456794696, 352, SURVIVED
3456794696, 353, SURVIVED
3456794696, 354, SURVIVED
3456794696, 369, SURVIVED
3456794626, 484, SURVIVED
3456794626, 354, SURVIVED
3456794626, 369, SURVIVED
3456794696, 931, SURVIVED
3456794696, 902, SURVIVED
3456794626, 360, SURVIVED
3456794626, 394, SURVIVED
3456794696, 901, SURVIVED
3456794696, 394, SURVIVED
3456794696, 932, SURVIVED
3456794667, 353, SURVIVED
3456794667, 352, SURVIVED
3456794667, 360, SURVIVED
3456794667, 354, SURVIVED
3456794667, 394, SURVIVED
3456794667, 369, SURVIVED
3456794626, 902, SURVIVED
3456794626, 901, SURVIVED
3456794690, 352, SURVIVED
3456794690, 369, SURVIVED
3456794690, 353, SURVIVED
3456794690, 360, SURVIVED
3456794690, 354, SURVIVED
3456794626, 486, SURVIVED
3456794690, 394, SURVIVED
3456794690, 901, SURVIVED
3456794626, 932, SURVIVED
3456794626, 931, SURVIVED
3456794690, 902, SURVIVED
3456794690, 931, SURVIVED
3456794690, 932, SURVIVED
3456794645, 352, SURVIVED
3456794645, 354, SURVIVED
3456794645, 353, SURVIVED
3456794670, 353, SURVIVED
3456794645, 360, SURVIVED
3456794645, 394, SURVIVED
3456794670, 352, SURVIVED
3456794670, 360, SURVIVED
3456794645, 369, SURVIVED
3456794670, 354, SURVIVED
3456794670, 369, SURVIVED
3456794670, 394, SURVIVED
3456794670, 484, SURVIVED
3456794670, 931, SURVIVED
3456794670, 901, SURVIVED
3456794670, 486, SURVIVED
3456794670, 902, SURVIVED
3456794645, 486, SURVIVED
3456794670, 932, SURVIVED
3456794645, 901, SURVIVED
3456794645, 484, SURVIVED
3456794645, 902, SURVIVED
3456794645, 931, SURVIVED
3456794645, 932, SURVIVED
3456794652, 352, SURVIVED
3456794652, 354, SURVIVED
3456794652, 369, SURVIVED
3456794652, 360, SURVIVED
3456794652, 353, SURVIVED
3456794620, 483, KILLED_TIMEOUT
3456794652, 901, SURVIVED
3456794652, 394, SURVIVED
3456794652, 932, SURVIVED
3456794652, 902, SURVIVED
3456794652, 931, SURVIVED
3456794697, 353, SURVIVED
3456794697, 360, SURVIVED
3456794697, 354, SURVIVED
3456794697, 369, SURVIVED
3456794697, 352, SURVIVED
3456794618, 360, SURVIVED
3456794697, 394, SURVIVED
3456794618, 394, SURVIVED
3456794618, 353, SURVIVED
3456794618, 354, SURVIVED
3456794618, 369, SURVIVED
3456794618, 352, SURVIVED
3456794618, 486, SURVIVED
3456794618, 902, SURVIVED
3456794618, 484, SURVIVED
3456794618, 932, SURVIVED
3456794618, 931, SURVIVED
3456794618, 901, SURVIVED
3456794610, 354, SURVIVED
3456794610, 394, SURVIVED
3456794610, 353, SURVIVED
3456794610, 484, SURVIVED
3456794610, 352, SURVIVED
3456794610, 360, SURVIVED
3456794610, 369, SURVIVED
3456794610, 486, SURVIVED
3456794610, 901, SURVIVED
3456794610, 902, SURVIVED
3456794610, 932, SURVIVED
3456794610, 931, SURVIVED
3992981521, 931, SURVIVED
3992981521, 902, SURVIVED
3992981521, 354, SURVIVED
3992981521, 932, SURVIVED
3992981521, 369, SURVIVED
3992981551, 902, SURVIVED
3992981521, 353, SURVIVED
3992981551, 931, SURVIVED
3992981526, 354, SURVIVED
3992981551, 394, SURVIVED
3992981526, 360, SURVIVED
3992981526, 394, SURVIVED
3992981521, 352, SURVIVED
3992981551, 369, SURVIVED
3992981521, 360, SURVIVED
3992981526, 353, SURVIVED
3992981521, 394, SURVIVED
3992981521, 901, SURVIVED
3992981551, 484, SURVIVED
3992981551, 360, SURVIVED
3992981526, 369, SURVIVED
3992981551, 486, SURVIVED
3992981526, 352, SURVIVED
3992981551, 932, SURVIVED
3992981551, 901, SURVIVED
3992981551, 354, SURVIVED
3992981551, 353, SURVIVED
3992981551, 352, SURVIVED
3992981524, 353, SURVIVED
3992981524, 360, SURVIVED
3992981524, 352, SURVIVED
3992981524, 354, SURVIVED
3992981524, 902, SURVIVED
3992981524, 394, SURVIVED
3992981524, 932, SURVIVED
3992981524, 901, SURVIVED
3992981524, 931, SURVIVED
3992981524, 369, SURVIVED
3992981502, 369, SURVIVED
3992981502, 352, SURVIVED
3992981502, 354, SURVIVED
3992981502, 353, SURVIVED
3992981502, 902, SURVIVED
3992981502, 394, SURVIVED
3992981502, 360, SURVIVED
3992981502, 901, SURVIVED
3992981502, 931, SURVIVED
3992981502, 932, SURVIVED
3992981538, 369, SURVIVED
3992981538, 360, SURVIVED
3992981538, 353, SURVIVED
3992981538, 354, SURVIVED
3992981538, 394, SURVIVED
3992981538, 352, SURVIVED
3992981528, 354, SURVIVED
3992981528, 369, SURVIVED
3992981528, 352, SURVIVED
3992981528, 353, SURVIVED
3992981528, 394, SURVIVED
3992981528, 360, SURVIVED
3992981528, 931, SURVIVED
3992981528, 901, SURVIVED
3992981528, 902, SURVIVED
3992981537, 352, SURVIVED
3992981528, 932, SURVIVED
3992981537, 353, SURVIVED
3992981537, 354, SURVIVED
3992981537, 369, SURVIVED
3992981529, 352, SURVIVED
3992981537, 360, SURVIVED
3992981537, 394, SURVIVED
3992981529, 369, SURVIVED
3992981529, 354, SURVIVED
3992981529, 360, SURVIVED
3992981529, 394, SURVIVED
3992981529, 353, SURVIVED
3992981529, 486, SURVIVED
3992981529, 932, SURVIVED
3992981529, 901, SURVIVED
3992981529, 902, SURVIVED
3992981529, 484, SURVIVED
3992981529, 931, SURVIVED
3992981517, 353, SURVIVED
3992981517, 352, SURVIVED
3992981517, 354, SURVIVED
3992981517, 360, SURVIVED
3992981517, 369, SURVIVED
3992981517, 932, SURVIVED
3992981517, 902, SURVIVED
3992981517, 394, SURVIVED
3992981517, 901, SURVIVED
3992981517, 931, SURVIVED
3992981553, 352, SURVIVED
3992981553, 353, SURVIVED
3992981553, 354, SURVIVED
3992981553, 360, SURVIVED
3992981553, 369, SURVIVED
3992981553, 394, SURVIVED
3992981553, 486, SURVIVED
3992981553, 484, SURVIVED
3992981553, 901, SURVIVED
3992981553, 902, SURVIVED
3992981555, 352, SURVIVED
3992981555, 353, SURVIVED
3992981555, 354, SURVIVED
3992981553, 932, SURVIVED
3992981555, 360, SURVIVED
3992981553, 931, SURVIVED
3992981555, 369, SURVIVED
3992981544, 352, SURVIVED
3992981555, 394, SURVIVED
3992981544, 353, SURVIVED
3992981544, 360, SURVIVED
3992981544, 354, SURVIVED
3992981544, 394, SURVIVED
3992981555, 901, SURVIVED
3992981544, 369, SURVIVED
3992981555, 902, SURVIVED
3992981555, 931, SURVIVED
3992981555, 932, SURVIVED
3992981544, 932, SURVIVED
3992981544, 901, SURVIVED
3992981544, 931, SURVIVED
3992981544, 902, SURVIVED
3992981501, 352, SURVIVED
3992981501, 353, SURVIVED
3992981501, 354, SURVIVED
3992981501, 360, SURVIVED
3992981501, 394, SURVIVED
3992981501, 369, SURVIVED
3992981501, 901, SURVIVED
3992981501, 484, SURVIVED
3992981501, 486, SURVIVED
3992981501, 902, SURVIVED
3992981583, 352, SURVIVED
3992981583, 354, SURVIVED
3992981583, 353, SURVIVED
3992981583, 394, SURVIVED
3992981583, 369, SURVIVED
3992981583, 360, SURVIVED
3992981556, 353, SURVIVED
3992981556, 360, SURVIVED
3992981556, 354, SURVIVED
3992981556, 484, SURVIVED
3992981556, 369, SURVIVED
3992981556, 394, SURVIVED
3992981556, 902, SURVIVED
3992981556, 901, SURVIVED
3992981556, 486, SURVIVED
3992981556, 932, SURVIVED
3992981556, 352, SURVIVED
3992981556, 931, SURVIVED
3992981501, 931, SURVIVED
3992981501, 932, SURVIVED
3992981548, 352, SURVIVED
3992981548, 353, SURVIVED
3992981558, 352, SURVIVED
3992981548, 354, SURVIVED
3992981548, 369, SURVIVED
3992981558, 353, SURVIVED
3992981548, 360, SURVIVED
3992981548, 901, SURVIVED
3992981548, 931, SURVIVED
3992981548, 902, SURVIVED
3992981548, 394, SURVIVED
3992981548, 932, SURVIVED
3992981558, 354, SURVIVED
3992981558, 360, SURVIVED
3992981558, 369, SURVIVED
3992981558, 931, SURVIVED
3992981558, 902, SURVIVED
3992981558, 394, SURVIVED
3992981558, 932, SURVIVED
3992981558, 901, SURVIVED
3992981518, 352, SURVIVED
3992981518, 353, SURVIVED
3992981563, 352, SURVIVED
3992981518, 354, SURVIVED
3992981518, 369, SURVIVED
3992981518, 360, SURVIVED
3992981518, 484, SURVIVED
3992981518, 394, SURVIVED
3992981518, 901, SURVIVED
3992981563, 353, SURVIVED
3992981518, 486, SURVIVED
3992981563, 354, SURVIVED
3992981563, 369, SURVIVED
3992981518, 902, SURVIVED
3992981563, 360, SURVIVED
3992981518, 931, SURVIVED
3992981518, 932, SURVIVED
3992981563, 394, SURVIVED
3992981563, 901, SURVIVED
3992981563, 902, SURVIVED
3992981563, 931, SURVIVED
3992981563, 932, SURVIVED
3992981510, 352, SURVIVED
3992981510, 353, SURVIVED
3992981510, 360, SURVIVED
3992981510, 394, SURVIVED
3992981510, 901, SURVIVED
3992981510, 354, SURVIVED
3992981510, 369, SURVIVED
3992981510, 902, SURVIVED
3992981510, 932, SURVIVED
3992981510, 931, SURVIVED
3992981562, 353, SURVIVED
3992981570, 354, SURVIVED
3992981562, 354, SURVIVED
3992981570, 353, SURVIVED
3992981562, 360, SURVIVED
3992981570, 352, SURVIVED
3992981562, 369, SURVIVED
3992981562, 352, SURVIVED
3992981570, 369, SURVIVED
3992981562, 486, SURVIVED
3992981562, 484, SURVIVED
