seed, mutant, status
2618808261, 82, SURVIVED
2618808261, 954, SURVIVED
2618808261, 234, SURVIVED
2618808261, 1047, SURVIVED
2618808261, 1236, SURVIVED
2618808261, 1121, SURVIVED
2618808261, 1309, SURVIVED
2618808261, 1144, SURVIVED
2618808261, 922, SURVIVED
2618808261, 920, SURVIVED
2618808261, 1045, SURVIVED
2618808261, 952, SURVIVED
2618808261, 1264, SURVIVED
2618808261, 1338, SURVIVED
2618808261, 1341, SURVIVED
2618808261, 1195, SURVIVED
2618808261, 1268, SURVIVED
2618808261, 1306, SURVIVED
2618808261, 958, SURVIVED
2618808261, 1232, SURVIVED
2618808261, 1077, SURVIVED
2618808261, 926, SURVIVED
2618808261, 114, SURVIVED
2618808261, 1163, SURVIVED
2618808261, 1079, SURVIVED
2618808261, 1266, SURVIVED
2618808261, 1089, SURVIVED
2618808261, 1160, SURVIVED
2618808261, 1234, SURVIVED
2618808261, 202, SURVIVED
2618808261, 1192, SURVIVED
2618808261, 1112, SURVIVED
2618808261, 1354, SURVIVED
2618808261, 1356, SURVIVED
2618808261, 1394, SURVIVED
2618808261, 1445, SURVIVED
2618808261, 1423, SURVIVED
2618808261, 1362, SURVIVED
2618808261, 1386, SURVIVED
2618808261, 1413, SURVIVED
2618808261, 1421, SURVIVED
2618808261, 1453, SURVIVED
2618808261, 1450, SURVIVED
2618808261, 1548, SURVIVED
2618808261, 1388, SURVIVED
2618808261, 1418, SURVIVED
2618808261, 1455, SURVIVED
2618808261, 1580, SURVIVED
2618808261, 2243, SURVIVED
2618808261, 2305, SURVIVED
2618808261, 2190, SURVIVED
2618808261, 2244, SURVIVED
2618808261, 2241, SURVIVED
2618808261, 2222, SURVIVED
2618808261, 2273, SURVIVED
2618808261, 2275, SURVIVED
2618808261, 2337, SURVIVED
2618808261, 2690, SURVIVED
2618808261, 2276, SURVIVED
1292699556, 82, SURVIVED
3102009286, 82, SURVIVED
3102009286, 2222, SURVIVED
3102009286, 202, SURVIVED
3102009286, 2190, SURVIVED
3102009286, 234, SURVIVED
3102009286, 114, SURVIVED
223849545, 82, SURVIVED
223849545, 2190, SURVIVED
223849545, 2222, SURVIVED
223849523, 1236, SURVIVED
223849523, 1121, SURVIVED
223849523, 952, SURVIVED
223849523, 1268, SURVIVED
223849523, 1089, SURVIVED
223849523, 922, SURVIVED
223849523, 1232, SURVIVED
223849523, 958, SURVIVED
223849523, 1112, SURVIVED
223849523, 234, SURVIVED
223849523, 920, SURVIVED
223849523, 1144, SURVIVED
223849523, 1192, SURVIVED
223849523, 1195, SURVIVED
223849523, 1077, SURVIVED
223849523, 202, SURVIVED
223849523, 1163, SURVIVED
223849523, 1045, SURVIVED
223849523, 1266, SURVIVED
223849523, 1160, SURVIVED
223849523, 1264, SURVIVED
223849523, 114, SURVIVED
223849523, 1079, SURVIVED
223849523, 1047, SURVIVED
223849523, 1306, SURVIVED
223849523, 82, SURVIVED
223849523, 926, SURVIVED
223849523, 954, SURVIVED
223849523, 1234, SURVIVED
223849523, 1309, SURVIVED
223849523, 1338, SURVIVED
223849523, 1341, SURVIVED
223849523, 1354, SURVIVED
223849523, 1362, SURVIVED
223849523, 1394, SURVIVED
223849523, 1356, SURVIVED
223849523, 1445, SURVIVED
223849523, 1386, SURVIVED
223849523, 1388, SURVIVED
223849523, 1418, SURVIVED
223849523, 1455, SURVIVED
223849523, 1413, SURVIVED
223849523, 1421, SURVIVED
223849523, 2190, SURVIVED
223849523, 2222, SURVIVED
223849523, 1580, SURVIVED
223849523, 1548, SURVIVED
223849523, 2690, SURVIVED
223849523, 2241, SURVIVED
223849523, 1423, SURVIVED
223849523, 2337, SURVIVED
223849523, 1453, SURVIVED
223849523, 2273, SURVIVED
223849523, 2305, SURVIVED
223849523, 2243, SURVIVED
223849523, 2244, SURVIVED
223849523, 1450, SURVIVED
223849523, 2275, SURVIVED
223849523, 2276, SURVIVED
