seed, mutant, status
1093908176, 1491, SURVIVED
1093908176, 1467, SURVIVED
1093908176, 1474, SURVIVED
1093908176, 1433, SURVIVED
1093908176, 1297, SURVIVED
1093908176, 1439, SURVIVED
1093908176, 1277, SURVIVED
1093908176, 1479, SURVIVED
1093908176, 1510, SURVIVED
1093908176, 1329, SURVIVED
1093908176, 1498, SURVIVED
1093908176, 1471, SURVIVED
1093908176, 1475, SURVIVED
1093908176, 1435, SURVIVED
1093908176, 1403, SURVIVED
1093908176, 1437, SURVIVED
1093908176, 1288, SURVIVED
1093908176, 1384, SURVIVED
1093908176, 1343, SURVIVED
1093908176, 1499, SURVIVED
1093908176, 1473, SURVIVED
1093908176, 5, SURVIVED
1093908176, 1469, SURVIVED
1093908176, 1511, SURVIVED
1093908176, 1507, SURVIVED
1093908176, 1472, SURVIVED
1093908176, 1495, SURVIVED
1093908176, 1465, SURVIVED
1093908176, 1352, SURVIVED
1093908176, 790, SURVIVED
1093908176, 1478, SURVIVED
1093908176, 822, SURVIVED
1093908176, 1527, SURVIVED
1093908176, 1523, SURVIVED
1093908176, 1530, SURVIVED
1093908176, 1531, SURVIVED
1622999133, 1352, SURVIVED
1622999133, 1499, SURVIVED
1622999133, 1467, SURVIVED
1622999133, 1384, SURVIVED
1622999133, 1507, SURVIVED
1622999133, 1472, SURVIVED
1622999133, 1511, SURVIVED
1622999133, 1478, SURVIVED
1622999133, 1498, SURVIVED
1622999133, 1469, SURVIVED
1622999133, 1277, SURVIVED
1622999133, 1329, SURVIVED
1622999133, 1297, SURVIVED
1622999133, 1473, SURVIVED
1622999133, 1465, SURVIVED
1622999133, 790, SURVIVED
1622999133, 1288, SURVIVED
1622999133, 822, SURVIVED
1622999133, 1510, SURVIVED
1622999133, 1439, SURVIVED
1622999133, 1491, SURVIVED
1622999133, 1479, SURVIVED
1622999133, 1475, SURVIVED
1622999133, 1343, SURVIVED
1622999133, 5, SURVIVED
1622999133, 1403, SURVIVED
1622999133, 1435, SURVIVED
1622999133, 1433, SURVIVED
1622999133, 1437, SURVIVED
1622999133, 1495, SURVIVED
1622999133, 1471, SURVIVED
1622999133, 1474, SURVIVED
1622999189, 1277, SURVIVED
1622999133, 1523, SURVIVED
1622999133, 1527, SURVIVED
1622999189, 822, SURVIVED
1622999189, 1297, SURVIVED
1622999189, 790, SURVIVED
1622999189, 1288, SURVIVED
1622999189, 1329, SURVIVED
1622999133, 1531, SURVIVED
1622999133, 1530, SURVIVED
1622999189, 1343, SURVIVED
1622999189, 5, SURVIVED
1622999189, 1433, SURVIVED
1622999189, 1403, SURVIVED
1622999189, 1472, SURVIVED
1622999189, 1384, SURVIVED
1622999189, 1437, SURVIVED
1622999189, 1439, SURVIVED
1622999189, 1471, SURVIVED
1622999189, 1473, SURVIVED
1622999189, 1474, SURVIVED
1622999189, 1467, SURVIVED
1622999189, 1469, SURVIVED
1622999189, 1352, SURVIVED
1622999189, 1435, SURVIVED
1622999189, 1475, SURVIVED
1622999189, 1465, SURVIVED
1622999189, 1498, SURVIVED
1622999189, 1478, SURVIVED
1622999189, 1479, SURVIVED
1622999189, 1491, SURVIVED
1622999189, 1495, SURVIVED
1622999189, 1499, SURVIVED
1622999189, 1507, SURVIVED
1622999189, 1531, SURVIVED
1622999189, 1510, SURVIVED
1622999189, 1511, SURVIVED
1622999189, 1523, SURVIVED
1622999189, 1527, SURVIVED
1622999189, 1530, SURVIVED
1622999199, 1311, SURVIVED
1622999199, 1499, SURVIVED
1622999199, 1471, SURVIVED
1622999199, 1475, SURVIVED
1622999199, 1384, SURVIVED
1622999199, 1472, SURVIVED
1622999199, 1437, SURVIVED
1622999199, 5, SURVIVED
1622999199, 1329, SURVIVED
1622999199, 1288, SURVIVED
1622999199, 1498, SURVIVED
1622999199, 1439, SURVIVED
1622999199, 1495, SURVIVED
1622999199, 1491, SURVIVED
1622999199, 1465, SURVIVED
1622999199, 1435, SURVIVED
1622999199, 1478, SURVIVED
1622999199, 1343, SURVIVED
1622999199, 1352, SURVIVED
1622999199, 822, SURVIVED
1622999199, 1433, SURVIVED
1622999199, 1474, SURVIVED
1622999199, 1469, SURVIVED
1622999199, 790, SURVIVED
1622999199, 1479, SURVIVED
1622999199, 1507, SURVIVED
1622999199, 1297, SURVIVED
1622999199, 1320, SURVIVED
1622999199, 1403, SURVIVED
1622999199, 1467, SURVIVED
1622999199, 1277, SURVIVED
1622999199, 1473, SURVIVED
1622999199, 1511, SURVIVED
1622999199, 1510, SURVIVED
1622999199, 1523, SURVIVED
1622999199, 1527, SURVIVED
1622999199, 1531, SURVIVED
1622999199, 1530, SURVIVED
1135109498, 822, SURVIVED
1135109498, 5, SURVIVED
1135109498, 790, SURVIVED
1135109498, 1277, SURVIVED
