seed, mutant, status
345020842, 31753, SURVIVED
345020842, 31754, SURVIVED
345020842, 31807, SURVIVED
345020842, 34025, SURVIVED
345020842, 34105, SURVIVED
345020842, 31749, SURVIVED
345020842, 31748, SURVIVED
345020842, 31755, SURVIVED
345020842, 31734, SURVIVED
345020842, 31744, SURVIVED
345020842, 31745, SURVIVED
345020842, 31739, SURVIVED
345020842, 31806, SURVIVED
345020842, 31760, SURVIVED
345020842, 34115, SURVIVED
345020842, 31746, SURVIVED
345020842, 31752, SURVIVED
345020842, 31809, SURVIVED
345020842, 31759, SURVIVED
345020842, 31805, SURVIVED
345020842, 34101, SURVIVED
345020842, 31730, SURVIVED
345020842, 31750, SURVIVED
345020842, 31758, SURVIVED
345020842, 31747, SURVIVED
345020842, 31756, SURVIVED
345020842, 34104, SURVIVED
345020842, 34113, SURVIVED
345020842, 31742, SURVIVED
345020842, 31751, SURVIVED
345020842, 34102, SURVIVED
345020842, 31757, SURVIVED
345020842, 31761, SURVIVED
345020842, 31763, SURVIVED
345020842, 31762, SURVIVED
345020842, 31772, SURVIVED
345020842, 31767, SURVIVED
345020842, 31800, SURVIVED
345020842, 31775, SURVIVED
345020842, 31783, SURVIVED
345020842, 31802, SURVIVED
345020842, 31765, SURVIVED
345020842, 31764, SURVIVED
345020842, 31780, SURVIVED
345020842, 31778, SURVIVED
345020842, 31770, SURVIVED
345020842, 31777, SURVIVED
345020842, 31810, SURVIVED
345020842, 31781, SURVIVED
345020842, 31803, SURVIVED
345020842, 31776, SURVIVED
345020842, 31774, SURVIVED
345020842, 31833, SURVIVED
345020842, 31801, SURVIVED
345020842, 31804, SURVIVED
345020842, 31771, SURVIVED
345020842, 31768, SURVIVED
345020842, 31814, SURVIVED
345020842, 31813, SURVIVED
345020842, 31773, SURVIVED
345020842, 31769, SURVIVED
345020842, 31779, SURVIVED
345020842, 31766, SURVIVED
345020842, 31782, SURVIVED
345020842, 31837, SURVIVED
345020842, 31836, SURVIVED
345020842, 31841, SURVIVED
345020842, 31849, SURVIVED
345020842, 31842, SURVIVED
345020842, 31848, SURVIVED
345020842, 31846, SURVIVED
345020842, 31845, SURVIVED
345020842, 31852, SURVIVED
345020842, 31874, SURVIVED
345020842, 31859, SURVIVED
345020842, 31887, SURVIVED
345020842, 31893, SURVIVED
345020842, 31851, SURVIVED
345020842, 31862, SURVIVED
345020842, 31858, SURVIVED
345020842, 31855, SURVIVED
345020842, 31875, SURVIVED
345020842, 31860, SURVIVED
345020842, 31892, SURVIVED
345020842, 31878, SURVIVED
345020842, 31879, SURVIVED
345020842, 31872, SURVIVED
345020842, 31853, SURVIVED
345020842, 31861, SURVIVED
345020842, 31863, SURVIVED
345020842, 31886, SURVIVED
345020842, 31854, SURVIVED
345020842, 31881, SURVIVED
345020842, 31877, SURVIVED
345020842, 31880, SURVIVED
345020842, 31891, SURVIVED
345020842, 31903, SURVIVED
345020842, 31899, SURVIVED
345020842, 31906, SURVIVED
345020842, 31895, SURVIVED
345020842, 31904, SURVIVED
345020842, 31896, SURVIVED
345020842, 31894, SURVIVED
345020842, 31907, SURVIVED
345020842, 31910, SURVIVED
345020842, 31919, SURVIVED
345020842, 31900, SURVIVED
345020842, 31918, SURVIVED
345020842, 31909, SURVIVED
345020842, 31913, SURVIVED
345020842, 31912, SURVIVED
345020842, 31911, SURVIVED
345020805, 3276, SURVIVED
345020805, 34113, SURVIVED
345020805, 34104, SURVIVED
345020805, 3279, SURVIVED
345020805, 34101, SURVIVED
345020805, 3283, SURVIVED
345020805, 3289, SURVIVED
345020805, 34102, SURVIVED
