seed, mutant, status
3494751709, 4477, SURVIVED
3494751709, 4553, SURVIVED
3494751709, 4407, SURVIVED
3494751715, 11306, SURVIVED
3494751715, 11317, SURVIVED
3494751715, 6944, SURVIVED
3494751715, 6896, SURVIVED
3494751715, 6945, SURVIVED
3494751715, 6949, SURVIVED
3494751715, 11312, SURVIVED
3494751715, 6947, SURVIVED
3494751715, 6926, SURVIVED
3494751715, 6927, SURVIVED
3494751715, 6925, SURVIVED
3494751715, 6948, SURVIVED
3494751715, 6893, SURVIVED
3494751709, 4370, SURVIVED
3494751709, 4664, SURVIVED
3494751715, 6946, SURVIVED
3494751715, 6959, SURVIVED
3494751709, 4418, SURVIVED
3494751709, 4417, SURVIVED
3494751709, 4225, SURVIVED
3494751709, 4405, SURVIVED
3494751709, 4551, SURVIVED
3494751709, 4558, SURVIVED
3494751709, 4548, SURVIVED
3494751709, 11312, SURVIVED
3494751709, 4402, SURVIVED
3494751709, 4549, SURVIVED
3494751709, 3032, SURVIVED
3494751709, 4478, SURVIVED
3494751709, 11317, SURVIVED
3494751709, 1344, SURVIVED
3494751709, 1356, SURVIVED
3494751709, 1376, SURVIVED
3494751709, 1410, SURVIVED
3494751709, 1388, SURVIVED
3494751709, 3643, SURVIVED
3494751709, 11306, SURVIVED
3494751709, 4450, SURVIVED
3494751718, 6893, SURVIVED
3494751718, 4370, SURVIVED
3494751718, 6925, SURVIVED
3494751718, 6926, SURVIVED
3494751718, 6945, SURVIVED
3494751718, 6948, SURVIVED
3494751718, 11317, SURVIVED
3494751718, 6946, SURVIVED
3494751718, 11312, SURVIVED
3494751718, 6959, SURVIVED
3494751718, 11306, SURVIVED
3494751718, 6896, SURVIVED
3494751718, 6927, SURVIVED
3494751718, 3643, SURVIVED
3494751718, 6949, SURVIVED
3494751718, 3032, SURVIVED
3494751718, 6944, SURVIVED
3494751718, 6947, SURVIVED
3494751727, 6925, SURVIVED
3494751727, 6893, SURVIVED
3494751727, 6896, SURVIVED
3494751727, 6926, SURVIVED
3494751727, 4370, SURVIVED
3494751727, 6944, SURVIVED
3494751727, 6927, SURVIVED
3494751727, 6947, SURVIVED
3494751727, 6948, SURVIVED
3494751727, 6945, SURVIVED
3494751727, 6949, SURVIVED
3494751727, 6959, SURVIVED
3494751727, 6946, SURVIVED
3494751726, 6893, SURVIVED
3494751726, 4370, SURVIVED
3494751727, 3032, SURVIVED
3494751726, 6896, SURVIVED
3494751727, 11317, SURVIVED
3494751727, 5379, SURVIVED
3494751727, 11400, SURVIVED
3494751727, 11312, SURVIVED
3494751727, 11433, SURVIVED
3494751727, 5386, SURVIVED
