seed, mutant, status
1589560528, 38, SURVIVED
1589560528, 51, SURVIVED
1589560528, 165, SURVIVED
1589560528, 201, SURVIVED
1589560528, 133, SURVIVED
1589560508, 51, SURVIVED
1589560508, 38, SURVIVED
1589560508, 197, SURVIVED
1589560508, 224, SURVIVED
1589560508, 133, SURVIVED
1589560527, 165, SURVIVED
1589560528, 204, SURVIVED
1589560528, 6, SURVIVED
1589560528, 19, SURVIVED
1589560528, 197, SURVIVED
1589560528, 224, SURVIVED
1589560508, 201, SURVIVED
1589560508, 204, SURVIVED
1589560527, 201, SURVIVED
1589560527, 51, SURVIVED
1589560527, 204, SURVIVED
1589560508, 230, SURVIVED
1589560527, 230, SURVIVED
1589560527, 19, SURVIVED
1589560527, 133, SURVIVED
1589560508, 6, SURVIVED
1589560508, 165, SURVIVED
1589560508, 19, SURVIVED
1589560527, 224, SURVIVED
1589560527, 6, SURVIVED
1589560527, 197, SURVIVED
1589560527, 38, SURVIVED
1589560528, 230, SURVIVED
1589560505, 19, SURVIVED
1589560505, 6, SURVIVED
1589560520, 165, SURVIVED
1589560505, 38, SURVIVED
1589560520, 201, SURVIVED
1589560520, 197, SURVIVED
1589560519, 201, SURVIVED
1589560520, 19, SURVIVED
1589560520, 133, SURVIVED
1589560520, 38, SURVIVED
1589560520, 6, SURVIVED
1589560520, 204, SURVIVED
1589560520, 51, SURVIVED
1589560519, 19, SURVIVED
1589560519, 51, SURVIVED
1589560520, 230, SURVIVED
1589560505, 51, SURVIVED
1589560520, 224, SURVIVED
1589560505, 133, SURVIVED
1589560505, 224, SURVIVED
1589560505, 165, SURVIVED
1589560519, 38, SURVIVED
1589560505, 197, SURVIVED
1589560505, 201, SURVIVED
1589560505, 204, SURVIVED
1589560519, 6, SURVIVED
1589560519, 133, SURVIVED
1589560519, 204, SURVIVED
1589560519, 165, SURVIVED
1589560519, 197, SURVIVED
1589560505, 230, SURVIVED
1589560519, 224, SURVIVED
1589560519, 230, SURVIVED
1589560522, 6, SURVIVED
1589560522, 19, SURVIVED
1589560522, 38, SURVIVED
1589560522, 133, SURVIVED
1589560522, 165, SURVIVED
1589560522, 201, SURVIVED
1589560522, 51, SURVIVED
1589560522, 197, SURVIVED
1589560522, 230, SURVIVED
1589560522, 204, SURVIVED
1589560522, 224, SURVIVED
1589560514, 51, SURVIVED
1589560514, 6, SURVIVED
1589560514, 38, SURVIVED
1589560514, 19, SURVIVED
1589560514, 165, SURVIVED
1589560514, 197, SURVIVED
1589560514, 133, SURVIVED
1589560514, 201, SURVIVED
1589560514, 204, SURVIVED
1589560514, 224, SURVIVED
1589560514, 230, SURVIVED
1589560546, 6, SURVIVED
1589560546, 19, SURVIVED
1589560546, 38, SURVIVED
1589560517, 38, SURVIVED
1589560546, 51, SURVIVED
1589560546, 133, SURVIVED
1589560546, 165, SURVIVED
1589560546, 197, SURVIVED
1589560546, 224, SURVIVED
1589560517, 165, SURVIVED
1589560546, 204, SURVIVED
1589560517, 19, SURVIVED
1589560546, 201, SURVIVED
1589560517, 201, SURVIVED
1589560517, 51, SURVIVED
1589560546, 230, SURVIVED
1589560517, 133, SURVIVED
1589560517, 6, SURVIVED
1589560517, 204, SURVIVED
1589560517, 197, SURVIVED
1589560517, 224, SURVIVED
1589560517, 230, SURVIVED
1589560525, 197, SURVIVED
1589560525, 19, SURVIVED
1589560525, 6, SURVIVED
1589560525, 133, SURVIVED
1589560525, 230, SURVIVED
1589560525, 38, SURVIVED
1589560525, 201, SURVIVED
1589560525, 165, SURVIVED
1589560525, 224, SURVIVED
1589560525, 51, SURVIVED
1589560525, 204, SURVIVED
1589560526, 51, SURVIVED
1589560526, 6, SURVIVED
1589560526, 19, SURVIVED
1589560526, 38, SURVIVED
1589560526, 165, SURVIVED
1589560526, 133, SURVIVED
1589560526, 197, SURVIVED
1589560526, 230, SURVIVED
1589560526, 224, SURVIVED
1589560526, 201, SURVIVED
1589560526, 204, SURVIVED
1589560502, 19, SURVIVED
1589560502, 38, SURVIVED
1589560502, 133, SURVIVED
1589560502, 6, SURVIVED
1589560502, 51, SURVIVED
1589560502, 197, SURVIVED
1589560502, 201, SURVIVED
1589560502, 165, SURVIVED
1589560502, 224, SURVIVED
1589560502, 204, SURVIVED
1589560502, 230, SURVIVED
1589560503, 6, SURVIVED
1589560503, 19, SURVIVED
1589560503, 197, SURVIVED
1589560503, 133, SURVIVED
1589560503, 51, SURVIVED
1589560503, 38, SURVIVED
1589560503, 201, SURVIVED
1589560503, 165, SURVIVED
1589560513, 6, SURVIVED
1589560513, 19, SURVIVED
1589560503, 204, SURVIVED
1589560503, 224, SURVIVED
1589560513, 197, SURVIVED
1589560513, 38, SURVIVED
1589560513, 165, SURVIVED
1589560513, 51, SURVIVED
1589560513, 133, SURVIVED
1589560513, 224, SURVIVED
1589560503, 230, SURVIVED
1589560513, 201, SURVIVED
1589560513, 204, SURVIVED
1589560513, 230, SURVIVED
1589560507, 6, SURVIVED
1589560507, 19, SURVIVED
1589560507, 51, SURVIVED
1589560507, 38, SURVIVED
1589560507, 133, SURVIVED
1589560507, 165, SURVIVED
1589560507, 197, SURVIVED
1589560507, 201, SURVIVED
1589560507, 204, SURVIVED
1589560529, 6, SURVIVED
1589560507, 224, SURVIVED
1589560529, 19, SURVIVED
1589560529, 197, SURVIVED
1589560529, 38, SURVIVED
1589560529, 133, SURVIVED
1589560529, 201, SURVIVED
1589560529, 204, SURVIVED
1589560529, 51, SURVIVED
1589560529, 165, SURVIVED
1589560529, 224, SURVIVED
1589560529, 230, SURVIVED
1589560562, 19, SURVIVED
1589560562, 6, SURVIVED
1589560507, 230, SURVIVED
1589560524, 19, SURVIVED
