seed, mutant, status
3388810701, 13322, SURVIVED
3388810705, 13356, SURVIVED
3388810705, 5436, SURVIVED
3388810705, 5373, SURVIVED
3388810705, 10543, SURVIVED
3388810705, 13737, SURVIVED
3388810705, 13342, SURVIVED
3388810705, 10539, SURVIVED
3388810701, 13737, SURVIVED
3388810701, 13367, SURVIVED
3388810705, 13322, SURVIVED
3388810705, 13354, SURVIVED
3388810701, 13354, SURVIVED
3388810701, 4070, SURVIVED
3388810701, 4056, SURVIVED
3388810705, 5342, SURVIVED
3388810705, 10541, SURVIVED
3388810705, 14087, SURVIVED
3388810701, 13342, SURVIVED
3388810701, 955, SURVIVED
3388810701, 920, SURVIVED
3388810701, 13356, SURVIVED
3388810705, 9363, SURVIVED
3388810705, 5372, SURVIVED
3388810701, 4050, SURVIVED
3388810705, 5374, SURVIVED
3388810705, 10536, SURVIVED
3388810705, 13367, SURVIVED
3388810705, 10542, SURVIVED
3388810705, 10554, SURVIVED
3388810705, 5404, SURVIVED
3388810705, 10540, SURVIVED
3388810701, 4078, SURVIVED
3388810701, 4136, SURVIVED
3388810722, 13322, SURVIVED
3388810701, 14087, SURVIVED
3388810701, 5525, SURVIVED
3388810722, 14087, SURVIVED
3388810722, 13367, SURVIVED
3388810722, 13356, SURVIVED
3388810722, 13342, SURVIVED
3388810701, 7197, SURVIVED
3388810722, 13354, SURVIVED
3388810724, 868, SURVIVED
3388810724, 7197, SURVIVED
3388810724, 8401, SURVIVED
3388810724, 880, SURVIVED
3388810724, 872, SURVIVED
3388810724, 8788, SURVIVED
3388810724, 8408, SURVIVED
3388810724, 8399, SURVIVED
3388810724, 11915, SURVIVED
3388810724, 12618, SURVIVED
3388810724, 8246, SURVIVED
3388810724, 8217, SURVIVED
3388810724, 8407, SURVIVED
3388810724, 8392, SURVIVED
3388810724, 8403, SURVIVED
3388810724, 8393, SURVIVED
3388810724, 8397, SURVIVED
3388810724, 8395, SURVIVED
3388810724, 8411, SURVIVED
3388810724, 8396, SURVIVED
3388810724, 11947, SURVIVED
3388810724, 13013, SURVIVED
3388810724, 13342, SURVIVED
3388810724, 13356, SURVIVED
3388810728, 4035, SURVIVED
3388810728, 880, SURVIVED
3388810728, 872, SURVIVED
3388810724, 13367, SURVIVED
3388810724, 13322, SURVIVED
3388810724, 14087, SURVIVED
3388810728, 868, SURVIVED
3388810724, 13354, SURVIVED
3388810724, 13737, SURVIVED
3388810728, 955, SURVIVED
3388810728, 920, SURVIVED
3388810728, 3869, SURVIVED
3388810728, 3920, SURVIVED
3388810728, 11915, SURVIVED
3388810728, 4056, SURVIVED
3388810728, 4050, SURVIVED
3388810728, 5525, SURVIVED
3388810728, 8788, SURVIVED
3388810728, 8246, SURVIVED
3388810728, 4136, SURVIVED
3388810728, 7197, SURVIVED
3388810728, 13342, SURVIVED
3388810728, 12618, SURVIVED
3388810728, 4070, SURVIVED
3388810728, 13013, SURVIVED
3388810728, 4078, SURVIVED
3388810728, 8217, SURVIVED
3388810728, 13322, SURVIVED
3388810728, 13354, SURVIVED
3388810728, 13356, SURVIVED
3388810728, 13367, SURVIVED
3388810728, 13567, SURVIVED
3388810728, 13532, SURVIVED
3388810728, 14087, SURVIVED
3388810727, 13367, SURVIVED
3388810727, 8246, SURVIVED
3388810727, 13342, SURVIVED
3388810727, 14087, SURVIVED
3388810727, 13322, SURVIVED
3388810720, 348, SURVIVED
3388810727, 8788, SURVIVED
3388810727, 7197, SURVIVED
3388810727, 8217, SURVIVED
3388810727, 13356, SURVIVED
3388810727, 13567, SURVIVED
3388810720, 872, SURVIVED
3388810727, 13354, SURVIVED
3388810720, 868, SURVIVED
3388810727, 13532, SURVIVED
3388810720, 7773, SURVIVED
3388810720, 7856, SURVIVED
3388810720, 7197, SURVIVED
3388810720, 7865, SURVIVED
3388810720, 7866, SURVIVED
3388810720, 7855, SURVIVED
3388810720, 880, SURVIVED
3388810720, 7852, SURVIVED
3388810720, 7857, SURVIVED
3388810720, 7853, SURVIVED
3388810720, 7810, SURVIVED
3388810720, 7875, SURVIVED
3388810720, 7842, SURVIVED
3388810720, 7867, SURVIVED
3388810720, 7881, SURVIVED
3388810720, 7805, SURVIVED
3388810720, 7863, SURVIVED
3388810720, 7907, SURVIVED
3388810720, 13532, SURVIVED
3388810720, 13342, SURVIVED
3388810720, 8246, SURVIVED
3388810720, 8217, SURVIVED
3388810720, 7913, SURVIVED
3388810720, 8788, SURVIVED
3388810720, 13322, SURVIVED
3388810720, 11048, SURVIVED
3388810720, 13356, SURVIVED
3388810720, 13567, SURVIVED
3388810700, 5525, SURVIVED
3388810720, 13737, SURVIVED
3388810700, 880, SURVIVED
3388810720, 13354, SURVIVED
3388810700, 11915, SURVIVED
3388810720, 13367, SURVIVED
3388810700, 4136, SURVIVED
3388810720, 14087, SURVIVED
3388810700, 12618, SURVIVED
3388810700, 4056, SURVIVED
