seed, mutant, status
869354423, 37791, SURVIVED
869354423, 37784, SURVIVED
869354429, 37791, SURVIVED
869354429, 37785, SURVIVED
869354423, 37788, SURVIVED
869354423, 37785, SURVIVED
869354429, 37784, SURVIVED
869354405, 37791, SURVIVED
869354429, 37788, SURVIVED
869354420, 37788, SURVIVED
869354420, 37791, SURVIVED
869354420, 37785, SURVIVED
869354420, 37784, SURVIVED
869354405, 37785, SURVIVED
869354405, 37788, SURVIVED
869354405, 37784, SURVIVED
869354430, 17371, SURVIVED
869354430, 17364, SURVIVED
869354430, 17421, SURVIVED
869354430, 17418, SURVIVED
869354430, 17455, SURVIVED
869354430, 17372, SURVIVED
869354422, 37784, SURVIVED
869354422, 37785, SURVIVED
869354430, 17454, SURVIVED
869354430, 17416, SURVIVED
869354430, 17360, SURVIVED
869354430, 17363, SURVIVED
869354430, 17365, SURVIVED
869354430, 17367, SURVIVED
869354422, 37788, SURVIVED
869354422, 37791, SURVIVED
869354430, 17457, SURVIVED
869354430, 17456, SURVIVED
869354430, 17460, SURVIVED
869354430, 17458, SURVIVED
869354430, 17463, SURVIVED
869354430, 17461, SURVIVED
869354430, 17464, SURVIVED
869354430, 27158, SURVIVED
869354430, 17466, SURVIVED
869354430, 27143, SURVIVED
869354430, 27370, SURVIVED
869354430, 27149, SURVIVED
869354430, 17467, SURVIVED
869354430, 27142, SURVIVED
869354430, 17465, SURVIVED
869354430, 27163, SURVIVED
869354430, 27169, SURVIVED
869354430, 27181, SURVIVED
869354430, 27170, SURVIVED
869354430, 27195, SURVIVED
869354430, 27216, SURVIVED
869354430, 27202, SURVIVED
869354430, 27204, SURVIVED
869354430, 27190, SURVIVED
869354430, 27234, SURVIVED
869354430, 27288, SURVIVED
869354430, 27236, SURVIVED
869354430, 27214, SURVIVED
869354430, 27246, SURVIVED
869354430, 27248, SURVIVED
869354430, 17403, SURVIVED
869354430, 27291, SURVIVED
869354430, 17413, SURVIVED
869354430, 17404, SURVIVED
869354430, 17411, SURVIVED
869354430, 37788, SURVIVED
869354430, 17428, SURVIVED
869354430, 37784, SURVIVED
869354430, 37785, SURVIVED
869354430, 17392, SURVIVED
869354430, 37791, SURVIVED
869354430, 17396, SURVIVED
869354430, 17395, SURVIVED
869354430, 17397, SURVIVED
869354430, 17443, SURVIVED
869354430, 17442, SURVIVED
869354430, 17399, SURVIVED
869354430, 17450, SURVIVED
869354430, 17445, SURVIVED
869354430, 17444, SURVIVED
869354430, 17453, SURVIVED
869354430, 14364, SURVIVED
869354430, 17447, SURVIVED
869354430, 14156, SURVIVED
869354430, 14365, SURVIVED
869354430, 14149, SURVIVED
869354430, 17448, SURVIVED
869354430, 14152, SURVIVED
869354430, 14150, SURVIVED
869354430, 17452, SURVIVED
869354430, 14395, SURVIVED
869354430, 14151, SURVIVED
869354430, 14396, SURVIVED
869354430, 14399, SURVIVED
869354430, 14398, SURVIVED
869354430, 14397, SURVIVED
869354430, 14401, SURVIVED
869354430, 14400, SURVIVED
869354430, 14402, SURVIVED
869354430, 14403, SURVIVED
869354430, 14404, SURVIVED
869354455, 37784, SURVIVED
869354430, 14407, SURVIVED
869354430, 14405, SURVIVED
869354430, 14412, SURVIVED
869354430, 14406, SURVIVED
869354430, 14408, SURVIVED
869354430, 14413, SURVIVED
869354455, 37788, SURVIVED
869354430, 14409, SURVIVED
869354455, 37791, SURVIVED
869354455, 37785, SURVIVED
869354430, 14410, SURVIVED
869354430, 14415, SURVIVED
869354430, 14416, SURVIVED
869354430, 27372, SURVIVED
869354430, 14411, SURVIVED
869354430, 14414, SURVIVED
869354487, 37784, SURVIVED
869354487, 37791, SURVIVED
869354487, 37785, SURVIVED
869354430, 14417, SURVIVED
869354487, 37788, SURVIVED
869354430, 16174, SURVIVED
869354419, 37784, SURVIVED
869354419, 37788, SURVIVED
869354419, 37791, SURVIVED
869354419, 37785, SURVIVED
