seed, mutant, status
3538603029, 35, SURVIVED
3538603029, 696, SURVIVED
3538603029, 493, SURVIVED
3538603029, 372, SURVIVED
3538603056, 372, SURVIVED
3538603056, 493, SURVIVED
3538603024, 372, SURVIVED
3538603056, 35, SURVIVED
3538603056, 696, SURVIVED
3538603024, 696, SURVIVED
3538603024, 35, SURVIVED
3538603024, 493, SURVIVED
3538603031, 696, SURVIVED
3538603031, 372, SURVIVED
3538603031, 35, SURVIVED
3538603031, 493, SURVIVED
3538603004, 696, SURVIVED
3538603004, 372, SURVIVED
3538603004, 493, SURVIVED
3538603004, 35, SURVIVED
3538603028, 372, SURVIVED
3538603005, 372, SURVIVED
3538603028, 696, SURVIVED
3538603028, 493, SURVIVED
3538603005, 696, SURVIVED
3538603005, 35, SURVIVED
3538603005, 493, SURVIVED
3538603028, 35, SURVIVED
3538603039, 372, SURVIVED
3538603039, 493, SURVIVED
3538603039, 35, SURVIVED
3538603039, 696, SURVIVED
3538603018, 35, SURVIVED
3538603003, 372, SURVIVED
3538603003, 696, SURVIVED
3538603018, 372, SURVIVED
3538603003, 493, SURVIVED
3538603018, 493, SURVIVED
3538603003, 35, SURVIVED
3538603018, 696, SURVIVED
3538603001, 372, SURVIVED
3538603001, 35, SURVIVED
3538603032, 35, SURVIVED
3538603007, 493, SURVIVED
3538603032, 372, SURVIVED
3538603032, 493, SURVIVED
3538603032, 696, SURVIVED
3538603001, 696, SURVIVED
3538603007, 696, SURVIVED
3538603007, 35, SURVIVED
3538603001, 493, SURVIVED
3538603007, 372, SURVIVED
3538603000, 372, SURVIVED
3538603000, 493, SURVIVED
3538603011, 372, SURVIVED
3538603011, 493, SURVIVED
3538603011, 35, SURVIVED
3538603011, 696, SURVIVED
3538603000, 35, SURVIVED
3538603000, 696, SURVIVED
3538603013, 35, SURVIVED
3538603045, 35, SURVIVED
3538603045, 493, SURVIVED
3538603013, 696, SURVIVED
3538603013, 372, SURVIVED
3538603045, 372, SURVIVED
3538603045, 696, SURVIVED
3538603013, 493, SURVIVED
3538603014, 493, SURVIVED
3538603014, 35, SURVIVED
3538603014, 696, SURVIVED
3538603014, 372, SURVIVED
3538603020, 372, SURVIVED
3538603020, 493, SURVIVED
3538603020, 35, SURVIVED
3538603016, 493, SURVIVED
3538603020, 696, SURVIVED
3538603022, 372, SURVIVED
3538603022, 493, SURVIVED
3538603022, 35, SURVIVED
3538603016, 372, SURVIVED
3538603016, 35, SURVIVED
3538603016, 696, SURVIVED
3538603025, 493, SURVIVED
3538603025, 35, SURVIVED
3538603025, 372, SURVIVED
3538603025, 696, SURVIVED
3538603030, 372, SURVIVED
3538603030, 696, SURVIVED
3538603022, 696, SURVIVED
3538603030, 35, SURVIVED
3538603030, 493, SURVIVED
3538603063, 35, SURVIVED
3538603006, 35, SURVIVED
3538603027, 372, SURVIVED
3538603027, 493, SURVIVED
3538603063, 696, SURVIVED
3538603063, 372, SURVIVED
3538603027, 696, SURVIVED
3538603027, 35, SURVIVED
3538603006, 493, SURVIVED
3538603006, 372, SURVIVED
3538603063, 493, SURVIVED
3538603006, 696, SURVIVED
3538603062, 35, SURVIVED
3538603062, 493, SURVIVED
3538603062, 696, SURVIVED
3538603062, 372, SURVIVED
3538603034, 35, SURVIVED
3538603036, 372, SURVIVED
3538603053, 35, SURVIVED
3538603034, 696, SURVIVED
3538603034, 372, SURVIVED
3538603034, 493, SURVIVED
3538603053, 372, SURVIVED
3538603036, 696, SURVIVED
3538603053, 696, SURVIVED
3538603053, 493, SURVIVED
3538603021, 372, SURVIVED
3538603036, 35, SURVIVED
3538603061, 35, SURVIVED
3538603061, 493, SURVIVED
3538603021, 35, SURVIVED
3538603036, 493, SURVIVED
3538603021, 696, SURVIVED
3538603021, 493, SURVIVED
3538603061, 372, SURVIVED
3538603061, 696, SURVIVED
3538603002, 372, SURVIVED
3538603002, 696, SURVIVED
3538603002, 493, SURVIVED
3538603002, 35, SURVIVED
3538603008, 493, SURVIVED
3538603008, 372, SURVIVED
3538603008, 35, SURVIVED
3538603008, 696, SURVIVED
3538603010, 372, SURVIVED
3538603010, 35, SURVIVED
3538603017, 372, SURVIVED
3538603069, 35, SURVIVED
3538603069, 372, SURVIVED
3538603010, 696, SURVIVED
3538603069, 493, SURVIVED
3538603069, 696, SURVIVED
3538603010, 493, SURVIVED
3538603043, 372, SURVIVED
3538603017, 35, SURVIVED
3538603043, 35, SURVIVED
3538603043, 493, SURVIVED
3538603017, 493, SURVIVED
3538603043, 696, SURVIVED
3538603017, 696, SURVIVED
3538603082, 35, SURVIVED
3538603082, 696, SURVIVED
3538603082, 493, SURVIVED
3538603082, 372, SURVIVED
3538603088, 35, SURVIVED
3538603088, 372, SURVIVED
3538603088, 493, SURVIVED
3538603088, 696, SURVIVED
3538603009, 372, SURVIVED
3538603009, 35, SURVIVED
