seed, mutant, status
1709168531, 946, KILLED_FAILED
1709168531, 933, KILLED_FAILED
1709168531, 936, KILLED_FAILED
1709168531, 937, KILLED_FAILED
1709168531, 941, KILLED_FAILED
1709168531, 922, SURVIVED
1709168531, 954, SURVIVED
1709168531, 942, SURVIVED
1709168531, 943, SURVIVED
1709168531, 948, SURVIVED
1709168531, 947, SURVIVED
1709168531, 955, SURVIVED
1709168531, 928, SURVIVED
1709168531, 925, SURVIVED
1709168531, 939, SURVIVED
1709168531, 938, KILLED_FAILED
1709168531, 945, SURVIVED
1709168531, 934, SURVIVED
1709168531, 950, SURVIVED
1709168531, 926, SURVIVED
1709168531, 940, SURVIVED
1709168531, 953, KILLED_FAILED
1709168531, 924, SURVIVED
1709168531, 944, SURVIVED
1709168531, 952, SURVIVED
1709168531, 949, SURVIVED
1709168531, 951, SURVIVED
1709168531, 956, SURVIVED
1709168531, 935, SURVIVED
1709168531, 923, SURVIVED
1709168531, 930, SURVIVED
1709168531, 927, SURVIVED
1709168531, 958, SURVIVED
1709168531, 957, SURVIVED
1709168531, 959, SURVIVED
1709168531, 998, SURVIVED
1709168531, 1000, SURVIVED
1709168531, 999, SURVIVED
1709168531, 1001, SURVIVED
1709168531, 1002, SURVIVED
1709168517, 924, SURVIVED
1709168517, 934, SURVIVED
1709168517, 930, SURVIVED
1709168517, 928, SURVIVED
1709168517, 927, SURVIVED
1709168517, 925, SURVIVED
1709168517, 942, SURVIVED
1709168517, 945, SURVIVED
1709168517, 926, SURVIVED
1709168517, 935, SURVIVED
1709168517, 940, SURVIVED
1709168517, 943, SURVIVED
1709168517, 949, SURVIVED
1709168517, 955, SURVIVED
1709168517, 923, SURVIVED
1709168517, 922, SURVIVED
1709168517, 952, SURVIVED
1709168517, 944, SURVIVED
1709168517, 939, SURVIVED
1709168517, 950, SURVIVED
1709168517, 948, SURVIVED
1709168517, 947, SURVIVED
1709168517, 951, SURVIVED
1709168517, 954, SURVIVED
1709168549, 923, SURVIVED
1709168549, 922, SURVIVED
1709168549, 927, SURVIVED
1709168517, 959, SURVIVED
1709168517, 1000, SURVIVED
1709168517, 998, SURVIVED
1709168549, 925, SURVIVED
1709168517, 1001, SURVIVED
1709168517, 999, SURVIVED
1709168517, 956, SURVIVED
1709168517, 957, SURVIVED
1709168517, 958, SURVIVED
1709168549, 934, SURVIVED
1709168549, 949, SURVIVED
1709168549, 952, KILLED_FAILED
1709168549, 939, SURVIVED
1709168549, 940, SURVIVED
1709168549, 954, SURVIVED
