seed, mutant, status
3761340926, 2961, SURVIVED
3761340926, 6464, SURVIVED
3761340926, 4527, SURVIVED
3761340926, 6122, SURVIVED
3761340926, 1422, SURVIVED
3761340926, 6474, SURVIVED
3761340926, 4522, SURVIVED
3761340926, 6475, SURVIVED
3761340926, 1160, SURVIVED
3761340926, 3026, SURVIVED
3761340926, 3012, SURVIVED
3761340926, 7484, SURVIVED
3761340926, 3010, SURVIVED
3761340926, 918, SURVIVED
3761340926, 6467, SURVIVED
3761340926, 7478, SURVIVED
3761340926, 7477, SURVIVED
3761340926, 3471, SURVIVED
3761340926, 6472, SURVIVED
3761340926, 919, SURVIVED
3761340926, 6470, SURVIVED
3761340926, 3011, SURVIVED
3761340926, 6471, SURVIVED
3761340926, 7476, SURVIVED
3761340926, 6473, SURVIVED
3761340926, 7487, SURVIVED
3761340926, 7480, SURVIVED
3761340926, 6469, SURVIVED
3761340926, 7475, SURVIVED
3761340926, 6468, SURVIVED
3761340926, 3023, SURVIVED
3761340926, 6466, SURVIVED
3761340926, 7508, SURVIVED
3761340926, 7507, SURVIVED
3761340926, 8449, SURVIVED
3761340926, 7518, SURVIVED
3761340926, 12410, SURVIVED
3761340926, 12784, SURVIVED
3761340926, 12785, SURVIVED
3761340926, 12788, SURVIVED
3761340926, 12821, SURVIVED
3761340926, 12823, SURVIVED
3761340926, 12831, SURVIVED
3761340926, 13513, SURVIVED
3761340926, 13320, SURVIVED
3761340926, 13515, SURVIVED
3761340926, 12827, SURVIVED
3761340926, 13313, SURVIVED
3761340926, 13314, SURVIVED
3761340926, 13321, SURVIVED
3761340926, 15694, SURVIVED
3761340926, 13540, SURVIVED
3761340926, 13543, SURVIVED
3761340926, 15690, SURVIVED
3761340904, 919, SURVIVED
3761340904, 1160, SURVIVED
3761340904, 1422, SURVIVED
3761340904, 2961, SURVIVED
3761340904, 3012, SURVIVED
3761340904, 3026, SURVIVED
3761340904, 3011, SURVIVED
3761340904, 3010, SURVIVED
3761340904, 3023, SURVIVED
3761340904, 918, SURVIVED
3761340904, 3471, SURVIVED
3761340904, 4522, SURVIVED
3761340904, 4527, SURVIVED
3761340904, 6122, SURVIVED
3761340904, 6470, SURVIVED
3761340904, 6469, SURVIVED
3761340904, 6468, SURVIVED
3761340904, 6464, SURVIVED
3761340904, 6467, SURVIVED
3761340904, 6466, SURVIVED
3761340904, 12821, SURVIVED
3761340904, 6473, SURVIVED
3761340904, 12410, SURVIVED
3761340904, 12784, SURVIVED
3761340904, 8449, SURVIVED
3761340904, 6471, SURVIVED
3761340904, 12823, SURVIVED
3761340904, 12785, SURVIVED
3761340904, 12788, SURVIVED
3761340904, 6472, SURVIVED
3761340904, 6475, SURVIVED
3761340904, 13313, SURVIVED
3761340904, 13543, SURVIVED
3761340904, 13314, SURVIVED
3761340904, 12831, SURVIVED
3761340904, 13515, SURVIVED
3761340904, 13321, SURVIVED
3761340904, 13540, SURVIVED
3761340904, 13513, SURVIVED
3761340904, 12827, SURVIVED
3761340904, 6474, SURVIVED
3761340904, 13320, SURVIVED
3761340904, 15694, SURVIVED
3761340904, 15690, SURVIVED
3761340900, 919, SURVIVED
3761340900, 918, SURVIVED
3761340900, 3026, SURVIVED
3761340900, 3011, SURVIVED
3761340900, 1422, SURVIVED
3761340900, 2961, SURVIVED
3761340900, 4527, SURVIVED
3761340900, 1160, SURVIVED
3761340900, 6466, SURVIVED
3761340900, 3010, SURVIVED
3761340900, 6469, SURVIVED
3761340900, 3012, SURVIVED
3761340900, 4522, SURVIVED
3761340900, 6464, SURVIVED
3761340900, 12410, SURVIVED
3761340900, 3023, SURVIVED
3761340900, 8449, SURVIVED
3761340900, 6474, SURVIVED
3761340900, 6472, SURVIVED
3761340900, 13513, SURVIVED
3761340900, 6467, SURVIVED
3761340900, 13515, SURVIVED
3761340900, 6475, SURVIVED
3761340900, 6473, SURVIVED
3761340900, 6468, SURVIVED
3761340900, 13540, SURVIVED
3761340900, 13543, SURVIVED
3761340900, 6470, SURVIVED
3761340900, 15694, SURVIVED
3761340900, 15690, SURVIVED
3761340900, 6471, SURVIVED
3761340925, 918, SURVIVED
3761340925, 919, SURVIVED
3761340925, 1422, SURVIVED
3761340925, 1160, SURVIVED
3761340925, 2961, SURVIVED
3761340925, 3011, SURVIVED
3761340925, 3010, SURVIVED
3761340925, 3026, SURVIVED
3761340925, 3012, SURVIVED
3761340925, 3023, SURVIVED
3761340925, 3352, SURVIVED
3761340925, 3384, SURVIVED
3761340925, 3385, SURVIVED
3761340925, 3353, SURVIVED
3761340925, 3471, SURVIVED
3761340925, 3383, SURVIVED
3761340925, 4522, SURVIVED
3761340925, 6464, SURVIVED
3761340925, 6466, SURVIVED
3761340925, 6122, SURVIVED
3761340925, 4527, SURVIVED
3761340925, 6468, SURVIVED
3761340925, 6473, SURVIVED
3761340925, 6470, SURVIVED
3761340925, 6469, SURVIVED
3761340925, 6471, SURVIVED
3761340925, 6467, SURVIVED
3761340925, 6472, SURVIVED
3761340925, 7475, SURVIVED
3761340925, 6474, SURVIVED
3761340925, 6475, SURVIVED
3761340925, 7476, SURVIVED
3761340925, 7477, SURVIVED
3761340925, 7478, SURVIVED
3761340925, 7507, SURVIVED
3761340925, 7484, SURVIVED
3761340925, 7480, SURVIVED
3761340925, 7487, SURVIVED
3761340925, 7508, SURVIVED
3761340925, 8176, SURVIVED
3761340925, 7518, SURVIVED
3761340925, 8182, SURVIVED
3761340925, 8174, SURVIVED
3761340925, 8186, SURVIVED
3761340925, 13515, SURVIVED
3761340925, 8185, SURVIVED
3761340925, 13513, SURVIVED
3761340925, 12410, SURVIVED
3761340925, 8449, SURVIVED
3761340925, 15694, SURVIVED
3761340925, 13543, SURVIVED
3761340925, 15690, SURVIVED
3761340925, 13540, SURVIVED
3761340916, 918, SURVIVED
3761340916, 1160, SURVIVED
3761340916, 919, SURVIVED
3761340916, 3011, SURVIVED
3761340916, 2961, SURVIVED
3761340916, 3010, SURVIVED
3761340916, 1422, SURVIVED
3761340916, 3023, SURVIVED
3761340916, 3471, SURVIVED
3761340916, 3012, SURVIVED
3761340916, 3026, SURVIVED
3761340916, 6466, SURVIVED
3761340916, 6464, SURVIVED
3761340916, 6468, SURVIVED
3761340916, 6469, SURVIVED
3761340916, 6467, SURVIVED
3761340916, 6470, SURVIVED
3761340916, 6475, SURVIVED
3761340916, 6474, SURVIVED
3761340916, 6472, SURVIVED
3761340916, 6471, SURVIVED
3761340916, 7476, SURVIVED
3761340916, 6473, SURVIVED
3761340916, 7475, SURVIVED
3761340916, 7484, SURVIVED
3761340916, 7478, SURVIVED
3761340916, 7508, SURVIVED
3761340916, 7477, SURVIVED
3761340916, 7507, SURVIVED
3761340916, 7518, SURVIVED
3761340916, 7487, SURVIVED
3761340916, 7480, SURVIVED
3761340916, 8449, SURVIVED
3761340931, 918, SURVIVED
3761340931, 919, SURVIVED
3761340931, 1422, SURVIVED
3761340931, 1160, SURVIVED
3761340931, 2407, SURVIVED
3761340931, 2408, SURVIVED
3761340931, 2421, SURVIVED
3761340931, 2414, SURVIVED
3761340931, 2410, SURVIVED
3761340916, 12410, SURVIVED
3761340931, 2412, SURVIVED
3761340916, 13513, SURVIVED
3761340916, 13515, SURVIVED
3761340931, 2423, SURVIVED
3761340931, 2422, SURVIVED
3761340931, 2424, SURVIVED
3761340931, 2425, SURVIVED
3761340916, 13540, SURVIVED
3761340916, 15690, SURVIVED
3761340931, 2426, SURVIVED
3761340916, 13543, SURVIVED
3761340931, 2441, SURVIVED
3761340916, 15694, SURVIVED
3761340931, 2443, SURVIVED
3761340931, 2453, SURVIVED
3761340931, 2444, SURVIVED
3761340931, 2454, SURVIVED
3761340931, 2455, SURVIVED
3761340931, 2456, SURVIVED
3761340931, 2458, SURVIVED
3761340931, 2461, SURVIVED
3761340931, 2457, SURVIVED
3761340931, 2463, SURVIVED
3761340931, 2473, SURVIVED
3761340931, 3010, SURVIVED
3761340931, 2961, SURVIVED
3761340931, 3026, SURVIVED
3761340931, 6464, SURVIVED
3761340931, 3012, SURVIVED
3761340931, 3023, SURVIVED
3761340931, 4527, SURVIVED
3761340931, 3011, SURVIVED
3761340931, 4522, SURVIVED
