seed, mutant, status
512273704, 1425, SURVIVED
512273708, 1553, SURVIVED
512273704, 1576, SURVIVED
512273704, 1554, SURVIVED
512273708, 1561, SURVIVED
512273704, 1936, SURVIVED
512273704, 1553, SURVIVED
512273704, 1629, SURVIVED
512273708, 1629, SURVIVED
512273708, 1554, SURVIVED
512273708, 1425, SURVIVED
512273704, 1574, SURVIVED
512273708, 1574, SURVIVED
512273708, 1936, SURVIVED
512273704, 1561, SURVIVED
512273708, 1898, SURVIVED
512273708, 1576, SURVIVED
512273704, 1898, SURVIVED
512273709, 1553, SURVIVED
512273709, 1936, SURVIVED
512273709, 1561, SURVIVED
512273711, 1425, SURVIVED
512273711, 1554, SURVIVED
512273709, 1898, SURVIVED
512273709, 1576, SURVIVED
512273709, 1554, SURVIVED
512273709, 1629, SURVIVED
512273709, 1574, SURVIVED
512273711, 1553, SURVIVED
512273709, 1957, SURVIVED
512273709, 1425, SURVIVED
512273709, 1966, SURVIVED
512273731, 1425, SURVIVED
512273731, 1553, SURVIVED
512273731, 1561, SURVIVED
512273731, 1898, SURVIVED
512273731, 1574, SURVIVED
512273731, 1554, SURVIVED
512273731, 1576, SURVIVED
512273731, 1936, SURVIVED
512273731, 1629, SURVIVED
512273711, 1576, SURVIVED
512273711, 1966, SURVIVED
512273707, 1554, SURVIVED
512273711, 1936, SURVIVED
512273711, 1629, SURVIVED
512273707, 1425, SURVIVED
512273707, 1553, SURVIVED
512273711, 1574, SURVIVED
512273711, 1898, SURVIVED
512273707, 1574, SURVIVED
512273707, 1576, SURVIVED
512273707, 1561, SURVIVED
512273711, 1561, SURVIVED
512273707, 1629, SURVIVED
512273711, 1957, SURVIVED
512273707, 1898, SURVIVED
512273707, 1936, SURVIVED
512273736, 1425, SURVIVED
512273736, 1554, SURVIVED
512273736, 1561, SURVIVED
512273736, 1574, SURVIVED
512273736, 1553, SURVIVED
512273736, 1576, SURVIVED
512273736, 1898, SURVIVED
512273736, 1629, SURVIVED
512273736, 1936, SURVIVED
512273739, 1554, SURVIVED
512273739, 1425, SURVIVED
512273739, 1553, SURVIVED
512273740, 1554, SURVIVED
512273740, 1574, SURVIVED
512273740, 1553, SURVIVED
512273740, 1936, SURVIVED
512273740, 1425, SURVIVED
512273740, 1576, SURVIVED
512273740, 1561, SURVIVED
512273714, 1553, SURVIVED
512273714, 1936, SURVIVED
512273714, 1966, SURVIVED
512273740, 1629, SURVIVED
512273740, 1898, SURVIVED
512273714, 1574, SURVIVED
512273714, 1425, SURVIVED
512273714, 1629, SURVIVED
512273714, 1554, SURVIVED
512273714, 1561, SURVIVED
512273714, 1576, SURVIVED
512273714, 1957, SURVIVED
512273714, 1898, SURVIVED
512273739, 1561, SURVIVED
512273739, 1574, SURVIVED
512273739, 1898, SURVIVED
512273739, 1576, SURVIVED
512273739, 1629, SURVIVED
512273739, 1957, SURVIVED
512273739, 1936, SURVIVED
512273739, 1966, SURVIVED
512273742, 1898, SURVIVED
512273742, 1425, SURVIVED
512273742, 1553, SURVIVED
512273742, 1629, SURVIVED
512273742, 1966, SURVIVED
512273742, 1574, SURVIVED
512273742, 1957, SURVIVED
512273742, 1576, SURVIVED
512273742, 1554, SURVIVED
512273742, 1561, SURVIVED
512273742, 1936, SURVIVED
512273710, 1553, SURVIVED
512273710, 1554, SURVIVED
512273710, 1425, SURVIVED
512273710, 1576, SURVIVED
512273710, 1561, SURVIVED
512273710, 1574, SURVIVED
512273710, 1936, SURVIVED
512273710, 1629, SURVIVED
512273710, 1898, SURVIVED
512273729, 1553, SURVIVED
512273729, 1425, SURVIVED
512273729, 1561, SURVIVED
512273729, 1574, SURVIVED
512273729, 1554, SURVIVED
512273729, 1576, SURVIVED
512273729, 1629, SURVIVED
512273729, 1898, SURVIVED
512273729, 1957, SURVIVED
512273729, 1966, SURVIVED
512273729, 1936, SURVIVED
512273701, 1425, SURVIVED
512273701, 1898, SURVIVED
512273701, 1576, SURVIVED
512273701, 1561, SURVIVED
512273701, 1629, SURVIVED
512273701, 1553, SURVIVED
512273701, 1554, SURVIVED
512273701, 1936, SURVIVED
512273701, 1957, SURVIVED
512273701, 1966, SURVIVED
512273701, 1574, SURVIVED
512273703, 1425, SURVIVED
512273703, 1553, SURVIVED
512273703, 1561, SURVIVED
512273703, 1554, SURVIVED
512273703, 1574, SURVIVED
512273703, 1936, SURVIVED
512273703, 1629, SURVIVED
512273703, 1957, SURVIVED
512273703, 1898, SURVIVED
512273703, 1576, SURVIVED
512273703, 1966, SURVIVED
512273717, 1425, SURVIVED
512273717, 1561, SURVIVED
512273717, 1553, SURVIVED
512273717, 1554, SURVIVED
512273717, 1574, SURVIVED
512273717, 1629, SURVIVED
512273717, 1576, SURVIVED
512273717, 1957, SURVIVED
512273717, 1936, SURVIVED
512273717, 1898, SURVIVED
512273717, 1966, SURVIVED
512273713, 1553, SURVIVED
512273713, 1425, SURVIVED
512273713, 1561, SURVIVED
512273713, 1554, SURVIVED
512273713, 1576, SURVIVED
512273713, 1574, SURVIVED
512273713, 1898, SURVIVED
512273713, 1629, SURVIVED
512273713, 1957, SURVIVED
512273713, 1936, SURVIVED
512273713, 1966, SURVIVED
512273718, 1425, SURVIVED
512273718, 1553, SURVIVED
512273718, 1554, SURVIVED
512273718, 1561, SURVIVED
512273718, 1574, SURVIVED
512273749, 1425, SURVIVED
512273718, 1576, SURVIVED
512273749, 1553, SURVIVED
512273718, 1629, SURVIVED
512273718, 1936, SURVIVED
512273749, 1554, SURVIVED
512273718, 1898, SURVIVED
512273749, 1561, SURVIVED
512273749, 1574, SURVIVED
512273749, 1576, SURVIVED
512273749, 1629, SURVIVED
512273749, 1898, SURVIVED
512273749, 1957, SURVIVED
512273749, 1966, SURVIVED
512273749, 1936, SURVIVED
512273718, 1966, SURVIVED
512273743, 1425, SURVIVED
512273712, 1425, SURVIVED
512273712, 1561, SURVIVED
512273712, 1553, SURVIVED
512273718, 1957, SURVIVED
512273712, 1554, SURVIVED
512273712, 1629, SURVIVED
512273743, 1553, SURVIVED
512273712, 1574, SURVIVED
512273743, 1574, SURVIVED
512273712, 1576, SURVIVED
512273712, 1898, SURVIVED
512273743, 1554, SURVIVED
512273743, 1561, SURVIVED
512273743, 1629, SURVIVED
512273743, 1898, SURVIVED
512273712, 1936, SURVIVED
512273743, 1576, SURVIVED
512273712, 1957, SURVIVED
512273743, 1936, SURVIVED
512273712, 1966, SURVIVED
512273743, 1957, SURVIVED
512273743, 1966, SURVIVED
512273730, 189, SURVIVED
512273730, 1425, SURVIVED
512273730, 1554, SURVIVED
512273730, 209, SURVIVED
512273730, 1553, SURVIVED
512273730, 1561, SURVIVED
512273730, 1574, SURVIVED
512273730, 1576, SURVIVED
512273730, 1966, SURVIVED
512273730, 1898, SURVIVED
512273730, 1936, SURVIVED
512273730, 1957, SURVIVED
512273730, 1629, SURVIVED
512273721, 1553, SURVIVED
512273721, 1554, SURVIVED
512273721, 1425, SURVIVED
512273721, 1561, SURVIVED
512273721, 1898, SURVIVED
512273763, 1425, SURVIVED
512273763, 1554, SURVIVED
512273721, 1574, SURVIVED
512273763, 1553, SURVIVED
512273721, 1629, SURVIVED
512273721, 1576, SURVIVED
512273721, 1957, SURVIVED
512273763, 1561, SURVIVED
512273721, 1966, SURVIVED
512273721, 1936, SURVIVED
512273763, 1574, SURVIVED
512273763, 1576, SURVIVED
512273763, 1629, SURVIVED
512273763, 1898, SURVIVED
512273763, 1936, SURVIVED
512273763, 1966, SURVIVED
512273763, 1957, SURVIVED
512273726, 1553, SURVIVED
512273726, 1425, SURVIVED
512273726, 1554, SURVIVED
512273726, 1561, SURVIVED
512273726, 1574, SURVIVED
512273726, 1576, SURVIVED
512273726, 1629, SURVIVED
512273726, 1898, SURVIVED
512273726, 1957, SURVIVED
512273726, 1936, SURVIVED
512273726, 1966, SURVIVED
512273719, 189, SURVIVED
512273719, 209, SURVIVED
512273719, 752, SURVIVED
512273719, 753, SURVIVED
512273719, 757, SURVIVED
512273719, 758, SURVIVED
512273719, 754, SURVIVED
512273719, 755, SURVIVED
512273719, 761, SURVIVED
512273719, 759, SURVIVED
512273719, 762, SURVIVED
512273719, 760, SURVIVED
512273719, 764, SURVIVED
512273719, 763, SURVIVED
512273719, 766, SURVIVED
512273719, 768, SURVIVED
512273719, 769, SURVIVED
512273719, 770, SURVIVED
512273719, 771, SURVIVED
512273719, 749, KILLED_FAILED
512273719, 772, SURVIVED
512273719, 774, SURVIVED
512273719, 773, SURVIVED
512273719, 775, SURVIVED
512273719, 781, SURVIVED
512273719, 751, KILLED_FAILED
