seed, mutant, status
2092653300, 49, SURVIVED
2092653327, 49, SURVIVED
2092653326, 49, SURVIVED
2092653327, 1, SURVIVED
2092653300, 1, SURVIVED
2092653321, 49, SURVIVED
2092653304, 49, SURVIVED
2092653325, 49, SURVIVED
2092653304, 1, SURVIVED
2092653326, 1, SURVIVED
2092653321, 1, SURVIVED
2092653302, 1, SURVIVED
2092653302, 49, SURVIVED
2092653307, 49, SURVIVED
2092653301, 1, SURVIVED
2092653312, 1, SURVIVED
2092653312, 49, SURVIVED
2092653353, 1, SURVIVED
2092653353, 49, SURVIVED
2092653325, 1, SURVIVED
2092653301, 49, SURVIVED
2092653307, 1, SURVIVED
2092653332, 1, SURVIVED
2092653332, 49, SURVIVED
2092653328, 1, SURVIVED
2092653328, 49, SURVIVED
2092653347, 1, SURVIVED
2092653347, 49, SURVIVED
2092653366, 1, SURVIVED
2092653366, 49, SURVIVED
2092653316, 49, SURVIVED
2092653316, 1, SURVIVED
2092653320, 49, SURVIVED
2092653320, 1, SURVIVED
2092653318, 1, SURVIVED
2092653315, 1, SURVIVED
2092653334, 1, SURVIVED
2092653315, 49, SURVIVED
2092653317, 1, SURVIVED
2092653309, 49, SURVIVED
2092653334, 49, SURVIVED
2092653317, 49, SURVIVED
2092653309, 1, SURVIVED
2092653318, 49, SURVIVED
2092653359, 1, SURVIVED
2092653359, 49, SURVIVED
2092653337, 1, SURVIVED
2092653337, 49, SURVIVED
2092653342, 1, SURVIVED
2092653331, 49, SURVIVED
2092653331, 1, SURVIVED
2092653324, 49, SURVIVED
2092653342, 49, SURVIVED
2092653324, 1, SURVIVED
2092653306, 1, SURVIVED
2092653329, 49, SURVIVED
2092653306, 49, SURVIVED
2092653339, 1, SURVIVED
2092653329, 1, SURVIVED
2092653339, 49, SURVIVED
2092653330, 1, SURVIVED
2092653330, 49, SURVIVED
2092653305, 1, SURVIVED
2092653305, 49, SURVIVED
2092653376, 1, SURVIVED
2092653376, 49, SURVIVED
2092653313, 1, SURVIVED
2092653313, 49, SURVIVED
2092653333, 49, SURVIVED
2092653373, 1, SURVIVED
2092653360, 1, SURVIVED
2092653333, 1, SURVIVED
2092653373, 49, SURVIVED
2092653360, 49, SURVIVED
2092653384, 1, SURVIVED
2092653384, 49, SURVIVED
2092653311, 1, SURVIVED
2092653354, 1, SURVIVED
