seed, mutant, status
1879426200, 3140, SURVIVED
1879426209, 3205, SURVIVED
1879426200, 3147, SURVIVED
1879426209, 3138, SURVIVED
1879426200, 3141, SURVIVED
1879426200, 3138, SURVIVED
1879426200, 3181, SURVIVED
1879426200, 3205, SURVIVED
1879426209, 3139, SURVIVED
1879426200, 3139, SURVIVED
1879426226, 3205, SURVIVED
1879426200, 3182, SURVIVED
1879426200, 3137, SURVIVED
1879426209, 3137, SURVIVED
1879426200, 3149, SURVIVED
1879426209, 3149, SURVIVED
1879426209, 3141, SURVIVED
1879426209, 3181, SURVIVED
1879426209, 3147, SURVIVED
1879426209, 3182, SURVIVED
1879426226, 3137, SURVIVED
1879426209, 3140, SURVIVED
1879426221, 3149, SURVIVED
1879426221, 3181, SURVIVED
1879426221, 3139, SURVIVED
1879426221, 3141, SURVIVED
1879426221, 3137, SURVIVED
1879426221, 3147, SURVIVED
1879426221, 3140, SURVIVED
1879426221, 3182, SURVIVED
1879426221, 3138, SURVIVED
1879426221, 3205, SURVIVED
1879426226, 3138, SURVIVED
1879426226, 3181, SURVIVED
1879426226, 3141, SURVIVED
1879426226, 3140, SURVIVED
1879426226, 3182, SURVIVED
1879426226, 3149, SURVIVED
1879426226, 3147, SURVIVED
1879426226, 3139, SURVIVED
1879426204, 3137, SURVIVED
1879426204, 3205, SURVIVED
1879426204, 3138, SURVIVED
1879426204, 3141, SURVIVED
1879426204, 3139, SURVIVED
1879426204, 3149, SURVIVED
1879426204, 3182, SURVIVED
1879426241, 3138, SURVIVED
1879426204, 3140, SURVIVED
1879426241, 3139, SURVIVED
1879426241, 3205, SURVIVED
1879426210, 3137, SURVIVED
1879426210, 3149, SURVIVED
1879426210, 3181, SURVIVED
1879426210, 3182, SURVIVED
1879426210, 3139, SURVIVED
1879426241, 3140, SURVIVED
1879426210, 3138, SURVIVED
1879426204, 3147, SURVIVED
1879426210, 3147, SURVIVED
1879426241, 3137, SURVIVED
1879426210, 3140, SURVIVED
1879426210, 3141, SURVIVED
1879426204, 3181, SURVIVED
1879426241, 3182, SURVIVED
1879426210, 3205, SURVIVED
1879426241, 3149, SURVIVED
1879426241, 3147, SURVIVED
1879426241, 3141, SURVIVED
1879426241, 3181, SURVIVED
1879426205, 3205, SURVIVED
1879426205, 3137, SURVIVED
1879426205, 3141, SURVIVED
1879426205, 3138, SURVIVED
1879426205, 3182, SURVIVED
1879426205, 3139, SURVIVED
1879426205, 3140, SURVIVED
1879426205, 3181, SURVIVED
1879426205, 3147, SURVIVED
1879426205, 3149, SURVIVED
1879426218, 3205, SURVIVED
1879426218, 3140, SURVIVED
1879426258, 3137, SURVIVED
1879426218, 3138, SURVIVED
1879426218, 3139, SURVIVED
1879426218, 3137, SURVIVED
1879426273, 3205, SURVIVED
1879426273, 3137, SURVIVED
1879426258, 3147, SURVIVED
1879426258, 3141, SURVIVED
1879426258, 3205, SURVIVED
1879426258, 3139, SURVIVED
1879426258, 3138, SURVIVED
1879426258, 3149, SURVIVED
1879426258, 3182, SURVIVED
1879426258, 3181, SURVIVED
