seed, mutant, status
3805687524, 1311, SURVIVED
3805687524, 1304, SURVIVED
3805687524, 1343, SURVIVED
3805687524, 1318, SURVIVED
3805687524, 1301, SURVIVED
3805687524, 1306, SURVIVED
3805687524, 1253, SURVIVED
3805687524, 1336, SURVIVED
3805687524, 1302, SURVIVED
3805687524, 1310, SURVIVED
3805687524, 1192, SURVIVED
3805687524, 1342, SURVIVED
3805687524, 1274, SURVIVED
3805687524, 1334, SURVIVED
3805687524, 1224, SURVIVED
3805687524, 1219, SURVIVED
3805687524, 1222, SURVIVED
3805687524, 1286, SURVIVED
3805687524, 893, SURVIVED
3805687524, 1333, SURVIVED
3805687524, 1256, SURVIVED
3805687524, 1338, SURVIVED
3805687523, 50, SURVIVED
3805687523, 265, SURVIVED
3805687523, 18, SURVIVED
3805687523, 297, SURVIVED
3805687523, 14, SURVIVED
3805687523, 45, SURVIVED
3805687523, 13, SURVIVED
3805687523, 286, SURVIVED
3805687523, 318, SURVIVED
3805687523, 296, SURVIVED
3805687523, 1253, SURVIVED
3805687523, 1219, SURVIVED
3805687523, 1256, SURVIVED
3805687523, 1304, SURVIVED
3805687523, 1160, SURVIVED
3805687523, 1310, SURVIVED
3805687523, 1334, SURVIVED
3805687523, 1301, SURVIVED
3805687523, 1224, SURVIVED
3805687523, 893, SURVIVED
3805687523, 1274, SURVIVED
3805687523, 1286, SURVIVED
3805687523, 1192, SURVIVED
3805687523, 1302, SURVIVED
3805687523, 1342, SURVIVED
3805687523, 1306, SURVIVED
3805687523, 1338, SURVIVED
3805687503, 1256, SURVIVED
3805687503, 1192, SURVIVED
3805687523, 1333, SURVIVED
3805687523, 1311, SURVIVED
3805687523, 1343, SURVIVED
3805687523, 1222, SURVIVED
3805687503, 1274, SURVIVED
3805687503, 1224, SURVIVED
3805687523, 1318, SURVIVED
3805687523, 1336, SURVIVED
3805687503, 893, SURVIVED
3805687503, 1219, SURVIVED
3805687503, 1253, SURVIVED
3805687503, 1222, SURVIVED
3805687503, 1286, SURVIVED
