seed, mutant, status
2579135690, 24, SURVIVED
2579135690, 118, SURVIVED
2579135690, 102, SURVIVED
2579135660, 118, SURVIVED
2579135660, 24, SURVIVED
2579135660, 102, SURVIVED
2579135658, 24, SURVIVED
2579135658, 102, SURVIVED
2579135658, 118, SURVIVED
2579135614, 102, SURVIVED
2579135614, 24, SURVIVED
2579135614, 118, SURVIVED
2579135610, 24, SURVIVED
2579135626, 118, SURVIVED
2579135610, 102, SURVIVED
2579135642, 102, SURVIVED
2579135626, 102, SURVIVED
2579135626, 24, SURVIVED
2579135610, 118, SURVIVED
2579135642, 118, SURVIVED
2579135642, 24, SURVIVED
2579135613, 118, SURVIVED
2579135613, 102, SURVIVED
2579135613, 24, SURVIVED
2579135628, 24, SURVIVED
2579135605, 118, SURVIVED
2579135628, 118, SURVIVED
2579135628, 102, SURVIVED
2579135605, 102, SURVIVED
2579135605, 24, SURVIVED
2579135602, 24, SURVIVED
2579135602, 102, SURVIVED
2579135602, 118, SURVIVED
2579135621, 24, SURVIVED
2579135621, 102, SURVIVED
2579135621, 118, SURVIVED
2579135629, 102, SURVIVED
2579135606, 102, SURVIVED
2579135606, 118, SURVIVED
2579135606, 24, SURVIVED
2579135629, 24, SURVIVED
2579135622, 118, SURVIVED
2579135629, 118, SURVIVED
2579135653, 24, SURVIVED
2579135653, 102, SURVIVED
2579135622, 24, SURVIVED
2579135622, 102, SURVIVED
2579135653, 118, SURVIVED
2579135625, 24, SURVIVED
2579135625, 102, SURVIVED
2579135623, 102, SURVIVED
2579135625, 118, SURVIVED
2579135618, 102, SURVIVED
2579135623, 24, SURVIVED
2579135609, 24, SURVIVED
2579135609, 102, SURVIVED
2579135618, 24, SURVIVED
2579135609, 118, SURVIVED
2579135618, 118, SURVIVED
2579135623, 118, SURVIVED
2579135600, 24, SURVIVED
2579135600, 102, SURVIVED
2579135616, 24, SURVIVED
2579135600, 118, SURVIVED
2579135601, 24, SURVIVED
2579135616, 102, SURVIVED
2579135616, 118, SURVIVED
2579135608, 102, SURVIVED
2579135608, 118, SURVIVED
2579135601, 102, SURVIVED
2579135607, 24, SURVIVED
2579135601, 118, SURVIVED
2579135608, 24, SURVIVED
2579135607, 118, SURVIVED
2579135604, 24, SURVIVED
2579135607, 102, SURVIVED
2579135604, 102, SURVIVED
2579135604, 118, SURVIVED
2579135620, 102, SURVIVED
2579135634, 24, SURVIVED
2579135620, 118, SURVIVED
2579135620, 24, SURVIVED
2579135634, 102, SURVIVED
2579135641, 24, SURVIVED
2579135630, 118, SURVIVED
2579135634, 118, SURVIVED
2579135630, 24, SURVIVED
2579135641, 102, SURVIVED
2579135641, 118, SURVIVED
2579135630, 102, SURVIVED
2579135615, 24, SURVIVED
2579135650, 24, SURVIVED
2579135646, 102, SURVIVED
2579135650, 102, SURVIVED
2579135646, 24, SURVIVED
2579135687, 24, SURVIVED
2579135687, 102, SURVIVED
2579135650, 118, SURVIVED
2579135646, 118, SURVIVED
2579135615, 118, SURVIVED
2579135687, 118, SURVIVED
2579135674, 24, SURVIVED
2579135632, 24, SURVIVED
2579135615, 102, SURVIVED
2579135632, 102, SURVIVED
2579135674, 102, SURVIVED
2579135674, 118, SURVIVED
2579135632, 118, SURVIVED
2579135635, 24, SURVIVED
2579135635, 118, SURVIVED
2579135635, 102, SURVIVED
2579135669, 24, SURVIVED
2579135669, 102, SURVIVED
2579135669, 118, SURVIVED
2579135637, 24, SURVIVED
2579135637, 102, SURVIVED
2579135637, 118, SURVIVED
2579135661, 24, SURVIVED
2579135661, 102, SURVIVED
2579135661, 118, SURVIVED
2579135685, 24, SURVIVED
2579135685, 102, SURVIVED
2579135685, 118, SURVIVED
2579135655, 24, SURVIVED
2579135655, 102, SURVIVED
2579135692, 24, SURVIVED
2579135692, 102, SURVIVED
2579135692, 118, SURVIVED
2579135603, 24, SURVIVED
2579135655, 118, SURVIVED
2579135603, 102, SURVIVED
2579135603, 118, SURVIVED
2579135657, 24, SURVIVED
2579135665, 24, SURVIVED
2579135657, 118, SURVIVED
2579135665, 102, SURVIVED
2579135657, 102, SURVIVED
2579135678, 24, SURVIVED
2579135633, 24, SURVIVED
2579135654, 102, SURVIVED
2579135636, 24, SURVIVED
2579135678, 118, SURVIVED
2579135654, 118, SURVIVED
2579135654, 24, SURVIVED
2579135678, 102, SURVIVED
2579135636, 118, SURVIVED
2579135636, 102, SURVIVED
2579135665, 118, SURVIVED
2579135633, 102, SURVIVED
2579135652, 24, SURVIVED
2579135633, 118, SURVIVED
2579135652, 102, SURVIVED
2579135652, 118, SURVIVED
2579135640, 118, SURVIVED
2579135647, 24, SURVIVED
2579135640, 102, SURVIVED
2579135645, 24, SURVIVED
2579135640, 24, SURVIVED
2579135647, 102, SURVIVED
2579135647, 118, SURVIVED
2579135645, 102, SURVIVED
2579135672, 24, SURVIVED
2579135645, 118, SURVIVED
2579135672, 102, SURVIVED
2579135672, 118, SURVIVED
2579135664, 24, SURVIVED
2579135664, 118, SURVIVED
2579135664, 102, SURVIVED
2579135648, 102, SURVIVED
2579135648, 24, SURVIVED
2579135648, 118, SURVIVED
2579135682, 102, SURVIVED
2579135682, 24, SURVIVED
2579135644, 24, SURVIVED
2579135644, 102, SURVIVED
2579135644, 118, SURVIVED
2579135682, 118, SURVIVED
2579135667, 24, SURVIVED
2579135694, 102, SURVIVED
2579135694, 24, SURVIVED
2579135694, 118, SURVIVED
2579135667, 118, SURVIVED
2579135673, 24, SURVIVED
2579135667, 102, SURVIVED
2579135673, 102, SURVIVED
2579135639, 24, SURVIVED
2579135639, 118, SURVIVED
2579135639, 102, SURVIVED
2579135673, 118, SURVIVED
2579135668, 24, SURVIVED
2579135638, 102, SURVIVED
2579135638, 24, SURVIVED
2579135668, 102, SURVIVED
2579135638, 118, SURVIVED
2579135689, 24, SURVIVED
2579135668, 118, SURVIVED
2579135689, 102, SURVIVED
2579135689, 118, SURVIVED
2579135679, 24, SURVIVED
2579135679, 102, SURVIVED
2579135619, 24, SURVIVED
2579135619, 102, SURVIVED
2579135662, 24, SURVIVED
2579135619, 118, SURVIVED
2579135677, 24, SURVIVED
2579135683, 24, SURVIVED
2579135677, 102, SURVIVED
2579135662, 102, SURVIVED
2579135677, 118, SURVIVED
2579135683, 102, SURVIVED
2579135683, 118, SURVIVED
2579135679, 118, SURVIVED
2579135662, 118, SURVIVED
2579135699, 24, SURVIVED
2579135699, 102, SURVIVED
2579135699, 118, SURVIVED
2579135671, 24, SURVIVED
2579135671, 102, SURVIVED
2579135631, 24, SURVIVED
2579135671, 118, SURVIVED
2579135631, 118, SURVIVED
2579135686, 102, SURVIVED
2579135686, 24, SURVIVED
2579135631, 102, SURVIVED
2579135612, 24, SURVIVED
2579135651, 24, SURVIVED
2579135686, 118, SURVIVED
2579135612, 118, SURVIVED
2579135651, 102, SURVIVED
2579135651, 118, SURVIVED
2579135612, 102, SURVIVED
2579135611, 118, SURVIVED
2579135643, 102, SURVIVED
2579135611, 24, SURVIVED
2579135643, 24, SURVIVED
2579135611, 102, SURVIVED
2579135643, 118, SURVIVED
