seed, mutant, status
1430179478, 36, SURVIVED
1430179425, 0, SURVIVED
1430179478, 0, SURVIVED
1430179413, 0, SURVIVED
1430179425, 36, SURVIVED
1430179413, 36, SURVIVED
1430179446, 36, SURVIVED
1430179406, 0, SURVIVED
1430179406, 36, SURVIVED
1430179446, 0, SURVIVED
1430179420, 36, SURVIVED
1430179420, 0, SURVIVED
1430179414, 0, SURVIVED
1430179414, 36, SURVIVED
1430179444, 36, SURVIVED
1430179444, 0, SURVIVED
1430179412, 0, SURVIVED
1430179412, 36, SURVIVED
1430179424, 36, SURVIVED
1430179424, 0, SURVIVED
1430179427, 36, SURVIVED
1430179428, 0, SURVIVED
1430179428, 36, SURVIVED
1430179423, 0, SURVIVED
1430179423, 36, SURVIVED
1430179403, 36, SURVIVED
1430179403, 0, SURVIVED
1430179427, 0, SURVIVED
1430179402, 0, SURVIVED
1430179401, 0, SURVIVED
1430179402, 36, SURVIVED
1430179410, 0, SURVIVED
1430179401, 36, SURVIVED
1430179463, 0, SURVIVED
1430179495, 0, SURVIVED
1430179463, 36, SURVIVED
1430179418, 0, SURVIVED
1430179410, 36, SURVIVED
1430179418, 36, SURVIVED
1430179409, 36, SURVIVED
1430179495, 36, SURVIVED
1430179404, 0, SURVIVED
1430179409, 0, SURVIVED
1430179468, 36, SURVIVED
1430179468, 0, SURVIVED
1430179404, 36, SURVIVED
1430179432, 36, SURVIVED
1430179419, 36, SURVIVED
1430179432, 0, SURVIVED
1430179419, 0, SURVIVED
1430179429, 36, SURVIVED
1430179429, 0, SURVIVED
1430179411, 0, SURVIVED
1430179411, 36, SURVIVED
1430179474, 0, SURVIVED
1430179474, 36, SURVIVED
1430179456, 0, SURVIVED
1430179456, 36, SURVIVED
1430179408, 0, SURVIVED
1430179430, 0, SURVIVED
1430179430, 36, SURVIVED
1430179487, 0, SURVIVED
1430179487, 36, SURVIVED
1430179408, 36, SURVIVED
1430179436, 0, SURVIVED
1430179436, 36, SURVIVED
1430179452, 0, SURVIVED
1430179460, 0, SURVIVED
1430179460, 36, SURVIVED
1430179431, 36, SURVIVED
1430179431, 0, SURVIVED
1430179442, 0, SURVIVED
1430179434, 36, SURVIVED
1430179452, 36, SURVIVED
1430179442, 36, SURVIVED
1430179434, 0, SURVIVED
1430179473, 0, SURVIVED
1430179455, 0, SURVIVED
1430179473, 36, SURVIVED
1430179465, 0, SURVIVED
1430179421, 0, SURVIVED
1430179465, 36, SURVIVED
1430179450, 36, SURVIVED
1430179483, 0, SURVIVED
1430179483, 36, SURVIVED
1430179450, 0, SURVIVED
1430179459, 0, SURVIVED
1430179421, 36, SURVIVED
1430179455, 36, SURVIVED
1430179407, 0, SURVIVED
1430179459, 36, SURVIVED
1430179457, 36, SURVIVED
1430179471, 0, SURVIVED
1430179462, 0, SURVIVED
1430179457, 0, SURVIVED
1430179407, 36, SURVIVED
1430179462, 36, SURVIVED
1430179471, 36, SURVIVED
1430179441, 0, SURVIVED
1430179400, 0, SURVIVED
1430179400, 36, SURVIVED
1430179441, 36, SURVIVED
1430179415, 0, SURVIVED
1430179415, 36, SURVIVED
1430179489, 0, SURVIVED
1430179489, 36, SURVIVED
1430179494, 0, SURVIVED
1430179494, 36, SURVIVED
1430179435, 0, SURVIVED
1430179435, 36, SURVIVED
1430179416, 36, SURVIVED
1430179439, 0, SURVIVED
1430179467, 36, SURVIVED
1430179439, 36, SURVIVED
1430179467, 0, SURVIVED
1430179416, 0, SURVIVED
1430179433, 0, SURVIVED
1430179433, 36, SURVIVED
1430179488, 0, SURVIVED
1430179451, 0, SURVIVED
1430179448, 36, SURVIVED
1430179482, 0, SURVIVED
1430179448, 0, SURVIVED
1430179496, 0, SURVIVED
1430179451, 36, SURVIVED
1430179496, 36, SURVIVED
1430179482, 36, SURVIVED
1430179453, 0, SURVIVED
1430179488, 36, SURVIVED
1430179453, 36, SURVIVED
1430179405, 0, SURVIVED
1430179405, 36, SURVIVED
1430179485, 0, SURVIVED
1430179485, 36, SURVIVED
1430179476, 0, SURVIVED
1430179497, 0, SURVIVED
1430179476, 36, SURVIVED
1430179497, 36, SURVIVED
1430179492, 36, SURVIVED
1430179492, 0, SURVIVED
1430179464, 0, SURVIVED
