seed, mutant, status
2462717926, 549, KILLED_FAILED
2462717917, 550, SURVIVED
2462717917, 552, SURVIVED
2462717917, 551, SURVIVED
2462717917, 558, SURVIVED
2462717926, 556, KILLED_FAILED
2462717926, 558, KILLED_FAILED
2462717907, 890, SURVIVED
2462717917, 553, SURVIVED
2462717917, 555, SURVIVED
2462717917, 554, SURVIVED
2462717926, 552, KILLED_FAILED
2462717926, 553, KILLED_FAILED
2462717926, 555, KILLED_FAILED
2462717917, 556, SURVIVED
2462717926, 551, SURVIVED
2462717908, 890, SURVIVED
2462717926, 554, KILLED_FAILED
2462717926, 550, SURVIVED
2462717935, 890, SURVIVED
2462717924, 549, KILLED_FAILED
2462717924, 551, SURVIVED
2462717924, 552, KILLED_FAILED
2462717924, 556, KILLED_FAILED
2462717924, 554, KILLED_FAILED
2462717924, 555, KILLED_FAILED
2462717924, 550, SURVIVED
2462717924, 558, KILLED_FAILED
2462717924, 553, KILLED_FAILED
2462717915, 549, KILLED_FAILED
2462717925, 890, SURVIVED
2462717915, 550, SURVIVED
2462717950, 386, SURVIVED
2462717915, 551, SURVIVED
2462717950, 406, SURVIVED
2462717915, 554, KILLED_FAILED
2462717915, 553, KILLED_FAILED
2462717915, 890, SURVIVED
2462717915, 558, KILLED_FAILED
2462717915, 555, KILLED_FAILED
2462717915, 552, KILLED_FAILED
2462717921, 554, KILLED_FAILED
2462717921, 553, KILLED_FAILED
2462717921, 550, SURVIVED
2462717942, 551, SURVIVED
2462717942, 550, SURVIVED
2462717913, 551, SURVIVED
2462717913, 550, SURVIVED
2462717913, 554, KILLED_FAILED
2462717913, 890, SURVIVED
2462717921, 551, SURVIVED
2462717901, 890, SURVIVED
2462717974, 890, SURVIVED
2462717976, 890, SURVIVED
2462717914, 550, SURVIVED
2462717949, 890, SURVIVED
2462717949, 551, SURVIVED
2462717949, 550, SURVIVED
2462717914, 551, SURVIVED
2462717914, 890, SURVIVED
2462717916, 550, SURVIVED
2462717905, 890, SURVIVED
2462717912, 550, SURVIVED
2462717905, 550, SURVIVED
2462717916, 551, SURVIVED
2462717905, 551, SURVIVED
2462717912, 551, SURVIVED
2462717912, 890, SURVIVED
2462717928, 550, SURVIVED
2462717909, 550, SURVIVED
2462717940, 550, SURVIVED
2462717940, 551, SURVIVED
2462717909, 551, SURVIVED
2462717928, 890, SURVIVED
2462717940, 890, SURVIVED
