seed, mutant, status
274156203, 14850, SURVIVED
274156231, 22375, SURVIVED
274156203, 14037, SURVIVED
274156231, 22368, SURVIVED
274156203, 16572, SURVIVED
274156203, 16576, SURVIVED
274156231, 22376, SURVIVED
274156231, 16581, SURVIVED
274156231, 22371, SURVIVED
274156231, 11471, SURVIVED
274156231, 11474, SURVIVED
274156231, 22374, SURVIVED
274156231, 22380, SURVIVED
274156231, 22379, SURVIVED
274156231, 22373, SURVIVED
274156231, 22369, SURVIVED
274156231, 22370, SURVIVED
274156231, 14850, SURVIVED
274156231, 22372, SURVIVED
274156203, 16581, SURVIVED
274156203, 14029, SURVIVED
274156203, 11474, SURVIVED
274156203, 11471, SURVIVED
274156231, 16576, SURVIVED
274156231, 22377, SURVIVED
274156231, 16572, SURVIVED
274156231, 22378, SURVIVED
274156213, 14037, SURVIVED
274156213, 14029, SURVIVED
274156213, 14850, SURVIVED
274156213, 11474, SURVIVED
274156213, 11471, SURVIVED
274156213, 16572, SURVIVED
274156213, 22368, SURVIVED
274156213, 16576, SURVIVED
274156213, 22370, SURVIVED
274156218, 14850, SURVIVED
274156218, 14029, SURVIVED
274156213, 22372, SURVIVED
274156213, 22375, SURVIVED
274156213, 22379, SURVIVED
274156213, 22374, SURVIVED
274156218, 11474, SURVIVED
274156213, 22378, SURVIVED
274156218, 11471, SURVIVED
274156218, 14037, SURVIVED
274156213, 22380, SURVIVED
274156213, 22371, SURVIVED
274156213, 22376, SURVIVED
274156213, 22373, SURVIVED
274156213, 16581, SURVIVED
274156213, 22369, SURVIVED
274156213, 22377, SURVIVED
274156225, 22370, SURVIVED
274156225, 14850, SURVIVED
274156225, 11471, SURVIVED
274156225, 16572, SURVIVED
274156225, 22372, SURVIVED
274156225, 22371, SURVIVED
274156225, 22369, SURVIVED
274156225, 11474, SURVIVED
274156225, 16576, SURVIVED
274156225, 16581, SURVIVED
274156225, 22368, SURVIVED
274156225, 22373, SURVIVED
274156225, 22374, SURVIVED
274156225, 22375, SURVIVED
274156225, 22377, SURVIVED
274156214, 232, SURVIVED
274156214, 14029, SURVIVED
274156214, 235, SURVIVED
274156214, 236, SURVIVED
274156214, 234, SURVIVED
274156214, 231, SURVIVED
274156214, 11471, SURVIVED
274156214, 11474, SURVIVED
274156214, 14037, SURVIVED
274156214, 16572, SURVIVED
274156214, 16576, SURVIVED
274156214, 14850, SURVIVED
274156214, 16581, SURVIVED
274156225, 22376, SURVIVED
274156225, 22379, SURVIVED
274156225, 22378, SURVIVED
274156225, 22380, SURVIVED
274156221, 14850, SURVIVED
274156221, 16581, SURVIVED
274156221, 16572, SURVIVED
274156221, 11474, SURVIVED
274156221, 11471, SURVIVED
274156221, 22369, SURVIVED
274156221, 14029, SURVIVED
274156221, 22368, SURVIVED
274156221, 14037, SURVIVED
274156221, 16576, SURVIVED
274156221, 22371, SURVIVED
274156221, 22380, SURVIVED
274156221, 22376, SURVIVED
274156221, 22370, SURVIVED
274156221, 22372, SURVIVED
274156221, 22373, SURVIVED
274156221, 22374, SURVIVED
274156221, 22379, SURVIVED
274156221, 22377, SURVIVED
274156200, 16581, SURVIVED
274156200, 11474, SURVIVED
274156221, 22378, SURVIVED
274156221, 22375, SURVIVED
274156200, 16576, SURVIVED
274156200, 11471, SURVIVED
274156200, 14029, SURVIVED
274156200, 14037, SURVIVED
274156200, 14850, SURVIVED
274156200, 16572, SURVIVED
274156200, 22368, SURVIVED
274156200, 22370, SURVIVED
274156200, 22369, SURVIVED
274156200, 22375, SURVIVED
274156200, 22373, SURVIVED
274156200, 22371, SURVIVED
274156200, 22374, SURVIVED
274156200, 22379, SURVIVED
