seed, mutant, status
1849244006, 3097, SURVIVED
1849244006, 8167, SURVIVED
1849244006, 3094, SURVIVED
1849244006, 8188, SURVIVED
1849244006, 3093, SURVIVED
1849244003, 3094, SURVIVED
1849244003, 3093, SURVIVED
1849244006, 8156, SURVIVED
1849244026, 3097, SURVIVED
1849244006, 11606, SURVIVED
1849244005, 3094, SURVIVED
1849244006, 8138, SURVIVED
1849244005, 8167, SURVIVED
1849244026, 8167, SURVIVED
1849244026, 8135, SURVIVED
1849244026, 8156, SURVIVED
1849244005, 8170, SURVIVED
1849244005, 3093, SURVIVED
1849244026, 8170, SURVIVED
1849244005, 8156, SURVIVED
1849244006, 8170, SURVIVED
1849244005, 3097, SURVIVED
1849244003, 3097, SURVIVED
1849244005, 8188, SURVIVED
1849244026, 8138, SURVIVED
1849244006, 8135, SURVIVED
1849244026, 8188, SURVIVED
1849244005, 8138, SURVIVED
1849244026, 3093, SURVIVED
1849244026, 3094, SURVIVED
1849244005, 8135, SURVIVED
1849244017, 3093, SURVIVED
1849244017, 3097, SURVIVED
1849244017, 8167, SURVIVED
1849244017, 3094, SURVIVED
1849244017, 8156, SURVIVED
1849244017, 8170, SURVIVED
1849244017, 8138, SURVIVED
1849244017, 8135, SURVIVED
1849244017, 10715, SURVIVED
1849244017, 11606, SURVIVED
1849244017, 8188, SURVIVED
1849244017, 8223, SURVIVED
1849244024, 8156, SURVIVED
1849244024, 3094, SURVIVED
1849244024, 8138, SURVIVED
1849244024, 8188, SURVIVED
1849244024, 3097, SURVIVED
1849244024, 8135, SURVIVED
1849244024, 10747, SURVIVED
1849244024, 8167, SURVIVED
1849244024, 3093, SURVIVED
1849244024, 8170, SURVIVED
1849244010, 8241, SURVIVED
1849244010, 8298, SURVIVED
1849244010, 8255, SURVIVED
1849244010, 8240, SURVIVED
1849244010, 8223, SURVIVED
1849244010, 8238, SURVIVED
1849244010, 8243, SURVIVED
1849244010, 8239, SURVIVED
1849244010, 8249, SURVIVED
1849244010, 8245, SURVIVED
1849244010, 8244, SURVIVED
1849244010, 3093, SURVIVED
1849244010, 3094, SURVIVED
1849244010, 3097, SURVIVED
1849244010, 8246, SURVIVED
1849244010, 8135, SURVIVED
1849244010, 8138, SURVIVED
1849244010, 8156, SURVIVED
1849244010, 8170, SURVIVED
1849244010, 8188, SURVIVED
1849244010, 8167, SURVIVED
1849244018, 3093, SURVIVED
1849244018, 3094, SURVIVED
1849244018, 3097, SURVIVED
1849244018, 8135, SURVIVED
1849244018, 8138, SURVIVED
1849244018, 8167, SURVIVED
1849244018, 8223, SURVIVED
1849244018, 8156, SURVIVED
1849244018, 8170, SURVIVED
1849244018, 8188, SURVIVED
1849244018, 8238, SURVIVED
1849244018, 8245, SURVIVED
1849244018, 8239, SURVIVED
1849244018, 8246, SURVIVED
1849244018, 8240, SURVIVED
1849244018, 8243, SURVIVED
1849244018, 10715, SURVIVED
1849244018, 8241, SURVIVED
1849244018, 8244, SURVIVED
1849244018, 8255, SURVIVED
1849244018, 8249, SURVIVED
1849244018, 8298, SURVIVED
1849244050, 3094, SURVIVED
1849244050, 8138, SURVIVED
1849244050, 3093, SURVIVED
1849244050, 8167, SURVIVED
1849244050, 3097, SURVIVED
1849244050, 8238, SURVIVED
1849244050, 8135, SURVIVED
1849244050, 8170, SURVIVED
1849244050, 8156, SURVIVED
1849244082, 8135, SURVIVED
1849244050, 8188, SURVIVED
1849244082, 8156, SURVIVED
1849244082, 3097, SURVIVED
1849244082, 3094, SURVIVED
1849244082, 3093, SURVIVED
1849244082, 8138, SURVIVED
1849244082, 8170, SURVIVED
1849244082, 8167, SURVIVED
1849244050, 8223, SURVIVED
1849244082, 8188, SURVIVED
1849244050, 8243, SURVIVED
1849244082, 8223, SURVIVED
1849244050, 8241, SURVIVED
1849244050, 8239, SURVIVED
1849244050, 8240, SURVIVED
1849244050, 8298, SURVIVED
1849244050, 8249, SURVIVED
1849244050, 8255, SURVIVED
1849244050, 8244, SURVIVED
1849244050, 8245, SURVIVED
1849244050, 10715, SURVIVED
1849244082, 8238, SURVIVED
1849244050, 8246, SURVIVED
1849244082, 8239, SURVIVED
1849244082, 8240, SURVIVED
1849244082, 8243, SURVIVED
1849244082, 8244, SURVIVED
1849244082, 8241, SURVIVED
1849244082, 8245, SURVIVED
1849244082, 8246, SURVIVED
1849244082, 8298, SURVIVED
1849244082, 8249, SURVIVED
1849244082, 8255, SURVIVED
1849244016, 8138, SURVIVED
1849244016, 8135, SURVIVED
1849244016, 8223, SURVIVED
1849244016, 8167, SURVIVED
1849244016, 8188, SURVIVED
1849244016, 8239, SURVIVED
1849244016, 8156, SURVIVED
1849244016, 8241, SURVIVED
1849244016, 8240, SURVIVED
1849244016, 8170, SURVIVED
1849244016, 10715, SURVIVED
1849244016, 8249, SURVIVED
1849244016, 8238, SURVIVED
1849244016, 10747, SURVIVED
1849244016, 8246, SURVIVED
1849244016, 8245, SURVIVED
1849244016, 8255, SURVIVED
1849244016, 8243, SURVIVED
1849244016, 8298, SURVIVED
1849244016, 8244, SURVIVED
1849244009, 8135, SURVIVED
1849244009, 8138, SURVIVED
1849244009, 8156, SURVIVED
1849244009, 8239, SURVIVED
1849244009, 8170, SURVIVED
1849244009, 8188, SURVIVED
1849244009, 8167, SURVIVED
1849244009, 8223, SURVIVED
1849244009, 8238, SURVIVED
1849244009, 8241, SURVIVED
1849244009, 8240, SURVIVED
1849244009, 8243, SURVIVED
1849244009, 8245, SURVIVED
1849244009, 8244, SURVIVED
1849244009, 8255, SURVIVED
1849244009, 8249, SURVIVED
1849244009, 8298, SURVIVED
1849244009, 8246, SURVIVED
1849244011, 8138, SURVIVED
1849244011, 8135, SURVIVED
1849244011, 8167, SURVIVED
1849244011, 8239, SURVIVED
1849244009, 10747, SURVIVED
1849244011, 8238, SURVIVED
1849244011, 8170, SURVIVED
1849244011, 8156, SURVIVED
1849244011, 8223, SURVIVED
1849244011, 8240, SURVIVED
1849244011, 8241, SURVIVED
1849244011, 8243, SURVIVED
1849244041, 3093, SURVIVED
1849244041, 3094, SURVIVED
1849244041, 3097, SURVIVED
1849244011, 8244, SURVIVED
1849244011, 8245, SURVIVED
1849244011, 8246, SURVIVED
1849244011, 8188, SURVIVED
1849244011, 8249, SURVIVED
1849244001, 8170, SURVIVED
1849244001, 8138, SURVIVED
1849244011, 8255, SURVIVED
1849244001, 8156, SURVIVED
1849244001, 8167, SURVIVED
1849244011, 8298, SURVIVED
1849244001, 8135, SURVIVED
1849244001, 8188, SURVIVED
1849244001, 8223, SURVIVED
1849244001, 8238, SURVIVED
1849244001, 8239, SURVIVED
1849244001, 8244, SURVIVED
1849244001, 8240, SURVIVED
1849244001, 8241, SURVIVED
1849244001, 8245, SURVIVED
1849244001, 8243, SURVIVED
1849244001, 8298, SURVIVED
1849244001, 8249, SURVIVED
1849244001, 8246, SURVIVED
1849244001, 10715, SURVIVED
1849244027, 8135, SURVIVED
1849244027, 8156, SURVIVED
1849244027, 8138, SURVIVED
1849244027, 8167, SURVIVED
1849244027, 8188, SURVIVED
1849244027, 8170, SURVIVED
1849244001, 8255, SURVIVED
1849244027, 8223, SURVIVED
1849244027, 8238, SURVIVED
1849244027, 8239, SURVIVED
1849244027, 8240, SURVIVED
1849244027, 8241, SURVIVED
1849244027, 8245, SURVIVED
1849244027, 8243, SURVIVED
1849244027, 8246, SURVIVED
1849244027, 8249, SURVIVED
1849244027, 8298, SURVIVED
1849244027, 8255, SURVIVED
1849244027, 8244, SURVIVED
1849244023, 8135, SURVIVED
1849244023, 8138, SURVIVED
1849244023, 8156, SURVIVED
1849244023, 8243, SURVIVED
1849244023, 8238, SURVIVED
1849244023, 8170, SURVIVED
1849244023, 8223, SURVIVED
1849244023, 8188, SURVIVED
1849244023, 8239, SURVIVED
1849244023, 8167, SURVIVED
1849244023, 8241, SURVIVED
1849244023, 8240, SURVIVED
1849244021, 8135, SURVIVED
1849244023, 8244, SURVIVED
1849244023, 8246, SURVIVED
1849244023, 8255, SURVIVED
1849244023, 8245, SURVIVED
1849244021, 8167, SURVIVED
1849244023, 8249, SURVIVED
1849244021, 8138, SURVIVED
1849244021, 8170, SURVIVED
1849244021, 8239, SURVIVED
1849244021, 8188, SURVIVED
1849244021, 8223, SURVIVED
1849244021, 8238, SURVIVED
1849244021, 8156, SURVIVED
1849244023, 10747, SURVIVED
1849244021, 8241, SURVIVED
1849244021, 8243, SURVIVED
1849244021, 8240, SURVIVED
1849244023, 8298, SURVIVED
1849244021, 8244, SURVIVED
1849244021, 8246, SURVIVED
1849244021, 8245, SURVIVED
1849244021, 8298, SURVIVED
1849244021, 8255, SURVIVED
1849244021, 8249, SURVIVED
1849244031, 8138, SURVIVED
1849244031, 8135, SURVIVED
1849244031, 8156, SURVIVED
1849244031, 8167, SURVIVED
1849244031, 8241, SURVIVED
1849244031, 8223, SURVIVED
1849244031, 8188, SURVIVED
1849244031, 8170, SURVIVED
1849244031, 8238, SURVIVED
1849244031, 8240, SURVIVED
1849244031, 8239, SURVIVED
1849244031, 8244, SURVIVED
1849244025, 3093, SURVIVED
1849244031, 8249, SURVIVED
1849244031, 8245, SURVIVED
1849244031, 8255, SURVIVED
1849244031, 8243, SURVIVED
1849244025, 3094, SURVIVED
1849244031, 8298, SURVIVED
1849244025, 3097, SURVIVED
1849244025, 8138, SURVIVED
1849244031, 8246, SURVIVED
1849244025, 8135, SURVIVED
1849244025, 8156, SURVIVED
1849244025, 8170, SURVIVED
1849244025, 8167, SURVIVED
1849244025, 8223, SURVIVED
1849244025, 8188, SURVIVED
1849244025, 8238, SURVIVED
1849244025, 8239, SURVIVED
1849244025, 8240, SURVIVED
1849244025, 8241, SURVIVED
1849244025, 8243, SURVIVED
1849244025, 8244, SURVIVED
1849244025, 8245, SURVIVED
1849244025, 8246, SURVIVED
1849244025, 8249, SURVIVED
1849244025, 8255, SURVIVED
1849244025, 8298, SURVIVED
1849244002, 8135, SURVIVED
1849244002, 8156, SURVIVED
1849244002, 8138, SURVIVED
1849244002, 8223, SURVIVED
1849244002, 8167, SURVIVED
1849244002, 8170, SURVIVED
1849244002, 8188, SURVIVED
1849244002, 8241, SURVIVED
1849244002, 8240, SURVIVED
1849244002, 8239, SURVIVED
1849244002, 8238, SURVIVED
1849244002, 8244, SURVIVED
1849244002, 8243, SURVIVED
1849244002, 8249, SURVIVED
1849244002, 8246, SURVIVED
1849244002, 8245, SURVIVED
1849244002, 8255, SURVIVED
1849244002, 9637, SURVIVED
1849244002, 8298, SURVIVED
1849244002, 9639, KILLED_FAILED
1849244002, 10715, SURVIVED
1849244002, 10747, SURVIVED
1849244015, 8135, SURVIVED
1849244015, 8138, SURVIVED
1849244015, 8170, SURVIVED
1849244015, 8188, SURVIVED
1849244015, 8167, SURVIVED
1849244015, 8156, SURVIVED
1849244015, 8223, SURVIVED
1849244015, 8238, SURVIVED
1849244015, 8239, SURVIVED
1849244015, 8240, SURVIVED
1849244015, 8241, SURVIVED
1849244015, 8255, SURVIVED
1849244015, 8243, SURVIVED
1849244015, 8298, SURVIVED
1849244015, 8246, SURVIVED
1849244015, 8249, SURVIVED
1849244015, 8245, SURVIVED
1849244015, 8244, SURVIVED
1849244014, 3097, SURVIVED
1849244014, 3094, SURVIVED
1849244014, 8156, SURVIVED
1849244014, 8138, SURVIVED
1849244014, 8170, SURVIVED
1849244014, 8135, SURVIVED
1849244014, 8238, SURVIVED
1849244014, 3093, SURVIVED
1849244014, 8188, SURVIVED
1849244014, 8223, SURVIVED
1849244014, 8239, SURVIVED
1849244014, 8167, SURVIVED
1849244014, 8240, SURVIVED
1849244014, 8241, SURVIVED
1849244014, 8243, SURVIVED
1849244014, 8244, SURVIVED
1849244014, 8249, SURVIVED
1849244014, 8245, SURVIVED
1849244014, 8246, SURVIVED
1849244014, 8255, SURVIVED
1849244014, 8298, SURVIVED
1849244014, 10715, SURVIVED
1849244014, 10747, SURVIVED
1849244019, 8167, SURVIVED
1849244019, 8156, SURVIVED
1849244019, 8138, SURVIVED
1849244019, 8135, SURVIVED
1849244019, 8170, SURVIVED
1849244019, 8239, SURVIVED
1849244019, 8188, SURVIVED
1849244019, 8223, SURVIVED
1849244019, 8238, SURVIVED
1849244019, 8240, SURVIVED
1849244019, 8241, SURVIVED
1849244019, 8244, SURVIVED
1849244019, 8243, SURVIVED
1849244019, 8245, SURVIVED
1849244019, 8246, SURVIVED
1849244019, 8298, SURVIVED
1849244019, 8249, SURVIVED
1849244019, 8255, SURVIVED
1849244000, 8135, SURVIVED
1849244000, 8138, SURVIVED
1849244000, 8156, SURVIVED
1849244000, 8167, SURVIVED
1849244000, 8170, SURVIVED
1849244000, 8188, SURVIVED
1849244000, 8223, SURVIVED
1849244047, 3093, SURVIVED
1849244000, 8239, SURVIVED
1849244000, 8238, SURVIVED
1849244000, 8240, SURVIVED
1849244047, 3097, SURVIVED
1849244047, 3094, SURVIVED
1849244000, 8243, SURVIVED
1849244000, 8241, SURVIVED
1849244047, 8135, SURVIVED
1849244047, 8138, SURVIVED
1849244000, 8244, SURVIVED
1849244047, 8156, SURVIVED
1849244000, 8245, SURVIVED
1849244047, 8167, SURVIVED
1849244047, 8188, SURVIVED
1849244047, 8223, SURVIVED
1849244000, 8246, SURVIVED
1849244047, 8170, SURVIVED
1849244047, 8241, SURVIVED
1849244047, 8239, SURVIVED
1849244047, 8238, SURVIVED
1849244047, 8240, SURVIVED
1849244047, 8243, SURVIVED
1849244047, 8244, SURVIVED
1849244038, 8156, SURVIVED
1849244047, 8245, SURVIVED
1849244038, 8167, SURVIVED
1849244047, 8246, SURVIVED
1849244047, 8249, SURVIVED
1849244038, 8135, SURVIVED
1849244000, 8249, SURVIVED
1849244047, 8255, SURVIVED
1849244047, 10715, SURVIVED
1849244047, 8298, SURVIVED
1849244038, 8188, SURVIVED
1849244038, 8170, SURVIVED
1849244047, 10747, SURVIVED
1849244038, 8138, SURVIVED
1849244000, 8298, SURVIVED
1849244038, 8240, SURVIVED
1849244000, 10747, SURVIVED
1849244038, 8223, SURVIVED
1849244000, 8255, SURVIVED
1849244038, 8238, SURVIVED
1849244038, 8239, SURVIVED
1849244038, 8241, SURVIVED
1849244038, 8243, SURVIVED
1849244038, 8244, SURVIVED
1849244038, 8245, SURVIVED
1849244038, 8249, SURVIVED
1849244038, 8246, SURVIVED
1849244038, 8255, SURVIVED
1849244038, 8298, SURVIVED
1849244038, 10747, SURVIVED
1849244035, 8138, SURVIVED
1849244035, 8135, SURVIVED
1849244035, 8156, SURVIVED
1849244035, 8167, SURVIVED
1849244035, 8170, SURVIVED
1849244030, 8135, SURVIVED
1849244035, 8188, SURVIVED
1849244035, 8223, SURVIVED
1849244030, 8223, SURVIVED
1849244035, 8238, SURVIVED
1849244035, 8239, SURVIVED
1849244030, 8167, SURVIVED
1849244030, 8238, SURVIVED
1849244030, 8239, SURVIVED
1849244030, 10747, SURVIVED
1849244030, 8243, SURVIVED
1849244030, 8240, SURVIVED
1849244030, 8241, SURVIVED
1849244030, 8245, SURVIVED
1849244030, 8246, SURVIVED
1849244030, 8138, SURVIVED
1849244030, 8249, SURVIVED
1849244030, 8255, SURVIVED
1849244030, 10715, SURVIVED
1849244030, 8188, SURVIVED
1849244030, 8156, SURVIVED
1849244030, 8244, SURVIVED
1849244030, 8298, SURVIVED
1849244030, 8170, SURVIVED
1849244035, 8240, SURVIVED
1849244035, 8241, SURVIVED
1849244035, 8243, SURVIVED
1849244035, 8244, SURVIVED
1849244035, 8245, SURVIVED
1849244035, 8298, SURVIVED
1849244035, 8255, SURVIVED
1849244035, 8246, SURVIVED
1849244035, 8249, SURVIVED
1849244035, 10715, SURVIVED
1849244035, 10747, SURVIVED
1849244042, 8135, SURVIVED
1849244042, 8138, SURVIVED
1849244042, 8156, SURVIVED
1849244042, 8170, SURVIVED
1849244042, 8240, SURVIVED
1849244042, 8188, SURVIVED
1849244042, 8223, SURVIVED
1849244042, 8238, SURVIVED
1849244042, 8243, SURVIVED
1849244042, 8245, SURVIVED
1849244042, 8244, SURVIVED
1849244042, 8241, SURVIVED
1849244042, 8255, SURVIVED
1849244042, 8167, SURVIVED
1849244042, 8246, SURVIVED
1849244042, 8249, SURVIVED
1849244042, 8298, SURVIVED
1849244042, 8239, SURVIVED
1849244042, 9637, SURVIVED
1849244008, 3093, SURVIVED
1849244008, 3094, SURVIVED
1849244008, 3097, SURVIVED
1849244008, 8135, SURVIVED
1849244008, 8138, SURVIVED
1849244008, 8156, SURVIVED
1849244008, 8167, SURVIVED
1849244008, 8170, SURVIVED
