seed, mutant, status
1252402251, 2400, SURVIVED
1252402251, 2401, SURVIVED
1252402211, 2400, SURVIVED
1252402206, 2400, SURVIVED
1252402250, 2400, SURVIVED
1252402206, 2401, SURVIVED
1252402211, 2401, SURVIVED
1252402203, 2401, SURVIVED
1252402250, 2401, SURVIVED
1252402203, 2400, SURVIVED
1252402246, 2400, SURVIVED
1252402241, 2400, SURVIVED
1252402241, 2401, SURVIVED
1252402246, 2401, SURVIVED
1252402263, 2400, SURVIVED
1252402299, 2401, SURVIVED
1252402299, 2400, SURVIVED
1252402263, 2401, SURVIVED
1252402208, 2400, SURVIVED
1252402258, 2400, SURVIVED
1252402208, 2401, SURVIVED
1252402258, 2401, SURVIVED
1252402222, 2401, SURVIVED
1252402222, 2400, SURVIVED
1252402296, 2400, SURVIVED
1252402296, 2401, SURVIVED
1252402216, 2400, SURVIVED
1252402216, 2401, SURVIVED
1252402284, 2400, SURVIVED
1252402284, 2401, SURVIVED
1252402212, 2401, SURVIVED
1252402237, 2400, SURVIVED
1252402212, 2400, SURVIVED
1252402233, 2401, SURVIVED
1252402237, 2401, SURVIVED
1252402273, 2401, SURVIVED
1252402233, 2400, SURVIVED
1252402262, 2400, SURVIVED
1252402273, 2400, SURVIVED
1252402262, 2401, SURVIVED
1252402276, 2400, SURVIVED
1252402201, 2401, SURVIVED
1252402276, 2401, SURVIVED
1252402201, 2400, SURVIVED
1252402295, 2400, SURVIVED
1252402295, 2401, SURVIVED
1252402286, 2401, SURVIVED
1252402297, 2400, SURVIVED
1252402286, 2400, SURVIVED
1252402297, 2401, SURVIVED
1252402277, 2400, SURVIVED
1252402277, 2401, SURVIVED
1252402269, 2400, SURVIVED
1252402269, 2401, SURVIVED
1252402290, 2400, SURVIVED
1252402290, 2401, SURVIVED
2582901025, 2401, SURVIVED
2582901025, 2400, SURVIVED
2582901030, 2401, SURVIVED
2582901096, 2401, SURVIVED
2582901058, 2401, SURVIVED
2582901030, 2400, SURVIVED
2582901058, 2400, SURVIVED
2582901096, 2400, SURVIVED
2582901015, 2400, SURVIVED
2582901015, 2401, SURVIVED
2582901027, 2400, SURVIVED
2582901027, 2401, SURVIVED
2582901081, 2401, SURVIVED
2582901081, 2400, SURVIVED
2582901093, 2401, SURVIVED
2582901093, 2400, SURVIVED
2582901013, 2400, SURVIVED
2582901001, 2400, SURVIVED
2582901013, 2401, SURVIVED
2582901059, 2401, SURVIVED
2582901001, 2401, SURVIVED
2582901045, 2401, SURVIVED
2582901055, 2401, SURVIVED
2582901045, 2400, SURVIVED
2582901055, 2400, SURVIVED
2582901059, 2400, SURVIVED
2582901090, 2400, SURVIVED
2582901090, 2401, SURVIVED
2582901054, 2400, SURVIVED
2582901054, 2401, SURVIVED
2582901088, 2401, SURVIVED
2582901088, 2400, SURVIVED
2582901032, 2401, SURVIVED
2582901032, 2400, SURVIVED
2582901069, 2400, SURVIVED
2582901069, 2401, SURVIVED
2582901072, 2401, SURVIVED
2582901094, 2400, SURVIVED
2582901094, 2401, SURVIVED
2582901072, 2400, SURVIVED
2582901092, 2401, SURVIVED
2582901092, 2400, SURVIVED
2582901098, 2400, SURVIVED
2582901098, 2401, SURVIVED
2582901067, 2401, SURVIVED
2582901080, 2400, SURVIVED
2582901067, 2400, SURVIVED
2582901080, 2401, SURVIVED
2582901002, 2400, SURVIVED
2582901002, 2401, SURVIVED
2582901099, 2401, SURVIVED
2582901099, 2400, SURVIVED
2582901048, 2401, SURVIVED
2582901048, 2400, SURVIVED
3461411727, 2401, SURVIVED
3461411727, 2400, SURVIVED
3461411718, 2401, SURVIVED
3461411718, 2400, SURVIVED
3461411738, 2400, SURVIVED
3461411738, 2401, SURVIVED
3461411741, 2400, SURVIVED
3461411741, 2401, SURVIVED
3461411756, 2400, SURVIVED
3461411756, 2401, SURVIVED
3461411736, 2401, SURVIVED
3461411736, 2400, SURVIVED
3461411783, 2400, SURVIVED
3461411710, 2400, SURVIVED
3461411710, 2401, SURVIVED
3461411783, 2401, SURVIVED
3461411714, 2401, SURVIVED
3461411714, 2400, SURVIVED
3461411774, 2401, SURVIVED
3461411774, 2400, SURVIVED
3461411745, 2400, SURVIVED
3461411745, 2401, SURVIVED
3461411754, 2401, SURVIVED
3461411754, 2400, SURVIVED
3461411784, 2400, SURVIVED
3461411784, 2401, SURVIVED
3461411735, 2400, SURVIVED
3461411735, 2401, SURVIVED
3461411751, 2400, SURVIVED
3461411751, 2401, SURVIVED
3461411780, 2400, SURVIVED
3461411755, 2400, SURVIVED
3461411780, 2401, SURVIVED
3461411797, 2400, SURVIVED
3461411797, 2401, SURVIVED
3461411755, 2401, SURVIVED
3461411700, 2400, SURVIVED
3461411700, 2401, SURVIVED
3461411707, 2401, SURVIVED
3461411791, 2400, SURVIVED
3461411707, 2400, SURVIVED
3461411791, 2401, SURVIVED
3461411788, 2400, SURVIVED
3461411788, 2401, SURVIVED
3461411790, 2400, SURVIVED
3461411790, 2401, SURVIVED
3461411778, 2400, SURVIVED
3461411778, 2401, SURVIVED
3461411730, 2400, SURVIVED
3461411730, 2401, SURVIVED
3461411723, 2401, SURVIVED
3461411723, 2400, SURVIVED
1794533537, 2401, SURVIVED
1794533537, 2400, SURVIVED
1794533582, 2400, SURVIVED
1794533571, 2400, SURVIVED
1794533571, 2401, SURVIVED
1794533582, 2401, SURVIVED
1794533591, 2400, SURVIVED
1794533504, 2401, SURVIVED
1794533591, 2401, SURVIVED
1794533504, 2400, SURVIVED
1794533599, 2400, SURVIVED
1794533599, 2401, SURVIVED
1794533520, 2400, SURVIVED
1794533520, 2401, SURVIVED
1794533587, 2400, SURVIVED
1794533587, 2401, SURVIVED
1794533588, 2401, SURVIVED
1794533563, 2400, SURVIVED
1794533588, 2400, SURVIVED
1794533563, 2401, SURVIVED
1794533561, 2400, SURVIVED
1794533561, 2401, SURVIVED
1794533590, 2400, SURVIVED
1794533525, 2401, SURVIVED
1794533590, 2401, SURVIVED
1794533525, 2400, SURVIVED
1794533500, 2401, SURVIVED
1794533512, 2400, SURVIVED
1794533500, 2400, SURVIVED
1794533553, 2401, SURVIVED
1794533512, 2401, SURVIVED
1794533598, 2400, SURVIVED
1794533553, 2400, SURVIVED
1794533565, 2400, SURVIVED
1794533598, 2401, SURVIVED
1794533565, 2401, SURVIVED
1794533554, 2400, SURVIVED
