seed, mutant, status
3987181920, 1288, SURVIVED
3987181920, 1286, SURVIVED
3987181908, 1286, SURVIVED
3987181908, 1288, SURVIVED
3987181900, 1286, SURVIVED
3987181903, 1286, SURVIVED
3987181900, 1288, SURVIVED
3987181921, 2595, SURVIVED
3987181919, 1286, SURVIVED
3987181903, 1288, SURVIVED
3987181921, 2612, SURVIVED
3987181915, 1286, SURVIVED
3987181921, 2633, SURVIVED
3987181921, 2686, SURVIVED
3987181921, 2625, SURVIVED
3987181921, 1286, SURVIVED
3987181921, 2634, SURVIVED
3987181921, 2646, SURVIVED
3987181921, 2695, SURVIVED
3987181921, 1288, SURVIVED
3987181921, 2632, SURVIVED
3987181921, 2678, SURVIVED
3987181921, 2631, SURVIVED
3987181921, 2635, SURVIVED
3987181921, 2667, SURVIVED
3987181921, 2630, SURVIVED
3987181921, 2684, SURVIVED
3987181919, 1288, SURVIVED
3987181915, 1288, SURVIVED
3987181921, 2687, SURVIVED
3987181931, 1288, SURVIVED
3987181931, 1286, SURVIVED
3987181912, 1286, SURVIVED
3987181912, 2625, SURVIVED
3987181912, 2595, SURVIVED
3987181912, 1288, SURVIVED
3987181912, 2634, SURVIVED
3987181912, 2631, SURVIVED
3987181912, 2630, SURVIVED
3987181912, 2612, SURVIVED
3987181912, 2633, SURVIVED
3987181912, 2632, SURVIVED
3987181912, 2646, SURVIVED
3987181912, 2635, SURVIVED
3987181912, 2687, SURVIVED
3987181912, 2695, SURVIVED
3987181912, 2667, SURVIVED
3987181912, 2678, SURVIVED
3987181912, 2686, SURVIVED
3987181912, 2684, SURVIVED
3987181918, 2612, SURVIVED
3987181918, 2625, SURVIVED
3987181918, 1286, SURVIVED
3987181918, 2630, SURVIVED
3987181918, 2633, SURVIVED
3987181918, 2634, SURVIVED
3987181918, 2635, SURVIVED
3987181918, 2667, SURVIVED
3987181918, 2646, SURVIVED
3987181918, 2678, SURVIVED
3987181918, 2632, SURVIVED
3987181918, 2631, SURVIVED
3987181918, 1288, SURVIVED
3987181918, 2595, SURVIVED
3987181918, 2684, SURVIVED
