seed, mutant, status
3804910023, 10432, SURVIVED
3804910023, 10415, SURVIVED
3804910023, 10434, SURVIVED
3804910023, 10435, SURVIVED
3804910023, 10426, SURVIVED
3804910023, 10427, SURVIVED
3804910023, 10417, SURVIVED
3804910023, 10433, SURVIVED
3804910004, 6540, SURVIVED
3804910004, 6560, SURVIVED
3804910004, 4660, SURVIVED
3804910004, 10415, SURVIVED
3804910004, 6536, SURVIVED
3804910004, 4658, SURVIVED
3804910004, 5317, SURVIVED
3804910004, 6512, SURVIVED
3804910004, 4657, SURVIVED
3804910004, 4659, SURVIVED
3804910004, 5618, SURVIVED
3804910004, 6539, SURVIVED
3804910004, 6528, SURVIVED
3804910004, 10427, SURVIVED
3804910004, 10432, SURVIVED
3804910004, 6542, SURVIVED
3804910004, 10417, SURVIVED
3804910004, 6543, SURVIVED
3804910004, 10426, SURVIVED
3804910004, 3946, SURVIVED
3804910004, 6530, SURVIVED
3804910004, 10435, SURVIVED
3804910004, 10434, SURVIVED
3804910004, 6558, SURVIVED
3804910004, 6590, SURVIVED
3804910004, 6562, SURVIVED
3804910008, 2606, SURVIVED
3804910008, 10432, SURVIVED
3804910008, 10435, SURVIVED
3804910008, 2643, SURVIVED
3804910008, 2673, SURVIVED
3804910008, 10434, SURVIVED
3804910008, 2646, SURVIVED
3804910008, 2644, SURVIVED
3804910008, 2676, SURVIVED
3804910008, 2664, SURVIVED
3804910008, 2645, SURVIVED
3804910004, 6568, SURVIVED
3804910004, 6601, SURVIVED
3804910004, 10433, SURVIVED
3804910004, 6605, SURVIVED
3804910008, 2642, SURVIVED
3804910008, 2632, SURVIVED
3804910008, 2593, SURVIVED
3804910008, 2641, SURVIVED
3804910008, 2675, SURVIVED
3804910008, 10426, SURVIVED
3804910008, 10415, SURVIVED
3804910008, 10427, SURVIVED
3804910008, 2677, SURVIVED
3804910008, 2678, SURVIVED
3804910008, 10417, SURVIVED
3804910008, 2674, SURVIVED
3804910008, 2941, SURVIVED
3804910008, 2909, SURVIVED
3804910008, 10433, SURVIVED
3804910031, 10432, SURVIVED
3804910014, 10417, SURVIVED
3804910031, 10435, SURVIVED
3804910014, 10415, SURVIVED
3804910014, 6543, SURVIVED
3804910014, 10432, SURVIVED
3804910014, 3946, SURVIVED
3804910014, 6540, SURVIVED
3804910014, 10426, SURVIVED
3804910014, 6562, SURVIVED
3804910031, 10417, SURVIVED
3804910014, 10434, SURVIVED
3804910031, 10433, SURVIVED
3804910014, 6601, SURVIVED
3804910014, 10433, SURVIVED
3804910014, 10427, SURVIVED
3804910014, 6568, SURVIVED
3804910031, 5618, SURVIVED
3804910014, 6590, SURVIVED
3804910031, 10415, SURVIVED
3804910031, 10427, SURVIVED
3804910031, 10434, SURVIVED
3804910031, 10426, SURVIVED
3804910014, 6512, SURVIVED
3804910014, 6536, SURVIVED
3804910014, 10435, SURVIVED
3804910014, 6560, SURVIVED
3804910014, 6542, SURVIVED
3804910014, 6558, SURVIVED
3804910014, 6605, SURVIVED
3804910014, 6539, SURVIVED
3804910014, 5618, SURVIVED
3804910007, 3625, SURVIVED
3804910007, 3595, SURVIVED
3804910007, 3593, SURVIVED
3804910007, 3594, SURVIVED
3804910007, 3626, SURVIVED
3804910007, 3598, SURVIVED
3804910007, 3597, SURVIVED
3804910007, 3596, SURVIVED
3804910007, 3627, SURVIVED
3804910007, 3629, SURVIVED
3804910007, 3630, SURVIVED
3804910007, 3946, SURVIVED
3804910007, 4660, SURVIVED
3804910007, 4658, SURVIVED
3804910007, 4659, SURVIVED
3804910007, 4816, SURVIVED
3804910007, 4817, SURVIVED
3804910007, 4829, SURVIVED
3804910007, 4831, SURVIVED
3804910007, 4819, SURVIVED
3804910007, 4822, SURVIVED
3804910007, 4825, SURVIVED
3804910007, 4847, SURVIVED
3804910007, 4845, SURVIVED
3804910007, 4828, SURVIVED
3804910007, 4821, SURVIVED
3804910007, 4832, SURVIVED
3804910007, 4849, SURVIVED
3804910007, 4833, SURVIVED
3804910007, 3628, SURVIVED
3804910007, 4657, SURVIVED
3804910007, 4848, SURVIVED
3804910007, 4997, SURVIVED
3804910007, 5016, SURVIVED
3804910007, 4860, SURVIVED
3804910007, 4851, SURVIVED
3804910007, 4898, SURVIVED
3804910007, 4866, SURVIVED
3804910007, 5018, SURVIVED
3804910007, 4992, SURVIVED
3804910007, 4993, SURVIVED
3804910007, 5025, SURVIVED
3804910007, 4994, SURVIVED
3804910007, 5024, SURVIVED
3804910007, 5004, SURVIVED
3804910007, 4998, SURVIVED
3804910007, 5001, SURVIVED
3804910007, 5026, SURVIVED
3804910007, 5029, SURVIVED
3804910007, 5050, SURVIVED
3804910007, 5030, SURVIVED
3804910007, 5033, SURVIVED
3804910007, 5317, SURVIVED
3804910007, 6528, SURVIVED
3804910007, 6530, SURVIVED
3804910007, 6512, SURVIVED
3804910007, 5394, SURVIVED
3804910007, 5389, SURVIVED
3804910007, 5036, SURVIVED
3804910007, 5048, SURVIVED
3804910007, 6540, SURVIVED
3804910007, 6536, SURVIVED
3804910007, 6539, SURVIVED
3804910007, 6542, SURVIVED
3804910007, 6558, SURVIVED
3804910007, 6543, SURVIVED
3804910007, 6560, SURVIVED
