seed, mutant, status
1692013614, 200, SURVIVED
1692013629, 342, SURVIVED
1692013629, 201, SURVIVED
1692013629, 197, SURVIVED
1692013629, 200, SURVIVED
1692013629, 315, SURVIVED
1692013629, 339, SURVIVED
1692013629, 229, SURVIVED
1692013629, 356, SURVIVED
1692013629, 233, SURVIVED
1692013629, 370, SURVIVED
1692013614, 197, SURVIVED
1692013629, 371, SURVIVED
1692013614, 201, SURVIVED
1692013629, 313, SURVIVED
1692013629, 324, SURVIVED
1692013629, 341, SURVIVED
1692013629, 374, SURVIVED
1692013629, 636, SURVIVED
1692013629, 373, SURVIVED
1692013629, 232, SURVIVED
1692013629, 338, SURVIVED
1692013619, 201, SURVIVED
1692013619, 197, SURVIVED
1692013610, 201, SURVIVED
1692013610, 197, SURVIVED
1692013610, 200, SURVIVED
1692013619, 200, SURVIVED
1692013620, 197, SURVIVED
1692013620, 200, SURVIVED
1692013654, 233, SURVIVED
1692013620, 201, SURVIVED
1692013654, 341, SURVIVED
1692013654, 324, SURVIVED
1692013654, 281, SURVIVED
1692013654, 200, SURVIVED
1692013654, 313, SURVIVED
1692013654, 229, SURVIVED
1692013654, 232, SURVIVED
1692013654, 315, SURVIVED
1692013623, 197, SURVIVED
1692013654, 201, SURVIVED
1692013654, 283, SURVIVED
1692013654, 338, SURVIVED
1692013623, 200, SURVIVED
1692013654, 339, SURVIVED
1692013623, 201, SURVIVED
1692013654, 342, SURVIVED
1692013654, 356, SURVIVED
1692013654, 373, SURVIVED
1692013654, 370, SURVIVED
1692013654, 197, SURVIVED
1692013654, 374, SURVIVED
1692013654, 371, SURVIVED
1692013654, 636, SURVIVED
1692013637, 197, SURVIVED
1692013637, 201, SURVIVED
1692013637, 200, SURVIVED
1692013697, 200, SURVIVED
1692013676, 197, SURVIVED
1692013697, 201, SURVIVED
1692013697, 197, SURVIVED
1692013697, 229, SURVIVED
1692013697, 233, SURVIVED
1692013698, 197, SURVIVED
1692013697, 342, SURVIVED
1692013697, 315, SURVIVED
1692013697, 338, SURVIVED
1692013697, 370, SURVIVED
1692013698, 200, SURVIVED
1692013676, 200, SURVIVED
1692013697, 373, SURVIVED
1692013697, 371, SURVIVED
1692013697, 356, SURVIVED
1692013697, 341, SURVIVED
1692013697, 636, SURVIVED
1692013697, 232, SURVIVED
1692013697, 374, SURVIVED
1692013676, 201, SURVIVED
1692013698, 201, SURVIVED
1692013697, 313, SURVIVED
1692013697, 324, SURVIVED
1692013697, 339, SURVIVED
1692013687, 197, SURVIVED
1692013696, 197, SURVIVED
1692013687, 200, SURVIVED
1692013696, 200, SURVIVED
1692013687, 201, SURVIVED
1692013674, 200, SURVIVED
1692013696, 201, SURVIVED
1692013674, 356, SURVIVED
1692013679, 201, SURVIVED
1692013674, 229, SURVIVED
1692013674, 201, SURVIVED
1692013674, 197, SURVIVED
1692013674, 371, SURVIVED
1692013674, 281, SURVIVED
1692013674, 374, SURVIVED
1692013674, 373, SURVIVED
1692013674, 233, SURVIVED
1692013674, 232, SURVIVED
1692013674, 283, SURVIVED
1692013674, 313, SURVIVED
1692013674, 338, SURVIVED
1692013674, 315, SURVIVED
1692013674, 636, SURVIVED
1692013674, 370, SURVIVED
1692013674, 342, SURVIVED
1692013674, 341, SURVIVED
1692013674, 339, SURVIVED
1692013674, 324, SURVIVED
1692013679, 200, SURVIVED
1692013679, 197, SURVIVED
2588427207, 201, SURVIVED
2588427207, 200, SURVIVED
2588427207, 197, SURVIVED
2588427203, 200, SURVIVED
2588427203, 324, SURVIVED
2588427203, 339, SURVIVED
2588427203, 233, SURVIVED
2588427203, 338, SURVIVED
2588427203, 356, SURVIVED
2588427203, 315, SURVIVED
2588427203, 373, SURVIVED
2588427203, 371, SURVIVED
2588427203, 342, SURVIVED
2588427203, 283, SURVIVED
2588427203, 341, SURVIVED
2588427203, 313, SURVIVED
2588427203, 374, SURVIVED
2588427203, 232, SURVIVED
2588427203, 281, SURVIVED
2588427203, 201, SURVIVED
2588427203, 636, SURVIVED
2588427203, 197, SURVIVED
2588427203, 229, SURVIVED
2588427210, 200, SURVIVED
2588427210, 197, SURVIVED
2588427203, 370, SURVIVED
2588427210, 201, SURVIVED
2588427219, 197, SURVIVED
2588427219, 232, SURVIVED
2588427219, 200, SURVIVED
2588427219, 201, SURVIVED
2588427219, 229, SURVIVED
2588427219, 281, SURVIVED
2588427219, 283, SURVIVED
2588427219, 233, SURVIVED
2588427287, 200, SURVIVED
2588427287, 197, SURVIVED
2588427287, 201, SURVIVED
2588427259, 201, SURVIVED
2588427219, 338, SURVIVED
2588427219, 342, SURVIVED
2588427219, 356, SURVIVED
2588427219, 313, SURVIVED
2588427219, 315, SURVIVED
2588427219, 371, SURVIVED
2588427219, 341, SURVIVED
2588427219, 373, SURVIVED
2588427233, 201, SURVIVED
2588427233, 197, SURVIVED
2588427219, 374, SURVIVED
2588427233, 200, SURVIVED
2588427219, 339, SURVIVED
2588427219, 324, SURVIVED
2588427289, 197, SURVIVED
2588427289, 200, SURVIVED
2588427219, 370, SURVIVED
2588427289, 229, SURVIVED
2588427289, 201, SURVIVED
2588427219, 636, SURVIVED
2588427259, 197, SURVIVED
2588427289, 232, SURVIVED
2588427289, 281, SURVIVED
2588427259, 200, SURVIVED
2588427289, 233, SURVIVED
2588427289, 313, SURVIVED
2588427289, 283, SURVIVED
2588427289, 315, SURVIVED
2588427289, 324, SURVIVED
2588427289, 338, SURVIVED
2588427289, 341, SURVIVED
2588427289, 356, SURVIVED
2588427289, 339, SURVIVED
2588427289, 370, SURVIVED
2588427289, 342, SURVIVED
2588427289, 371, SURVIVED
2588427289, 373, SURVIVED
2588427289, 636, SURVIVED
2588427289, 374, SURVIVED
2588427201, 201, SURVIVED
2588427291, 197, SURVIVED
2588427201, 200, SURVIVED
2588427201, 197, SURVIVED
2588427291, 201, SURVIVED
2588427291, 200, SURVIVED
2588427294, 197, SURVIVED
2588427201, 232, SURVIVED
2588427201, 229, SURVIVED
2588427294, 200, SURVIVED
2588427294, 201, SURVIVED
2588427201, 233, SURVIVED
2588427201, 283, SURVIVED
2588427201, 281, SURVIVED
2588427201, 313, SURVIVED
2588427297, 197, SURVIVED
2588427297, 200, SURVIVED
2588427201, 338, SURVIVED
2588427297, 201, SURVIVED
2588427201, 315, SURVIVED
2588427201, 324, SURVIVED
2588427201, 339, SURVIVED
2588427201, 341, SURVIVED
