seed, mutant, status
4129736925, 8239, SURVIVED
4129736903, 8713, SURVIVED
4129736903, 8237, SURVIVED
4129736903, 8239, SURVIVED
4129736903, 3987, SURVIVED
4129736903, 8745, SURVIVED
4129736903, 3985, SURVIVED
4129736925, 8713, SURVIVED
4129736925, 8745, SURVIVED
4129736925, 8237, SURVIVED
4129736903, 3989, SURVIVED
4129736903, 3983, SURVIVED
4129736903, 3988, SURVIVED
4129736903, 3978, SURVIVED
4129736903, 3980, SURVIVED
4129736903, 3982, SURVIVED
4129736903, 3986, SURVIVED
4129736903, 3977, SURVIVED
4129736903, 3979, SURVIVED
4129736913, 8713, SURVIVED
4129736913, 8237, SURVIVED
4129736913, 8239, SURVIVED
4129736913, 8745, SURVIVED
4129736901, 8239, SURVIVED
4129736901, 8713, SURVIVED
4129736901, 8745, SURVIVED
4129736901, 8237, SURVIVED
4129736902, 8713, SURVIVED
4129736902, 8239, SURVIVED
4129736902, 8237, SURVIVED
4129736902, 8745, SURVIVED
4129736909, 8237, SURVIVED
4129736909, 8713, SURVIVED
4129736909, 8239, SURVIVED
4129736909, 3978, SURVIVED
4129736909, 3983, SURVIVED
4129736909, 3977, SURVIVED
4129736909, 3985, SURVIVED
4129736909, 3987, SURVIVED
4129736909, 3980, SURVIVED
4129736909, 3979, SURVIVED
4129736909, 3989, SURVIVED
4129736909, 8745, SURVIVED
4129736909, 3982, SURVIVED
4129736909, 3988, SURVIVED
4129736905, 3979, SURVIVED
4129736909, 3986, SURVIVED
4129736905, 3978, SURVIVED
4129736905, 3986, SURVIVED
4129736905, 3982, SURVIVED
4129736905, 3987, SURVIVED
4129736914, 170, SURVIVED
4129736905, 3989, SURVIVED
4129736905, 3988, SURVIVED
4129736905, 3980, SURVIVED
4129736905, 3977, SURVIVED
4129736905, 3983, SURVIVED
4129736905, 3985, SURVIVED
4129736914, 173, SURVIVED
4129736914, 175, SURVIVED
4129736914, 178, SURVIVED
4129736914, 179, SURVIVED
4129736914, 177, SURVIVED
4129736914, 184, SURVIVED
4129736914, 182, SURVIVED
4129736914, 8713, SURVIVED
4129736914, 181, SURVIVED
4129736914, 183, SURVIVED
4129736930, 170, SURVIVED
4129736930, 8237, SURVIVED
4129736930, 173, SURVIVED
4129736930, 177, SURVIVED
4129736930, 175, SURVIVED
4129736930, 179, SURVIVED
4129736930, 178, SURVIVED
4129736930, 8239, SURVIVED
4129736930, 181, SURVIVED
