seed, mutant, status
3303747423, 157, SURVIVED
3303747423, 79, SURVIVED
3303747423, 83, SURVIVED
3303747423, 111, SURVIVED
3303747423, 181, SURVIVED
3303747423, 47, SURVIVED
3303747423, 255, SURVIVED
3303747423, 84, SURVIVED
3303747423, 1208, SURVIVED
3303747423, 814, SURVIVED
3303747423, 189, SURVIVED
3303747423, 51, SURVIVED
3303747423, 201, SURVIVED
3303747423, 194, SURVIVED
3303747423, 235, SURVIVED
3303747423, 198, SURVIVED
3303747423, 1215, SURVIVED
3303747423, 52, SURVIVED
3303747423, 229, SURVIVED
3303747423, 228, SURVIVED
3303747423, 223, SURVIVED
3303747423, 195, SURVIVED
3303747423, 86, SURVIVED
3303747423, 230, SURVIVED
3303747423, 226, SURVIVED
3303747423, 233, SURVIVED
3303747423, 87, SURVIVED
3303747423, 89, SURVIVED
3303747423, 203, SURVIVED
3303747423, 227, SURVIVED
3303747423, 196, SURVIVED
3303747423, 197, SURVIVED
3303747423, 1216, SURVIVED
3303747423, 1218, SURVIVED
3303747423, 1217, SURVIVED
3303747423, 1220, SURVIVED
3303747423, 1219, SURVIVED
3303747423, 1252, SURVIVED
3303747423, 1251, SURVIVED
3303747423, 1250, SURVIVED
3303747423, 1249, SURVIVED
3303747423, 1248, SURVIVED
3303747423, 1317, SURVIVED
3303747408, 83, SURVIVED
3303747408, 51, SURVIVED
3303747408, 47, SURVIVED
3303747408, 79, SURVIVED
3303747408, 111, SURVIVED
3303747408, 84, SURVIVED
3303747408, 52, SURVIVED
3303747408, 89, SURVIVED
3303747408, 87, SURVIVED
3303747408, 157, SURVIVED
3303747408, 195, SURVIVED
3303747408, 86, SURVIVED
3303747408, 197, SURVIVED
3303747408, 194, SURVIVED
3303747408, 181, SURVIVED
3303747408, 203, SURVIVED
3303747408, 201, SURVIVED
3303747408, 196, SURVIVED
3303747408, 189, SURVIVED
3303747408, 198, SURVIVED
3303747408, 223, SURVIVED
3303747408, 227, SURVIVED
3303747408, 228, SURVIVED
3303747408, 226, SURVIVED
3303747408, 1208, SURVIVED
3303747408, 235, SURVIVED
3303747408, 230, SURVIVED
3303747408, 229, SURVIVED
3303747408, 233, SURVIVED
3303747408, 814, SURVIVED
3303747408, 255, SURVIVED
3303747408, 1216, SURVIVED
3303747408, 1215, SURVIVED
3303747408, 1218, SURVIVED
3303747408, 1220, SURVIVED
3303747408, 1219, SURVIVED
3303747408, 1252, SURVIVED
3303747408, 1248, SURVIVED
3303747408, 1250, SURVIVED
3303747408, 1217, SURVIVED
3303747408, 1251, SURVIVED
3303747408, 1317, SURVIVED
3303747408, 1249, SURVIVED
3303747409, 51, SURVIVED
3303747409, 89, SURVIVED
3303747409, 47, SURVIVED
3303747409, 52, SURVIVED
3303747409, 86, SURVIVED
3303747409, 111, SURVIVED
3303747409, 84, SURVIVED
3303747409, 87, SURVIVED
3303747409, 79, SURVIVED
3303747409, 157, SURVIVED
3303747409, 181, SURVIVED
3303747409, 83, SURVIVED
3303747409, 196, SURVIVED
3303747409, 198, SURVIVED
3303747409, 201, SURVIVED
