seed, mutant, status
2369351326, 1310, SURVIVED
2369351326, 1311, SURVIVED
2369351326, 584, SURVIVED
2369351326, 899, SURVIVED
2369351326, 1670, SURVIVED
2369351326, 1559, SURVIVED
2369351326, 2016, SURVIVED
2369351326, 931, SURVIVED
2369351326, 1554, SURVIVED
2369351326, 1298, SURVIVED
2369351326, 1512, SURVIVED
2369351326, 558, SURVIVED
2369351326, 574, SURVIVED
2369351314, 2016, SURVIVED
2369351326, 1307, SURVIVED
2369351326, 1586, SURVIVED
2369351326, 1339, SURVIVED
2369351326, 1591, SURVIVED
2369351301, 2016, SURVIVED
2369351307, 584, SURVIVED
2369351307, 1081, SURVIVED
2369351307, 931, SURVIVED
2369351307, 558, SURVIVED
2369351307, 1559, SURVIVED
2369351307, 1049, SURVIVED
2369351307, 1040, SURVIVED
2369351307, 1554, SURVIVED
2369351307, 1254, SURVIVED
2369351307, 1052, SURVIVED
2369351307, 1053, SURVIVED
2369351307, 899, SURVIVED
2369351307, 1670, SURVIVED
2369351307, 1697, SURVIVED
2369351307, 1591, SURVIVED
2369351307, 1586, SURVIVED
2369351307, 574, SURVIVED
2369351307, 1701, SURVIVED
2369351307, 1698, SURVIVED
2369351307, 1759, SURVIVED
2369351307, 2016, SURVIVED
2369351307, 1794, SURVIVED
2369351307, 1816, SURVIVED
2369351307, 1791, SURVIVED
2369351307, 1702, SURVIVED
2369351307, 1819, SURVIVED
2369351322, 931, SURVIVED
2369351322, 574, SURVIVED
2369351322, 1040, SURVIVED
2369351322, 899, SURVIVED
2369351322, 584, SURVIVED
2369351322, 558, SURVIVED
2369351322, 1052, SURVIVED
2369351322, 1049, SURVIVED
2369351322, 1072, SURVIVED
2369351322, 1081, SURVIVED
2369351322, 1084, SURVIVED
2369351322, 1085, SURVIVED
2369351322, 1053, SURVIVED
2369351322, 1670, SURVIVED
2369351322, 1253, SURVIVED
2369351322, 1254, SURVIVED
2369351322, 1554, SURVIVED
2369351322, 1701, SURVIVED
2369351322, 1697, SURVIVED
2369351322, 1586, SURVIVED
2369351322, 1559, SURVIVED
2369351322, 1759, SURVIVED
2369351322, 1698, SURVIVED
2369351322, 1791, SURVIVED
2369351322, 1702, SURVIVED
2369351322, 1591, SURVIVED
2369351322, 1794, SURVIVED
2369351322, 1819, SURVIVED
2369351322, 1816, SURVIVED
2369351332, 558, SURVIVED
2369351332, 574, SURVIVED
2369351332, 899, SURVIVED
2369351332, 584, SURVIVED
2369351332, 1040, SURVIVED
2369351332, 931, SURVIVED
2369351332, 1049, SURVIVED
2369351332, 1052, SURVIVED
2369351329, 2016, SURVIVED
2369351332, 1081, SURVIVED
2369351332, 1053, SURVIVED
2369351332, 1254, SURVIVED
2369351332, 1559, SURVIVED
2369351332, 1554, SURVIVED
2369351332, 1670, SURVIVED
2369351332, 1586, SURVIVED
2369351332, 1591, SURVIVED
2369351332, 2016, SURVIVED
2369351300, 2016, SURVIVED
2369351306, 558, SURVIVED
2369351306, 1052, SURVIVED
2369351361, 558, SURVIVED
2369351361, 574, SURVIVED
2369351361, 584, SURVIVED
2369351361, 899, SURVIVED
2369351306, 574, SURVIVED
2369351361, 931, SURVIVED
2369351306, 1559, SURVIVED
2369351361, 1298, SURVIVED
2369351306, 931, SURVIVED
2369351306, 1049, SURVIVED
2369351306, 584, SURVIVED
2369351361, 1307, SURVIVED
2369351306, 899, SURVIVED
2369351361, 1310, SURVIVED
2369351361, 1339, SURVIVED
2369351306, 1040, SURVIVED
2369351306, 1081, SURVIVED
2369351361, 1311, SURVIVED
2369351361, 1512, SURVIVED
2369351361, 1554, SURVIVED
2369351306, 1053, SURVIVED
2369351306, 1254, SURVIVED
2369351306, 1816, SURVIVED
2369351361, 1559, SURVIVED
2369351306, 1586, SURVIVED
2369351361, 1586, SURVIVED
2369351306, 1670, SURVIVED
2369351361, 1670, SURVIVED
2369351361, 1591, SURVIVED
2369351306, 1554, SURVIVED
2369351306, 1591, SURVIVED
2369351361, 1697, SURVIVED
2369351361, 1701, SURVIVED
2369351306, 1819, SURVIVED
2369351306, 1794, SURVIVED
2369351306, 1791, SURVIVED
2369351361, 1698, SURVIVED
2369351361, 1759, SURVIVED
2369351361, 1702, SURVIVED
2369351361, 1791, SURVIVED
2369351306, 2016, SURVIVED
2369351306, 1698, SURVIVED
2369351361, 1794, SURVIVED
2369351361, 1816, SURVIVED
2369351361, 1819, SURVIVED
2369351306, 1702, SURVIVED
2369351306, 1759, SURVIVED
2369351306, 1701, SURVIVED
2369351306, 1697, SURVIVED
2369351346, 2016, SURVIVED
2369351324, 211, SURVIVED
2369351324, 192, SURVIVED
2369351324, 209, SURVIVED
2369351324, 221, SURVIVED
2369351324, 224, SURVIVED
2369351324, 212, SURVIVED
2369351324, 220, SURVIVED
2369351324, 216, SURVIVED
2369351324, 2016, SURVIVED
2369351331, 216, SURVIVED
2369351331, 192, SURVIVED
2369351331, 211, SURVIVED
2369351331, 209, SURVIVED
2369351331, 212, SURVIVED
2369351331, 574, SURVIVED
2369351331, 220, SURVIVED
2369351331, 224, SURVIVED
2369351331, 1052, SURVIVED
2369351331, 221, SURVIVED
2369351331, 899, SURVIVED
2369351331, 1254, SURVIVED
2369351331, 931, SURVIVED
2369351331, 558, SURVIVED
2369351331, 584, SURVIVED
2369351331, 1081, SURVIVED
2369351331, 1049, SURVIVED
2369351331, 1040, SURVIVED
2369351331, 1053, SURVIVED
2369351331, 1559, SURVIVED
2369351331, 1554, SURVIVED
2369351331, 1586, SURVIVED
2369351331, 1591, SURVIVED
2369351331, 1670, SURVIVED
2369351331, 1702, SURVIVED
2369351331, 1697, SURVIVED
2369351331, 1701, SURVIVED
2369351331, 1816, SURVIVED
2369351331, 1759, SURVIVED
2369351331, 1819, SURVIVED
2369351325, 241, SURVIVED
2369351331, 1791, SURVIVED
2369351331, 2016, SURVIVED
2369351333, 2016, SURVIVED
2369351325, 253, SURVIVED
2369351331, 1698, SURVIVED
2369351331, 1794, SURVIVED
2369351325, 248, SURVIVED
2369351357, 558, SURVIVED
2369351325, 243, SURVIVED
2369351325, 244, SURVIVED
2369351357, 574, SURVIVED
2369351357, 584, SURVIVED
2369351357, 899, SURVIVED
2369351325, 252, SURVIVED
2369351357, 931, SURVIVED
2369351357, 1040, SURVIVED
2369351357, 1049, SURVIVED
2369351357, 1052, SURVIVED
2369351357, 1053, SURVIVED
2369351357, 1081, SURVIVED
2369351357, 1254, SURVIVED
2369351311, 253, SURVIVED
2369351311, 2016, SURVIVED
2369351311, 252, SURVIVED
2369351357, 1554, SURVIVED
2369351311, 244, SURVIVED
2369351357, 1559, SURVIVED
2369351357, 1586, SURVIVED
2369351311, 248, SURVIVED
2369351311, 241, SURVIVED
2369351357, 1591, SURVIVED
2369351311, 243, SURVIVED
2369351303, 2016, SURVIVED
2369351357, 1670, SURVIVED
2369351327, 574, SURVIVED
2369351327, 558, SURVIVED
2369351327, 899, SURVIVED
2369351327, 931, SURVIVED
2369351327, 584, SURVIVED
2369351327, 1052, SURVIVED
2369351327, 1040, SURVIVED
2369351327, 1049, SURVIVED
2369351327, 1081, SURVIVED
2369351327, 1053, SURVIVED
2369351327, 1586, SURVIVED
2369351327, 1254, SURVIVED
2369351327, 1554, SURVIVED
2369351327, 1591, SURVIVED
2369351327, 1670, SURVIVED
2369351327, 1559, SURVIVED
2369351327, 2016, SURVIVED
2369351304, 192, SURVIVED
2369351304, 211, SURVIVED
2369351304, 209, SURVIVED
2369351304, 212, SURVIVED
2369351304, 220, SURVIVED
2369351304, 216, SURVIVED
2369351304, 558, SURVIVED
2369351304, 584, SURVIVED
2369351304, 221, SURVIVED
2369351304, 1310, SURVIVED
2369351304, 931, SURVIVED
2369351304, 1298, SURVIVED
2369351304, 574, SURVIVED
2369351304, 899, SURVIVED
2369351304, 1330, SURVIVED
2369351304, 224, SURVIVED
2369351304, 1311, SURVIVED
2369351304, 1307, SURVIVED
2369351304, 1512, SURVIVED
2369351304, 1339, SURVIVED
2369351304, 1554, SURVIVED
2369351304, 1559, SURVIVED
2369351304, 1591, SURVIVED
2369351304, 1586, SURVIVED
2369351304, 1670, SURVIVED
2369351304, 1702, SURVIVED
2369351304, 1698, SURVIVED
2369351304, 1791, SURVIVED
2369351304, 1759, SURVIVED
2369351304, 1697, SURVIVED
2369351304, 1701, SURVIVED
2369351304, 1794, SURVIVED
2369351309, 192, SURVIVED
2369351309, 212, SURVIVED
2369351309, 216, SURVIVED
2369351309, 209, SURVIVED
2369351309, 211, SURVIVED
2369351309, 220, SURVIVED
2369351309, 221, SURVIVED
2369351304, 1816, SURVIVED
2369351304, 1819, SURVIVED
2369351309, 574, SURVIVED
2369351309, 224, SURVIVED
