seed, mutant, status
3331604127, 5685, SURVIVED
3331604127, 5683, SURVIVED
3331604127, 6026, SURVIVED
3331604127, 5682, SURVIVED
3331604127, 12047, SURVIVED
3331604127, 5684, SURVIVED
3331604121, 6300, SURVIVED
3331604127, 5689, SURVIVED
3331604127, 5686, SURVIVED
3331604127, 5688, SURVIVED
3331604121, 6102, SURVIVED
3331604121, 6605, SURVIVED
3331604121, 6572, SURVIVED
3331604127, 6058, SURVIVED
3331604127, 6332, SURVIVED
3331604127, 5681, SURVIVED
3331604121, 6569, SURVIVED
3331604121, 6568, SURVIVED
3331604121, 6536, SURVIVED
3331604121, 6058, SURVIVED
3331604121, 6514, SURVIVED
3331604121, 6332, SURVIVED
3331604121, 6637, SURVIVED
3331604121, 6540, SURVIVED
3331604121, 6101, SURVIVED
3331604121, 6630, SURVIVED
3331604121, 6537, SURVIVED
3331604121, 6524, SURVIVED
3331604121, 6598, SURVIVED
3331604121, 6026, SURVIVED
3331604121, 6661, SURVIVED
3331604121, 6103, SURVIVED
3331604121, 6669, SURVIVED
3331604121, 6665, SURVIVED
3331604121, 6668, SURVIVED
3331604121, 6670, SURVIVED
3331604121, 6667, SURVIVED
3331604121, 6681, SURVIVED
3331604121, 6700, SURVIVED
3331604121, 6699, SURVIVED
3331604121, 6702, SURVIVED
3331604121, 12047, SURVIVED
3331604121, 6701, SURVIVED
3331604112, 6514, SURVIVED
3331604121, 6697, SURVIVED
3331604112, 6536, SURVIVED
3331604112, 6524, SURVIVED
3331604121, 6693, SURVIVED
3331604112, 5684, SURVIVED
3331604112, 6598, SURVIVED
3331604112, 5685, SURVIVED
3331604112, 5682, SURVIVED
3331604112, 5688, SURVIVED
3331604112, 5686, SURVIVED
3331604112, 6537, SURVIVED
3331604112, 5683, SURVIVED
3331604112, 6572, SURVIVED
3331604112, 6605, SURVIVED
3331604112, 6540, SURVIVED
3331604112, 6630, SURVIVED
3331604112, 6569, SURVIVED
3331604112, 5689, SURVIVED
3331604112, 6568, SURVIVED
3331604112, 5681, SURVIVED
3331604112, 6661, SURVIVED
3331604112, 6637, SURVIVED
3331604112, 6665, SURVIVED
3331604112, 6668, SURVIVED
3331604112, 6667, SURVIVED
3331604112, 6669, SURVIVED
3331604112, 6670, SURVIVED
3331604112, 6699, SURVIVED
3331604112, 6700, SURVIVED
3331604112, 12047, SURVIVED
3331604112, 6693, SURVIVED
3331604112, 6697, SURVIVED
3331604112, 6702, SURVIVED
3331604112, 6681, SURVIVED
3331604112, 6701, SURVIVED
