seed, mutant, status
1445160614, 1496, SURVIVED
1445160614, 1692, SURVIVED
1445160614, 1525, SURVIVED
1445160614, 1728, SURVIVED
1445160614, 1493, SURVIVED
1445160614, 1693, SURVIVED
1445160614, 1327, SURVIVED
1445160614, 1494, SURVIVED
1445160614, 1497, SURVIVED
1445160614, 1529, SURVIVED
1445160614, 1725, SURVIVED
1445160614, 1671, SURVIVED
1445160614, 1730, SURVIVED
1445160614, 279, KILLED_FAILED
1445160614, 1528, SURVIVED
1445160614, 1733, SURVIVED
1445160614, 1732, SURVIVED
1445160614, 1729, SURVIVED
1445160614, 1324, KILLED_FAILED
1445160614, 1518, SURVIVED
1445160614, 1731, SURVIVED
1445160614, 283, KILLED_FAILED
1445160614, 1724, SURVIVED
1445160614, 1746, SURVIVED
1445160614, 1526, SURVIVED
1445160614, 1742, SURVIVED
1445160614, 1326, SURVIVED
1445160614, 1738, SURVIVED
1445160614, 1508, SURVIVED
1445160614, 1749, SURVIVED
1445160614, 1737, SURVIVED
1445160614, 1741, SURVIVED
1445160614, 1751, SURVIVED
1445160614, 1760, SURVIVED
1445160614, 1753, SURVIVED
1445160614, 1752, SURVIVED
1445160614, 1761, SURVIVED
1445160614, 1762, SURVIVED
1445160614, 1770, SURVIVED
1445160614, 1763, SURVIVED
1445160614, 1765, SURVIVED
1445160614, 1774, SURVIVED
1445160614, 1764, SURVIVED
1445160614, 1773, SURVIVED
1445160614, 1778, SURVIVED
1445160614, 1784, SURVIVED
1445160614, 1783, SURVIVED
1445160614, 1785, SURVIVED
1445160614, 1769, SURVIVED
1445160610, 283, KILLED_FAILED
1445160614, 1781, SURVIVED
1445160611, 1493, SURVIVED
1445160611, 1326, SURVIVED
1445160611, 1327, SURVIVED
1445160611, 1528, SURVIVED
1445160611, 1497, SURVIVED
1445160611, 1529, SURVIVED
1445160611, 1518, SURVIVED
1445160611, 1496, SURVIVED
1445160611, 1508, SURVIVED
1445160611, 1494, SURVIVED
1445160611, 1525, SURVIVED
1445160611, 1526, SURVIVED
1445160611, 1671, SURVIVED
1445160611, 1693, SURVIVED
1445160611, 1725, SURVIVED
1445160611, 1724, SURVIVED
1445160611, 1692, SURVIVED
1445160611, 1728, SURVIVED
1445160611, 1729, SURVIVED
1445160611, 1732, SURVIVED
1445160611, 1730, SURVIVED
1445160611, 1731, SURVIVED
1445160611, 1733, SURVIVED
1445160611, 1738, SURVIVED
1445160611, 1741, SURVIVED
1445160611, 1737, SURVIVED
1445160611, 1749, SURVIVED
1445160611, 1751, SURVIVED
1445160611, 1753, SURVIVED
1445160611, 1742, SURVIVED
1445160611, 1746, SURVIVED
1445160611, 1763, SURVIVED
1445160611, 1752, SURVIVED
1445160611, 1761, SURVIVED
1445160611, 1762, SURVIVED
1445160611, 1764, SURVIVED
1445160611, 1760, SURVIVED
1445160611, 1765, SURVIVED
1445160611, 1769, SURVIVED
1445160611, 1774, SURVIVED
1445160611, 1773, SURVIVED
1445160611, 1770, SURVIVED
1445160611, 1778, SURVIVED
1445160611, 1781, SURVIVED
1445160611, 1783, SURVIVED
1445160611, 1784, SURVIVED
1445160611, 1785, SURVIVED
1445160643, 1494, SURVIVED
1445160643, 1496, SURVIVED
1445160643, 1327, SURVIVED
1445160643, 1493, SURVIVED
1445160643, 1326, SURVIVED
1445160643, 1497, SURVIVED
1445160643, 1508, SURVIVED
1445160643, 1528, SURVIVED
1445160643, 1525, SURVIVED
1445160643, 1529, SURVIVED
1445160643, 1731, SURVIVED
1445160643, 1526, SURVIVED
1445160643, 1518, SURVIVED
1445160643, 1728, SURVIVED
1445160643, 1671, SURVIVED
1445160643, 1725, SURVIVED
1445160643, 1732, SURVIVED
1445160643, 1692, SURVIVED
1445160643, 1724, SURVIVED
1445160643, 1733, SURVIVED
1445160643, 1693, SURVIVED
1445160643, 1737, SURVIVED
1445160643, 1738, SURVIVED
1445160643, 1730, SURVIVED
1445160643, 1729, SURVIVED
1445160643, 1741, SURVIVED
1445160643, 1749, SURVIVED
1445160643, 1742, SURVIVED
1445160643, 1746, SURVIVED
1445160643, 1751, SURVIVED
1445160643, 1752, SURVIVED
1445160643, 1753, SURVIVED
1445160643, 1762, SURVIVED
1445160643, 1761, SURVIVED
1445160643, 1764, SURVIVED
1445160643, 1763, SURVIVED
1445160643, 1760, SURVIVED
1445160643, 1769, SURVIVED
1445160643, 1765, SURVIVED
1445160643, 1770, SURVIVED
1445160643, 1774, SURVIVED
1445160643, 1778, SURVIVED
1445160643, 1783, SURVIVED
1445160643, 1773, SURVIVED
1445160643, 1781, SURVIVED
1445160643, 1784, SURVIVED
1445160643, 1785, SURVIVED
1445160618, 1526, SURVIVED
1445160618, 1494, SURVIVED
1445160618, 1496, SURVIVED
1445160618, 1725, SURVIVED
1445160618, 1671, SURVIVED
1445160618, 1693, SURVIVED
1445160618, 1525, SURVIVED
1445160618, 1724, SURVIVED
1445160618, 1326, SURVIVED
1445160618, 1529, SURVIVED
1445160618, 1737, SURVIVED
1445160618, 1497, SURVIVED
1445160618, 1518, SURVIVED
1445160618, 1508, SURVIVED
1445160618, 1738, SURVIVED
1445160618, 1493, SURVIVED
1445160618, 1692, SURVIVED
1445160618, 1728, SURVIVED
1445160618, 1729, SURVIVED
1445160618, 1327, SURVIVED
1445160618, 1528, SURVIVED
1445160618, 1731, SURVIVED
1445160618, 1742, SURVIVED
1445160618, 1733, SURVIVED
1445160618, 1741, SURVIVED
1445160618, 1730, SURVIVED
1445160618, 1749, SURVIVED
1445160618, 1732, SURVIVED
1445160618, 1753, SURVIVED
1445160618, 1752, SURVIVED
1445160618, 1746, SURVIVED
1445160618, 1751, SURVIVED
1445160618, 1761, SURVIVED
1445160618, 1762, SURVIVED
1445160618, 1760, SURVIVED
1445160618, 1763, SURVIVED
1445160618, 1773, SURVIVED
1445160618, 1764, SURVIVED
1445160618, 1765, SURVIVED
1445160618, 1785, SURVIVED
1445160618, 1770, SURVIVED
1445160618, 1774, SURVIVED
1445160618, 1778, SURVIVED
1445160618, 1769, SURVIVED
1445160618, 1781, SURVIVED
1445160618, 1783, SURVIVED
1445160618, 1784, SURVIVED
1445160615, 1497, SURVIVED
1445160615, 1494, SURVIVED
1445160615, 1326, SURVIVED
1445160615, 1327, SURVIVED
1445160615, 1493, SURVIVED
1445160615, 1496, SURVIVED
1445160615, 1508, SURVIVED
1445160615, 1529, SURVIVED
1445160615, 1525, SURVIVED
1445160615, 1518, SURVIVED
1445160615, 1692, SURVIVED
1445160615, 1526, SURVIVED
1445160615, 1671, SURVIVED
1445160615, 1528, SURVIVED
1445160615, 1725, SURVIVED
1445160615, 1693, SURVIVED
1445160615, 1724, SURVIVED
1445160615, 1728, SURVIVED
1445160615, 1729, SURVIVED
1445160615, 1731, SURVIVED
1445160615, 1730, SURVIVED
1445160615, 1732, SURVIVED
1445160615, 1733, SURVIVED
1445160615, 1737, SURVIVED
1445160615, 1741, SURVIVED
1445160615, 1742, SURVIVED
1445160615, 1738, SURVIVED
1445160615, 1746, SURVIVED
1445160615, 1753, SURVIVED
1445160615, 1749, SURVIVED
1445160615, 1751, SURVIVED
1445160615, 1752, SURVIVED
1445160615, 1760, SURVIVED
1445160615, 1761, SURVIVED
1445160615, 1763, SURVIVED
1445160615, 1762, SURVIVED
1445160615, 1764, SURVIVED
1445160615, 1765, SURVIVED
1445160615, 1770, SURVIVED
1445160615, 1769, SURVIVED
1445160615, 1774, SURVIVED
1445160615, 1778, SURVIVED
1445160615, 1773, SURVIVED
1445160615, 1781, SURVIVED
1445160615, 1785, SURVIVED
1445160615, 1783, SURVIVED
1445160615, 1784, SURVIVED
1445160619, 1326, SURVIVED
1445160619, 1327, SURVIVED
1445160619, 1493, SURVIVED
1445160619, 1496, SURVIVED
1445160619, 1494, SURVIVED
1445160619, 1508, SURVIVED
1445160619, 1497, SURVIVED
1445160619, 1525, SURVIVED
1445160619, 1518, SURVIVED
1445160619, 1526, SURVIVED
1445160619, 1692, SURVIVED
1445160619, 1528, SURVIVED
1445160619, 1671, SURVIVED
1445160619, 1529, SURVIVED
1445160619, 1728, SURVIVED
1445160619, 1693, SURVIVED
1445160619, 1724, SURVIVED
1445160619, 1725, SURVIVED
1445160619, 1732, SURVIVED
1445160619, 1729, SURVIVED
1445160619, 1730, SURVIVED
1445160619, 1731, SURVIVED
1445160619, 1733, SURVIVED
1445160619, 1737, SURVIVED
1445160619, 1741, SURVIVED
1445160619, 1742, SURVIVED
1445160619, 1746, SURVIVED
1445160619, 1738, SURVIVED
1445160619, 1753, SURVIVED
1445160619, 1752, SURVIVED
1445160619, 1749, SURVIVED
1445160619, 1751, SURVIVED
1445160619, 1760, SURVIVED
1445160619, 1761, SURVIVED
1445160619, 1763, SURVIVED
1445160619, 1762, SURVIVED
1445160619, 1765, SURVIVED
1445160619, 1764, SURVIVED
1445160619, 1774, SURVIVED
1445160619, 1769, SURVIVED
1445160619, 1778, SURVIVED
1445160619, 1770, SURVIVED
1445160619, 1773, SURVIVED
1445160619, 1785, SURVIVED
1445160619, 1783, SURVIVED
1445160619, 1781, SURVIVED
1445160608, 1326, SURVIVED
1445160608, 1497, SURVIVED
1445160619, 1784, SURVIVED
1445160608, 1508, SURVIVED
1445160608, 1496, SURVIVED
1445160608, 1494, SURVIVED
1445160608, 1518, SURVIVED
1445160608, 1493, SURVIVED
1445160608, 1327, SURVIVED
1445160608, 1525, SURVIVED
1445160608, 1526, SURVIVED
1445160608, 1528, SURVIVED
1445160608, 1529, SURVIVED
1445160608, 1671, SURVIVED
1445160608, 1692, SURVIVED
1445160608, 1724, SURVIVED
1445160608, 1693, SURVIVED
1445160608, 1725, SURVIVED
1445160608, 1728, SURVIVED
1445160608, 1729, SURVIVED
1445160608, 1730, SURVIVED
1445160608, 1731, SURVIVED
1445160608, 1732, SURVIVED
1445160608, 1746, SURVIVED
1445160608, 1733, SURVIVED
1445160608, 1737, SURVIVED
1445160608, 1738, SURVIVED
1445160608, 1741, SURVIVED
1445160608, 1742, SURVIVED
1445160608, 1752, SURVIVED
1445160608, 1749, SURVIVED
1445160608, 1751, SURVIVED
1445160608, 1753, SURVIVED
1445160608, 1761, SURVIVED
1445160608, 1769, SURVIVED
1445160608, 1760, SURVIVED
1445160608, 1762, SURVIVED
1445160608, 1764, SURVIVED
1445160608, 1765, SURVIVED
1445160608, 1763, SURVIVED
1445160608, 1770, SURVIVED
1445160608, 1773, SURVIVED
1445160608, 1778, SURVIVED
1445160608, 1774, SURVIVED
1445160608, 1784, SURVIVED
1445160608, 1783, SURVIVED
1445160608, 1781, SURVIVED
1445160608, 1785, SURVIVED
1445160613, 1326, SURVIVED
1445160613, 1327, SURVIVED
1445160613, 1493, SURVIVED
1445160613, 1494, SURVIVED
1445160613, 1508, SURVIVED
1445160613, 1497, SURVIVED
1445160613, 1496, SURVIVED
1445160613, 1528, SURVIVED
1445160613, 1526, SURVIVED
1445160613, 1525, SURVIVED
1445160613, 1518, SURVIVED
1445160613, 1692, SURVIVED
1445160613, 1529, SURVIVED
1445160613, 1724, SURVIVED
1445160613, 1733, SURVIVED
1445160613, 1725, SURVIVED
1445160613, 1729, SURVIVED
1445160613, 1671, SURVIVED
1445160613, 1693, SURVIVED
1445160613, 1731, SURVIVED
1445160613, 1728, SURVIVED
1445160613, 1730, SURVIVED
1445160613, 1741, SURVIVED
1445160613, 1738, SURVIVED
1445160613, 1732, SURVIVED
1445160613, 1737, SURVIVED
1445160613, 1746, SURVIVED
1445160613, 1742, SURVIVED
1445160613, 1753, SURVIVED
1445160613, 1752, SURVIVED
1445160613, 1749, SURVIVED
1445160613, 1760, SURVIVED
1445160613, 1751, SURVIVED
1445160613, 1761, SURVIVED
1445160613, 1762, SURVIVED
1445160613, 1763, SURVIVED
1445160613, 1764, SURVIVED
1445160613, 1765, SURVIVED
1445160613, 1769, SURVIVED
1445160613, 1770, SURVIVED
1445160613, 1773, SURVIVED
1445160613, 1774, SURVIVED
1445160613, 1778, SURVIVED
1445160613, 1783, SURVIVED
1445160613, 1781, SURVIVED
1445160613, 1785, SURVIVED
1445160613, 1784, SURVIVED
1445160602, 1496, SURVIVED
1445160602, 1326, SURVIVED
1445160602, 1494, SURVIVED
1445160602, 1493, SURVIVED
1445160602, 1327, SURVIVED
1445160602, 1508, SURVIVED
1445160602, 1497, SURVIVED
1445160602, 1528, SURVIVED
1445160602, 1518, SURVIVED
1445160602, 1526, SURVIVED
1445160602, 1525, SURVIVED
1445160602, 1529, SURVIVED
1445160602, 1671, SURVIVED
1445160602, 1692, SURVIVED
1445160602, 1724, SURVIVED
1445160602, 1693, SURVIVED
1445160602, 1725, SURVIVED
1445160602, 1728, SURVIVED
1445160602, 1729, SURVIVED
1445160602, 1730, SURVIVED
1445160602, 1732, SURVIVED
1445160602, 1731, SURVIVED
1445160602, 1737, SURVIVED
1445160602, 1733, SURVIVED
1445160602, 1738, SURVIVED
1445160602, 1741, SURVIVED
1445160602, 1742, SURVIVED
1445160602, 1746, SURVIVED
1445160602, 1749, SURVIVED
1445160602, 1752, SURVIVED
1445160602, 1751, SURVIVED
1445160602, 1753, SURVIVED
1445160602, 1760, SURVIVED
1445160602, 1761, SURVIVED
1445160602, 1763, SURVIVED
1445160602, 1762, SURVIVED
1445160602, 1764, SURVIVED
1445160602, 1769, SURVIVED
1445160602, 1765, SURVIVED
1445160602, 1770, SURVIVED
1445160602, 1773, SURVIVED
1445160602, 1774, SURVIVED
1445160602, 1778, SURVIVED
1445160602, 1781, SURVIVED
1445160602, 1783, SURVIVED
1445160602, 1784, SURVIVED
1445160602, 1785, SURVIVED
1445160609, 1326, SURVIVED
1445160609, 1327, SURVIVED
1445160609, 1493, SURVIVED
1445160609, 1494, SURVIVED
1445160609, 1496, SURVIVED
1445160609, 1497, SURVIVED
1445160609, 1508, SURVIVED
1445160609, 1518, SURVIVED
1445160609, 1525, SURVIVED
1445160609, 1526, SURVIVED
1445160609, 1528, SURVIVED
1445160609, 1529, SURVIVED
1445160609, 1671, SURVIVED
1445160609, 1692, SURVIVED
1445160609, 1693, SURVIVED
1445160609, 1724, SURVIVED
1445160609, 1728, SURVIVED
1445160609, 1729, SURVIVED
1445160609, 1725, SURVIVED
1445160609, 1730, SURVIVED
1445160609, 1731, SURVIVED
1445160609, 1732, SURVIVED
1445160609, 1737, SURVIVED
1445160609, 1733, SURVIVED
1445160609, 1738, SURVIVED
1445160609, 1741, SURVIVED
1445160609, 1742, SURVIVED
1445160609, 1746, SURVIVED
1445160609, 1749, SURVIVED
1445160609, 1751, SURVIVED
1445160609, 1752, SURVIVED
1445160609, 1753, SURVIVED
1445160609, 1760, SURVIVED
1445160609, 1761, SURVIVED
1445160609, 1762, SURVIVED
1445160609, 1763, SURVIVED
1445160609, 1764, SURVIVED
1445160609, 1765, SURVIVED
1445160609, 1769, SURVIVED
1445160609, 1770, SURVIVED
1445160609, 1774, SURVIVED
1445160609, 1773, SURVIVED
1445160609, 1778, SURVIVED
1445160609, 1781, SURVIVED
1445160609, 1783, SURVIVED
1445160616, 1327, SURVIVED
1445160609, 1784, SURVIVED
1445160609, 1785, SURVIVED
1445160616, 1326, SURVIVED
1445160616, 1494, SURVIVED
1445160616, 1493, SURVIVED
1445160616, 1525, SURVIVED
1445160616, 1508, SURVIVED
1445160616, 1496, SURVIVED
1445160616, 1518, SURVIVED
1445160616, 1497, SURVIVED
1445160616, 1526, SURVIVED
1445160616, 1528, SURVIVED
1445160616, 1671, SURVIVED
1445160616, 1529, SURVIVED
1445160616, 1724, SURVIVED
1445160616, 1692, SURVIVED
1445160616, 1693, SURVIVED
1445160616, 1728, SURVIVED
1445160616, 1730, SURVIVED
1445160616, 1725, SURVIVED
1445160641, 1326, SURVIVED
1445160616, 1732, SURVIVED
1445160641, 1327, SURVIVED
1445160616, 1729, SURVIVED
1445160616, 1733, SURVIVED
1445160616, 1731, SURVIVED
1445160641, 1493, SURVIVED
1445160641, 1494, SURVIVED
1445160641, 1497, SURVIVED
1445160641, 1496, SURVIVED
1445160641, 1508, SURVIVED
1445160641, 1518, SURVIVED
1445160641, 1525, SURVIVED
1445160641, 1526, SURVIVED
1445160641, 1529, SURVIVED
1445160641, 1528, SURVIVED
1445160616, 1737, SURVIVED
1445160616, 1742, SURVIVED
1445160641, 1671, SURVIVED
1445160616, 1741, SURVIVED
1445160616, 1738, SURVIVED
1445160641, 1692, SURVIVED
1445160641, 1693, SURVIVED
1445160641, 1724, SURVIVED
1445160616, 1749, SURVIVED
1445160616, 1746, SURVIVED
1445160641, 1725, SURVIVED
1445160641, 1730, SURVIVED
1445160641, 1728, SURVIVED
1445160641, 1731, SURVIVED
1445160641, 1729, SURVIVED
1445160616, 1751, SURVIVED
1445160641, 1732, SURVIVED
1445160641, 1733, SURVIVED
1445160641, 1741, SURVIVED
1445160616, 1752, SURVIVED
1445160641, 1738, SURVIVED
1445160641, 1737, SURVIVED
1445160641, 1746, SURVIVED
1445160641, 1742, SURVIVED
1445160641, 1749, SURVIVED
1445160616, 1753, SURVIVED
1445160616, 1761, SURVIVED
1445160641, 1751, SURVIVED
1445160616, 1764, SURVIVED
1445160616, 1760, SURVIVED
1445160641, 1752, SURVIVED
1445160616, 1762, SURVIVED
1445160641, 1760, SURVIVED
1445160641, 1753, SURVIVED
1445160641, 1761, SURVIVED
1445160641, 1764, SURVIVED
1445160641, 1763, SURVIVED
1445160641, 1762, SURVIVED
1445160616, 1774, SURVIVED
1445160641, 1765, SURVIVED
1445160616, 1763, SURVIVED
1445160616, 1769, SURVIVED
1445160616, 1778, SURVIVED
1445160616, 1765, SURVIVED
1445160641, 1773, SURVIVED
1445160641, 1770, SURVIVED
1445160641, 1774, SURVIVED
1445160641, 1769, SURVIVED
1445160641, 1778, SURVIVED
1445160641, 1781, SURVIVED
1445160616, 1770, SURVIVED
1445160616, 1773, SURVIVED
1445160641, 1783, SURVIVED
1445160641, 1785, SURVIVED
1445160641, 1784, SURVIVED
1445160616, 1781, SURVIVED
1445160616, 1784, SURVIVED
1445160616, 1783, SURVIVED
1445160616, 1785, SURVIVED
1445160628, 1327, SURVIVED
1445160628, 1525, SURVIVED
1445160628, 1326, SURVIVED
1445160628, 1496, SURVIVED
1445160628, 1526, SURVIVED
1445160628, 1493, SURVIVED
1445160628, 1494, SURVIVED
1445160628, 1529, SURVIVED
1445160628, 1497, SURVIVED
