seed, mutant, status
519391200, 3783, SURVIVED
519391200, 5548, SURVIVED
519391200, 3684, SURVIVED
519391200, 3720, SURVIVED
519391200, 5550, SURVIVED
519391200, 3789, SURVIVED
519391200, 5547, SURVIVED
519391226, 6233, SURVIVED
519391226, 6812, SURVIVED
519391226, 28912, SURVIVED
519391226, 1202, SURVIVED
519391226, 1170, SURVIVED
519391226, 29007, SURVIVED
519391226, 17056, SURVIVED
519391226, 29109, SURVIVED
519391226, 29001, SURVIVED
519391226, 6844, SURVIVED
519391226, 28992, SURVIVED
519391200, 3726, SURVIVED
519391200, 3757, SURVIVED
519391200, 3689, SURVIVED
519391200, 3721, SURVIVED
519391200, 5549, SURVIVED
519391200, 5551, SURVIVED
519391200, 3725, SURVIVED
519391200, 5546, SURVIVED
519391200, 3753, SURVIVED
519391200, 3758, SURVIVED
519391226, 6814, SURVIVED
519391226, 28914, SURVIVED
519391226, 29077, SURVIVED
519391226, 6846, SURVIVED
519391200, 17056, SURVIVED
519391200, 26204, SURVIVED
519391200, 26197, SURVIVED
519391200, 26207, SURVIVED
519391200, 26198, SURVIVED
519391223, 30793, SURVIVED
519391223, 17056, SURVIVED
519391227, 1170, SURVIVED
519391223, 31474, SURVIVED
519391227, 10278, SURVIVED
519391227, 21339, SURVIVED
519391227, 21341, SURVIVED
519391227, 21342, SURVIVED
519391227, 17056, SURVIVED
519391227, 1317, SURVIVED
519391227, 26207, SURVIVED
519391223, 30821, SURVIVED
519391227, 10276, SURVIVED
519391223, 30825, SURVIVED
519391227, 21401, SURVIVED
519391223, 31476, SURVIVED
519391227, 21389, SURVIVED
519391227, 21343, SURVIVED
519391227, 30409, SURVIVED
519391227, 21340, SURVIVED
519391227, 1202, SURVIVED
519391223, 31442, SURVIVED
519391227, 10274, SURVIVED
519391227, 26204, SURVIVED
519391227, 26197, SURVIVED
519391227, 26198, SURVIVED
519391227, 10275, SURVIVED
519391227, 31442, SURVIVED
519391219, 17056, SURVIVED
519391219, 26198, SURVIVED
519391219, 26197, SURVIVED
519391227, 31476, SURVIVED
519391227, 31474, SURVIVED
519391227, 30825, SURVIVED
519391219, 26204, SURVIVED
519391219, 26207, SURVIVED
519391219, 30793, SURVIVED
519391227, 30821, SURVIVED
519391227, 30793, SURVIVED
519391219, 30821, SURVIVED
519391219, 31476, SURVIVED
519391219, 30825, SURVIVED
519391219, 31442, SURVIVED
519391219, 31474, SURVIVED
519391218, 3725, SURVIVED
519391218, 5546, SURVIVED
519391218, 3684, SURVIVED
519391218, 3789, SURVIVED
519391218, 3689, SURVIVED
519391218, 3726, SURVIVED
519391218, 5547, SURVIVED
519391218, 3721, SURVIVED
519391218, 3720, SURVIVED
519391218, 26198, SURVIVED
519391218, 3757, SURVIVED
519391218, 3783, SURVIVED
519391218, 5549, SURVIVED
519391218, 3758, SURVIVED
519391218, 13427, SURVIVED
519391218, 5550, SURVIVED
519391218, 6812, SURVIVED
519391218, 6844, SURVIVED
519391218, 5551, SURVIVED
519391218, 3753, SURVIVED
519391218, 17056, SURVIVED
519391218, 26197, SURVIVED
519391218, 5548, SURVIVED
519391218, 6846, SURVIVED
519391218, 6814, SURVIVED
519391218, 26204, SURVIVED
519391218, 30821, SURVIVED
519391218, 26207, SURVIVED
519391218, 30793, SURVIVED
519391218, 30825, SURVIVED
519391251, 3684, SURVIVED
519391251, 3725, SURVIVED
519391251, 3721, SURVIVED
519391251, 3689, SURVIVED
519391251, 5547, SURVIVED
519391251, 1052, SURVIVED
519391251, 3758, SURVIVED
519391251, 3720, SURVIVED
519391251, 3757, SURVIVED
519391251, 5550, SURVIVED
519391251, 3789, SURVIVED
519391251, 3783, SURVIVED
